A	[A]	ax
ANYBODY'S	[ANYBODY'S]	eh n iy b ax dx iy z
ANYHOW	[ANYHOW]	eh n iy hh aw
ANYMORE	[ANYMORE]	eh n iy m ao r
ANYONE	[ANYONE]	eh n iy w ah n
ANYTHING	[ANYTHING]	eh n iy th ih ng
ANYTIME	[ANYTIME]	eh n iy t ay m
ANYWAY	[ANYWAY]	eh n iy w ey
ANYWHERE	[ANYWHERE]	eh n iy w eh r
APART	[APART]	ax p aa r t
APARTMENT	[APARTMENT]	ax p aa r t m ax n t
APARTMENTS	[APARTMENTS]	ax p aa r t m ax n t s
APE	[APE]	ey p
APE'S	[APE'S]	ey p s
APES	[APES]	ey p s
APMAN	[APMAN]	ae p m ae n
APOLOGIZE	[APOLOGIZE]	ax p aa l ax jh ay z
APOSTROPHE	[APOSTROPHE]	ax p aa s t r ax f iy
APPARENTLY	[APPARENTLY]	ax p eh r ax n t l iy
APPEARED	[APPEARED]	ax p ih r d
APPEARS	[APPEARS]	ax p ih r z
APPENDAGE	[APPENDAGE]	ax p eh n d ix jh
APPETIT	[APPETIT]	ae p ax t iy t
APPETIZER	[APPETIZER]	ae p ax t ay z er
APPLE	[APPLE]	ae p ax l
APPLE'S	[APPLE'S]	ae p ax l z
APPLEBUTTER	[APPLEBUTTER]	ae p ax l b ah dx er
APPLES	[APPLES]	ae p ax l z
APPLESAUCE	[APPLESAUCE]	ae p ax l s ao s
APPLESAUCE_A	[APPLESAUCE_A]	ae p ax l s ae s
APPOINTMENT	[APPOINTMENT]	ax p oy n t m ax n t
APPRECIATE	[APPRECIATE]	ax p r iy sh iy ey t
APPRECIATES	[APPRECIATES]	ax p r iy sh iy ey t s
APPROPRIATE	[APPROPRIATE]	ax p r ow p r iy ax t
APPROPRIATELY	[APPROPRIATELY]	ax p r ow p r iy ix t l iy
APPROVED	[APPROVED]	ax p r uw v d
APRICOT	[APRICOT]	ey p r ax k aa t
APRIL	[APRIL]	ey p r ax l
AQUA	[AQUA]	ae k w ax
AQUAMARINE	[AQUAMARINE]	aa k w ax m er iy n
AQUARIUM	[AQUARIUM]	ax k w eh r iy ax m
ARC	[ARC]	aa r k
ARCH	[ARCH]	aa r ch
ARE	[ARE]	aa r
AREN'T	[AREN'T]	aa r ax n t
ARGUING	[ARGUING]	aa r g y uw ix ng
ARGUMENT	[ARGUMENT]	aa r g y ax m ax n t
ARIZONA	[ARIZONA]	eh r ix z ow n ax
ARK	[ARK]	aa r k
ARLENE	[ARLENE]	aa r l iy n
ARM	[ARM]	aa r m
ARMADILLO	[ARMADILLO]	aa r m ax d ih l ow
ARMADILLOS	[ARMADILLOS]	aa r m ax d ih l ow z
ARMADILLO_A	[ARMADILLO_A]	w ih l ow
ARMADILLO_B	[ARMADILLO_B]	d ih l ow
ARMCHAIR	[ARMCHAIR]	aa r m ch eh r
ARMCHAIRS	[ARMCHAIRS]	aa r m ch eh r z
ARMOIRE	[ARMOIRE]	aa r m w aa r
ARMS	[ARMS]	aa r m z
ARNICA	[ARNICA]	aa r n ih k ax
AROUND	[AROUND]	er aw n d
ARRANGED	[ARRANGED]	er ey n jh d
ARRESTED	[ARRESTED]	er eh s t ax d
ARRIVE	[ARRIVE]	er ay v
ARRIVED	[ARRIVED]	er ay v d
ARRIVING	[ARRIVING]	er ay v ix ng
ARROZ	[ARROZ]	aa r ow s
ARTICLE	[ARTICLE]	aa r dx ax k ax l
ARTIST	[ARTIST]	aa r dx ax s t
ARTISTIC	[ARTISTIC]	aa r t ih s t ix k
ARTS	[ARTS]	aa r t s
ARTWORK	[ARTWORK]	aa r t w er k
ARU	[ARU]	ax r uw
ARUNNING	[ARUNNING]	ax r ah n ix ng
AS	[AS]	ae z
ASCENT	[ASCENT]	ax s eh n t
ASH	[ASH]	ae sh
ASHA	[ASHA]	ae z hh aa
ASHA'S	[ASHA'S]	aa sh ax z
ASHAVARI	[ASHAVARI]	ax sh aa v ax r iy
ASHAY	[ASHAY]	ax sh ey
ASHES	[ASHES]	ae sh ax z
ASIDE	[ASIDE]	ax s ay d
ASK	[ASK]	ae s k
ASKED	[ASKED]	ae s k t
ASKING	[ASKING]	ae s k ix ng
ASKS	[ASKS]	ae s k s
ASLEEP	[ASLEEP]	ax s l iy p
ASPECT	[ASPECT]	ae s p eh k t
ASPHALT	[ASPHALT]	ae s f ao l t
ASSEMBLIES	[ASSEMBLIES]	ax s eh m b l iy z
ASSIGNING	[ASSIGNING]	ax s ay n ix ng
ASSOCIATES	[ASSOCIATES]	ax s ow s iy ax t s
ASSUME	[ASSUME]	ax s uw m
ASSUMING	[ASSUMING]	ax s uw m ix ng
ASTRONAUT	[ASTRONAUT]	ae s t r ax n aa t
ASTRONAUTS	[ASTRONAUTS]	ae s t r ax n ao t s
AT	[AT]	ae t
ATE	[ATE]	ey t
ATHLETE	[ATHLETE]	ae th l iy t
ATHLETE_A	[ATHLETE_A]	ae th l iy t
ATHLETIC	[ATHLETIC]	ae th l eh dx ix k
ATIAY	[ATIAY]	ae t iy ey
ATTACH	[ATTACH]	ax t ae ch
ATTACHED	[ATTACHED]	ax t ae ch t
ATTACK	[ATTACK]	ax t ae k
ATTENTION	[ATTENTION]	ax t eh n sh ax n
ATTITUDE	[ATTITUDE]	ae dx ax t uw d
ATTLEBORO	[ATTLEBORO]	ae dx ax l b er ow
ATTRACTIVE	[ATTRACTIVE]	ax t r ae k t ix v
ATURNING	[ATURNING]	ax t er n ix ng
AU	[AU]	ow
AUBURN	[AUBURN]	aa b er n
AUDIENCE	[AUDIENCE]	aa dx iy ax n s
AUDIO	[AUDIO]	aa dx iy ow
AUGUST	[AUGUST]	aa g ax s t
AUNT	[AUNT]	ae n t
AUNTIE	[AUNTIE]	ae n t iy
AUNTIE'S	[AUNTIE'S]	ae n t iy z
AUNTS	[AUNTS]	ae n t s
AUSTRALIA	[AUSTRALIA]	ao s t r ey l y ax
AUTOMATIC	[AUTOMATIC]	ao dx ax m ae dx ix k
AUTOPERSON	[AUTOPERSON]	ao dx ow p er s ax n
AVAILABLE	[AVAILABLE]	ax v ey l ax b ax l
AVENO	[AVENO]	ae v iy n ow
AVENUE	[AVENUE]	ae v ax n uw
AVERY	[AVERY]	ey v er iy
AVOCADO	[AVOCADO]	ae v ax k aa dx ow
AVOCADO'S	[AVOCADO'S]	ae v ax k aa dx ow z
AVOCADO_A	[AVOCADO_A]	k aa d ax
AVOID	[AVOID]	ax v oy d
AWAIT	[AWAIT]	ax w ey t
AWAKE	[AWAKE]	ax w ey k
AWARE	[AWARE]	ax w eh r
AWAY	[AWAY]	ax w ey
AWESOME	[AWESOME]	aa s ax m
AWFUL	[AWFUL]	aa f ax l
AWFULLY	[AWFULLY]	aa f l iy
AWHILE	[AWHILE]	ax w ay l
AXE	[AXE]	ae k s
AYAWOULDILI	[AYAWOULDILI]	ay y ax w uh d ih l iy
B	[B]	b iy
BABA	[BABA]	b aa b ax
BABAGI	[BABAGI]	b aa b ax jh iy
BABAJEE	[BABAJEE]	b aa b ax jh iy
BABAJI	[BABAJI]	b aa b ax jh iy
BABAJI'S	[BABAJI'S]	b aa b ax jh iy z
BABBLE	[BABBLE]	b ae b ax l
BABBY	[BABBY]	b ae b iy
BABE	[BABE]	b ey b
BABIES	[BABIES]	b ey b iy z
BABIES_A	[BABIES_A]	b ey b iy s
BABOON	[BABOON]	b ax b uw n
BABOONS	[BABOONS]	b ae b uw n z
BABY	[BABY]	b ey b iy
BABY'S	[BABY'S]	b ey b iy z
BABYBEAR	[BABYBEAR]	b ey b iy b eh r
BABYBOP	[BABYBOP]	b ey b iy b aa p
BABYCAKES	[BABYCAKES]	b ey b iy k ey k s
BABYDOLL	[BABYDOLL]	b ey b iy d aa l
BABYO	[BABYO]	b ey b iy ow
BABYOH	[BABYOH]	b ey b iy ow
BABYSAT	[BABYSAT]	b ey b iy s ae t
BABYSIT	[BABYSIT]	b ey b iy s ix t
BABYSITTER	[BABYSITTER]	b ey b iy s ih dx er
BABYSITTER'S	[BABYSITTER'S]	b ey b iy s ih dx er z
BABY_A	[BABY_A]	b eh b eh
BACK	[BACK]	b ae k
BACKBACK	[BACKBACK]	b ae k b ae k
BACKGROUND	[BACKGROUND]	b ae k g r aw n d
BACKHOE	[BACKHOE]	b ae k hh ow
BACKING	[BACKING]	b ae k ix ng
BACKPACK	[BACKPACK]	b ae k p ae k
BACKPACKS	[BACKPACKS]	b ae k p ae k s
BACKPACK_A	[BACKPACK_A]	b ae k ax p ae k
BACKS	[BACKS]	b ae k s
BACKSTROKE	[BACKSTROKE]	b ae k s t r ow k
BACKWARD	[BACKWARD]	b ae k w er d
BACKWARDS	[BACKWARDS]	b ae k w er d z
BACKYARD	[BACKYARD]	b ae k y aa r d
BACON	[BACON]	b ey k ax n
BAD	[BAD]	b ae d
BADDY	[BADDY]	b ae d iy
BADEGA	[BADEGA]	b ae d iy g aa
BADGER	[BADGER]	b ae jh er
BADIGI	[BADIGI]	b aa d iy jh iy
BADLY	[BADLY]	b ae d l iy
BADY	[BADY]	b ey dx iy
BAG	[BAG]	b ae g
BAGEL	[BAGEL]	b ey g ax l
BAGELS	[BAGELS]	b ey g ax l z
BAGGIE	[BAGGIE]	b ae g iy
BAGGY	[BAGGY]	b ae g iy
BAGS	[BAGS]	b ae g z
BAH	[BAH]	b aa
BAIL	[BAIL]	b ey l
BAILEY	[BAILEY]	b ey l iy
BAKE	[BAKE]	b ey k
BAKED	[BAKED]	b ey k t
BAKER	[BAKER]	b ey k er
BAKER'S	[BAKER'S]	b ey k er z
BAKERS	[BAKERS]	b ey k er z
BAKERY	[BAKERY]	b ey k er iy
BAKES	[BAKES]	b ey k s
BAKING	[BAKING]	b ey k ix ng
BAKY	[BAKY]	b ey k iy
BALANCE	[BALANCE]	b ae l ax n s
BALANCING	[BALANCING]	b ae l ax n s ix ng
BALE	[BALE]	b ey l
BALL	[BALL]	b ao l
BALL'S	[BALL'S]	b ao l z
BALLERINA	[BALLERINA]	b ae l er iy n ax
BALLET	[BALLET]	b ae l ey
BALLOON	[BALLOON]	b ax l uw n
BALLOONS	[BALLOONS]	b ax l uw n z
BALLOON_A	[BALLOON_A]	b ax l uw n
BALLS	[BALLS]	b ao l z
BALONEY	[BALONEY]	b ax l ow n iy
BALONIES	[BALONIES]	b ax l ow n iy z
BALOO	[BALOO]	b ae l uw
BALTIMORE	[BALTIMORE]	b ao l t ax m ao r
BAMBOO	[BAMBOO]	b ae m b uw
BANANA	[BANANA]	b ax n ae n ax
BANANA'S	[BANANA'S]	b ax n ae n ax z
BANANANI	[BANANANI]	b ax n ae n ax n iy
BANANAS	[BANANAS]	b ax n ae n ax z
BANBURY	[BANBURY]	b ae n b eh r iy
BAND	[BAND]	b ae n d
BANDAGE	[BANDAGE]	b ae n d ix jh
BANDIT	[BANDIT]	b ae n d ax t
BANDS	[BANDS]	b ae n d z
BANGED	[BANGED]	b ae ng d
BANGING	[BANGING]	b ae ng ix ng
BANGLE	[BANGLE]	b ae ng g ax l
BANJOS	[BANJOS]	b ae n jh ow z
BANK	[BANK]	b ae ng k
BANNER	[BANNER]	b ae n er
BAPPLE	[BAPPLE]	b ae p ax l
BAPT	[BAPT]	b aa p t
BAR	[BAR]	b aa r
BARBARA	[BARBARA]	b aa r b er ax
BARBER	[BARBER]	b aa r b er
BARE	[BARE]	b eh r
BARELY	[BARELY]	b eh r l iy
BARK	[BARK]	b aa r k
BARKING	[BARKING]	b aa r k ix ng
BARKS	[BARKS]	b aa r k s
BARLOW	[BARLOW]	b aa r l ow
BARN	[BARN]	b aa r n
BARNACLES	[BARNACLES]	b aa r n ax k ax l z
BARNEY	[BARNEY]	b aa r n iy
BARNEY'S	[BARNEY'S]	b aa r n iy z
BARNS	[BARNS]	b aa r n z
BARNYARD	[BARNYARD]	b aa r n y aa r d
BARREL	[BARREL]	b ae r ax l
BARRETTE	[BARRETTE]	b er eh t
BARRIER	[BARRIER]	b ae r iy er
BARROW	[BARROW]	b ae r ow
BARRY	[BARRY]	b ae r iy
BARS	[BARS]	b aa r z
BART	[BART]	b aa r t
BARTHOPEYEW	[BARTHOPEYEW]	b aa r th aa p ax y uw
BASE	[BASE]	b ey s
BASEBALL	[BASEBALL]	b ey s b ao l
BASEBALLS	[BASEBALLS]	b ey s b ao l z
BASED	[BASED]	b ey s t
BASEMENT	[BASEMENT]	b ey s m ax n t
BASES	[BASES]	b ey s ax z
BASHA	[BASHA]	b aa sh ax
BASIA	[BASIA]	b ae z y ax
BASICALLY	[BASICALLY]	b ey s ix k l iy
BASIL'S	[BASIL'S]	b ae z ax l z
BASK	[BASK]	b ae s k
BASKET	[BASKET]	b ae s k ax t
BASKETBALL	[BASKETBALL]	b ae s k ax t b ao l
BASKETBALLS	[BASKETBALLS]	b ae s k ax t b ao l z
BASKETS	[BASKETS]	b ae s k ax t s
BASKING	[BASKING]	b ae s k ix ng
BASS	[BASS]	b ae s
BAT	[BAT]	b ae t
BATCH	[BATCH]	b ae ch
BATE	[BATE]	b ey t
BATERATE	[BATERATE]	b ey t ax r ey t
BATH	[BATH]	b ae th
BATHING	[BATHING]	b ey dh ix ng
BATHROBE	[BATHROBE]	b ae th r ow b
BATHROOM	[BATHROOM]	b ae th r uw m
BATHTUB	[BATHTUB]	b ae th t ax b
BATMAN	[BATMAN]	b ae t m ae n
BATS	[BATS]	b ae t s
BATTERIES	[BATTERIES]	b ae dx er iy z
BATTERY	[BATTERY]	b ae dx er iy
BATTERY_A	[BATTERY_A]	b ae b iy
BATTING	[BATTING]	b ae dx ix ng
BATTLE	[BATTLE]	b ae dx ax l
BAVE	[BAVE]	b ey v
BAY	[BAY]	b ey
BE	[BE]	b iy
BEACH	[BEACH]	b iy ch
BEAD	[BEAD]	b iy d
BEADS	[BEADS]	b iy d z
BEAK	[BEAK]	b iy k
BEAKER	[BEAKER]	b iy k er
BEAKS	[BEAKS]	b iy k s
BEAMS	[BEAMS]	b iy m z
BEAN	[BEAN]	b iy n
BEANS	[BEANS]	b iy n z
BEANY	[BEANY]	b iy n iy
BEAR	[BEAR]	b eh r
BEAR'S	[BEAR'S]	b eh r z
BEARD	[BEARD]	b ih r d
BEARDS	[BEARDS]	b ih r d z
BEARS	[BEARS]	b eh r z
BEAST	[BEAST]	b iy s t
BEAT	[BEAT]	b iy t
BEATING	[BEATING]	b iy dx ix ng
BEATLES	[BEATLES]	b iy dx ax l z
BEAUTIFUL	[BEAUTIFUL]	b y uw dx ax f ax l
BEAUTIFULLY	[BEAUTIFULLY]	b y uw dx ax f l iy
BEAUTY	[BEAUTY]	b y uw dx iy
BEAUTYANDTHEBEAST	[BEAUTYANDTHEBEAST]	b y uw dx iy ae n d dh ax b iy s t
BEAVER	[BEAVER]	b iy v er
BECAME	[BECAME]	b ix k ey m
BECAUSE	[BECAUSE]	b ix k ao z
BECKY	[BECKY]	b eh k iy
BECKYOHS	[BECKYOHS]	b eh k iy ow z
BECOME	[BECOME]	b ix k ah m
BECOMES	[BECOMES]	b ix k ah m z
BED	[BED]	b eh d
BEDBUGS	[BEDBUGS]	b eh d b ax g z
BEDEEP	[BEDEEP]	b iy d iy p
BEDROOM	[BEDROOM]	b eh d r uw m
BEDS	[BEDS]	b eh d z
BEDTIME	[BEDTIME]	b eh d t ay m
BEE	[BEE]	b iy
BEEBOP	[BEEBOP]	b iy b aa p
BEEF	[BEEF]	b iy f
BEEFEATER	[BEEFEATER]	b iy f iy dx er
BEEFEATERS	[BEEFEATERS]	b iy f iy dx er z
BEEN	[BEEN]	b ih n
BEENS	[BEENS]	b ih n z
BEEPER	[BEEPER]	b iy p er
BEEPING	[BEEPING]	b iy p ix ng
BEER	[BEER]	b ih r
BEES	[BEES]	b iy z
BEETA	[BEETA]	b iy t aa
BEETABEETUH	[BEETABEETUH]	b iy t ax b iy d ah
BEETS	[BEETS]	b iy t s
BEFORE	[BEFORE]	b ix f ao r
BEG	[BEG]	b eh g
BEGAN	[BEGAN]	b ix g ae n
BEGIN	[BEGIN]	b ix g ih n
BEGINNING	[BEGINNING]	b ix g ih n ix ng
BEGINS	[BEGINS]	b ix g ih n z
BEGUN	[BEGUN]	b ix g ah n
BEHAVE	[BEHAVE]	b ix hh ey v
BEHAVED	[BEHAVED]	b ix hh ey v d
BEHAVING	[BEHAVING]	b ix hh ey v ix ng
BEHIND	[BEHIND]	b ix hh ay n d
BEIGE	[BEIGE]	b ey zh
BEING	[BEING]	b iy ix ng
BELIEVE	[BELIEVE]	b ix l iy v
BELIEVED	[BELIEVED]	b ix l iy v d
BELL	[BELL]	b eh l
BELLOWS	[BELLOWS]	b eh l ow z
BELLS	[BELLS]	b eh l z
BELLY	[BELLY]	b eh l iy
BELLYBUTTON	[BELLYBUTTON]	b eh l iy b ah t ax n
BELLY_A	[BELLY_A]	b eh w iy
BELONG	[BELONG]	b ix l ao ng
BELONGED	[BELONGED]	b ix l ao ng d
BELONGS	[BELONGS]	b ix l ao ng z
BELOW	[BELOW]	b ix l ow
BELT	[BELT]	b eh l t
BEMOANING	[BEMOANING]	b ix m ow n ix ng
BEN	[BEN]	b eh n
BEN'S	[BEN'S]	b eh n z
BENCH	[BENCH]	b eh n ch
BENCHES	[BENCHES]	b eh n ch ix z
BENCH_A	[BENCH_A]	b eh n s
BEND	[BEND]	b eh n d
BENDING	[BENDING]	b eh n d ix ng
BENEATH	[BENEATH]	b ix n iy th
BENEFICIAL	[BENEFICIAL]	b eh n ax f ih sh ax l
BENEFIT	[BENEFIT]	b eh n ax f ix t
BENGLE	[BENGLE]	b ae ng g ax l
BENNY	[BENNY]	b eh n iy
BENT	[BENT]	b eh n t
BERLIOZ	[BERLIOZ]	b eh r l iy ow z
BERNICE	[BERNICE]	b er n iy s
BERRIES	[BERRIES]	b eh r iy z
BERRY	[BERRY]	b eh r iy
BERRY_A	[BERRY_A]	b uw iy
BERSERK	[BERSERK]	b er s er k
BERT	[BERT]	b er t
BERT'S	[BERT'S]	b er t s
BERTIE	[BERTIE]	b er dx iy
BESIDE	[BESIDE]	b ix s ay d
BESIDES	[BESIDES]	b ix s ay d z
BEST	[BEST]	b eh s t
BET	[BET]	b eh t
BETSY'S	[BETSY'S]	b eh t s iy z
BETTER	[BETTER]	b eh dx er
BETTY	[BETTY]	b eh dx iy
BETTYLOU	[BETTYLOU]	b eh dx iy l uw
BETWEEN	[BETWEEN]	b ix t w iy n
