_t4 		little girl .
_t4 		painted on its bow was its name , exxon+valdez . 
_t4 		the bow of the boat is this part , kind+of like the front . 
_t4 		the exxon+valdez floated low in the water . 
_t4 		about fifty million gallons of crude oil weighed it down .
_t4 		the huge tanker slowly sailed out into Prince William Sound . 
_t4 		and then , suddenly , it happened . 
_t4 		crunch .
_t4 		the ship slammed into an underwater reef .
_t4 		it poured into the dark water . 
_t4 		the exxon+valdez spilled out , out eleven million gallons of oil . 
_t4 		that much oil could fill over a thousand big swimming pools .
_t4 		this is a picture of Alaska , Naima . 
_t4 		this is a map of Alaska right here . 
_t4 		this is where that oil spill happened , this part of Alaska . 
_t4 		are you cold ? 
_t4 		you're uncomfortable ? 
_t4 		the sticky oil soon covered eleven thousand square miles of ocean water . 
_t4 		okay , let's skip ahead and see +//. 
_t4 		oil stuck to the feathers of many ducks , geese , and sea birds .
_t4 		the birds couldn't swim or fly . 
_t4 		some of them died . 
_t4 		oil got into the bodies of fish , shrimp , and crabs . 
_t4 		no one knows how many of them were killed . 
_t4 		mmmm , the oil is hurting the animals .
_t4 		sea otters , sea+lions , harbor+seals , and killer+whales swallowed oil . 
_t4 		that's a whale .
_t4 		they breathed the poisonous fumes . 
_t4 		these animals got very sick also . 
_t4 		hey , that's a (.) sea+lion I think . 
_t4 		do you remember we saw sea lions ? 
_t4 		yeah .
_t4 		because it spilled out of the boat . 
_t4 		oil spills have many causes . 
_t4 		some are accidents . 
_t4 		like a tanker like the exxon+valdez runs aground , or collides with another ship . 
_t4 		that means bumps into another ship .
_t4 		workers can make mistakes . 
_t4 		or an under+sea oil well starts to lea(k) , leak . 
_t4 		or a pipe can break . 
_t4 		the oil spreads out . 
_t4 		it floats on top of the water . 
_t4 		experts on oil spills rush to the scene . 
_t4 		they start to clean up the mess .
_t4 		the first job is to stop the oil from spreading . 
_t4 		they put a boom around the spill . 
_t4 		the boom is like a collar .
_t4 		it keeps the oil in one place . 
_t4 		you see this red thing here ?
_t4 		this is the boom . 
_t4 		it's usually made out of different things . 
_t4 		for small spills , the experts may call for a skimmer . 
_t4 		there are several kinds of skimmers . 
_t4 		one type works like a giant vacuum+cleaner .
_t4 		it sucks up the oil from the water . 
_t4 		sometimes the oil the skimmer collects can be used again . 
_t4 		for some small spills , experts place special pads on top of the oil . 
_t4 		the pads are like sponges . 
_t4 		they soak up the oil , then they have_to get rid of the soaked up oil . 
_t4 		for larger spills , the experts may set the oil on fire . 
_t4 		clean up crews also use chemicals to get rid of large oil spills . 
_t4 		other chemicals make the oil come together . 
_t4 		the oil forms a layer like a sheet of rubber . 
_t4 		one type of skimmer , I guess this is the skimmer machine , lifts the sheet of oil and oily debris , that means garbage , out of the water . 
_t4 		oh , what kind of animals are these ? 
_t4 		puffins ! 
_t4 		sometimes , the experts decide that no action is the best way to treat an oil spill . 
_t4 		the wind and waves mix the oil and water together . 
_t4 		it is like mixing oil and vinegar to make salad dressing ! 
_t4 		in time , much of the oil disappears . 
_t4 		oil spills are major disasters . 
_t4 		it's a very bad thing that happens , that's what a disaster is .
_t4 		slowly , scientists are learning how to clean them up . 
_t4 		they are learning how to prevent spills . 
_t4 		how can we help to prevent oil spills ? 
_t4 		that's a good question . 
_t4 		well , we can use less oil .
_t4 		if we use less oil , there will be fewer oil tankers in the oceans . 
_t4 		then the chance of oil spills will not be as great . 
_t4 		one way +//. 
_t4 		I bet you didn't know this , Naima .
_t4 		you might be surprised .
_t4 		one way to save oil is to use less (.) electricity ! 
_t4 		did you know that oil and electricity are related ? 
_t4 		electricity is often produced by burning oil . 
_t4 		less electricity means less oil and less risk of an oil spill . 
_t4 		because sometimes power plants burn oil to make electricity that comes through the electric lines into our house . 
_t4 		another way to cut oil needs is to use less gasoline , which is made from oil . 
_t4 		gasoline is made from oil . 
_t4 		that means driving smaller cars and staying within the speed limit . 
_t4 		hmmm . 
_t4 		oh , there's a child who wrote a letter to someone in the government . 
_t4 		and drew pictures of sea animals . 
_t4 		wow , and look at the other books in this series . 
_t4 		let's [: let us] see , this is a stage two book . 
_t4 		this book is called Be A Friend to Trees . 
_t4 		this book is called Dinosaurs Are Different . 
_t4 		this book is called Where Does the Garbage Go . 
_t4 		that would be a good book to get . 
_t4 		that's called The Planets in Our Solar System . 
_t4 		hmmm .
_t4 		xxx . 
_t4 		trees are good for the earth and good for people and good for animals . 
_t4 		so you need to be good to trees . 
_t4 		mmmm , that's someone who's helping to clean up an oil spill showing what the oil looks like . 
_t4 		that's a different kind of oil +... 
_t4 		oh .
_t4 		oh . 
_t4 		okay .
_t4 		that's a really hard job . 
_t4 		oh , thank+you .
_t4 		I'm gonna wash it off with a special scrub brush and some special water . 
_t4 		xxx . 
_t4 		o:h .
_t4 		I'm helping it be better , even though it doesn't like me doing this either .
_t4 		there , you're all better .
_t4 		I'm gonna let you get warm now .
_t4 		here's some +//. 
_t4 		here's a special pillow all heated up for you .
_t4 		okay , okay .
_t4 		you be the mother hen .
_t4 		hello mother hen . 
_t4 		your chick is right this way .
_t4 		she fell into an oil spill area . 
_t4 		yes , breathing oil . 
_t4 		there were fumes . 
_t4 		yes .
_t4 		can you leave that only please ?
_t4 		you may have your chicken , chick back and take her home if you like . 
_t4 		this needs to stay attached to you , Naima .
_t4 		come sit up here , okay ?
_t4 		he's a wing baby ? 
_t4 		Buck_Buck is her name ?
_t4 		do you have other +/?
_t4 		do you have other chicks at home in your family ? 
_t4 		well , I hope none of them got stuck in the oil spill . 
_t4 		oh .
_t4 		oh . 
_t4 		huh . 
_t4 		okay . 
_t4 		uh , you can't walk around if this attached to you unless (.) unless I put it here .
_t4 		you want me to be the farmer and I don't know about the oil spill ? 
_t4 		you come and tell me about the oil spill .
_t4 		okay . 
_t4 		oh , who am I calling ? 
_t4 		oh , okay . 
_t4 		hello , hello ? 
_t4 		there's an oil spill here !
_t4 		it got_to my farm . 
_t4 		the water , the ocean near my farm . 
_t4 		can you come and fix it please ?
_t4 		oh , good . 
_t4 		I'm so relieved . 
_t4 		thank you for your hard work .
_t4 		hello , hello ? 
_t4 		there's an oil spill , and my cat is in the oil spill .
_t4 		yes , it's breathing the fumes from the oil spill . 
_t4 		please help .
_t4 		emergency .
_t4 		yes ! 
_t4 		what can we do to help the cat feel better now ? 
_t4 		uh+huh , okay .
_t4 		if it can rest for a while ? 
_t4 		okay .
_t4 		you're doing a lot of work cleaning up that oil spill .
_t4 		were you using something like a sponge to soak up that oil ? 
_t4 		or , or the giant vacuum+cleaner .
_t4 		for oil , how interesting . 
_t4 		you probably do need to do that before you go home . 
_t4 		are you gonna go home for the night now ?
_t4 		are you done working ?
_t4 		okay .
_t4 		oh , thank you for bringing me my cat .
_t4 		and rescuing my cat . 
_t4 		are you going home now ? 
_t4 		that's good . 
_t4 		have a good evening .
_t4 		are you tired when you get home , Naima ? 
_t4 		from that kind of a job ? 
_t4 		I bet you just crawl into bed after a job like that . 
_t4 		mmmm . 
_t4 		when you've worked really hard , it's good to rest . 
_t4 		do you know that rocking in a chair is kind of like pumping in a swing ? 
_t4 		(be)cause you're using your leg muscles . 
_t4 		hey , who's that ? 
_t4 		it's Daddy ,  .
_t4 		xxx . 
_t4 		it's Daddy: . 
_t4 		we're taping , Daddy . 
_t4 		o:h . 
_t4 		I just came to get a check .
_t4 		oh , okay . 
_t4 		why , why is that funny ?
_t4 		well , it's not very sociable , that's all .
_t4 		I have_to get something for Daddy .
_t4 		maybe he could do that for you . 
_t4 		what should I do ? 
_t4 		what do you need , babe ? 
_t4 		ooh .
_t4 		let's [: let us] be a team , okay . 
_t4 		okay . 
_t4 		let's [: let us] be a team . 
_t4 		do you want it completely flat , or partially flat ? 
_t4 		okay , then completely flat it is , Boo ! 
_t4 		ooh , that's very nice . 
_t4 		a really nice thing . 
_t4 		yes ,  .
_t4 		are you a Laura today ? 
_t4 		oh , hey Laura . 
_t4 		do you like that little (.) place where you're lying down ?
_t4 		hmmm . 
_t4 		Naima +/. 
_t4 		is it an hour or an hour+and+a+half ?
_t4 		hour+and+a+half . 
_t4 		I don't know  . 
_t4 		well , you gotta start . 
_t4 		well , last time it was an hour . 
_t4 		xxx hour+and+a+half . 
_t4 		last (.) time , that's really helpful .
_t4 		okay . 
_t4 		than the cooking oil we use downstairs . 
_t4 		what kinds of oil do we eat ? 
_t4 		we don't eat oil that looks like that , do we ? 
_t4 		this is a very different type of oil . 
_t4 		there are many different types of oil .
_t4 		yeah ?
_t4 		well gasoline , which is made from oil , is bad for people to eat .
_t4 		well any kind of oil that's not an edible oil is bad to eat . 
_t4 		what kind of oil is okay to eat , Naima ? 
_t4 		when I cook something on the stove , what do I sometimes fry it in ? 
_t4 		yeah , olive oil , right ? 
_t4 		you dip your bread in olive oil .
_t4 		in a restaurant sometimes , and even at home . 
_t4 		and peanut oil . 
_t4 		crude oil . 
_t4 		oh you mean are there any other kinds of oil ?
_t4 		mmmm , well anything that's made out of crude oil , like (.)  (.) the kind of oil that goes in a car , both the gasoline and the other kind of oil that a car needs .
_t4 		remember when my car was leaking oil ? 
_t4 		that wasn't gasoline , but it was a kind of +//.
_t4 		it's called motor oil . 
_t4 		motor oil ,  that's bad for people to eat . 
_t4 		uh , mineral oil is not good to eat . 
_t4 		mineral oil +/.
_t4 		he did try to fix my car . 
_t4 		what did you see (.) underneath my car ? 
_t4 		drips . 
_t4 		was it puddles ? 
_t4 		or just little drips ?
_t4 		xxx , luckily my car got fixed . 
_t4 		and it doesn't drip oil anymore .
_t4 		let's [: let us] see what kind of , other kind of +//. 
_t4 		you know , oil is also +//.
_t4 		oil is used in many things .
_t4 		oil is used in paint , some kinds of paint , to paint (.) walls and houses and furniture and things like that . 
_t4 		yeah ?
_t4 		okay . 
_t4 		how bout [: about] if I attach this here ? 
_t4 		you wanna take that off ? 
_t4 		I see .
_t4 		okay .
_t4 		why don't we get one of your stuffed animals to be and animal in the ocean when the oil spills ? 
_t4 		okay .
_t4 		this is +/.
_t4 		okay .
_t4 		okay , this is my vacation house . 
_t4 		where I am right now .
_t4 		next to the ocean .
_t4 		okay , cats don't like water , do they . 
_t4 		oh , is there gonna be any other animal ? 
_t4 		okay , motorcycle+chicken will be in the water . 
_t4 		okay .
_t4 		you want +//? 
_t4 		and who are you gonna be ?
_t4 		okay .
_t4 		okay , maybe I should call you on the phone to tell you there's an oil spill and then you come and clean it . 
_t4 		okay . 
_t4 		okay .
_t4 		okay .
_t4 		okay . 
_t4 		xxx .
_t4 		what's that black stuff ? 
_t4 		it's an oil spill ! 
_t4 		it's an oil spill , and I see a duck in the water ! 
_t4 		uh+oh . 
_t4 		I better call the oil spill experts . 
_t4 		hello ,  hello ?
_t4 		is this the environmental police ?
_t4 		well I'm calling to report an oil spill in  in Johnson Bay . 
_t4 		we're in  and this is Johnson Bay and we see oil in the ocean . 
_t4 		can you please send out a team to clean it up ?
_t4 		there's at least one duck , and there could be others that I can't see from my window . 
_t4 		thank you . 
_t4 		oh , good . 
_t4 		mmmm . 
_t4 		I hope you have gloves on to clean up the oil . 
_t4 		oh look , look Kitty Cat  , look at the workers who are , that team cleaning up that oil spill .
_t4 		I think it's gonna take them a couple of weeks to finish that job . 
_t4 		xxx . 
_t4 		mmmm , maybe we should offer those workers a cup of of coffee or tea , so they can have their break . 
_t4 		xxx . 
_t4 		hello , mam [: madam] ? 
_t4 		would you like to come in and have a break from that hard work ?
_t4 		come into our house for a minute .
_t4 		have a seat .
_t4 		have a seat . 
_t4 		would you like tea or coffee ? 
_t4 		what kind of tea would you like ? 
_t4 		herbal tea . 
_t4 		I'm gonna go fix it . 
_t4 		my daughter would like to talk to you for a while .
_t4 		while I make the tea , and then I'm gonna come back with it .
_t4 		oh . 
_t4 		please don't drag that , Naima , like that .
_t4 		mam [: madam] , please go ahead and sit in our living+room area . 
_t4 		I brought some tea and a snack for you and we can talk about this oil spill that happened .
_t4 		sit down , sit down .
_t4 		okay , here is your herbal tea . 
_t4 		mam [: madam] , you can hold it with your hands , can't you ? 
_t4 		hold that . 
_t4 		and here's a snack . 
_t4 		I thought you might like some corn+on+the+cob with that .
_t4 		you must be hungry after all that cleaning up oil . 
