_d5113 		hurt your toe ? 
_d5121 		xxx . 
_d5121 		now . 
_d5121 		you wanted some garlic hummus with a spoon . 
_d5121 		I think you almost finished that garlic hummus up last night , but there might be a little bit left . 
_d5121 		today is +... 
_d5121 		Monday +... 
_d5121 		May +... 
_d5121 		nineteenth , and +... 
_d5121 		the last time we taped was +... 
_d5121 		either Thursday or Friday , so there's been a few days . 
_d5121 		you can eat it out of the container . 
_d5121 		and you can have +... 
_d5121 		why don't you use this spoon okay . 
_d5121 		where's my coffee . 
_d5121 		I'm gonna drink the coffee that Daddy made for me . 
_d5121 		mmmm . 
_d5121 		yummy . 
_d5121 		Naima do you know what we're doing today ? 
_d5121 		we're gonna go somewhere . 
_d5121 		it's Monday +... 
_d5121 		and on Mondays we go to play+group . 
_d5121 		who might be there ?
_d5121 		who do you think might be there ? 
_d5121 		you want me to tell you who might be there , well +...
_d5121 		xxx and  might be there . 
_d5121 		xxx and  will probably be there . 
_d5121 		who else ? 
_d5122 		it is , it's a little (.) garlic hummus container . 
_d5122 		oh what words are you reading here , are there letters ? 
_d5122 		what do you think it says ?
_d5122 		that's a g , big g .
_d5122 		can you read it ?
_d5122 		that's a little s right there . 
_d5122 		this is a c . 
_d5122 		that says garlic hummus . 
_d5122 		right there .
_d5122 		it does .
_d5123 		who else might be there ,  +... 
_d5123 		xxx might be there . 
_d5123 		xxx might be there . 
_d5123 		xxx might be there . 
_d5123 		mmmm: +... 
_d5123 		xxx might be there . 
_d5123 		we:ll ,  +... 
_d5123 		oh you're holding it while you're eating it ? 
_d5123 		how come you +//.
_d5123 		why do you like garlic hummus and you won't eat any other kind of hummus ? 
_d5123 		Naima . 
_d5123 		do you know why ?
_d5123 		you wanna eat what ? 
_d5123 		original garlic hummus .
_d5123 		yeah why won't you eat the original garlic hummus ? 
_d5123 		I said take it away ? 
_d5123 		is that what I said ? 
_d5123 		sometimes when the store doesn't have garlic hummus , we have_to buy another kind of hummus . 
_d5123 		but sometimes you won't eat that . 
_d5123 		even though they're very similar , don't you think ? 
_d5123 		don't you think they taste almost the same ? 
_d5123 		they do , but you won't eat the original kind ? 
_d5123 		and you won't eat the vegetable hummus either . 
_d5123 		I wondered about that . 
_d5123 		is +//.
_d5123 		are there carrots in the original ? 
_d5123 		I don't know if there +//.
_d5123 		yeah , there might be carrots in the vegetable hummus . 
_d5123 		are you saying that you don't like that ? 
_d5123 		oh .
_d5123 		that's why you don't like the ori(ginal) +//.
_d5123 		I don't think there's +//.
_d5123 		oh are you thinking cause [: because] the original hummus has orange on the (.) container ? 
_d5123 		hmmm . 
_d5123 		I see .
_d5123 		hmmm . 
_d5123 		who else ,  +...
_d5123 		well +... 
_d5123 		how about ,  ,  . 
_d5123 		xxx might be there . 
_d5123 		mmmm+hmmm .
_d5124 		you're holding it what ? 
_d5124 		oh who else might be at play+group , mmmm: +...
_d5124 		I think we +//.
_d5124 		oh , I know ,   and his new baby brother +... 
_d5124 		might be there . 
_d5124 		his new baby brother's name is  . 
_d5124 		xxx is his name . 
_d5124 		what ?
_d5124 		oh , you want more almond+butter on bagel ? 
_d5124 		kay [: okay] . 
_d5125 		you're having a pretty good breakfast . 
_d5125 		you do ? 
_d5125 		you just asked me for more +...
_d5125 		almond+butter on bagel . 
_d5125 		I don't know if we have baby yogurt but I can check in a minute . 
_d5125 		why don't you have this while I'm checking ? 
_d5125 		cause [: because] you asked for this , remember we talked about eating what you ask for ? 
_d5125 		yeah , I'm gonna check now . 
_d5125 		have_to be a little bit patient . 
_d5125 		um , we don't actually have any . 
_d5125 		uh +... 
_d5125 		baby yogurt , but we do have plain yogurt . 
_d5125 		okay . 
_d5125 		I'll give you some plain yogurt .
_d5125 		yeah .
_d5125 		yep [: yes] there's a cow right there . 
_d5125 		yeah .
_d5125 		who's it talking to ? 
_d5125 		who's it saying moo to ?
_d5125 		the cow's looking at me ?
_d5125 		oh+my+goodness . 
_d5125 		cows do nurse . 
_d5125 		yep [: yes] . 
_d5125 		oh I've got myself in a pickle here . 
_d5125 		I don't want a pickle +... 
_d5125 		just wanna ride on my motor +... 
_d5125 		(motor)cycle . 
_d5125 		singing a very old silly song . 
_d5125 		hey . 
_d5125 		you having a nice big breakfast ? 
_d5125 		are you ? 
_d5125 		baby ? 
_d5125 		silence . 
_d5125 		silence . 
_d5125 		the baby does not speak . 
_d5125 		oh I'm sorry you're a to:ddle:r . 
_d5125 		you're a silent toddler . 
_d5125 		are you looking outside ? 
_d5125 		looks like a nice day . 
_d5125 		xxx this is a . 
_d5125 		xxx just +/.
_d5125 		funny time to launch the  .
_d5125 		I know , I know . 
_d5125 		I don't know what's the matter with me . 
_d5125 		it +/.
_d5125 		am I on tape ? 
_d5125 		yeah you're on tape . 
_d5125 		oh my god ! 
_d5125 		in fact I will switch over +... 
_d5125 		when you come to have your breakfast +... 
_d5125 		I will +... 
_d5125 		give you +... 
_d5125 		the (.) microphone . 
_d5125 		Naima you know what I'm doing here ? 
_d5125 		you know what I'm doing here , I'm making a special +... 
_d5125 		cupboard +... 
_d5125 		for you to get your own cups . 
_d5125 		and snacks . 
_d5125 		wow . 
_d5125 		when you're ready to have snack(s) . 
_d5125 		Naima that's a big step . 
_d5125 		that means you can +/.
_d5125 		what ? 
_d5125 		want some cloth ?
_d5125 		cloth ?
_d5125 		to make a cupboard for you ?
_d5125 		this is a cupboard . 
_d5125 		this is a cupboard . 
_d5125 		I'm making a cupboard for you down here . 
_d5125 		a cupboard is like a cabinet . 
_d5125 		cabinet . 
_d5125 		xxx for you .
_d5125 		yeah . 
_d5125 		whenever you want a drink you can get your own sippy cup . 
_d5125 		and come and ask a grown+up for some juice or water or soy+milk . 
_d5125 		and it's gonna have some plates for you so you can pick out your own plate . 
_d5125 		and it will have a little bit of snacks for you so you can even get your own snacks sometimes . 
_d5125 		okay . 
_d5125 		xxx shower .
_d5125 		yep [: yes] . 
_d5125 		what ? 
_d5125 		he is gonna go to work today .
_d5125 		his vacation is over . 
_d5125 		unfortunately . 
_d5125 		it's what+ing its letters ? 
_d5125 		it has letters running +... 
_d5125 		words running by . 
_d5125 		it says touch or cancel is what it says . 
_d5125 		yeah .
_d5125 		sorry I'm making all this noise . 
_d5125 		you have almond+butter under your +... 
_d5125 		wheel there  . 
_d5125 		that is good , this is kind of useless . 
_d5125 		lemme [: let me] just get a few things out of the way . 
_d5125 		xxx .
_d5125 		xxx ?
_d5126 		can you put these bowls up there ? 
_d5126 		there's two there .
_d5126 		you can sit here . 
_d5126 		I do wanna put away a few more of these things .
_d5126 		well +... 
_d5126 		xxx shower right ?
_d5126 		are you  imminently I thought you said you had some time .
_d5126 		I will .
_d5126 		I do have time but +... 
_d5126 		xxx .
_d5126 		well , I wanna get this out of your way .
_d5126 		xxx . 
_d5126 		xxx . 
_d5126 		well that's less important  . 
_d5126 		you should take a shower and then if there's time on the other end . 
_d5126 		all+right all+right . 
_d5126 		Naima's cookies . 
_d5126 		what do you need ? 
_d5126 		what do you need to eat , something more ? 
_d5126 		oh you want some Naima's cookies , let's see . 
_d5126 		think there were some in here . 
_d5126 		are these stale ? 
_d5126 		mmmm .
_d5126 		okay . 
_d5126 		you're done ?
_d5126 		Daddy's about to eat . 
_d5126 		he's gonna eat and then go to work . 
_d5126 		because my vacation is o:ver . 
_d5126 		my vacation is over . 
_d5126 		I'm just waiting to put the mic on you and then I'll go .
_d5126 		I'm gonna put the microphone on Daddy . 
_d5126 		I'm standing here .
_d5126 		can't you just leave it there ?
_d5127 		oh where is he going , do you mean is he going to the hospital or the office ? 
_d5127 		I'm going to the hospital . 
_d5127 		well I'm going to the hospital first and then the office . 
_d5127 		why don't you just turn around for a second . 
_d5127 		yeah the hyacinths are at the +... 
_d5127 		office . 
_d5127 		does he have regular hyacinths or grape hyacinths there ? 
_d5127 		yep [: yes] , I do have regular hyacinths . 
_d5127 		Mommy's taking a shower Daddy's gonna have his breakfast and I'm gonna sit with you ! 
_d5127 		well , Mommy's gonna take a shower first . 
_d5127 		wanna nurse in the shower ? 
_d5127 		boy , look at those cookies . 
_d5127 		Naima boo . 
_d5127 		dya [: do you] wanna [: want a] flake ?
_d5127 		oat+bran flake ?
_d5127 		no ?
_d5128 		it's amaranth+flake ya [: you] wanna try it ? 
_d5128 		you wanna eat oat+bran flakes ? 
_d5128 		mmmm , Daddy's eating amaranth+flakes . 
_d5128 		I a:m . 
_d5128 		I am !
_d5128 		nope [: no] . 
_d5128 		I'm eating amaranth+flakes . 
_d5128 		mmmm . 
_d5128 		amaranth+flakes . 
_d5128 		shall I clean you up miss boo+boo ?
_d5128 		okay . 
_d5128 		you want me to put cave+land on first and then clean you up ? 
_d5128 		okay .
_d5128 		can I finish eating one or two more bites of my cereal ? 
_d5128 		oh baby  !
_d5128 		Naima  ! 
_d5128 		looks like it's a mixture of +... 
_d5128 		almond+butter +... 
_d5128 		and bread +... 
_d5128 		a:nd what else ? 
_d5128 		mmmm .
_d5128 		blueberries and yogurt ,  .
_d5128 		what a (.) combination . 
_d5128 		that's quite a combina(tion) +/.
_d5128 		it's a combination of food all+right . 
_d5128 		almond+butter , blueberries . 
_d5128 		mmmm .
_d5128 		mmmm+hmmm .
_d5129 		o:h ! 
_d5129 		you trying to put the cookie back together again like a puzzle , that's a great idea . 
_d5129 		did you eat any cookie cause [: because] if you did then some pieces are missing they're in your tummy ! 
_d5129 		mmmm .
_d5129 		mmmm .
_d5129 		I think there's a missing piece in your tummy cause [: because] you ate it didn't you ? 
_d5129 		did you eat some cookie ? 
_d5129 		well then that's probably where the missing piece is . 
_d5129 		a cookie+bunny ? 
_d5129 		a cookie+bunny ! 
_d5129 		mmmm .
_d5129 		where was the brown bunny ?
_d5129 		in your tummy ,  my god !
_d5130 		mmmm: . 
_d5130 		there was a cookie+bunny and you ate it . 
_d5130 		and the pieces are in your tummy , is that what you mean ? 
_d5130 		o:h .
_d5130 		do you remember the bunnies we saw at the farm ? 
_d5130 		I remember the little one's name . 
_d5130 		I don't remember the big one's name . 
_d5130 		the big one was really big , wasn't he . 
_d5130 		yeah .
_d5130 		'member [: remember] the rat ? 
_d5130 		but it was very big .
_d5130 		mice aren't that big , that was a very big rat . 
_d5130 		a little girl had that rat as a pet . 
_d5130 		she +... 
_d5130 		she took it shopping at the grocery store , I couldn't believe it . 
_d5130 		mmmm . 
_d5130 		you mean the water stopped and she's done with her shower ? 
_d5130 		yeah . 
_d5130 		you're +//.
_d5130 		you're listening very carefully aren't you . 
_d5130 		okay you've been very patient boo+boo , let me clean you up . 
_d5130 		where was the waterfall ? 
_d5130 		oh that waterfall , yeah . 
_d5130 		xxx has a little waterfall for her desk . 
_d5130 		it's +... 
_d5130 		supposed to be like a +... 
_d5130 		Japanese or Chinese garden I guess . 
_d5130 		you know , she's  mommy . 
_d5130 		do you remember  ? 
_d5130 		mmmm , boy you have a lot of food on your +... 
_d5130 		fingers .
_d5130 		mmmm+hmmm on your hands , yeah . 
_d5130 		hands and fingers , fingers and toes !
_d5130 		I'm trying to get all this combination of food off your hands . 
_d5130 		I'm trying but it's not easy , it's kinda [: kind of] difficult ! 
_d5130 		that's cause [: because] it's so sticky . 
_d5130 		where ?
_d5130 		oh is there an insect over there ? 
_d5130 		what kind of insect did +//. 
_d5130 		could you tell ?
_d5130 		a nematode ? 
_d5130 		a Naima toad ? 
_d5130 		nematode . 
_d5130 		I don't know if it was a nematode . 
_d5130 		oh it might've been a fly , that makes more sense to me . 
_d5130 		mmmm , you have a lot of food on your fingers .
_d5130 		blueberry and +... 
_d5130 		yogurt , and +... 
_d5130 		and blueberries and +... 
_d5130 		almond+butter . 
_d5130 		oh is that a bagel ,  yeah you're having bagel too I didn't even notice that . 
_d5130 		and cookie too , boy what a breakfast ! 
_d5130 		you had a cookie+bunny who's in your stomach now ? 
_d5130 		you know the easiest way to get your hands clean is to go wash them so after we're done here maybe you could wash your hands . 
_d5130 		you could stand on the stool +... 
_d5130 		mmmm . 
_d5130 		oh , sorry Boo . 
_d5130 		kay [: okay] , come on , come on .
_d5130 		oh , well let me get it , let me get it boo+boo . 
_d5130 		okay , well let me clean your mouth . 
_d5130 		Naima let me clean your mouth . 
_d5130 		mmmm that's better . 
_d5130 		thank you . 
_d5130 		little bit more , you're almost done . 
_d5130 		you're almost clean . 
_d5130 		o:h what a mess this kitchen is . 
_d5130 		it is a mess . 
_d5130 		it's not a mess ? 
_d5130 		I'm trying to clean up the mess . 
_d5130 		are there blueberries on your face ? 
_d5130 		let me just finish Boo . 
_d5130 		o:h ! 
_d5130 		I wanna clean you up first . 
_d5130 		o:h you baby . 
_d5130 		I know you do and Daddy wants to get you out real fast , but I just would like you to be a little cleaner Miss (.) Boo . 
_d5130 		there ! 
_d5130 		what a big girl , thank you +//.
_d5130 		oh , and here's some .
_d5130 		on your thigh . 
_d5130 		almond+butter on your thigh . 
_d5130 		buttah [: butter] , is it buttah [: butter] or almond+buttah [: almond+butter] . 
_d5130 		almond+butter , okay . 
_d5130 		I'm not an almond Daddy , are you an almond baby ? 
_d5130 		xxx . 
_d5130 		okay . 
_d5130 		okay I'm gonna turn off the recorder +... 
_d5130 		and you can go find Mommy if you like . 
_d5130 		you sorting things there ?
_d5130 		okay .
_d5131 		putting the rice over there ? 
_d5131 		kay [: okay] . 
_d5131 		uh , this is still Monday the nineteenth .
_d5131 		you sure you don't wanna +//.
_d5131 		I thought that you told me that you would like to have some macaroni and cheese . 
_d5131 		oh I thought you picked out +//.
_d5131 		all+right , let's put this one back +... 
_d5131 		and you can have the chicken cup . 
_d5131 		cluck cluck it says . 
_d5131 		all+right sweetie . 
_d5131 		you know this is +//.
_d5131 		Mommy really needs to work on this . 
_d5131 		it's not for Naima right now to do the sorting , you can help me sort this a little later . 
_d5131 		right now I'd like you to come to your high+chair and (.) sit up and have some lunch ! 
_d5131 		no .
_d5131 		okay you can go on this for a few minutes . 
_d5131 		xxx , you need to go over here . 
_d5131 		and then you can get in your (.) high+chair and have some lunch . 
_d5131 		okay . 
_d5131 		you gonna spin yourself ? 
_d5131 		let's see , let's get out that macaroni . 
_d5131 		macaroni . 
_d5131 		here it is , and there's also brown rice , how lucky . 
_d5131 		want some brown rice for your macaroni and cheese ? 
_d5131 		mmmm .
_d5131 		xxx the macaroni ! 
_d5131 		do you want it to be warm or you want it cold ?
_d5131 		all+right .
_d5131 		I'm going to make it warm for you . 
_d5131 		yessy . 
_d5131 		there are flies outside .
_d5131 		they're minding their own business . 
_d5131 		the ants are definitely  . 
_d5131 		I know .
_d5131 		I know , that's okay . 
_d5131 		xxx helping me ? 
_d5131 		who's helping who ? 
_d5131 		let's have the mac and cheese and you can have carrots from a jar too if you want . 
_d5131 		okay . 
_d5131 		yep [: yes] .
_d5131 		yeah .
_d5131 		it was .
_d5132 		okay Naima . 
_d5132 		come on get up on your high+chair .
_d5132 		not to have your bre(akfast) +//.
_d5132 		your lunch you're not . 
_d5132 		come on up here . 
_d5132 		are you sleepy , are you too sleepy to eat lunch ? 
_d5132 		would you like to go for a ride in the car ? 
_d5132 		I need you to sit  chair . 
_d5132 		well you can sit there but I'm not gonna give you lunch until you sit in your high+chair .
_d5132 		and here it is , look at that +/.
_d5132 		okay .
_d5132 		yeah !
_d5133 		and +... 
_d5133 		here +... 
_d5133 		this is from breakfast . 
_d5133 		sit down . 
_d5133 		mmmm , you want a little bit of brown rice too ? 
_d5133 		okay .
_d5133 		let's see +... 
_d5133 		I could mix this brown rice with something . 
_d5133 		I  +... 
_d5133 		want me to mix it with something , with yogurt maybe ? 
_d5133 		I can mix it up , that might be good , I'll put it here +... 
_d5133 		then I'll put the yogurt next to it and then I'll mix them together . 
_d5133 		or I could mix it with carrot , too . 
_d5133 		all+right .
_d5133 		a:nd here's the yogurt . 
_d5133 		okay . 
_d5133 		yogurt , and brown rice  , and you know what else there is , you can have that spoon . 
_d5133 		all+right , what did I do with this , okay , sorry , that mic +... 
_d5133 		was not in a good place , now it is , I hope . 
_d5133 		uh you know what there is there's some delicious black beans that  made . 
_d5133 		yeah , thought you might .
_d5133 		mmmm . 
_d5133 		now I think actually +... 
_d5133 		I'm gonna wash your hands a little bit . 
_d5133 		xxx , just because you were in a play+ground +... 
_d5133 		and I think you might possibly have dirt on your hands . 
_d5133 		xxx just +... 
_d5133 		can I see this hand too ? 
_d5133 		you want some (.) seaweed to sprinkle or some wheat+germ ? 
_d5133 		what's what ?
_d5133 		oh I think that's an onion .
_d5133 		you don't have_to eat it . 
_d5133 		you can put it on the side of your plate if you want . 
_d5133 		oh you need me to take it out , I think it was in the beans .
_d5133 		I'm gonna put it right there , you don't have_to eat it , do you want some seaweed ? 
_d5133 		or some wheat+germ ? 
_d5133 		you can sprinkle it if you want . 
_d5133 		xxx . 
_d5133 		let's see . 
_d5133 		there we go . 
_d5133 		does that food taste good ? 
_d5133 		want a little bit of carrot (.) in a jar also ? 
_d5133 		if you're gonna have this you need to use both hands , don't forget . 
_d5133 		Mommy's gonna eat something +... 
_d5133 		I'm gonna toast bagel . 
_d5133 		you can have some of mine .
_d5133 		oh I was gonna give you some carrot . 
_d5133 		how do you like those beans that  made are they good ? 
_d5133 		yes ?
_d5133 		you want what ? 
_d5133 		oh I was , yep [: yes] the +...
_d5133 		I have all these dirty dishes in here that are in my way and , they're making some noise . 
_d5133 		that is quite true . 
_d5133 		yes , sweetie .
_d5133 		try your chicken water . 
_d5133 		use two hands . 
_d5133 		you can wash down whatever you're eating there . 
_d5133 		mmmm+hmmm .
_d5133 		the chicken's looking at the words cluck cluck ? 
_d5133 		cluack cluack .
_d5133 		cluck cluck .
_d5133 		cluck sounds like clock doesn't it .
_d5133 		and buck buck and cluck cluck (.) rhyme , don't they . 
_d5133 		buck , buck , cluck +//.
_d5133 		no you know what , we don't drink water with our fingers . 
_d5133 		I'll give you water in a sippy cup if you wanna taste water , I don't want you sticking your fingers +... 
_d5133 		in your glass all the time . 
_d5133 		that's not how we drink . 
_d5133 		well +...
_d5133 		I don't want you to do that . 
_d5133 		cause [: because] drinking properly means you drink with your mouth not with your fingers . 
_d5133 		you want me to give you a sippy cup with water in it ? 
_d5133 		okay .
_d5133 		well you can taste it with your mouth . 
_d5133 		&u:h , let's see , sippy cup . 
_d5133 		you want something else to eat or to drink ?
_d5133 		who is  Mommy ,  Mommy's name is  . 
_d5133 		you like them ?
_d5134 		xxx . 
_d5134 		are they a little bit spicy ? 
_d5134 		I wasn't , I wasn't sure if they were , or not . 
_d5134 		maybe they're spicy . 
_d5134 		okay , what am I doing ? 
_d5134 		what's Mommy doing , as you like to say . 
_d5134 		I'm +//.
_d5134 		okay , gonna put (.) some things away that don't really belong upstairs . 
_d5134 		I am ,  +... 
_d5134 		make a bag full of +... 
_d5134 		things that I'm going to put in the basement . 
_d5134 		that's what I'm doing . 
_d5134 		I don't know if that's still good . 
_d5135 		okay let's see . 
_d5135 		what ? 
_d5135 		you like the beans that she made ? 
_d5135 		you can tell her that when you see her next time . 
_d5135 		I'm sure she'd like to know about that . 
_d5135 		I'm sure she like sit when people (.) like the food that she makes . 
_d5135 		I bet +... 
_d5135 		that my bagel is getting burned , yep [: yes] . 
_d5135 		I was right . 
_d5135 		that's what happens when you leave something (.)  in the +... 
_d5135 		in a  stove , or a toaster too long . 
_d5135 		sometimes . 
_d5135 		it gets a little bit burned . 
_d5135 		okay .
_d5135 		
_d5135 		it's gonna be very crunchy and right now it's actually also hot . 
_d5135 		I'm gonna cut some so that you can have some . 
_d5135 		I'm gonna cool it down before I give it to you , don't worry . 
_d5135 		good . 
_d5135 		yeah . 
_d5135 		mmmm , I'm gonna put cream+cheese on my bagel . 
_d5135 		would you like to try some ? 
_d5135 		okay .
_d5135 		why is it bad ? 
_d5135 		why ? 
_d5135 		I'll give you naked bagel , I have some here for you that's naked , you don't have_to eat the cream+cheese . 
_d5135 		I just thought you might like to try it . 
_d5135 		
_d5136 		I think that bagel's [: bagel is] still cooling down for you . 
_d5136 		I'm gonna give you some plain bagel . 
_d5136 		here's plain bagel . 
_d5136 		crunchy: . 
_d5136 		you like it +//? 
_d5136 		the bagel ? 
_d5136 		o:h . 
_d5136 		that cd ? 
_d5136 		what , who gave us what ? 
_d5136 		oh .
_d5136 		xxx  . 
_d5136 		and Vanessa . 
_d5136 		I'll go look for it , as soon as I put away this salmon . 
_d5136 		uh+huh .
_d5136 		Mommy's eating salmon do you wanna try some ? 
_d5136 		okay .
_d5136 		that's it . 
_d5136 		salmon is a little bit salty . 
_d5136 		smoked salmon , you could try it . 
_d5136 		okay .
_d5136 		you gonna hold me with your messy hands ? 
_d5136 		hmmm .
_d5136 		don't forget you have your water to help wash down whatever you're eating . 
_d5136 		okay .
_d5136 		now I'm gonna sit down +... 
_d5136 		and eat my lunch . 
_d5136 		you want more salmon ? 
_d5136 		okay . 
_d5136 		mmmm , that's a new food for you . 
_d5136 		there's some , there's a piece +... 
_d5136 		you wanna hold on to me ? 
_d5136 		somehow eating the salmon makes you wanna hold on to me ? 
_d5136 		cause [: because] it's a new taste ? 
_d5136 		yeah .
_d5136 		it's okay . 
_d5136 		xxx a little interim clean+up here . 
_d5136 		did you have fun at play+group today ? 
_d5136 		you were playing +/.
_d5136 		who else's mommy was there ? 
_d5136 		xxx (.) was there . 
_d5136 		who's  +//.
_d5136 		who +... 
_d5136 		xxx is whose mommy ? 
_d5136 		right .
_d5136 		she's  and  mommy , who else was there ? 
_d5136 		&u:m  was there , whose mommy is she ? 
_d5136 		right ,  and  mommy . 
_d5136 		and +... 
_d5136 		xxx was there , whose mommy is she ? 
