_d5206 		some recording now . 
_d5209 		I've had it for a very very long time . 
_d5209 		hmmm , but maybe I can find a recipe on the computer . 
_d5209 		now that would be a good idea . 
_d5210 		yessy yessy yessy: . 
_d5210 		do you have any interest in eating bear+food ?
_d5210 		yes you do , okay . 
_d5210 		well I might just make some then . 
_d5210 		so that we can eat some .
_d5210 		you  +//.
_d5210 		bear+food is (.) good to eat . 
_d5210 		what's my bear+cub doing ?
_d5210 		okay , I'll make the bear+food for the bear+cub .
_d5211 		there's a fly in the house ? 
_d5211 		where is it near you ? 
_d5211 		it was ?
_d5211 		don't see it right this minute , I'll look for it though , I'll keep my eyes open for it . 
_d5211 		put this down here , you can just ignore that , okay don't touch it , cause your hands are dirty , just leave it there okay ?
_d5211 		bear+food , right ? 
_d5211 		I'll get a fork +... 
_d5211 		I'll show you how I make it . 
_d5211 		o:h , what a scary bear !
_d5211 		oh no !
_d5211 		oh+my+goodness . 
_d5211 		scary bear . 
_d5211 		bear . 
_d5211 		bear .
_d5211 		o:h , that's a rawring bear !
_d5211 		that's quite a rawring bear .
_d5211 		o:h my+goodness !
_d5211 		all+right , you know what .
_d5211 		those are clean , I kinda want em to stay clean okay ?
_d5212 		because I just took them out of the dishwasher +... 
_d5212 		you just have one right there right now . 
_d5212 		cause I asked you to , and because you're very nice and you usually do things that I ask you to do . 
_d5212 		when I ask you nicely .
_d5212 		well I'd rather you didn't touch that .
_d5212 		why are you touching it ? 
_d5212 		I asked you not to touch it . 
_d5212 		cause your hands are a little bit dirty , please don't touch it .
_d5212 		you have more kiwi and more +...
_d5212 		banana:s . 
_d5212 		this is actually dried milk powder , it's not actually flour . 
_d5212 		I am making the bear+food , with this +...
_d5212 		almond+butter and dried milk powder . 
_d5212 		cause that's what goes in bear+food . 
_d5212 		it's a Mommy Mommy .
_d5212 		kay [: okay] .
_d5212 		xxx .
_d5212 		you're a scary bear !
_d5212 		oh you're very scary .
_d5212 		wow , can't believe how scary you are .
_d5212 		you're  rawring up and down .
_d5212 		xxx .
_d5212 		xxx !
_d5212 		you're a scary little cub .
_d5212 		well it looks like flour , it's powder . 
_d5212 		flour looks like powder too .
_d5212 		oh+my+goodness .
_d5212 		what kind of a bear are you , are you a panda bear or a polar bear or a grizzly bear ? 
_d5212 		you're a grizzly bear ?
_d5212 		you're pretty scary for a bear .
_d5212 		you're a sleepy bear ?
_d5212 		there's your bear+food .
_d5213 		mmmm . 
_d5213 		mmmm ! 
_d5213 		I'm gonna have some too . 
_d5213 		mmmm . 
_d5213 		I see that .
_d5213 		you could put some on the cracker and eat it even . 
_d5213 		if you want to . 
_d5213 		you could have bear+food on a cracker ! 
_d5213 		mmmm . 
_d5213 		okay . 
_d5213 		you need to poop now ? 
_d5213 		right this minute ? 
_d5213 		are you gonna poop ? 
_d5213 		please tell me if you're  poop , cause [: because] I will take you to the potty very quickly .
_d5213 		and then you'll be able to poop on the potty .
_d5214 		do you want to do that now ? 
_d5214 		okay .
_d5214 		when you're done , okay .
_d5214 		we'll go together when you're done . 
_d5214 		I will go with you . 
_d5214 		when you are done . 
_d5214 		when I +//. 
_d5214 		you want more bear+food ? 
_d5214 		did you eat that bear+food ? 
_d5214 		did you eat it all up so that it's all gone ? 
_d5214 		xxx . 
_d5214 		you did , you ate most of it all up , I'll get you some more bear+food ! 
_d5214 		okay , getting the bear some bear+food now . 
_d5214 		cause [: because] I put the bear+food in the almond+butter jar , this is now (.) bear+food instead of almond+butter . 
_d5214 		that's why .
_d5214 		it is .
_d5214 		hmmm .
_d5214 		cause [: because] little bear+cubs like you (.) eat it .
_d5214 		little bear +//.
_d5215 		you're the bear+cub all+right . 
_d5215 		bear zub ?
_d5215 		bear zub ? 
_d5215 		who is a bear zub ? 
_d5215 		who's a bear zub ?
_d5215 		is there really a bear zub in here ? 
_d5215 		xxx !
_d5215 		it is a bear zub ! 
_d5215 		it is a bear zub , there's a bear zub in my +//. 
_d5215 		in my baby's high+chair ! 
_d5215 		oh+my+goodness . 
_d5215 		goodness gracious me ! 
_d5215 		goodness gracious me . 
_d5215 		the what ?
_d5215 		you want me to save you from the bear+zub ?
_d5215 		the bear zub .
_d5215 		are you the bear zub ? 
_d5215 		is that you ? 
_d5215 		I see some bear+food on your +//. 
_d5215 		I see some bear zub food on your thumb . 
_d5215 		you have bear zub+food on your thumb . 
_d5215 		are you a bear+zub who eats bear+zub food ? 
_d5215 		o:h  +//.
_d5215 		mmmm+hmmm . 
_d5215 		a bear zub ! 
_d5215 		hi little bear+zub .
_d5215 		I can't believe there's a bear+zub in my house .
_d5216 		and it's eating my bear+food ! 
_d5216 		oh+my+goodness !
_d5216 		dyou [: do you] wanna go to the potty ? 
_d5216 		you want me to save you from the bear+zub ?
_d5216 		that little bear+zub .
_d5216 		she's +//.
_d5217 		she lives in my house . 
_d5217 		the bear+zub's [: bear+zub is] living in my house . 
_d5217 		bear+zub , with (.) something on her nose .
_d5217 		food , some kinda [: kind of] food is on your nose .
_d5217 		I don't +//.
_d5217 		I don't know what food .
_d5217 		must +//.
_d5217 		must be some kind of bear+zub food .
_d5217 		oh you're a bear cub who eats bear+food ? 
_d5217 		you're a zub cub ?
_d5217 		a:h .
_d5217 		you're a bear zub . 
_d5217 		you're a bear zub ? 
_d5217 		dya [: do you] need to get out ?
_d5217 		that's okay , the fly's [: fly is] not gonna hurt you .
_d5217 		yessy .
_d5218 		fly won't hurt you . 
_d5218 		yep [: yes] , I'm right here . 
_d5218 		I'm right here . 
_d5218 		bear zub ?
_d5218 		are you a zub+cub ?
_d5218 		oh+my+goodness .
_d5218 		are you gonna eat anymore of your bear+food or are you done ?
_d5219 		need to come out ? 
_d5219 		the bear zub+food is right there on your tray , I can see it .
_d5219 		the bear zub+food is right on your tray .
_d5219 		okay .
_d5219 		you ready to poop and pee ?
_d5219 		okay .
_d5220 		all+right . 
_d5220 		well +//.
_d5220 		ye:s that's a good idea , it's to (.) poop and pee before you take your bath . 
_d5220 		I like that idea . 
_d5220 		well then it won't make a mess . 
_d5220 		okay . 
_d5220 		let's get you clean and get you out . 
_d5220 		I hear you .
_d5220 		why is that bear+cub crying ?
_d5220 		you wanna see that fly flying .
_d5221 		is that right ? 
_d5221 		well we do wanna let them go outside .
_d5221 		well they belong outside , they don't really belong in the house .
_d5221 		sometimes they come in the house by accident +...
_d5221 		and sometimes they come maybe because they smell food and the door's left open just a crack . 
_d5221 		just like in the (.) cat book .
_d5221 		yeah .
_d5221 		people sometimes leave doors open by accident , and then cats can get out +... 
_d5221 		flies can get in , mosquitoes can get in +...
_d5221 		let's get this bit of green food off your nose , there .
_d5221 		you think it was brocco+hummus ? 
_d5221 		we didn't have brocco+hummus tonight .
_d5221 		we +//.
_d5221 		you did have some spinach with potato though . 
_d5221 		yeah I think +//.
_d5221 		yeah it was dried onto your nose , that's right . 
_d5221 		yep [: yes] .
_d5221 		I think , I also think that's what it was . 
_d5221 		well , it looked green it was the same colo(r) . 
_d5221 		what are you spelling ?
_d5221 		yeah ?
_d5221 		yeah .
_d5222 		you see the fly again ? 
_d5222 		that's all+right . 
_d5222 		what were you spelling with a b ? 
_d5222 		brocco+hummus ?
_d5222 		actually b is the first letter in brocco+hummus . 
_d5222 		that's just the sound that letter b makes . 
_d5222 		yep [: yes] , I'm right here .
_d5222 		yep [: yes] , I don't see the fly , where is it ?
_d5222 		I'm not seeing the fly . 
_d5222 		you worried about the fly ? 
_d5222 		you don't really need to be worried about the fly , flies don't really bite .
_d5222 		most of the flies that come in the house anyway , they're not the kind that bite . 
_d5222 		yessy .
_d5222 		okay .
_d5222 		okay .
_d5222 		nice  ,  you wanna drink some water ? 
_d5222 		Daddy's gonna get you some water I think .
_d5222 		xxx .
_d5222 		little cups ?
_d5222 		you can use this one . 
_d5222 		it's a big cup .
_d5222 		xxx that  , it's kinda old . 
_d5223 		sleepy+bear's got his +... 
_d5223 		booties on . 
_d5223 		you wanna come look at books with Mommy now ? 
_d5223 		on the bed ?
_d5223 		oh you want fresh air , you know the other , the windows are also open . 
_d5223 		I think there's plenty of fresh air in this room , cause [: because] both windows are open . 
_d5223 		are you recording ?
_d5223 		yes I am ,  +... 
_d5223 		there's some food that still needs to get stuck in the fridge in the kitchen . 
_d5223 		okay .
_d5223 		that's all that needs to happen . 
_d5223 		you wanna read +//.
_d5223 		xxx go down and make my (.) phone call . 
_d5223 		but I have two to make .
_d5223 		yeah that's fine , that's fine . 
_d5223 		you wanna read snow+day with me ?
_d5223 		okay .
_d5223 		are you being a chicken ?
_d5224 		a chicken who says bocka bocka bocka bocka bocka ? 
_d5224 		let's read snow+day , and then +... 
_d5224 		cause [: because] you , you need a pajama top . 
_d5224 		and , then +...
_d5224 		after you get your pajama top on +... 
_d5224 		Mommy will brush Mommy's teeth . 
_d5224 		Daddy did a good job didn't he . 
_d5224 		you started to do the zipper ? 
_d5224 		which zipper ?
_d5224 		does the big pillow have a zipper ?
_d5224 		oh , I guess I didn't know that , you can show me afterwards . 
_d5224 		yes I am .
_d5224 		what's going on in this picture ?
_d5224 		there's a snow+storm happening . 
_d5224 		take your hand off the microphone though . 
_d5224 		there's a snowstorm happening .
_d5224 		cause [: because] there's snow coming out of the sky , out of the clouds . 
_d5224 		mmmm , weather watchers had been predicting a big snow+storm for days . 
_d5224 		uh , what kind of a truck is that ? 
_d5224 		that is a snow+plow .
_d5224 		it's doing what to the snow ? 
_d5224 		what did you say it was doing ?
_d5224 		factoring the snow ?
_d5224 		it's (.) pushing the snow . 
_d5224 		those , that part of the snow+plow pushes the snow .
_d5224 		mmmm , so that the cars can drive , you're right . 
_d5224 		cars can't drive through this kind of snow . 
_d5224 		so the plow is (.) taking the snow out of the streets . 
_d5224 		even before the snow stopped falling town work+crews were out with their trucks to begin a long hard job of digging out . 
_d5224 		mmmm . 
_d5224 		oh , we skipped a page .
_d5224 		look at all the houses , and buildings , and schools , and there's a church +... 
_d5224 		they're all covered with snow . 
_d5224 		all the buildings , and look , I think that's a snow+plow over there .
_d5224 		it is .
_d5224 		and do you know what these are ?
_d5224 		these are electric wires .
_d5224 		they're carrying electricity from +...
_d5225 		building , from one building to another . 
_d5225 		or maybe those are telephone wires actually . 
_d5225 		hmmm , those might be electric and telephone wires . 
_d5225 		the wire that you saw at Craigville beach with Daddy and the ducks that you saw on the way ? 
_d5225 		you remembering seeing those things ?
_d5225 		you saw a wire in the sand , huh ? 
_d5225 		I think that's what you told me (.) that (.) he said it was . 
_d5225 		she was wearing red (.) pants . 
_d5225 		and a red swim+suit . 
_d5225 		xxx she was a lifeguard . 
_d5225 		lifeguards sometimes wear red . 
_d5225 		yes , they do they like to go in the water with swimsuits . 
_d5225 		well , lifeguards are there in case anybody has trouble in the water and they need help . 
_d5225 		lifeguards are there to go and , and give them help if they need help in the water . 
_d5225 		because if you don't know how to swim , sometimes you can have +...
_d5225 		uh difficulty in the water , swimming . 
_d5225 		and you need some help , you need someone to help carry you . 
_d5225 		but you're not gonna have that problem cause [: because] you'll learn how to swim . 
_d5225 		there's the plow again , I see it . 
_d5225 		it's orange .
_d5225 		I also see a whole lot of school buses covered with snow . 
_d5225 		dyou [: do you] see them ? 
_d5225 		right there . 
_d5225 		all the school buses are covered with snow and they're not (.) taking the children to school . 
_d5225 		because there's too much snow ! 
_d5225 		yeah .
_d5225 		that +//.
_d5225 		mmmm+hmmm .
_d5226 		that boy is holding a teddy+bear . 
_d5226 		that's a family who is waking up and looking out at the snow . 
_d5226 		and finding out (.) that (.) it's a snow+day ! 
_d5226 		oh boy , everybody's having fun here , what's everybody doing ? 
_d5226 		you tell me , what do you see ? 
_d5226 		she is +...
_d5226 		about to throw a snowball at +...
_d5226 		that kid . 
_d5226 		a:nd that kid is throwing a snowba:ll way over there .
_d5226 		they're having a snowball fight . 
_d5226 		that means you make balls out of the snow and you throw them . 
_d5226 		snowball fight .
_d5226 		that's a game , it's kind of a game that kids play . 
_d5226 		big kids play .
_d5226 		phwack . 
_d5226 		yeah .
_d5227 		oh , did that hurt ? 
_d5227 		&aw . 
_d5227 		I see some kids building (.) a snow+man . 
_d5227 		the kid in the red jacket is making a snow+man . 
_d5227 		that's a hu:ge snowball , I think +...
_d5227 		that maybe they are building a , an igloo . 
_d5227 		out of snow . 
_d5227 		or a snow fort . 
_d5227 		I think that's she's carrying some snow to build a wall there . 
_d5227 		it's fun to build things with snow .
_d5227 		it's just a fun thing to do that's all . 
_d5227 		and I see a lot of kids who are sliding on sleds down the hill . 
_d5227 		in this picture . 
_d5227 		that sled is being pulled by a mommy . 
_d5227 		mmmm+hmmm .
_d5227 		o:h , they're going to see Tahoe on the way home ? 
_d5227 		I think you're remembering when it was winter and Mommy pulled you and the sled up the driveway and you saw Tahoe . 
_d5227 		was she barking ? 
_d5227 		yeah .
_d5227 		she was a young dog then . 
_d5227 		dyou [: do you] know that bird sound right now ? 
_d5227 		those are morning doves . 
_d5227 		listen again . 
_d5227 		yep [: yes] .
_d5227 		they'll probably make another noise in just a minute . 
_d5227 		there ! 
_d5227 		those are morning doves .
_d5227 		yeah . 
_d5227 		we'll probably hear it again .
_d5227 		let's listen . 
_d5227 		hey Mommy  . 
_d5227 		oops .
_d5227 		wanna nurse now ?
_d5227 		let's listen for the morning dove again . 
_d5227 		xxx make a noise in just a second . 
_d5227 		yes .
_d5227 		I guess the morning dove (.) decided not to talk .
_d5227 		xxx she's being quiet . 
_d5227 		Daddy's [: Daddy is] downstairs making some phone calls . 
_d5227 		you do ?
_d5227 		okay . 
_d5227 		lemme [: let me] take off my microphone . 
_d5227 		turn off the microphones . 
_d5227 		I guess the morning dove went to sleep . 
_d5227 		xxx cause [: because] it's nighttime and it's bedtime . 
_d5227 		let's get up , cause [: because] I'm gonna +... 
_d5227 		gonna turn off the tape recorder , and  , you wanna [: want to] go see if you really wanna see Daddy ? 
_d5227 		you know Daddy's gonna come upstairs as soon as he's done making his phone calls . 
_d5227 		yes .
_d5227 		yes .
_d5227 		the morning doves are sleeping . 
_d5227 		yeah . 
_d5227 		they like to sleep . 
_d5227 		I like to sleep too .
_d5227 		xxx you nervous ? 
_d5227 		are you nervous about something ?
_d5227 		what are you nervous about ? 
_d5227 		o:h .
_d5227 		those morning doves are very nice birds Naima . 
_d5227 		yes I will my hands are full . 
_d5227 		yep [: yes] , yeah .
_d5227 		it's okay .
_d5227 		yep [: yes] it's okay , there's nothing  . 
_d5228 		oh is that the noise that Sleepy Bear makes ? 
_d5228 		is that how he roars ? 
_d5228 		roar ! 
_d5228 		today is July ninth and it's Wednesday . 
_d5228 		it's roar time ? 
_d5228 		it's bear time ? 
_d5228 		it's breakfast time . 
_d5228 		Mommy still has two bites of french+toast to eat . 
_d5228 		mmmm . 
_d5228 		why's the bear crying ? 
_d5228 		oh you can hide in the closet when I get dressed . 
_d5228 		want some of Mommy's banana ? 
_d5228 		it's a flying banana ! 
_d5228 		it's a flying banana ! 
_d5228 		no ? 
_d5228 		swish ! 
_d5228 		you don't wanna eat it ? 
_d5228 		no , it wants to be eaten . 
_d5228 		yum     ! 
_d5228 		okay .
_d5228 		okay .
_d5228 		okay . 
_d5228 		Baby_Bear . 
_d5228 		where are we going this morning , do you remember ? 
_d5228 		well we're going to  and  house and  and  should be there too I think . 
_d5228 		it's our new play group . 
_d5228 		bye Daddy .
_d5228 		bye .
_d5228 		did you say bye to Daddy ? 
_d5228 		he wasn't at work when he was going that way ? 
_d5228 		that's right . 
_d5228 		see ya [: you] later guys ! 
_d5228 		have a good day , don't drink too much coffee ! 
_d5228 		have fun ! 
_d5228 		that was a joke ! 
_d5228 		well , sort of a joke . 
_d5228 		sort of a joke . 
_d5228 		do you wanna watch him drive away in his new car ? 
_d5228 		sort of a joke .
_d5228 		I don't think +... 
_d5228 		sort of a joke .
_d5228 		sort of . 
_d5228 		you can see his new car , you've never watched him drive away in his new car . 
_d5228 		you've only watched him drive away in his old car . 
_d5228 		he's waving to you ! 
_d5228 		(be)cause he's waving bye+bye ! 
_d5229 		baddy , baddy , baddy , baddy ? 
_d5229 		is that his name ? 
_d5229 		oh , that's his new car . 
_d5229 		he's driving his new car away . 
_d5229 		it sounds different , doesn't it ? 
_d5229 		it has a different noise than the old car . 
_d5230 		bye+bye Daddy with his new car ! 
_d5230 		what this ? 
_d5230 		or this ? 
_d5230 		or this ? 
_d5230 		oh this ? 
_d5230 		that's a clothes+pin . 
_d5230 		it's a special kind of magnet clothes+pin . 
_d5230 		did you like using clothes+pins this morning ? 
_d5230 		that was fun . 
_d5230 		we could actually bring a few to   and , I mean rather to  +... 
_d5230 		xxx and  house this morning so you can keep practicing . 
_d5230 		would you like to do that ? 
_d5230 		we could bring some doll clothes and you could hang them . 
_d5230 		mmmm+hmmm +...
_d5231 		you wanna see what his toys look like ? 
_d5231 		yeah , he might have some interesting toys . 
_d5231 		he's a little toddler but he still might have some toys that are fun to play with , but I do think we should bring our own toys . 
_d5231 		well , because I don't know for sure if his toys are gonna [: going to] be fun to play with because he's littler than you . 
_d5231 		because he is sixteen months old ! 
_d5231 		and you are , how many months are you now ? 
_d5231 		let's see , is this June , July ? 
_d5231 		March , April , May , June , July +... 
_d5231 		four months +...
_d5231 		so , sixteen weeks plus twenty +... 
_d5231 		no , twenty+four months plus four +...
_d5231 		you're twenty , almost twenty+eight months old and  is sixteen months old . 
_d5231 		I'm gonna +//.
_d5232 		I'm gonna bring some grapes to play+group . 
_d5232 		oh that would be very interesting , I wonder what his high+chair looks like . 
_d5232 		well , we're not going to  house . 
_d5232 		xxx and  and  are probably going to come to  house just like we are . 
_d5232 		we're going to  and  house . 
_d5232 		yeah , we could ask  to show us . 
_d5232 		we could ask  to show us . 
_d5232 		where we used to go . 
_d5232 		to listen to stories . 
_d5232 		remember  who used to be there , the librarian ? 
_d5232 		do you remember her ? 
_d5232 		she used to sing welcome welcome everyone , now you're here we'll have some fun ! 
_d5232 		xxx used to be in that story group . 
_d5232 		library group . 
_d5232 		remember that ? 
_d5232 		yeah , when you were a littler , but you weren't really , well you were a baby when you started +... 
_d5232 		but then you were a little toddler when we still used to go there . 
_d5232 		you used to do trot+trot to Boston , trot+trot to  , you better watch out or you might fall in ! 
_d5232 		remember doing that ? 
_d5232 		at the library .
_d5232 		and you used to do it with  sometimes too . 
_d5232 		let's see +... 
_d5232 		and who else was in that library group , do you remember the other +... 
_d5232 		when you were a bigger toddler ? 
_d5232 		or when you were a little toddler ? 
_d5232 		you're a big toddler now . 
_d5232 		well +... 
_d5232 		you did go to a toddler group after we stopped going to that library group . 
_d5232 		where Jane used to come and read stories and then there was a craft . 
_d5232 		you did that a couple of times . 
_d5232 		there were a lot of children there , do you remember ? 
_d5232 		I don't remember , we only went to that twice I think . 
_d5232 		so I didn't really learn their names . 
_d5232 		if we have time we could go to the South Yarmouth Library after our play group and see if they have the Bear Family book and check it out . 
_d5232 		would you like to do that ? 
_d5232 		I thought so . 
_d5232 		is Waldo the Grandpa bear ? 
_d5232 		maybe you're right . 
_d5232 		I thought he was , I thought he was Uncle Waldo . 
_d5232 		you want some more grape ? 
_d5232 		with a towel ? 
_d5232 		do you think bears use towels ? 
_d5232 		I think they might just shake themselves off likes dogs do . 
_d5232 		(be)cause it's easier than having to have a towel . 
_d5232 		they do what ? 
_d5232 		what do bears do ? 
_d5232 		bear potties ? 
_d5232 		bear parties ? 
_d5232 		or bear potties ? 
_d5232 		which ? 
_d5232 		bear parties ? 
_d5232 		bear potties ? 
_d5232 		oh . 
_d5232 		bears actually don't use potties at all , do they ? 
_d5232 		they just poop in the forest . 
_d5232 		and the baby bear poops in the forest too . 
_d5232 		or in the meadow . 
_d5232 		(be)cause animals don't +...
_d5232 		animals don't use potties , except cats who live in the house use  cat potties . 
_d5232 		yup [: yes] . 
_d5232 		umm I don't think that animals do , that's a rule for people . 
_d5232 		that they need to wash their hands when they poop or pee . 
_d5232 		after they poop or pee . 
_d5232 		well animals don't usually do that , although cats and some animals do clean themselves up after they poop or pee in the potty . 
_d5232 		I am looking for +... 
_d5232 		oh there's pictures of pee+pee and poop in that , animal pee+pee and poop . 
_d5232 		well you tell me , what do oops +... 
_d5232 		something came tumbling out of the freezer (be)cause our freezer has so much junk in it . 
_d5232 		I might pack some other lunch things for you because if we have lunch with Daddy then we'll need to have more stuff . 
_d5232 		you spilled some milk just now ? 
_d5232 		oh okay , that's not a big deal . 
_d5232 		I'm not worried about it . 
_d5232 		I'm gonna clean it up anyway . 
_d5232 		this cheese that I'm gonna pack up for +... 
_d5232 		no not for  , for you to eat either at snack+time or lunch+time . 
_d5232 		what do you mean no ? 
_d5232 		cheddar+cheese . 
_d5232 		which you like . 
_d5232 		it's called cheddar+cheese . 
_d5232 		it is sharp cheddar+cheese . 
_d5232 		it's organic sharp cheddar+cheese . 
_d5232 		it is organic . 
_d5232 		it's for you to eat at lunch+time or snack+time . 
_d5232 		you don't have_to , I'll eat it if you don't eat it . 
_d5232 		somebody else , who else ? 
_d5232 		what friends are we gonna see in our play+group ? 
_d5232 		xxx and their Mommy  and +... 
_d5232 		xxx . 
_d5232 		right . 
_d5232 		(be)cause that's where the play+group is going to meet today . 
_d5232 		we have_to pick out some toys to bring I think . 
_d5232 		oh thank you for reminding me I almost forgot that I had that . 
_d5232 		we do have_to bring that . 
_d5232 		oh , is that what you're doing ? 
_d5232 		oh .
_d5232 		I think you're ready to get out of the chair now , aren't you ? 
_d5232 		well , I don't really like having ants in my kitchen . 
_d5232 		well I just don't . 
_d5232 		I don't like having insects in my kitchen very much . 
_d5232 		well a kitchen is a place that needs to be kept clean and most insects are not very clean . 
_d5232 		okay sweetie+pie girl . 
_d5232 		oh okay , sweetie+bear . 
_d5232 		something bad ? 
_d5232 		you mean the butter ? 
_d5232 		does the butter taste bad to you ? 
_d5232 		oh , sorry to hear that . 
_d5232 		oh , thank you for reminding me again . 
_d5232 		I know I was gonna forget that . 
_d5232 		let's see +...
_d5232 		are you gonna ask him to show it to you ? 
_d5232 		you're gonna ask his mommy ? 
_d5232 		mmmm (o)kay , I think we'll start this up again later that was just seventeen minutes on Wednesday , July ninth . 
_d5232 		oh I think there is a picture where there are children at a play+ground . 
_d5232 		is it the top first picture ? 
_d5232 		I think it's that first picture right there . 
_d5232 		are they at a play+ground ? 
_d5232 		looks like they're on a , they're playing on swings . 
_d5232 		what else are those children doing ? 
_d5232 		should we add some words to these books ? 
_d5232 		we could write some words . 
_d5232 		oh , do you remember who made these books ? 
_d5232 		yes , we did . 
_d5232 		why are they home+made books ? 
_d5232 		(be)cause we made them at home . 
_d5232 		we need to snap these . 
_d5232 		get these snapped . 
_d5232 		is that in your way ? 
_d5232 		let me adjust it a little for you . 
_d5232 		well I'd kinda [: kind of] like to leave it on you for just a little while while we're taping . 
_d5232 		recording . 
_d5232 		let's keep lookin(g) at the books . 
_d5232 		what do we see here ? 
_d5232 		should we write the names of these animals in the book ? 
_d5232 		I guess we need either a crayon or a magic marker to do that . 
_d5232 		you wanna learn how to write ? 
_d5232 		because why ? 
_d5232 		oh , you don't ? 
_d5232 		I see . 
_d5232 		let's see if I can get this off . 
_d5232 		a boogie+board ? 
_d5232 		was there a girl with a boogie+board at the beach ? 
_d5232 		I thought we were gonna go get magic markers so that we could write words in those books that we made yesterday . 
_d5232 		you're gonna learn how to write , okay ! 
_d5232 		okay . 
_d5232 		okay .
_d5232 		I see with the magic marker , okay .
_d5232 		uhh ,  let's get the magic marker . 
_d5232 		you know we could use crayons . 
