_d4491 		oh there's that siren noise . 
_d4494 		is there is there a person in that airplane ? 
_d4494 		yeah it's got stuck didn't it .
_d4494 		just need your hand for a second . 
_d4494 		what happened to the airplane did the airplane go shopping to buy yogurt ? 
_d4494 		buy cottage cheese . 
_d4494 		airplane  hey there are balls under this couch too . 
_d4494 		balls were under the sofa . 
_d4494 		I don't know where did it go . 
_d4494 		there it is . 
_d4494 		I have_to get the ball okay .
_d4494 		hey here are the animal cards . 
_d4494 		but I don't I think the armadillo's [: armadillo is] somewhere else you were so focused on the armadillo . 
_d4494 		yeah who's here let's see what animals are here . 
_d4494 		I think the armadillo is lost because we +//.
_d4494 		actually I think it's in Mommy and Daddy's room but let's see what else is here what other animals are here . 
_d4494 		ants yep [: yes] . 
_d4494 		I don't know . 
_d4494 		playing games with the armadillo ? 
_d4494 		yeah . 
_d4494 		what's that ? 
_d4494 		ants are hiding ,  what's that animal ?
_d4494 		do you remember ?
_d4494 		well actually it's a porcupine but it looks a little bit like a raccoon . 
_d4494 		porcupine . 
_d4494 		porcupines live in forests porcupine .
_d4494 		you're sitting on your slide . 
_d4494 		and what's that ? 
_d4494 		it is an animal that bellows . 
_d4494 		walrus they live in the ocean . 
_d4494 		you're sliding on your slide .
_d4494 		are you gonna slide down ?
_d4494 		wee . 
_d4494 		we  .
_d4494 		the guy's gonna slide down too . 
_d4494 		does the guy like to slide down ? 
_d4494 		whoa . 
_d4494 		on his tummy  . 
_d4494 		boxes little boxes . 
_d4494 		there's a red one and a blue one . 
_d4494 		and they're all made out of ticky tacky . 
_d4494 		what was that ?
_d4494 		it's so windy out can you hear that wind ? 
_d4494 		it is so windy .
_d4494 		the wood block . 
_d4494 		red block . 
_d4494 		that's a triangle block isn't it ? 
_d4494 		are there shapes in +//.
_d4494 		I think there are shapes in here . 
_d4494 		can you show me which shape is the triangle ? 
_d4494 		where's the triangle ? 
_d4494 		yeah that's right . 
_d4494 		what's that ? 
_d4494 		yeah that's a star . 
_d4494 		that's the moon or a crescent . 
_d4494 		which that's a rectangle . 
_d4494 		that's a heart . 
_d4494 		that's a an oval . 
_d4494 		where's the circle ? 
_d4494 		do you see any circles here ? 
_d4494 		where's the circle on this page ? 
_d4494 		there's the circle . 
_d4494 		do you see any squares ? 
_d4494 		yeah that's a square . 
_d4494 		that's looks like a square but it's actually a diamond . 
_d4494 		it's a diamond . 
_d4494 		ya ya ya ya ya bouncing on Mommy my+goodness what are you doing . 
_d4494 		yeah  you're really bouncing . 
_d4494 		whoa . 
_d4494 		and then you're fallin(g) down .
_d4494 		whoa  .
_d4494 		yeah that's a picture of Daddy . 
_d4494 		what ? 
_d4494 		show me again . 
_d4494 		Daddy and who is he with ? 
_d4494 		who is he with ? 
_d4494 		yeah Daddy is standing next to Babajee in that picture . 
_d4494 		you can have it . 
_d4494 		where's the picture of Laura I think that's there we go . 
_d4494 		who's that person ? 
_d4494 		who's that person ? 
_d4494 		yes great grandma . 
_d4494 		who's that who's that ? 
_d4494 		who's that ? 
_d4494 		yeah . 
_d4494 		Daddy yeah . 
_d4494 		in that picture he's just standing . 
_d4494 		oop(s) you stepped on the siren . 
_d4494 		xxx . 
_d4494 		you're sitting on the siren oh+my+goodness . 
_d4494 		where's the alphabet ? 
_d4494 		it's the letter V . 
_d4494 		and that game with the balls where that goes is also in your bedroom . 
_d4494 		I think I'm gonna take all the books and put them allin Naima's room . 
_d4494 		can we do that , let's collect all the books into a pile . 
_d4494 		and take them into Naima's room are there more books over here ? 
_d4494 		uh+oh ball . 
_d4494 		well I'm not gonna play that getting the ball game right this minute and here's Naima's tea .
_d4494 		right here . 
_d4494 		oh  . 
_d4494 		did the chicken jump on top of the letters ? 
_d4494 		that's a jumping chicken . 
_d4494 		oh we have some library books here these are library books let's leave these here . 
_d4494 		those books up there belong to the library and we have_to return them . 
_d4494 		that's not broken . 
_d4494 		I'm gonna take all the books up into your room okay ? 
_d4494 		let's go take these can you carry that goodnight book ? 
_d4494 		right here . 
_d4494 		right here this is the goodnight book . 
_d4494 		let's take all the books into your room . 
_d4494 		are you gonna carry that book for me ? 
_d4494 		where's the goodnight book Naima . 
_d4494 		can you +...
_d4494 		can you bring it it's over there . 
_d4494 		are you gonna bring your cards  . 
_d4494 		you can bring the cards that's fine . 
_d4494 		we gonna take these all into your room and put them in the book case where is Naima ? 
_d4494 		okay .
_d4494 		Mommy's right here .
_d4494 		Mommy's [: Mommy is] putting books in your book case . 
_d4494 		that's what I'm doing . 
_d4494 		these are Mommy's books . 
_d4494 		we're gonna bring those into Mommy and Daddy's room . 
_d4494 		that is the jaguar . 
_d4494 		the jaguar in that picture is standing on a tree standing on a tree . 
_d4494 		is that what you're doing are you pretending to stand on a tree ? 
_d4494 		look at all these cards wow . 
_d4495 		corduroy book here's corduroy right there . 
_d4495 		I don't know you're gonna hafta find the jaguar . 
_d4495 		that is a pig . 
_d4495 		well I don't know what the pig's name is . 
_d4495 		where did the jaguar go I don't know you'll have_to look for the jaguar . 
_d4495 		oh jaguar where are you you just had him a minute ago . 
_d4495 		there here here he is . 
_d4495 		that's a jaguar . 
_d4495 		right there that's the jaguar . 
_d4495 		you're breaking the cards I wouldn't do that I don't think that's such a good idea . 
_d4495 		are those the ants ? 
_d4495 		oh yeah . 
_d4495 		that's the pig . 
_d4495 		yeah those are koalas right .
_d4495 		is that what a koala says ? 
_d4495 		what does a  I have no idea what a kookaburra says . 
_d4495 		we'll hafta +...
_d4495 		we can ask Mark what a kookaburra says . 
_d4495 		maybe a kookaburra says let's have tea . 
_d4495 		oh the library books I left them in the living room so that we can remember to take back and return them . 
_d4495 		xxx . 
_d4495 		oh  . 
_d4495 		going this room well these are the +... 
_d4495 		hello . 
_d4495 		
_d4495 		
_d4495 		not a holiday for you ? 
_d4495 		
_d4495 		
_d4496 		no idea shoulda let me know come on in . 
_d4496 		
_d4496 		it's actually easier (be)cause I don't wanna go down with her +... 
_d4496 		
_d4496 		if you come in this way and go down .
_d4496 		
_d4497 		okay . 
_d4497 		
_d4497 		yeah that's fine .
_d4497 		
_d4497 		good morning .
_d4497 		
_d4497 		
_d4497 		xxx I had no idea .
_d4497 		
_d4497 		sure .
_d4497 		
_d4497 		okay .
_d4498 		they have hats he has a hat . 
_d4498 		you saw Peter yeah . 
_d4498 		he said hi to you . 
_d4498 		he did say hi didn't he . 
_d4498 		yeah . 
_d4498 		okay .
_d4498 		I think we're gonna have_to stop recording actually . 
_d4498 		it's all+right it's all+right .
_d4498 		yeah I'm gonna  .
_d4499 		is spot drawing something ? 
_d4499 		spot is drawing . 
_d4499 		yeah yeah let's read that book (be)cause I wanna [: want to] count it looks like there's numbers in that book . 
_d4499 		not quite done yet .
_d4499 		there . 
_d4499 		let's go over here and read this book . 
_d4499 		little dog laughed to see such sport and the +...
_d4499 		little dog laughed to see such sport . 
_d4499 		dish ran away with the spoon  . 
_d4499 		okay .
_d4499 		I'm gonna put this off for a minute . 
_d4499 		where's the armadillo ? 
_d4499 		did you hide him again ? 
_d4499 		here's the armadillo . 
_d4499 		do you wanna read this spot book ?
_d4500 		what's that ? 
_d4500 		yeah what's he doing ? 
_d4500 		there's one son .
_d4500 		I see the armadillo . 
_d4500 		where's the grasshopper ? 
_d4500 		grasshopper . 
_d4500 		yes that's the grasshopper . 
_d4500 		where's the where (a)re the ants ? 
_d4500 		where are the ants ? 
_d4500 		what else is in those cards what other +//? 
_d4500 		yeah there's a panda bear . 
_d4500 		what is that panda bear doing ? 
_d4500 		standing eating bamboo . 
_d4500 		yummy . 
_d4500 		where's the armadillo ? 
_d4500 		xxx hiding behind the panda . 
_d4500 		where did the armadillo go ? 
_d4500 		is that the armadillo ? 
_d4500 		is he hiding behind the panda ? 
_d4500 		well I don't know but I see a fox here . 
_d4500 		fox is right here the fox is hiding behind the grasshoppers . 
_d4500 		fox . 
_d4500 		Eliza ? 
_d4500 		what ? 
_d4500 		you're mixing up the song with the game with the cards . 
_d4500 		the song is Eliza Jane . 
_d4500 		where did the armadillo go ? 
_d4500 		ahh here's the armadillo right here . 
_d4500 		there's there's her tail . 
_d4500 		she has a tail . 
_d4500 		it might be Daddy . 
_d4500 		but we already talked to Daddy once so I'm not sure it's Daddy . 
_d4500 		hello ? 
_d4500 		hello ? 
_d4500 		oh God . 
_d4500 		ah: .
_d4500 		stupid prerecorded +/.
_d4500 		where did the armadillo go ?
_d4500 		is that armadillo hiding again ? 
_d4500 		she's always hiding somewhere . 
_d4500 		I can never find her .
_d4500 		she hides she likes to +...
_d4500 		where ? 
_d4500 		over there ?
_d4500 		oh there she is . 
_d4500 		where's her where is she ? 
_d4500 		did she go to the bathroom ? 
_d4500 		did the armadillo go to the bathroom ? 
_d4500 		xxx there she is . 
_d4500 		there's the armadillo . 
_d4500 		armadillo_b armadillo_a . 
_d4500 		oh there's the panda . 
_d4500 		xxx panda doing ? 
_d4500 		there's the armadillo she's right there . 
_d4501 		I don't know where is the armadillo ? 
_d4501 		what's the top doing there ? 
_d4501 		what're the grapes doing there ? 
_d4501 		oh it's a person . 
_d4501 		the person is the person you use for playing the odd game and here's another person . 
_d4501 		Daddy called it the odd game . 
_d4501 		are these grapes ?
_d4501 		I'm throwing them up in the air and then I'm catching them . 
_d4501 		again . 
_d4501 		throwing up .
_d4501 		throwing up . 
_d4501 		throwing the grapes up in the air .
_d4501 		up in the air .
_d4501 		up in the air .
_d4501 		throwing the  grapes up in the air .
_d4501 		yes you hit the bug with those grapes .
_d4502 		I don't know where the armadillo went . 
_d4502 		where did the armadillo go ? 
_d4502 		I'm busy counting these .
_d4502 		one two three four five six seven eight . 
_d4502 		they're eight sticks there  . 
_d4502 		is she hiding ? 
_d4502 		is she hiding from me ? 
_d4502 		xxx .
_d4502 		there she is . 
_d4502 		Naima what did we do today who did we go and see ? 
_d4502 		Cindy and who else did we see ? 
_d4502 		xxx and who else was there ?
_d4502 		yep [: yes] .
_d4502 		and was there a man ? 
_d4502 		yes it was  Daddy was also there for a little bit . 
_d4502 		did we did we ride our bicycles there ? 
_d4502 		did we ride our bicycles to  house ? 
_d4502 		no what did we do how did we get there ?
_d4502 		how did we get how did we get to  house ?
_d4502 		how did we get to  house ? 
_d4502 		oh we brought our dinosaurs there did you share with him ? 
_d4502 		you shared them with him .
_d4503 		I think that lid goes on that container over there . 
_d4503 		do you think so ?
_d4503 		this one it's the same color . 
_d4503 		you know how to put it on yourself you just put it on . 
_d4503 		good job . 
_d4503 		you put that on all by yourself . 
_d4503 		ahh this is a wheel .
_d4504 		I'm gonna take all the things that make musical noises and put them in one spot . 
_d4504 		all the rattles .
_d4504 		you slipped on the cards all the rattles and the shaky egg and this star fish is kind of a rattle too then I'm gonna put all the animals that move around in another spot . 
_d4504 		oh here she is she was hiding Naima . 
_d4504 		where did she go ? 
_d4504 		there she is . 
_d4504 		you want me to get the armadillo ?
_d4504 		here she is . 
_d4504 		what's that you have what's that what is that ? 
_d4504 		thank you . 
_d4504 		I think I will fold this ribbons and put them in the container . 
_d4504 		you wanna have them ? 
_d4504 		this one is very soft (.) and silky  . 
_d4504 		you're putting a ribbon on you head .
_d4504 		shaky egg's [: egg is] over here see the blue shaky egg is right there . 
_d4504 		where did the armadillo go ? 
_d4504 		there she is I think I'm gonna put this blocks in with the other blocks . 
_d4504 		hmmm you're getting even more teeth Naima getting more teeth you already just got two new ones . 
_d4504 		oops sorry that must koalas koalas aren't bears are they . 
_d4504 		we learn that in that book about bears the we returned to the library . 
_d4504 		at the library because we returned them already . 
_d4504 		well the library's not open right now . 
_d4504 		I'm gonna put this blocks with the other blocks now .
_d4504 		I'll be right back . 
_d4505 		what ? 
_d4505 		there's a lego .
_d4505 		where's the lego ? 
_d4505 		where did the armadillo willo go ? 
_d4505 		yes . 
_d4505 		I don't   there she is look . 
_d4505 		there she is and there is the spider hello spider I don't think that's good to eat is it ? 
_d4505 		you have the spider in your hand . 
_d4505 		where did the airplane go ? 
_d4505 		I don't know I was wondering where the airplane went . 
_d4505 		if you're happy and you know it clap your hands .
_d4505 		if you're happy and you know it clap your hands .
_d4505 		if you're happy and you know it and you really wanna show it .
_d4506 		if you're happy and you know it jump up and down . 
_d4506 		if you're happy and you know it touch you nose . 
_d4506 		if you're happy and you know it +//.
_d4506 		okay you're dancing very nicely too . 
_d4506 		we'll put Liza on just a minute . 
_d4506 		koalas aren't bears . 
_d4506 		but koalas do live in trees . 
_d4506 		they do like to spend a lot of time in trees . 
_d4506 		koala are marsupials . 
_d4506 		marsupials . 
_d4506 		kangaroos are marsupials .
_d4506 		and I think lemurs are marsupials . 
_d4506 		lemurs lemurs were in that same book we've returned to library already . 
_d4506 		marsupials . 
_d4506 		yeah . 
_d4506 		cassowary cassowary crocodile crocodile cassowary cassowary .
_d4506 		cassowary .
_d4506 		cassowary did you hear the word cassowary ? 
_d4506 		mmmm you have the armadillo card .
_d4506 		I have the koalas right here . 
_d4506 		here's the koala picture . 
_d4506 		you wanna take it ? 
_d4506 		you can take the armadillo .
_d4506 		I'm just gonna turn the music down a little bit .
_d4506 		you wanna hear Eliza again ?
_d4506 		I'm just put it down down very low . 
_d4506 		where's that armadillo ?
_d4506 		today's Tuesday I think it's the fifteenth of October .
_d4506 		there's the armadillo . 
_d4506 		I'm gonna be putting the toys away and the cards and the wallet  I'm gonna put things in your wallet Naima .
_d4507 		are you gonna put the koala in there ? 
_d4507 		what a great idea . 
_d4507 		oh it fits too . 
_d4507 		the koala fits in your wallet . 
_d4507 		hay .
_d4507 		are you dancing ? 
_d4507 		what is this song about what are they talking about ? 
_d4507 		boomshakalaka  (boomshaka)laka what are the words here ? 
_d4507 		streets go up and go down . 
_d4507 		I don't know where the armadillo is . 
_d4507 		xxx way over there ? 
_d4507 		oh dear .
_d4507 		get the armadillo okay . 
_d4507 		east or west . 
_d4507 		west the taxi cab is the best +... 
_d4507 		riding east or west . 
_d4507 		bouncing on the bus take a ride with us . 
_d4507 		what's that ? 
_d4507 		oh good piece of brick . 
_d4507 		boom boom boom yeah it's from the fireplace . 
_d4507 		we'll talk to Daddy about fixing that I think . 
_d4507 		meanwhile let's put this here . 
_d4507 		here's the armadillo Naima . 
_d4507 		a brick . 
_d4507 		it's piece of brick . 
_d4507 		yeah you gave it to me thank you that was the right thing to do . 
_d4507 		oh you know what that juice is from last night let me get you your water okay ? 
_d4507 		hey can we put the dinosaurs back ? 
_d4507 		yeah that's what I meant I meant playing with the dinosaurs .
_d4508 		what ? 
_d4508 		you know who's coming home today ? 
_d4508 		who's coming home today ? 
_d4508 		do you know who's coming home today ? 
_d4508 		yes . 
_d4508 		he is he is coming home today . 
_d4508 		let's put these away . 
_d4508 		he's gonna see you and say hi boo boo . 
_d4508 		yes the dinosaurs go there . 
_d4508 		are you ?
_d4508 		brachiosaurus ? 
_d4508 		um  I don't know that's a good question where is the brachiosaurus ? 
_d4508 		missing . 
_d4508 		I see the brachiosaurus over here .
_d4508 		what did you remember what  called this dinosaur ? 
_d4508 		he thought it looked like a goose because of the neck . 
_d4508 		xxx called it the goose . 
_d4508 		Daddy's [: Daddy is] gonna play with you when gets home today . 
_d4508 		oh you right . 
_d4508 		okay let's do it together can you help here you do it too there who's that ? 
_d4508 		who's he ? 
_d4508 		it might be a she that's right Mommy said it might be a she .
_d4508 		who what's what's the name of that dinosaur though ? 
_d4508 		do you remember ? 
_d4508 		tyrannosaurus+rex ? 
_d4508 		rex . 
_d4508 		don't forget him or her . 
_d4508 		it might be a she . 
_d4508 		yes I'm spinning the bead . 
_d4508 		oh which one are we doing it together tyrannosaurus+rex okay . 
_d4508 		let's hold it . 
_d4508 		it might be a she you wanna hold it with me there . 
_d4508 		you're taking him out ? 
_d4508 		oh we didn't forget we're just leaving him out I guess . 
_d4508 		he's upside down yes that's right you wanna turn him upside down so that he's right side up . 
_d4508 		oh I didn't mean that way I'm sorry I meant like this so that his head goes in this spot . 
_d4508 		his head goes there . 
_d4508 		oh triceratops goes right there that's right triceratops . 
_d4508 		triceratops . 
_d4508 		I +//.
_d4508 		I think we didn't forget him .
_d4508 		one more hey you did it Naima good job . 
_d4508 		brachiosaurus rex ? 
_d4508 		Mama is putting the toys away actually . 
_d4508 		I don't know where armadillo willo is but here's another dinosaur who got lost he was lost over there . 
_d4508 		where did he go can you put find him right place for him . 
_d4508 		where does he go ?
_d4508 		he goes right there . 
_d4508 		oh the pteradon goes there .
_d4508 		remember we couldn't find the pteradon when we were leaving  house we left the pteradon at  house there's a dinosaur over there though . 
_d4508 		I think that's the spinosaurus upside down right there near the water . 
_d4508 		where's the spinosaur(us) , where do you think he goes ? 
_d4508 		maybe let see let's look at him . 
_d4508 		I think maybe it goes up here .
_d4508 		mmmm+hmmm . 
_d4508 		we go we go up there and here's another dinosaur . 
_d4509 		and nobody's turned on , let's turn you on . 
_d4509 		baby is f+one . 
_d4509 		Mommy is f+two . 
_d4509 		a baby_a . 
_d4509 		oh , baby's battery is dead . 
_d4509 		that's what's going on , okay . 
_d4509 		okie+dokie . 
_d4509 		let's give baby a new battery . 
_d4509 		battery . 
_d4509 		okay , where are the batteries ? 
_d4509 		baby needs a new +...
_d4509 		getting a fresh battery . 
_d4509 		more food ?
_d4509 		okay . 
_d4509 		okay , be do be do be . 
_d4509 		Mommy can't get that +...
_d4509 		thing closed . 
_d4509 		yes honey ?
_d4509 		what ? 
_d4509 		what d'ya [: did you] say there ? 
_d4509 		oh , that looks like a toy doesn't it , it's not a toy . 
_d4509 		it's not a toy .
_d4509 		xxx . 
_d4509 		now +... 
_d4509 		this one baby . 
_d4509 		all+right .
_d4509 		yes baby ? 
_d4509 		look , you have some rice there . 
_d4509 		rice , rice , rice . 
_d4509 		rice , rice , rice , the baby's eating rice . 
_d4509 		rice , rice , rice now . 
_d4509 		xxx Mommy is f+two . 
_d4509 		all+righty . 
_d4509 		where's the witch ? 
_d4509 		let's see . 
_d4509 		where's the witch ? 
_d4509 		oh , you're right !
_d4509 		that's the witch . 
_d4509 		I just need your hand for a second . 
_d4509 		the +//.
_d4509 		you know what , there's more than one witch in there . 
_d4509 		I need this hand too . 
_d4509 		there's several witches in there . 
_d4509 		did you know that ? 
_d4509 		that's a tiger . 
_d4509 		those children are dressed up like tigers for Halloween . 
_d4509 		let's look at that +...
_d4510 		name ? 
_d4510 		that's the witch . 
_d4510 		find the bee , okay let's sit down here and look at that . 
_d4510 		I will find the bee for you . 
_d4510 		let me see +//.
_d4510 		that's a witch too ! 
_d4510 		here , sit down , let's look at this . 
_d4510 		what's that ? 
_d4510 		that's a puppy dog , that's a child dressed up like a puppy dog for Halloween . 
_d4510 		that's a spider+witch . 
_d4510 		she's dressed up like a spanish dancer , I think they mean a flamenco dancer . 
_d4510 		a flamenco dancer . 
_d4510 		that boy is dressed up like a bandit ! 
_d4510 		she's a witch . 
_d4510 		what else is here ? 
_d4510 		oh , there's the musketeer ! 
_d4510 		xxx . 
_d4510 		you were looking for him . 
_d4510 		what is it ? 
_d4510 		right . 
_d4510 		that kid ?
_d4510 		that's sort of like a clown . 
_d4510 		that kid's dressed up like a clown +... 
_d4510 		for Halloween . 
_d4510 		he's dressed up like a gangster . 
_d4510 		she is a +... 
_d4510 		that dress is called a kimono . 
_d4510 		you mean what is that called ? 
_d4510 		with lots_of spots .
_d4511 		she's a villainess +//. 
_d4511 		oh I see , she's supposed to be Glenn Close . 
_d4511 		xxx what else is here +//? 
_d4511 		there's another witch !
_d4511 		you see that witch , she's got a big hat , that witch . 
_d4511 		can I see it , I can't see it too well . 
_d4511 		what is that baby dressed like ? 
_d4511 		dressed like . 
_d4511 		that baby is dressed up like a pumpkin . 
_d4511 		a pumpkin ! 
_d4511 		that's a picture of a pumpkin . 
_d4511 		that's a kid wearing a funny black hat . 
_d4511 		that child is dressed up like a cat . 
_d4511 		a black cat . 
_d4511 		oh , did you tell Daddy about where we went yesterday in the escalator ? 
_d4511 		tell Daddy about the escalator . 
_d4511 		we went up the escalator at the store just like Corduroy [?] . 
_d4511 		and what did we find up there ? 
_d4511 		beds ! 
_d4511 		beds !
_d4511 		lots_of little beds , just like in the Corduroy story . 
_d4511 		lots_of beds . 
_d4511 		wow . 
_d4511 		was this in the mall ? 
