_t4 		this is later the same day the twenty+ninth . 
_t4 		look who's comi:ng , take it steady +//.
_t4 		she's having a party for her friends . 
_t4 		where did we go today , dyou [: do you] remember ?
_t4 		did we go somewhere in the car ? 
_t4 		you remember where . 
_t4 		we had fun . 
_t4 		well , we went to the ho:spital . 
_t4 		what did we see there . 
_t4 		dyou [: do you] remember ? 
_t4 		a mobile , yeah .
_t4 		what else did we see there ?
_t4 		or who did we see there .
_t4 		who was there +//.
_t4 		we did eat there .
_t4 		we ate +//.
_t4 		where did we eat in the hospital ?
_t4 		you did drink juice there .
_t4 		with a stra:w , yea:h [: yes] !
_t4 		and we saw Daddy there .
_t4 		yea:h [: yes] you drank , you drank juice with a straw , at the hospital in the doctor's lounge .
_t4 		right ? 
_t4 		mmmm+hmmm .
_t4 		the mobile was in the sky , near the stairs .
_t4 		mmmm , you walked up those stairs by yourself ? 
_t4 		mmmm , and yep [: yes] , and you also walked up +... 
_t4 		with Daddy . 
_t4 		oh you were eating your lunch . 
_t4 		you were eati:ng +... 
_t4 		what were you eating ?
_t4 		yeah , oops , I think it's time to change a diaper . 
_t4 		I feel +//.
_t4 		change yer [: your] nursies ?
_t4 		same to you ,  .
_t4 		I'm all wet cause [: because] I didn't put a cover on yer [: your] diaper . 
_t4 		Ma +//.
_t4 		look at Mommy's pants . 
_t4 		stand up and look . 
_t4 		it's okay .
_t4 		we can just change it all .
_t4 		we'll change your diaper and I'll change my pants too .
_t4 		there's a what ?
_t4 		xxx there's an apple in your diaper ?
_t4 		there's poop ?
_t4 		I don't think so: . 
_t4 		there's a diaper in there .
_t4 		I think it's just peepee in your diaper . 
_t4 		yeah .
_t4 		yeah .
_t4 		what's the matter , let's go change you . 
_t4 		come on .
_t4 		let's go change +//.
_t4 		let's go change your diaper and  +//.
_t4 		o:h .
_t4 		you're mad all of a sudden . 
_t4 		all+right , we'll stop this for a little while .
_t4 		just a few (.) moments (.) later . 
_t4 		plaid yeah , my pajama pants are plaid . 
_t4 		you want me to read the whole book from the beginning ? 
_t4 		okay .
_t4 		here . 
_t4 		okay , let's go  .
_t4 		okay , let's start from the beginning . 
_t4 		growing +... 
_t4 		vegetable +...
_t4 		soup .
_t4 		Dad says we are going to grow +... 
_t4 		yea:h [: yes] .
_t4 		we're ready to work , and our tools are ready too , what's on that page ?
_t4 		and a +...
_t4 		and a +...
_t4 		this is the rake .
_t4 		this is the rake . 
_t4 		this is the shovel and this is the ho:e . 
_t4 		ho:e .
_t4 		we are planting the see:ds . 
_t4 		what's Dad doing ?
_t4 		yeah .
_t4 		planting seeds . 
_t4 		and all the sprouts . 
_t4 		mmmm that's coming up and giving them +...
_t4 		water . 
_t4 		sprinkle sprinkle sprinkle sprinkle sprinkle sprinkle sprinkle +//.
_t4 		then we eat them well not quite .
_t4 		and grow into plants . 
_t4 		I see broccoli . 
_t4 		we watch over them and wee:d until the vegetables are ready for us to pick . 
_t4 		mmmm . 
_t4 		tomatoes . 
_t4 		or dig up . 
_t4 		those are potatoes and those are carrots . 
_t4 		and carry home then we wash them . 
_t4 		and cut them and put them in a pot of water . 
_t4 		and cook them into: +... 
_t4 		vegetable soup . 
_t4 		at last it's time to eat it all up . 
_t4 		there's the bowl of soup and there's the spoon . 
_t4 		it was the best soup ever and we can grow it again next year . 
_t4 		yay . 
_t4 		mmmm that's a good story .
_t4 		it is a nice book .
_t4 		where's another book ? 
_t4 		mmmm: +... 
_t4 		how bout [: about] the (.) ne:w (.) animals book . 
_t4 		yeah , let's look at that one .
_t4 		oh , I see a dalmatian . 
_t4 		xxx red , okay . 
_t4 		yeah .
_t4 		mmmm+hmmm . 
_t4 		turtle , yeah we saw turtle didn't we at the: +... 
_t4 		museum ? 
_t4 		at the children's museum , actually it was the Cape Cod museum of natural history where we saw the turtle the other day . 
_t4 		Cape Cod natural +//.
_t4 		history museum .
_t4 		yeah that's where we were . 
_t4 		yep [: yes] .
_t4 		and she took the snake out of the box didn't she . 
_t4 		that person . 
_t4 		the woman took the snake out of the box on her hand . 
_t4 		right ? 
_t4 		and then she put the snake back in .
_t4 		that was a nice snake .
_t4 		a:nd there were a couple of turtles there . 
_t4 		she put the turtle on the floor to walk . 
_t4 		xxx .
_t4 		you touched that turtle . 
_t4 		Myrtle the turtle , that was one of them . 
_t4 		actually was that the one you touched , I think , yeah , I think you touched Myrtle the turtle . 
_t4 		turtles like to live in water sometimes don't they . 
_t4 		they like water . 
_t4 		I think so .
_t4 		what else did we see there , dyou [: do you] remember ? 
_t4 		well +...
_t4 		there we:re some fish +... 
_t4 		there were some really big fish , remember , we saw them in a tank of water . 
_t4 		and there +//.
_t4 		and there were also small fish and cra:bs +...
_t4 		yes , crab had water too .
_t4 		what else ?
_t4 		dyou [: do you] remember ?
_t4 		what else do you remember ?
_t4 		what else was at the Cape Cod museum of natural history ?
_t4 		what else was there ?
_t4 		mmmm what other kinds of animals ? 
_t4 		there were some frogs .
_t4 		there we:re +...
_t4 		so:me sea urchins . 
_t4 		I touched something else , another kind of animal ?
_t4 		mmmm: +... 
_t4 		let's see , there's the turtle +...
_t4 		there's that snake +... 
_t4 		there's the other +//.
_t4 		there's two different kinds of turtles +//.
_t4 		three different kinds of turtles there . 
_t4 		there were shells . 
_t4 		and shovels , remember that table that had the sand and the +...
_t4 		shovels . 
_t4 		xxx ! 
_t4 		yeah . 
_t4 		octopus , right . 
_t4 		I touched the octopus ? 
_t4 		I don't remember touching an octopus , maybe I did . 
_t4 		hmmm . 
_t4 		oh okay .
_t4 		yeah what's in this book anyway . 
_t4 		oh , dyou [: do you] remember . 
_t4 		uh I was telling you today this is called a +//.
_t4 		a beak . 
_t4 		but on a duck it's also called something else . 
_t4 		you can call it a bill .
_t4 		on a duck you can call the beak a bill . 
_t4 		that's a duck's bill . 
_t4 		just +//.
_t4 		just like the name Bill .
_t4 		the man's name , right .
_t4 		you can call that the bill also , of the duck . 
_t4 		that's a big brown chicken . 
_t4 		hmmm .
_t4 		it says bock bock bock bock . 
_t4 		and sometimes they go   .
_t4 		yeah .
_t4 		oh we saw that big stuffed turkey at the museum too . 
_t4 		pretend turkey .
_t4 		turkeys are very very big birds . 
_t4 		xxx . 
_t4 		yeah that was a paper turkey that you made that fell out of the car . 
_t4 		I know what you're talking about .
_t4 		mmmm+hmmm .
_t4 		the paper turke:y !
_t4 		it did fall out of the car , dyou [: do you] remember where you made that ?
_t4 		where did you make it , originally ? 
_t4 		where did we +//.
_t4 		where did we get it ?
_t4 		well we made it at the play+group .
_t4 		you made it +//.
_t4 		there is a pretend car there .
_t4 		yep [: yes] .
_t4 		you pretended to wash your hands at the pretend kitchen there also .
_t4 		yeah we haven't been to the group for awhile huh . 
_t4 		yeah .
_t4 		you like to do that don't you . 
_t4 		there's no towel .
_t4 		at the sink , you mean ? 
_t4 		xxx .
_t4 		you +//. 
_t4 		you remember that , I guess that's true .
_t4 		you have a pretend stove over there on your lego table . 
_t4 		you can turn it .
_t4 		yeah that's an eagle .
_t4 		yep [: yes] .
_t4 		that's a toucan , a:nd what else +//.
_t4 		mmmm+hmmm .
_t4 		yep [: yes] .
_t4 		that's a parrot . 
_t4 		that's +//.
_t4 		that's an owl .
_t4 		what does a parrot say ? 
_t4 		Polly want a cracker ?
_t4 		xxx .
_t4 		where's the ostrich , dyou [: do you] see the ostrich ? 
_t4 		there's a picture of an ostrich here .
_t4 		which one ?
_t4 		which one is it ? 
_t4 		which bird is an ostrich ?
_t4 		we saw ostriches at the zoo . 
_t4 		when we went with  the ostriches live  next to the zebras at the zoo . 
_t4 		yeah .
_t4 		parrot . 
_t4 		yeah .
_t4 		yeah .
_t4 		we did see a polar+bear at the zoo .
_t4 		in fact . 
_t4 		we saw one polar+bear who was swimming and playing . 
_t4 		and we saw another polar+bear who was sleeping . 
_t4 		was he taking a shower ?
_t4 		in the water ?
_t4 		that was fun seeing the polar+bear .
_t4 		who has a bushy tail ? 
_t4 		yeah .
_t4 		are you hungry ? 
_t4 		okay . 
_t4 		yeah ?
_t4 		dyou [: do you] wanna eat something ?
_t4 		you wanna eat frozen blueberries ? 
_t4 		okay . 
_t4 		anything else ? 
_t4 		mmmm+hmmm .
_t4 		mmmm .
_t4 		yeah , she took the snake out of the box to show us .
_t4 		at the museum of natural history .
_t4 		snuggling up to her , sort of . 
_t4 		snuggle snake .
_t4 		snuggle snake . 
_t4 		snuggle sna:ke !
_t4 		snuggle snake !
_t4 		snuggle snake !
_t4 		snuggle snake . 
_t4 		snuggle snake , snuggle snake .
_t4 		should we get the blueberries now ?
_t4 		s:nake .
_t4 		snuggle snuggle snake .
_t4 		snuggle snake .
_t4 		snuggle snake .
_t4 		snuggle tiger ? 
_t4 		oh Isabella tiger that's a kind of butterfly isn't it .
_t4 		yeah .
_t4 		yeah .
_t4 		blue morpho is another kind of butterfly that's right .
_t4 		yeah .
_t4 		blue +//.
_t4 		blue morpho .
_t4 		should we go get the ,  frozen blueberries now ?
_t4 		oh , you're not hungry ?
_t4 		snuggle snake .
_t4 		let's see . 
_t4 		you could also eat some +...
_t4 		that's a nice name ? 
_t4 		snuggle tiger ? 
_t4 		snuggle polar+bear ?
_t4 		snuggle panda ?
_t4 		snuggle gorilla . 
_t4 		snuggle gira:ffe ? 
_t4 		snuggle giraffe , snuggle zebra . 
_t4 		snuggle snow+monkey , snuggle snow+monkey .
_t4 		what ? 
_t4 		what ? 
_t4 		snuggle polar+bear .
_t4 		xxx we did see snow+monkeys at the central park zoo also . 
_t4 		Mommy was combing the baby's hair . 
_t4 		what ? 
_t4 		oh that snow+monkey might've been the daddy snow+monkey .
_t4 		yeah that's true .
_t4 		wouldju [: would you] like so:me +... 
_t4 		hummus ?
_t4 		oh , you wanna take that off huh ? 
_t4 		you want hummus and crackers ? 
_t4 		you want some summer vegetables ?
_t4 		xxx .
_t4 		snuggle snake .
_t4 		snuggle snake . 
_t4 		snuggl:e leopard .
_t4 		snuggle Naima .
_t4 		snuggle snuggle . 
_t4 		can you show me how to snuggle ? 
_t4 		show me what +//.
_t4 		o:h . 
_t4 		mmmm that was a very nice snuggle . 
_t4 		yeah and then I kissed you . 
_t4 		you reading that one by yourself ?
_t4 		I think that book is about growing a garden . 
_t4 		I think maybe Naima and Mommy will have a garden this year . 
_t4 		and Mommy and Daddy . 
_t4 		we'll have +//.
_t4 		we'll make a garden this year outside in the dirt . 
_t4 		whadyou [: what do you] think about that ? 
_t4 		we'll plant some seeds , just like in that book . 
_t4 		then we'll sprinkle water . 
_t4 		mmmm+hmmm . 
_t4 		on the food . 
_t4 		and that little girl +...
_t4 		yeah there's a bucket of food , I see an onion in that bucket . 
_t4 		yeah there's an onion there . 
_t4 		I see broccoli ! 
_t4 		it was on the (.) previous page . 
_t4 		it is a nice book .
_t4 		oh the baby+doll goes there ? 
_t4 		hey she has a yellow dress and she's going in that yellow +... 
_t4 		blanket thing ? 
_t4 		what is that anyway ? 
_t4 		that's something to keep the doll warm I think . 
_t4 		don't get too cold outside . 
_t4 		o:h you gonna put her in there ?
_t4 		oh good . 
_t4 		mmmm . 
_t4 		now the doll's in the stroller . 
_t4 		o:h . 
_t4 		yeah she has the diaper+bag backpack . 
_t4 		a diaper's [: diaper is] in that backpack . 
_t4 		take it off ?
_t4 		okay .
_t4 		take it off her other arm . 
_t4 		okay  +//.
_t4 		here .
_t4 		here you go .
_t4 		oh you wanna get the things out ? 
_t4 		there's velcro on that diaper+bag , you can open it with the +//.
_t4 		velcro .
_t4 		you see ? 
_t4 		there , all the diapers are out now . 
_t4 		you want some help taking her suit off ?
_t4 		looks like you can probably do it . 
_t4 		here I'll help you a little bit . 
_t4 		yeah .
_t4 		now you do the other arm , take the other arm off . 
_t4 		the other sleeve . 
_t4 		okay . 
_t4 		o:h look , look look look look . 
_t4 		this way .
_t4 		now you can pull off the pants .
_t4 		pull them off +//.
_t4 		off where her clogs are .
_t4 		there .
_t4 		snuggle snake . 
_t4 		what does she have on there ?
_t4 		okay .
_t4 		snuggle snake .
_t4 		snuggle snake , snuggle snake !
_t4 		snuggle sna:ke , o:h . 
_t4 		look there's Sleepy Bear , we can see him through the monitor .
_t4 		cozy down . 
_t4 		oh what's that from ?
_t4 		cozy down +//.
_t4 		cozy down . 
_t4 		in the pocket , put the doll in the pocket ? 
_t4 		dya [: do you] want some help ?
_t4 		there . 
_t4 		there . 
_t4 		now you're putting her (.) in the stroller too ?
_t4 		snuggle snake . 
_t4 		show me a snuggle .
_t4 		mmmm: . 
_t4 		let's go find frozen blueberries to eat .
_t4 		doesn't that sound good ?
_t4 		nursies too ?
_t4 		you can have both . 
_t4 		snuggle snake .
_t4 		let's get blueberries first .
_t4 		let's get the blueberries +...
_t4 		that was quite a burp !
_t4 		you wanna nursie , okay . 
_t4 		that's called a fire  . 
_t4 		xxx for the cat , yep [: yes] . 
_t4 		mmmm+hmmm .
_t4 		dyou [: do you] know what that cat's doing ? 
_t4 		ye:s , licking her fur .
_t4 		the dog is shaking off the water . 
_t4 		did we skip any pictures ? 
_t4 		o:h . 
_t4 		what's the cat doing ?
_t4 		yea:h [: yes] . 
_t4 		he went in the pond ?
_t4 		and he got wet in the pond ? 
_t4 		dyou [: do you] think he was swimming ? 
_t4 		oh show me how you swim .
_t4 		oo:h .
_t4 		you are swimming .
_t4 		okay .
_t4 		okay , come back to Mommy .
_t4 		hi: little fish . 
_t4 		hi little fish . 
_t4 		yeah , now you're sitting down .
_t4 		that's a brown bird . 
_t4 		watching the cat ?
_t4 		mmmm .
_t4 		I think the cat was watching the bird +//.
_t4 		that cat is hiding underneath the rug ! 
_t4 		that's what's happening there I think . 
_t4 		that's the cat's bottom . 
_t4 		what is that ? 
_t4 		oh , the dog's muzzle ? 
_t4 		remember we talked about bears having muzzles ? 
_t4 		where +//.
_t4 		oh , yes , it's in the library . 
_t4 		we  +//.
_t4 		yes , we returned it .
_t4 		did we skip some pages here ?
_t4 		oh that's the Ups man . 
_t4 		he's wearing a belt . 
_t4 		see ? 
_t4 		mmmm , he likes to bury bones ?
_t4 		o:h , the cat says I am the cat .
_t4 		I don't care whether they feed me or not as long as I  fed . 
_t4 		you remember that part . 
_t4 		sometimes I tease them to feed me . 
_t4 		sure is . 
_t4 		that mouse is sneaking around . 
_t4 		while the cat and the dog are asleep . 
_t4 		well this part of , I think that's right , I think this part of a dog's face is called the muzzle . 
_t4 		or the ,  . 
_t4 		muzzle . 
_t4 		you know what , I'll look that up , muzzle , I think that's right . 
_t4 		bears have muzzles too . 
_t4 		who goes  ?
_t4 		o:h yeah . 
_t4 		I don't know where the +//.
_t4 		you wanna look through here again ? 
_t4 		there's Mommy's feet , you can see Mommy's feet in the camera . 
_t4 		I'm wearing some boots . 
_t4 		do you remember what kinds of animals have +... 
_t4 		hmmm did we review this ? 
_t4 		what kind of animals +... 
_t4 		have pouches ? 
_t4 		uh no , what kind of animals hop , we talked about this . 
_t4 		different animals hop . 
_t4 		rabbits hop .
_t4 		what other kinds of animals hop ? 
_t4 		frogs hop .
_t4 		armadillos hop ?
_t4 		maybe .
_t4 		I'm not sure if they do . 
_t4 		they don't ?
_t4 		um how about crickets ? 
_t4 		and kangaroos ? 
_t4 		a:nd anything ,  birds sometimes , some kinds of birds hop . 
_t4 		cardinals hop ?
_t4 		yes they do fly .
_t4 		and they eat seeds too .
_t4 		like that , is that how they do it ? 
_t4 		off the ground ? 
_t4 		yeah I think they do eat them off the ground .
_t4 		birds use their beaks when they're eating . 
_t4 		I think we need to go soon . 
_t4 		it's time to go to the post office .
_t4 		and then it's time to meet Daddy . 
_t4 		but first we have_to pack some food to go . 
_t4 		have you +//?
_t4 		at the hospital ? 
_t4 		she is licking her fur . 
_t4 		the kitty .
_t4 		the kitty cat is licking her fur .
_t4 		she has a toy .
_t4 		she has a fish+toy . 
_t4 		yep [: yes] .
_t4 		he's sleeping ? 
_t4 		mmmm+hmmm .
_t4 		he likes to bury bones . 
_t4 		dogs like to bury their bones . 
_t4 		okay well , I'm gonna get ready to go , I got things to pack up . 
_t4 		and then we need to +... 
_t4 		check your diaper: , and we need to +... 
_t4 		get bundled up cause [: because] it's cold out . 
_t4 		I will be hooking up the receiver shortly . 
_t4 		and I thought we can have head start .
_t4 		what you gonna eat the frozen banana with ? 
_t4 		with puffed rice . 
_t4 		no . 
_t4 		just puff .
_t4 		it did fall out the other day . 
_t4 		we didn't eat it all up . 
_t4 		let's get you settled . 
_t4 		let's get Naima a bowl . 
_t4 		hungry huh . 
_t4 		there's the frozen banana for Naima baby .
_t4 		oh .
_t4 		that's that's a cold banana if ever I saw one or I felt one .
_t4 		it's cold . 
_t4 		okay Mommy is gonna go get the microphones microphones . 
_t4 		okay . 
_t4 		Naima would be the left one . 
_t4 		do do do do do do do do . 
_t4 		how is that banana ? 
_t4 		is it (.) yummy ? 
_t4 		it's frozen well that's good that's something . 
_t4 		it fell outta [: out of] the freezer yeah . 
_t4 		let's see here . 
_t4 		let see this goes on the mic . 
_t4 		do you wanna have some puffed rice or puffed wheat with that ? 
_t4 		special cookies . 
_t4 		um special cookies might be good with that .
_t4 		you want rice okay . 
_t4 		it might be a good combination . 
_t4 		what ? 
_t4 		xxx       . 
_t4 		how 
_t4 		you haven't said that for a quite a while . 
_t4 		how 
_t4 		Mommy's gonna make this I guess . 
_t4 		we're gonna go to the play group today . 
_t4 		well I don't remember if it starts today but we're gonna [: going to] go and find out so it might be that nobody's there . 
_t4 		or it might be that some other kids will be there . 
_t4 		like  and  and  . 
_t4 		if kids there that's who's gonna be it might be that nobody will be there . 
_t4 		we'll go and check . 
_t4 		we'll check and see if there's any body there . 
_t4 		if they're not there we go do something else with the time . 
_t4 		well let's see what's the something else we'll do if they are not there . 
_t4 		mmmm . 
_t4 		hmmm . 
_t4 		I'll have_to think about that . 
_t4 		I'll think about it okay but we'll do definitely do something else fun . 
_t4 		what .
_t4 		o:h did you finish all that frozen banana ? 
_t4 		what's that ? 
_t4 		is that a song ? 
_t4 		scar+face is the name of a bear in the bear book . 
_t4 		scar+face scar+face . 
_t4 		Romeo is that other bear . 
_t4 		oh yeah are there any bear cubs in the river ?
_t4 		are there any bear cubs in the river ?
_t4 		says Romeo .
_t4 		I don't know what do we think scar+face says ? 
_t4 		are there any fish in the river ? 
_t4 		are there any fish in the river ? 
_t4 		do you want more frozen banana ? 
_t4 		bears bears bears bears bears .
_t4 		there's a bear in the house and she has frozen banana to eat . 
_t4 		yeah the mommy bear's gonna definitely gonna [: going to] cut it for Naima bear . 
_t4 		xxx baby bear says it's big . 
_t4 		well I'm cutting the banana so it's little . 
_t4 		the pieces will be little pieces as soon as I'm finish cutting them .
_t4 		yes it is . 
_t4 		I'm cutting it because it's too big . 
_t4 		yes I'm cutting it because it was too big . 
_t4 		let see I guess we should say what the date is today . 
_t4 		today is Monday January sixth . 
_t4 		would you like to be on tape while you're eating breakfast ? 
_t4 		and I'm not sure if I have time to eat breakfast . 
_t4 		I just got paged . 
_t4 		that's too bad . 
_t4 		xxx   . 
_t4 		xxx  does anything . 
_t4 		portable . 
_t4 		but my but my   anyway .
_t4 		your   love . 
_t4 		there's a lot of snow outside this morning . 
_t4 		but it's not snowing right now . 
_t4 		I wonder if it will snow some more . 
_t4 		oh and this means we're gonna have_to brush the snow off Mommy's car . 
_t4 		may be we can walk today with the stroller . 
_t4 		I'll be there . 
_t4 		do you wanna take cereal with you ? 
_t4 		do we have cereal ? 
_t4 		yes . 
_t4 		oh well I'll eat here . 
_t4 		so that page was not mine but . 
_t4 		oh .
_t4 		hey baby+oh . 
_t4 		what you eating ? 
_t4 		what you eating miss boo+boo .
_t4 		are you eating bananas ? 
_t4 		frozen bananas sorry okay . 
_t4 		frozen bananas . 
_t4 		I don't see any frozen banana . 
_t4 		you need another refill Naima ? 
_t4 		oh . 
_t4 		oh you need more frozen bana(nas) +/.
_t4 		the bear wants some more . 
_t4 		the bear .
_t4 		are you the bear ? 
_t4 		there's a bear in the house Mommy . 
_t4 		I know . 
_t4 		oh my gosh .
_t4 		I've been talking to her .
_t4 		there's a bear in the house .
_t4 		I didn't know Naim(a) +/.
_t4 		what is the bear gonna eat you know Naima I didn't know that bears eat frozen bananas .
_t4 		I didn't know the bears eat frozen bananas . 
_t4 		I didn't know that .
_t4 		oh you're a bird .
_t4 		xxx .
_t4 		birdy birdy birdy . 
_t4 		birdy birdy birdy there's the flax oil that you said Daddy likes to eat and you're absolutely right . 
_t4 		I cut it for you though . 
_t4 		well it's still big . 
_t4 		is that good miss Naima ? 
_t4 		are you on call today . 
_t4 		you know I don't have a clue . 
_t4 		no it's Monday I can't be on call . 
_t4 		by definition . 
_t4 		unless Mac makes a mistake I'm never on call the day before my day off . 
_t4 		oh that's good .
_t4 		is that true for everybody ? 
_t4 		supposed to be once in a while he +... 
_t4 		forgets . 
_t4 		what are you looking for . 
_t4 		is there any maple syrup  there it is .
_t4 		leave it out for me . 
_t4 		leave it out . 
_t4 		I'll go away for a five minutes or however long . 
_t4 		breakfast lasts .
_t4 		okay . 
_t4 		xxx .
_t4 		you're on your own . 
_t4 		uh+oh Daddy's on his own . 
_t4 		oh ya ya baby+oh . 
_t4 		miss baby . 
_t4 		miss ba:by: . 
_t4 		what are you having ? 
_t4 		frozen banana what else . 
_t4 		I see some rice . 
_t4 		if you like some yogurt I have yogurt right here .
_t4 		oh and special cookies . 
_t4 		the special cookies Mommy made for you . 
_t4 		and yogurt good . 
_t4 		yogurt .
_t4 		hmmm . 
_t4 		oh what about persons . 
_t4 		mmmm . 
_t4 		hmmm that's big persons yogurt . 
_t4 		oh that's what you said big persons . 
_t4 		big persons yogurt you like it ? 
_t4 		doesn't have that nice skin of fat that you like so much . 
_t4 		xxx . 
_t4 		hmmm I'm having oat bran flakes you're absolutely right . 
_t4 		do you want some ? 
_t4 		do you want an oat +/.
_t4 		do you want an oat bran flake ? 
_t4 		there that's for you . 
_t4 		xxx  . 
_t4 		mmmm Daddy's eating breakfast with Naima . 
_t4 		isn't that nice . 
_t4 		I think Mommy's eating breakfast somewhere else . 
_t4 		hmmm do you like do you do you like special cookies Boo ?
_t4 		do you like the special cookies ? 
_t4 		mmmm .
_t4 		mmmm  well this yogurt +//. 
_t4 		I think special cookies and the yogurt will be good (.) together . 
_t4 		that's a good combination . 
_t4 		oh you wanna eat your breakfast over there ? 
_t4 		in the in the living room .
_t4 		hmmm let's just stay right here (be)cause it would be too much to move right now . 
_t4 		miss Naima Baby . 
_t4 		okay . 
_t4 		we can go in the living room . 
_t4 		Naima are you done eating ? 
_t4 		xxx . 
_t4 		are you thinking about  still ? 
_t4 		hmmm .
_t4 		hey here's some frozen banana .
_t4 		you want some frozen banana boo+boo ? 
_t4 		xxx you're still talking about  .
_t4 		you want some frozen banana boo boo ? 
_t4 		you want some frozen banana ? 
_t4 		mmmm I thought you might like it . 
_t4 		of course it was cold it was frozen . 
_t4 		frozen means cold . 
_t4 		frozen means cold . 
_t4 		at least on this planet .
_t4 		more yogurt  . 
_t4 		mmmm . 
_t4 		xxx began legan regan fegan . 
_t4 		are you done eating ? 
_t4 		I see some more frozen banana .
_t4 		where do you go to ?
_t4 		where who's going where . 
_t4 		Naima you're not going anywhere you're gonna stay here are you going somewhere today ? 
_t4 		did Mommy tell you you're going somewhere today ? 
_t4 		it's Monday . 
_t4 		o:h . 
_t4 		is there a play group Monday ? 
_t4 		no I think there's a play group today . 
_t4 		that must be what Mommy was talking about . 
_t4 		I think that's where you're going a play group . 
_t4 		who be there I don't know . 
_t4 		xxx might be there it's the Monday group . 
_t4 		I know that  goes to the Monday group . 
_t4 		xxx might be there . 
_t4 		I don't know all the other names Naima . 
_t4 		I (be)cause I don't go there with you Mommy does . 
_t4 		more banana and yogurt  . 
_t4 		Daddy has to look for his coffee . 
_t4 		mmmm . 
_t4 		more let me give you some more obviously you're +... 
_t4 		what ? 
_t4 		what ? 
_t4 		you're making up your own language now . 
_t4 		are you talking like a baby ? 
_t4 		good bye  uh+huh: .
_t4 		good bye  uh+huh .
_t4 		xxx . 
_t4 		uh+huh . 
_t4 		xxx .
_t4 		uh+huh . 
_t4 		o:h we don't like it  . 
_t4 		okay you want the special cookie taken away you really don't like it do you ? 
_t4 		Mommy was trying to make something you like it's very healthy . 
_t4 		it's a very healthy cookie boo+boo . 
_t4 		okay yogurt  . 
_t4 		Jimmy crack corn I don't care . 
_t4 		Jimmy crack corn I don't care .
_t4 		Jimmy crack corn I don't care .
_t4 		the master's gone away .
_t4 		you wanna play that song okay .
_t4 		I'll play it . 
_t4 		xxx now with eyes so proud of me and I can't  how I can    Jimmy crack corn and I don't care Jimmy crack corn and I don't care . 
_t4 		Jimmy crack corn and I don't care  master's gone away .
_t4 		Jimmy crack corn and I don't care . 
_t4 		master's gone away . 
_t4 		that's it ? 
_t4 		you want it off now ? 
_t4 		on then off then on then off then on then off then on then off . 
_t4 		Jimmy crack corn and I don't care .
_t4 		oh master's gone away .
_t4 		oh you just didn't like the bridge . 
_t4 		you just want the chorus every time . 
_t4 		mmmm this is the main verse . 
_t4 		Jimmy crack corn I don't care Jimmy crack corn I don't care Jimmy crack corn I don't care  master's gone away .
_t4 		I don't care Jimmy crack corn I don't care crack corn I don't care  masters gone away . 
_t4 		okay Naima boo .
_t4 		what's that ? 
_t4 		mmmm speak english . 
_t4 		okay .
_t4 		I guess you're done . 
_t4 		whoa on the floor baby+o . 
_t4 		miss Naima baby+oh time to clean your face .
_t4 		mmmm  you got yogurt on your face . 
_t4 		your hands are actually quite clean baby+oh . 
_t4 		I'm quite impressed . 
_t4 		get your hands very clean .
_t4 		clean your toes .
_t4 		look at it how did the toes get food . 
_t4 		how did your toes get food .
_t4 		that toe got food on it .
_t4 		how did it do that . 
_t4 		did you put food on the toe . 
_t4 		did you stick your feet in your plate ?
_t4 		no I didn't think so .
