_d4726 		what would you like ? 
_d4727 		Daddy's going to the hospital boo .
_d4727 		I see you later . 
_d4727 		I'm gonna see people . 
_d4727 		I'm sorry I gotta go . 
_d4727 		he's gonna make people feel better right .
_d4727 		yeah . 
_d4727 		at the hospital that what he does . 
_d4727 		I see you later boo . 
_d4727 		can I give you a kiss ? 
_d4727 		oh I want too  . 
_d4727 		mmmm .
_d4727 		mmmm bye Mommy bye baby+o . 
_d4727 		bye  Daddy .
_d4727 		I'll be back as soon as I can . 
_d4727 		well let's stay in touch in case a visit is in order . 
_d4727 		okay yeah I mean it really depends on it . 
_d4727 		if you yeah .
_d4727 		Gods with the ear but I'll see if I'd be done by eleven . 
_d4727 		oh that would be very nice . 
_d4727 		xxx office I believe so (be)cause they will shut down all our computers at three .
_d4727 		oh yeah .
_d4727 		see you .
_d4727 		do you wanna see him brush off just brush the snow off his car ?
_d4728 		xxx . 
_d4728 		what's Daddy gonna do do you think ? 
_d4728 		oh may be he's not even gonna [: going to ] bother . 
_d4728 		maybe the wipers on the car are gonna brush off the snow for him . 
_d4728 		it's snowing right now .
_d4728 		where are the wipers do you see the wipers ?
_d4728 		wipers are on the glass in the front . 
_d4728 		bye Daddy . 
_d4728 		he went to the hospital . 
_d4728 		he already drove it away .
_d4728 		he's already gone . 
_d4728 		I'm afraid we don't have any frozen banana right now . 
_d4728 		I'm checking right now . 
_d4728 		well I checked there and aren't any frozen bananas but there are some . 
_d4728 		yeah there are yeah you could have fresh banana .
_d4728 		you want fresh banana ? 
_d4728 		okay . 
_d4728 		we have_to get your hands clean now . 
_d4728 		alright . 
_d4728 		xxx had a lobster on her shirt . 
_d4728 		xxx . 
_d4728 		xxx .
_d4728 		yeah she was playing that was a long time ago though . 
_d4728 		can you put the cap can you put the cap on ? 
_d4728 		put the cap on that green one . 
_d4728 		wow you did it . 
_d4728 		you learned how to do that today . 
_d4728 		well you can wash your friends after you eat a little bit of breakfast . 
_d4728 		actually I don't know what this one is called . 
_d4728 		you have a cold you are sick . 
_d4728 		Lou Lion Morning ? 
_d4728 		let me see what there might be some words like that in the song . 
_d4728 		you mean to see what is called . 
_d4728 		well I don't know I'm still washing your hands . 
_d4728 		we're gonna eat first you want some fresh banana ? 
_d4728 		okay . 
_d4728 		oh yeah you can have puffed wheat and puffed rice . 
_d4728 		this marker really is not very washable . 
_d4728 		I'm trying to clean off the darn marker . 
_d4728 		it doesn't wanna come off .
_d4729 		we gonna have_to get some different markers I think because those just don't wash off like they are suppose too . 
_d4729 		xxx .
_d4729 		she did have a lobster on her shirt . 
_d4729 		or sh(e) she actually had a shirt that said Cape Cod . 
_d4729 		did you know that ? 
_d4729 		her shirt said Cape Cod . 
_d4729 		what ?
_d4729 		there were a lot of people visiting that day .
_d4730 		do you remember seeing the smoke they had incense and there was a lot of smoke there . 
_d4730 		xxx Mommy's name is  . 
_d4730 		xxx is her name . 
_d4730 		she was taking care of her three little girls . 
_d4730 		you know what their names are . 
_d4730 		tell me . 
_d4730 		Naima tell Mommy because you remember . 
_d4730 		who had a lobster on her shirt Naima ? 
_d4730 		yes .
_d4730 		what were her sisters names ? 
_d4730 		she was playing with your toys too . 
_d4730 		and the other little girl's name was  . 
_d4730 		can you say that  . 
_d4730 		playing . 
_d4730 		oh they were eating also yeah . 
_d4730 		you wanted puffed rice and puffed wheat do you want it soggy or crunchy . 
_d4730 		okay here's the puffed wheat and here's the puffed rice . 
_d4730 		you want it soggy ? 
_d4730 		okay . 
_d4730 		I don't know which do you want the wheat and the rice to be soggy . 
_d4730 		okay soggy soggy soggy soggy . 
_d4730 		do you want a spoon boo ? 
_d4730 		yes I'll give you a baby spoon . 
_d4730 		oh that's a fork . 
_d4730 		umm . 
_d4730 		you don't you don't have_to eat it . 
_d4730 		there's no avocado we eat it last night at dinner time remember . 
_d4730 		avocado is all gone . 
_d4730 		oh you could have yogurt I'll get some for you . 
_d4730 		hmmm that's not yogurt . 
_d4730 		you're singing who mourn for me . 
_d4730 		there's the yogurt . 
_d4730 		we don't have hummus right now . 
_d4730 		we could buy some today . 
_d4730 		well we could go to Cape Cod Natural Foods and buy hummus . 
_d4730 		that would be easy to do . 
_d4730 		let me make a list . 
_d4730 		a shop more .
_d4730 		oh okay we get you some blueberries . 
_d4730 		let me write a shopping list .
_d4730 		hummus summer vegetables I don't think they have avocado but we can check . 
_d4730 		where are your new teeth do you know where your new teeth are ?
_d4730 		do you know where they are ? 
_d4730 		are they in your mouth ?
_d4730 		are they incisors ? 
_d4730 		do you want a spoon ? 
_d4730 		I get you spoon . 
_d4730 		that fork didn't make much sense did it . 
_d4730 		mmmm okay where was I where was I was I was I . 
_d4730 		was I was I .
_d4730 		cock+a+doodle doodle+do . 
_d4730 		what this c+d called ? 
_d4730 		do you know what's called ? 
_d4730 		that was the song do you remember what the c+d's called ? 
_d4730 		American music . 
_d4730 		American folk songs . 
_d4730 		you call it American music . 
_d4730 		you'd like some cheese okay . 
_d4730 		jack cheese that sounds good .
_d4730 		I'll get you some . 
_d4730 		why don't you have a few more .
_d4730 		we do have it .
_d4730 		oh you need your nose wiped . 
_d4730 		what comes after this ? 
_d4730 		log . 
_d4730 		okay let's find the jack cheese for you to eat . 
_d4730 		ducks in the mill pond is that next ? 
_d4730 		that comes after the dog tick song . 
_d4730 		you know .
_d4730 		this is .
_d4730 		this isn't the ducks in the mill pond song it came on just now .
_d4730 		I can't believe you were wrong for once . 
_d4730 		it is ? 
_d4730 		oh this is about Liza yep [: yes] . 
_d4730 		oh how I love her . 
_d4730 		good bye Liza Jane . 
_d4730 		here is the jack cheese for you . 
_d4730 		you know what why don't you eat what you have here if you're still hungry when you're finished eating these things then I'll get you what ever you want . 
_d4730 		mmmm .
_d4730 		I think it's actually called good bye Liza Jane .
_d4730 		oh this is ducks in the mill pond I think you're right .
_d4731 		no this isn't ducks in the mill pond . 
_d4731 		you wanna hear ducks in the mill pond . 
_d4731 		let see what this is . 
_d4731 		let listen to this for a minute . 
_d4731 		I wanna find out what this is .
_d4731 		and then we look for ducks in the mill pond when this is finished . 
_d4731 		well I'll tell you what I'll forward it . 
_d4731 		oh .
_d4731 		this is a pig song .
_d4731 		oink oink oink . 
_d4731 		this is a song about a pig . 
_d4731 		a pigs the pigs pigs pigs .
_d4731 		oink oink oink .
_d4731 		alright I'll forwarded .
_d4731 		oink oink oink . 
_d4731 		oink oink oink . 
_d4731 		oh+my+goodness . 
_d4731 		what does Naima want to listen to . 
_d4731 		ducks in the mill pond okay .
_d4731 		let me see if I can find it . 
_d4731 		where is ducks in the mill pond . 
_d4731 		where's that c+d case . 
_d4731 		here on this one . 
_d4731 		ducks in the mill pond . 
_d4731 		you know what it's called . 
_d4731 		yes .
_d4731 		oh I think that comes soon .
_d4732 		okay did you eat all that ? 
_d4732 		oh you like the jack cheese . 
_d4732 		who says that ? 
_d4732 		you gonna eat the cheese with your fork ? 
_d4732 		there you go . 
_d4732 		what is corn Naima ? 
_d4732 		
_d4732 		it's a vegetable . 
_d4732 		it's a vegetable isn't it ? 
_d4732 		what is fruit ? 
_d4732 		hummus is fruit . 
_d4732 		that's the joke you were making yesterday . 
_d4732 		hummus is fruit . 
_d4732 		hummus .
_d4732 		hummus is made out of beans .
_d4732 		called chick+peas . 
_d4732 		what ? 
_d4732 		bird ? 
_d4732 		doggy . 
_d4732 		doggy barks . 
_d4732 		what did you say ? 
_d4732 		ahh .
_d4732 		poor old crow . 
_d4732 		poor old crow that's on this cd also . 
_d4732 		you like that song don't you ? 
_d4732 		ahh spider song . 
_d4732 		yeah .
_d4732 		that's the itsy bitsy spider . 
_d4732 		but sometimes we say itsy bitsy spider . 
_d4732 		oh the dog tick song . 
_d4732 		yeah . 
_d4732 		dance like a bag of warms . 
_d4732 		that's such a silly song . 
_d4732 		I don't know what comes after this . 
_d4732 		oh who build the ark yeah . 
_d4732 		you're right . 
_d4733 		yes I'm washing the paint away . 
_d4733 		mmmm+hmmm who built the ark . 
_d4733 		who built the ark Noah Noah . 
_d4733 		she did have a lobster . 
_d4733 		on her shirt yeah . 
_d4733 		you know what I hope that hasn't been obscure all this time . 
_d4733 		the microphone . 
_d4733 		your elbow was right on it . 
_d4733 		oh we better pause before we make a big noise . 
_d4733 		are you finished eating can I help you eat some more of this ? 
_d4733 		mmmm . 
_d4733 		okay .
_d4733 		try this too . 
_d4733 		okay .
_d4733 		did you eat some banana ? 
_d4733 		something like Mary had a red dress . 
_d4733 		shoes from shoes from all day long . 
_d4733 		here  this with the jack cheese . 
_d4733 		good combination . 
_d4733 		Mary had a red dress . 
_d4733 		xxx .
_d4733 		where did you get your butter from .
_d4733 		I said the same . 
_d4733 		got it from the grocery all day long . 
_d4733 		red bird that's right . 
_d4733 		tweet tweet tweet . 
_d4733 		I'm washing everything . 
_d4733 		pots and pans . 
_d4733 		what ? 
_d4733 		show you what this ?
_d4733 		this . 
_d4733 		this . 
_d4733 		I don't know what you mean can you tell me with words ?
_d4733 		what was I washing ?
_d4734 		this . 
_d4734 		oh+my+goodness . 
_d4734 		I was washing this too . 
_d4734 		oh the paint brushes are soaking in the water . 
_d4734 		paint brushes are soaking in the water . 
_d4734 		soaking .
_d4734 		soaking . 
_d4734 		soaking . 
_d4734 		they are soaking . 
_d4734 		oh the paint brushes . 
_d4735 		xxx yes . 
_d4735 		you know I don't think she's in the swim class this time around .
_d4735 		I don't remember a little girl named  coming the last two times we've gone . 
_d4735 		I don't know . 
_d4735 		oh may be she's home with her dad yeah . 
_d4735 		what's her daddy's name ? 
_d4735 		you know  daddy's name ? 
_d4735 		I think you only saw her once . 
_d4735 		watch you say ? 
_d4735 		what color are these coffee grinds ? 
_d4735 		yeah I think they are brown too and what color is the filter ? 
_d4735 		yeah .
_d4735 		what color is your spoon ? 
_d4735 		yeah you know all your colors . 
_d4735 		oh .
_d4735 		yellow banana yeah .
_d4735 		that's yellow too isn't it ? 
_d4735 		is that yummy ? 
_d4735 		yeah that fork is green . 
_d4735 		yeah that fork is blue and green isn't it ? 
_d4735 		yeah . 
_d4735 		pick a bale of cotton is that what you're saying ? 
_d4735 		mmmm+hmmm . 
_d4735 		should we mail these pictures to Grandma ? 
_d4735 		she might like them . 
_d4735 		let's mail them to grandma . 
_d4735 		walk along John .
_d4735 		yeah that's probably coming up soon too . 
_d4735 		oh wait this is walk along John isn't it ? 
_d4735 		xxx .
_d4735 		this is walk along John . 
_d4735 		this is it . 
_d4736 		do you want more jack cheese ? 
_d4736 		it's yellowish white have a little bite of that with banana may be that would be a good combination . 
_d4736 		no .
_d4736 		okay how about this combination ? 
_d4736 		okay . 
_d4736 		who walks in this song  . 
_d4736 		that's an interesting question . 
_d4736 		someone walk in this song ? 
_d4736 		xxx .
_d4736 		xxx . 
_d4736 		what was  doing ? 
_d4736 		what was  doing . 
_d4736 		what do you think she was doing . 
_d4736 		well  .
_d4736 		taking care of her little girls yes . 
_d4736 		you finished eating would you like to get out of the chair ? 
_d4736 		no . 
_d4736 		you gonna wash you friends okay .
_d4736 		okay .
_d4736 		I know your friends .
_d4736 		I know who you mean you mean all your little friends .
_d4736 		is she in the closet ?
_d4737 		is Lucy in the closet maybe she'd like a bath . 
_d4737 		Lucy All .
_d4737 		Lucy All is in the bed I think .
_d4737 		I think Lucille is Mommy and Daddy's bed right now .
_d4737 		yeah .
_d4737 		oh did you bring her in here ? 
_d4737 		okay I look there first . 
_d4737 		hmmm Linda gal Linda gal .
_d4737 		Linda gal Linda gal Linda gal . 
_d4737 		Linda gal . 
_d4737 		okay here is the bath tub .
_d4737 		Linda gal . 
_d4737 		let's see .
_d4737 		Lula gal . 
_d4737 		Lula is her name .
_d4737 		okay .
_d4737 		it's bath time for Lucille you gotta get her clean first .
_d4737 		scrub a dub dub Lucille . 
_d4737 		ah . 
_d4737 		well look what happened here all the bath water got spelled out here . 
_d4737 		if you get her a towel and put it down here it's gonna get wet she's not gonna get dry . 
_d4737 		well . 
_d4737 		okay but I'm gonna take care of this water first . 
_d4737 		well let's get her something then . 
_d4737 		yeah . 
_d4738 		hmmm who's taking care of her little girls . 
_d4738 		who ?
_d4738 		where's Lucille where did she go ?
_d4738 		where's she I see a green towel I don't see Lucille . 
_d4738 		where did she go ? 
_d4738 		oh there she is . 
_d4738 		Mommy help you . 
_d4738 		you wrapped her very nicely that time I saw that .
_d4738 		you did a really good job wrapping her .
_d4738 		yes I see that . 
_d4738 		you see her .
_d4738 		you see her head . 
_d4738 		where did she go Naima . 
_d4738 		are you hiding her in there ? 
_d4738 		hmmm she's getting cozy . 
_d4738 		hmmm nice and cozy . 
_d4738 		nice and cozy . 
_d4738 		what's this song ? 
_d4738 		Johnny get your hair cut . 
_d4738 		Sally .
_d4738 		yeah . 
_d4738 		oh you're gonna comb her hair with a spoon okay .
_d4738 		here you go go ahead and comb it . 
_d4738 		do a good job . 
_d4738 		she's dressed . 
_d4738 		Betty Martin Betty Martin . 
_d4738 		hair cut hair cut Johny get your hair cut just like me hair cut hair cut hair cut just like me chick chick chick chick chick chick . 
_d4738 		what's she doing ? 
_d4738 		you're combing her hair . 
_d4738 		this song is I got a letter this morning . 
_d4738 		Lucille .
_d4738 		oh yeah .
_d4738 		hey I'm right here .
_d4738 		I'm right here I'm not going anywhere .
_d4739 		it's cleaner for the kitchen . 
_d4739 		it's a cleaner for the kitchen . 
_d4739 		what happen to her towel . 
_d4739 		oh it did it .
_d4739 		oh yeah I see . 
_d4739 		early in the morning . 
_d4739 		what are you doing ? 
_d4739 		that's not .
_d4739 		what ?
_d4739 		oh she is doing a somersault . 
_d4739 		o:h .
_d4739 		was she doing a somersault there ? 
_d4740 		you do a good job wrapping her up . 
_d4740 		you want me to help you do it ?
_d4740 		okay I'll be right there . 
_d4740 		yes .
_d4740 		I heard you I'll be right there . 
_d4740 		it's rhyming ? 
_d4740 		Lucille . 
_d4740 		Luciwall .
_d4740 		is that her name ?
_d4740 		Luciwall .
_d4741 		yes . 
_d4741 		okay Lucille let's go in the towel . 
_d4741 		let's go get wrapped up very nice and cozy . 
_d4741 		she's wet . 
_d4741 		is she really ? 
_d4741 		oh you like this song don't you ? 
_d4741 		pick the bale of hay . 
_d4741 		is she lying there ? 
_d4741 		aha .
_d4741 		oh I had a little girl .
_d4741 		I'm on my way to Texas to pick the bale of hay . 
_d4741 		xxx    . 
_d4741 		xxx       . 
_d4741 		he went to the hospital . 
_d4741 		she's lying down on the towel . 
_d4741 		she what ? 
_d4741 		she's  ? 
_d4741 		she's  and  .
_d4741 		those are two real little girls that you know . 
_d4741 		you need me to wipe your nose . 
_d4741 		her name is George that's a little boy you know . 
_d4741 		I think is time to get out of the chair are you .
_d4741 		you can still play with her . 
_d4741 		can I take your bib off ?
_d4741 		oh okay .
_d4742 		okay . 
_d4742 		where did she go ? 
_d4742 		her name is Brenda ? 
_d4742 		we don't even know anybody named Brenda . 
_d4742 		who is Brenda ? 
_d4742 		we don't know .
_d4742 		xxx . 
_d4742 		xxx . 
_d4742 		xxx yes we know  . 
_d4742 		xxx is  brother . 
_d4742 		right yeah . 
_d4742 		xxx .
_d4742 		that's right .
_d4742 		xxx  her name is Brendan now .
_d4742 		mmmm+hmmm .
_d4742 		Lucille .
_d4742 		I'm gonna [: going to ] make a phone call now .
_d4743 		Mommy's gonna make a phone call . 
_d4743 		Tajumbidi will do it .
_d4743 		would you like to play with Lucille in the living room ?
_d4743 		okay .
_d4743 		do you want some water to drink ? 
_d4743 		oh okay let's have juicy water .
_d4743 		okay .
_d4743 		I don't know where she is I can't see her .
_d4743 		oh she's under the green towel .
_d4744 		umm what she gonna eat ? 
_d4744 		here I give her a little bowl . 
_d4744 		I'll find a little bowl for her . 
_d4744 		here's your juice .
_d4744 		okay .
_d4744 		here's a little bowl of grapes for her . 
_d4744 		she can sit on the blanket and eat grapes from this bowl . 
_d4744 		they are in the white bowl . 
_d4744 		she's eating . 
_d4744 		oh what else does she like to eat ? 
_d4744 		here you go Lucille . 
_d4744 		what ? 
_d4744 		Gigi is his mommy . 
_d4744 		oh you know what else you said this morning that I thought it was interesting you said you said Daddy is a man Mommy is a woman . 
_d4744 		didn't you say that this morning ? 
_d4744 		I was surprised that you said that . 
_d4744 		right here .
_d4745 		ooh ooh . 
_d4745 		uh  .
_d4745 		ah ooh . 
_d4745 		the person .
_d4745 		I don't see the person the person is hidden .
_d4745 		the person is hidden because I don't see the person . 
_d4745 		every where .
_d4745 		Naima throwing the person . 
_d4745 		where did you throw the person ?
_d4745 		nursies are in in there .
_d4745 		yeah .
_d4745 		you wanna nurse now ?
_d4746 		okay let's go in the living room and nurse . 
_d4746 		well let's take off the microphones and then go in the living room and we can nurse there okay . 
_d4746 		yeah hold on hold on Mommy will do it .
_d4746 		Mommy will do it . 
_d4746 		Mommy and Daddy's room yeah that's where we are . 
_d4746 		Mommy and Daddy's room oop(s)   clunk . 
_d4746 		you're lying down . 
_d4746 		that's not very comfortable . 
_d4746 		let's get this thing off of you . 
_d4746 		off o(f) you . 
_d4746 		yours is off yeah .
_d4746 		I will take mine off too . 
_d4747 		she's eating in the cafeteria with her daddy ? 
_d4747 		the duck is ? 
_d4747 		they're drinking tea in the cafeteria ? 
_d4747 		o:h ! 
_d4747 		that sounds very delicious . 
_d4747 		today is Sunday , January twenty+sixth . 
_d4747 		oh , someone's [: someone is] taking care of sick people . 
_d4747 		oh that's Daddy , that little doll is Daddy ? 
_d4747 		let's +...
_d4747 		can I put the table in the middle of the rug ? 
_d4747 		would you like to put the table in the middle of the rug ? 
_d4747 		okay we can play better . 
_d4748 		with your daddy ? 
_d4748 		excellent . 
_d4748 		let me see , what does that spell ?
_d4748 		that spells , l , e , g , o .
_d4748 		what does that spell ? 
_d4748 		that spells lego . 
_d4748 		that spells Lego .
_d4748 		how do you spell stool ?
_d4748 		uh , s , t , o , o , l .
_d4749 		do you need an s , and a t , and a o , an a o , and a l ? 
_d4749 		you know what I'm gonna get , I'm gonna get another light for this room . 
_d4749 		I'm gonna get a light . 
_d4749 		cause [: because] there's not really enough light in there . 
_d4749 		let's see . 
_d4749 		oh and we need to hang up that wet laundry too .
_d4749 		oh good , I'm gonna bring this light .
_d4749 		into the living room . 
_d4749 		and we can bring the laundry with us . 
_d4749 		and +... 
_d4749 		hang it up ! 
_d4749 		oh you found the penguin book . 
_d4749 		I'm gonna put this light on over here . 
_d4749 		are you closing the door ? 
_d4749 		oh you found the rhyming puzzle .
_d4750 		great . 
_d4750 		oh you found those puzzles . 
_d4750 		great . 
_d4750 		okay where's the other piece +... 
_d4750 		that we found some +//.
_d4750 		oh there it is , can you bring that piece over there , over here . 
_d4750 		see that one right there on the rug ? 
_d4750 		that puzzle piece right there . 
_d4750 		this .
_d4750 		this goes to the puzzles we're gonna do . 
_d4750 		here I'll open this +... 
_d4750 		and I'll put the rhyming puzzle away and you can look at this puzzle . 
_d4750 		come sit over here and do it okay ? 
_d4750 		okay what are these puzzles +//.
_d4750 		oh yes . 
_d4750 		
_d4750 		Mommy made these puzzles for you .
_d4750 		I did use some glue for that . 
_d4750 		that's [: that is] absolutely right . 
_d4750 		I used glue for that . 
_d4750 		mmmm . 
_d4750 		you want some help ?
_d4750 		should we do it together ?
_d4750 		part of Naima's face . 
_d4750 		let's see these all go to one puzzle , and the other pieces all go to another puzzle . 
_d4750 		so where's Naima's other eye ? 
_d4750 		where's Naima's other eye ? 
_d4750 		there , there's the other eye . 
_d4750 		yes that's right , right there , yeah .
_d4750 		it fits .
_d4750 		wonder where that goes . 
_d4750 		and +... 
_d4750 		here's more of Naima's face , right ? 
_d4750 		let's put that somewhere here . 
_d4750 		where does it go ? 
_d4750 		huh , yes , yes !
_d4750 		now we still need part of your cheek . 
_d4750 		this part . 
_d4750 		I wonder , is part of your cheek here ? 
_d4750 		what does that piece look like ,   . 
_d4750 		there . 
_d4750 		it fits . 
_d4750 		and there's two more pieces of Daddy's face , can you match them up ? 
_d4750 		where's this triangle shape , is there a triangle here somewhere ? 
_d4750 		a pointy triangle , see this is a triangle +...
_d4750 		and it looks like there is a space like that over here , a triangle space +... 
_d4750 		and a triangle puzzle piece . 
_d4750 		yes . 
_d4750 		and one more .
_d4750 		there .
_d4750 		there . 
_d4750 		and what is that a picture of ? 
_d4750 		Naima in her pajamas . 
_d4750 		what else ? 
_d4750 		and Daddy .
_d4750 		what are Naima and Daddy doing in this picture ? 
_d4750 		what are you and Daddy doing in this picture ? 
_d4750 		do you remember ?
_d4750 		you're getting the gray blanket on because Daddy is taking you out to get the newspaper . 
_d4750 		you look +...
_d4750 		you'd be cozy out in the cold . 
_d4750 		the blanket makes you cozy doesn't it ?
_d4750 		you're cozy because you have the blanket on in this picture . 
_d4750 		you like putting that gray blanket on don't you ? 
_d4750 		okay we'll do that puzzle now . 
_d4750 		oh you did it , yes that's exactly where it goes . 
_d4750 		yup [: yes] . 
_d4750 		that's the dolphin .
_d4750 		there's the other , three more pieces . 
_d4750 		and I think one of them goes +... 
_d4750 		well this woman , yeah here's her legs +... 
_d4750 		we need to find the top part of her body . 
_d4750 		where's her belly , and her chest , and her head ? 
_d4750 		do any of these pieces have her belly and her chest and her head , can you tell ? 
_d4750 		yes , yes that's right .
_d4750 		that's right very good . 
_d4750 		yeah .
_d4750 		it's almost done . 
_d4750 		wow . 
_d4750 		that's right . 
_d4750 		you did a good job putting these together Naima .
_d4750 		you did a good job putting those together . 
_d4750 		hmmm .
_d4750 		that was fun .
_d4750 		okay . 
_d4750 		let's put the rhyming puzzle away . 
_d4751 		the boat ? 
_d4751 		there was a boat . 
_d4751 		there were a lot of things to see there . 
_d4751 		what did you like playing with there ? 
_d4751 		what was fun ? 
_d4751 		the pretend kitchen , mmmm+hmmm . 
_d4751 		there was a pretend kitchen . 
_d4751 		what else ?
_d4751 		oh yup [: yes] that's the snowman's head .
_d4751 		oh yeah . 
_d4751 		there's her legs +... 
_d4751 		and her bottom +... 
_d4751 		and that's her belly and her chest and her arm and her head . 
_d4751 		mmmm where's the duck puzzle , right there . 
_d4751 		what do you remember about the children's museum yesterday ?
_d4751 		the pretend store .
_d4751 		mmmm+hmmm what did you do there ? 
_d4751 		okay .
_d4751 		what did I want to do with them , I was gonna put it away , but I'm not gonna put it away if you're not done with it . 
_d4751 		we need somebody +//.
_d4751 		whose head belongs there ? 
_d4751 		there's the baby +... 
_d4751 		and there's a big arm . 
_d4751 		does somebody's head belong there ? 
_d4751 		yeah . 
_d4751 		I think the daddy's head goes there . 
_d4751 		where's the daddy's head ? 
_d4751 		yes . 
_d4751 		you've got the daddy's head in that piece . 
_d4751 		I think the daddy's head goes there . 
_d4751 		yes . 
_d4751 		I think this piece goes here . 
_d4751 		well , look at your other pieces . 
_d4751 		which one fits the best ? 
_d4751 		hmmm , let's put all the pieces right side up so you can tell . 
_d4751 		now what goes where here ? 
_d4751 		well the words that are the name of the book are up at the top .
_d4751 		looks like we need more of the name +...
_d4751 		yes .
_d4752 		animal friends . 
_d4752 		I think +... 
_d4752 		see we need the rest of the words . 
_d4752 		the rest of the words aren't [: are not] here . 
_d4752 		aren't [: are not] there . 
_d4752 		no , not there . 
_d4752 		not that way . 
_d4752 		so , it must be that piece . 
_d4752 		that must go up here . 
_d4752 		yeah . 
_d4752 		right . 
_d4752 		and now the last piece . 
_d4752 		how does it go ? 
_d4752 		the dolphin needs the dolphin body . 
_d4752 		to fit here . 
_d4752 		can I put it in ?
_d4752 		can I show you where that one goes ?
_d4752 		why don't you give me that piece with the dolphin's body ? 
_d4752 		and I'll show you . 
_d4753 		the tip of Daddy's nose . 
_d4753 		well look for that pointy triangle .
_d4753 		that sharp piece that's on your thumb . 
_d4753 		that must go in a place that has room for a triangle . 
_d4753 		I see , I see right here room for a triangle . 
_d4753 		you see that . 
_d4753 		yeah , mmmm+hmmm . 
_d4753 		it's alright you're doing a good job honey . 
_d4753 		you're trying to figure out where they go that's what a puzzle is all about . 
_d4753 		yeah you did it , you figured it out . 
_d4753 		you're putting Daddy's chin on Naima's chin . 
_d4753 		I think it's the other way around , if you turn it , turn it , turn it +...
_d4753 		oh you didn't want me to help you with that ? 
_d4753 		I'm sorry is that getting frustrating ? 
_d4753 		mmmm , I see her eye , I see one eye there +... 
_d4753 		and the other eye is here . 
_d4753 		and I think this goes here . 
_d4753 		so you need two more pieces . 
_d4753 		mmmm+hmmm . 
_d4753 		yes . 
_d4753 		good . 
_d4753 		that's right . 
_d4753 		well it's frustrating because the puzzle isn't [: is not] a very good puzzle , it doesn't stay together . 
_d4753 		you had the right spot for it right there . 
_d4753 		now you're missing one more piece .
_d4753 		let's see where the rest of Daddy's face is . 
_d4753 		let's look . 
_d4753 		there .
_d4753 		all done . 
_d4753 		good job . 
_d4753 		these aren't easy puzzles to do , you know . 
_d4753 		you're doing a good job . 
_d4753 		do you need your nose wiped , is your nose runny ? 
_d4753 		okay let me find a tissue . 
_d4753 		the pointy triangle is here . 
_d4753 		right there , that's that pointy triangle . 
_d4753 		
_d4754 		we were folding the rags . 
_d4754 		into triangles . 
_d4754 		now these , we need to find some tissue for you .
