_d5898 		fire+flies .
_d5900 		no , it is . 
_d5900 		no I , I do think that .
_d5900 		I think (.) it's not easy .
_d5900 		everybody's [: everybody is] talking about it as if you were supposed to do or be something different like all of a sudden and you don't know how to do or be something different . 
_d5900 		you know what , it's just gonna be a fun day cause you're going to have a party , that's all . 
_d5900 		we love you , baby+o .
_d5900 		I'm gonna love you the same amount tomorrow as I love you today . 
_d5900 		we love you , and we're gonna love you .
_d5900 		and nothing's [: nothing is] gonna be different . 
_d5900 		it's just gonna be kind of like a big play+group tomorrow .
_d5900 		it's gonna be a play+group .
_d5900 		it'll [: it will] be fun .
_d5900 		except that we'll have happy birthday and you'll get some presents .
_d5900 		yeah , it'll [: it will] be fun .
_d5900 		and Mommy and Daddy will +/. 
_d5900 		kiss you .
_d5900 		kiss you a+lot more than usual !
_d5900 		you're gonna be the same person tomorrow , did you know that ?
_d5900 		you're gonna still be Naima . 
_d5900 		you can still nurse tomorrow too .
_d5900 		okay .
_d5900 		yeah , you need to put pajamas on first though .
_d5901 		so either these , or another pair that you pick out from the laundry basket of clean ones . 
_d5901 		these look good . 
_d5901 		and Mommy really wants to go to the potty and put on her night+gown while you're putting on your pajamas .
_d5901 		Daddy will put these on if you want .
_d5901 		xxx pick out another pair ?
_d5901 		cause we're not gonna settle down and read nurse until you get pajamas on . 
_d5901 		I'll come with you . 
_d5901 		let's [: let us] go . 
_d5901 		put those back in the clean pile please . 
_d5901 		mmmm+hmmm . 
_d5901 		the dirties , or the cleans ? 
_d5901 		those were clean ones Grandma  has . 
_d5901 		where are they , in her room ?
_d5901 		I don't know , you have_to ask  .
_d5901 		oh , let's [: let us] ask Grandma  . 
_d5901 		xxx .
_d5901 		in Naima's room , okay .
_d5901 		it's the laundry baske:t .
_d5901 		he:y ,  .
_d5901 		xxx o:h .
_d5901 		xxx .
_d5901 		xxx .
_d5901 		how about these ? 
_d5901 		I'll put them on for you , I just want you to pick them . 
_d5901 		let's go  . 
_d5901 		xxx .
_d5902 		Mommy's [: Mommy is] right here . 
_d5902 		she's flossing her teeth .
_d5902 		here I am .
_d5902 		here I am . 
_d5902 		hi . 
_d5902 		there's a bear there who has a band+aid on his snout . 
_d5902 		hmmm . 
_d5902 		huh ?
_d5902 		what are you talking about ? 
_d5902 		she , she +...
_d5902 		who should go away ?
_d5902 		incoherent .
_d5902 		you're tired .
_d5902 		whe:re should we go ?
_d5902 		oh , you want me to go out ?
_d5902 		o:h .
_d5902 		I'll go away as soon as Mommy comes .
_d5902 		how is that , a deal ?
_d5902 		why ? 
_d5902 		am I Sleepy Bear's grandpa ?
_d5903 		and you know what else ? 
_d5903 		you didn't +//.
_d5903 		most of the day you were playing with Grandma  , so you and I didn't even talk very much , like we usually do .
_d5903 		I think that is also what's making you just want +/. 
_d5903 		mmmm , I'm gonna go brush my teeth .
_d5903 		Mommy right now .
_d5903 		and that's okay . 
_d5903 		you have me .
_d5903 		do you want me to read you a book now ?
_d5903 		I'd be happy to do that . 
_d5903 		one for Daddy and one for me , okay .
_d5903 		you get to pick them out , whichever ones you want . 
_d5903 		there's books on the other table , too . 
_d5903 		and +...
_d5903 		I also see The Big Concrete Lorry .
_d5904 		you want The Big Concrete Lorry ? 
_d5904 		okay .
_d5904 		there's Little Farmer Joe +... 
_d5904 		oh+my+goodness , look at those books you picked out . 
_d5904 		how interesting .
_d5904 		you're right !
_d5904 		what a coincidence , Naima . 
_d5904 		a wand . 
_d5904 		oh , you're right ! 
_d5904 		that's exactly like what your friends and you are gonna [: going to] make .
_d5904 		a wand just like that . 
_d5904 		you want me to read that to you ?
_d5904 		okay .
_d5904 		my birthday .
_d5904 		oh you wanna nurse ?
_d5904 		okay . 
_d5904 		lemme [: let me] point that away .
_d5904 		his name is Jeremy . 
_d5904 		my birthday . 
_d5904 		okay .
_d5904 		oh , what did he get ?
_d5904 		and look , who are his friends ? 
_d5904 		his friends are bears , too . 
_d5904 		they're all bear children , aren't they ?
_d5904 		today is my birthday . 
_d5904 		here are all my friends !
_d5904 		ready for the pa:rty: . 
_d5904 		yeah .
_d5904 		hey , one two three four five .
_d5904 		he has five friends coming to his party . 
_d5904 		what lovely presents !
_d5904 		thank you .
_d5904 		you wanna nurse now ? 
_d5904 		the car might be one of his presents ? 
_d5904 		hmmm . 
_d5904 		xxx . 
_d5904 		you think it might be a (.) pillow kind of a car ?
_d5904 		o:h , that might be a cushion of some kind .
_d5904 		I see . 
_d5904 		you wanna get another book for me to read ? 
_d5904 		you can save that potty book for Daddy if you want . 
_d5904 		and I'll read you another book .
_d5904 		okay .
_d5904 		bring it over here and I'll read it .
_d5904 		oops .
_d5904 		careful , you've [: you have] got something attached to you . 
_d5904 		it's all+right . 
_d5904 		if , if you just come back over here for a second I'll fix it for you .
_d5904 		I'll just take it off while you're going to get a book . 
_d5904 		okay .
_d5904 		whoops , okay . 
_d5904 		you can get another book . 
_d5904 		that one's [: one is] for me to read ? 
_d5904 		okay .
_d5904 		okay .
_d5904 		oh , you do the flaps ? 
_d5904 		all+right .
_d5904 		yes , that's an old book , isn't it ? 
_d5904 		lift the lid , what's insi:de ?
_d5905 		who tore that , do you think ? 
_d5905 		oh is that why ? 
_d5905 		oh , I see .
_d5905 		yes , cause it almost looks as if it would have a flap .
_d5905 		do you remember (.) using this book when you first started learning how to use a potty ? 
_d5905 		I remember . 
_d5905 		hmmm .
_d5905 		mmmm , it's funny . 
_d5905 		it's a little opening , isn't it ?
_d5905 		mmmm+hmmm [x 
_d5906 		what happens on this page ? 
_d5906 		you always liked this page . 
_d5906 		the baby sister's [: sister is] getting changed .
_d5906 		o:h , she's making a face , isn't she ? 
_d5907 		why did you tear off this flap ? 
_d5907 		I don't know why you did . 
_d5907 		is there a pocket flap on that Mommy ? 
_d5907 		today is March thirteenth . 
_d5907 		oh , that got torn off too ! 
_d5907 		mmmm+hmmm . 
_d5907 		all those flaps are torn off . 
_d5907 		I think that's where the little bunny reads the book . 
_d5907 		did he read books  ? 
_d5907 		for me to read the book ? 
_d5907 		(o)kay .
_d5907 		you showing Sleepy +... 
_d5907 		it's definitely bed+time , Naima .
_d5907 		now , when little bunny has to go , it's potty time . 
_d5907 		she pulls down her pants and lifts the lid .
_d5907 		little bunny sits on the potty and goes . 
_d5907 		after little bunny goes , it's time to wipe .
_d5907 		that's the end of that page .
_d5907 		time to wash and dry those hands while Mommy pours the pee+pee in the +/.
_d5908 		oh the flap is still there , yeah . 
_d5908 		and what happens here ? 
_d5908 		what's in the box ? 
_d5908 		yes !
_d5908 		now you have lots_of big+kid pants , too . 
_d5908 		this is where you had all your stickers . 
_d5908 		paw+print stickers .
_d5908 		with all the numbers , do you wanna count ? 
_d5908 		okay .
_d5908 		wanna pick out another book ? 
_d5908 		you may have , you may have another book . 
_d5908 		there are some books over there and down there .
_d5908 		and there's The Big Concrete Lorry right here . 
_d5908 		and there's The Bars Are Good for Elephants .
_d5908 		xxx . 
_d5908 		nerd . 
_d5908 		okay . 
_d5908 		you itchy ? 
_d5908 		you need to have a bath tomorrow morning , Naima . 
_d5908 		before +/.
_d5908 		cause you haven't had a bath for quite a while . 
_d5908 		(o)kay .
_d5908 		let's [: let us] see .
_d5908 		Naima , what are you doing ? 
_d5908 		oh , you're tape decorating . 
_d5908 		let's [: let us] see . 
_d5908 		you're going all around the edge of the table . 
_d5908 		I'll put this here . 
_d5908 		are you wearing +/? 
_d5908 		I think that's wet .
_d5908 		oh , that's all+right .
_d5908 		it doesn't matter .
_d5908 		I'll switch with you after a little bit . 
_d5908 		this is for Brown , so you can put this in your pocket at some point . 
_d5908 		mmmm+(o)kay . 
_d5908 		when we switch .
_d5908 		today is Naima's birthday , March fourteenth . 
_d5908 		oh , you're putting it all around the edge ! 
_d5908 		that's lovely . 
_d5908 		remember what that's called , the outside edge of something ? 
_d5908 		whoop , looks like you're to the end . 
_d5908 		xxx . 
_d5908 		now you're decorating the top , I think . 
_d5908 		o:h . 
_d5908 		did I tell you she's [: she has] been doing this  a+lot ?
_d5908 		yeah . 
_d5908 		mmmm . 
_d5908 		very nice decorating ! 
_d5908 		let's [: let us] see how you go .
_d5908 		what's tape line ?
_d5909 		xxx gate ? 
_d5909 		can you not go through it ?
_d5909 		is it gonna keep you out of it ? 
_d5909 		oh , you're gonna go underneath . 
_d5909 		can children go underneath , but adults can't go through it ? 
_d5909 		is that what it's for ?
_d5909 		adults go this way , and children +... 
_d5909 		can go under it .
_d5909 		I see .
_d5909 		how can +/?
_d5909 		how can the adults go ? 
_d5909 		oh , the adults can go this way . 
_d5909 		all the way around the slide . 
_d5909 		mmmm . 
_d5909 		well , it was dirty . 
_d5909 		xxx put this in your pocket .
_d5909 		yes , that's right . 
_d5909 		it had some crumbs on it and things like that .
_d5909 		I think more than crumbs , it had some remains of the  macaroni+and+cheese .
_d5909 		o:h .
_d5909 		wanna do some drawing ? 
_d5909 		are you hungry ?
_d5909 		would you like to eat ?
_d5909 		you can have macaroni+and+cheese .
_d5909 		that would be fine .
_d5910 		mmmm+(o)kay . 
_d5910 		I will heat some up for you .
_d5910 		what ? 
_d5910 		nighttime or evening ?
_d5910 		what is it ?
_d5910 		it's evening , yes .
_d5910 		is it evening ? 
_d5910 		it's getting dark outside . 
_d5910 		I'll get you something to eat . 
_d5910 		it is time to eat .
_d5910 		yep [: yes] , I'll get you the exact same kind you  .
_d5910 		do you wanna play on the table while we're waiting ? 
_d5910 		yeah , wanna heat it up  ? 
_d5910 		we could eat here ?
_d5910 		wanna do some drawing ?
_d5910 		oh , that's good .
_d5910 		it's a good idea to do some dra:wing . 
_d5910 		oh , really ?
_d5910 		okay . 
_d5910 		I think we need some paper .
_d5910 		xxx  let me see here . 
_d5910 		what is that called ?
_d5910 		that you have .
_d5910 		what are they called ? 
_d5910 		wind chimes . 
_d5910 		chimes ? 
_d5910 		xxx . 
_d5910 		here , let me help you .
_d5910 		there we go .
_d5910 		they're numbers . 
_d5910 		each one has a number .
_d5910 		where is your thing that makes noise ? 
_d5910 		yeah .
_d5910 		mmmm+hmmm .
_d5910 		let's [: let us] see , maybe there's only eight . 
_d5910 		I think there's only eight . 
_d5910 		that's all there is .
_d5910 		I don't see a nine .
_d5910 		do you have the hammer (.) that goes on this ? 
_d5910 		xxx there was a special hammer . 
_d5910 		xxx the mallet , but it's lost .
_d5910 		the mallet , it's lost ? 
_d5910 		o:h , well maybe you could use this then . 
_d5910 		let's see if this +... 
_d5910 		maybe if we took this off +... 
_d5910 		mmmm+(o)kay .
_d5910 		mmmm+hmmm .
_d5910 		do they each have the same sound , or are they different sounds ? 
_d5910 		I think they're different . 
_d5910 		can we tell which is the highest one and which one is the lowest ? 
_d5910 		oh , you're trying to put the pencil in the end . 
_d5910 		and the eraser in the end . 
_d5910 		it looks like it just fits . 
_d5910 		what ? 
_d5910 		you wanna color ?
_d5910 		or (.) draw ? 
_d5910 		or write ? 
_d5910 		what do you feel like doing on the paper ? 
_d5911 		that's an eraser . 
_d5911 		if you make a mistake , you can erase it . 
_d5911 		are you going to write ? 
_d5911 		you have_to write before you erase . 
_d5911 		that's right , you can erase that line you just made . 
_d5911 		oh , we're learning about the eraser .
_d5911 		mmmm+hmmm . 
_d5911 		I'm getting your food ready here , and you're gonna need to stop playing with that if you're gonna come and eat . 
_d5911 		wow , that looks good . 
_d5911 		I'll get you a fork for your macaroni also .
_d5911 		mmmm+(o)kay ? 
_d5911 		you still have some yawns after your nap , don't you ? 
_d5911 		why ? 
_d5911 		I don't know why .
_d5911 		well , the letters are on the way , on the edge .
_d5911 		it starts here , on this side . 
_d5911 		and inside +... 
_d5911 		inside there are (.) letter cookie+cutters .
_d5911 		what letter is this ? 
_d5911 		you can go ahead and eat your food , sweetheart . 
_d5911 		and what is this ? 
_d5911 		Mom , do you wanna have  ? 
_d5911 		yeah , I'll have something to eat .
_d5911 		oh , because we have a , b +... 
_d5911 		let's [: let us] see if we have a c . 
_d5911 		that , that  might be a little noisy for recording . 
_d5911 		oh , okay .
_d5911 		I don't see one  . 
_d5911 		can you sound it out ?
_d5911 		what's the sound here ?
_d5911 		buh . 
_d5911 		what's the sound here ? 
_d5911 		and what's the sound here ? 
_d5911 		bam . 
_d5911 		mmmm . 
_d5911 		that sounds like  .
_d5911 		hmmm .
_d5911 		um , do you want +//? 
_d5911 		I was just gonna basically make what we had for lunch +/.
_d5911 		yeah , that was +/.
_d5911 		but with that yogurt cheese that I +...
_d5911 		yeah , that'll be great .
_d5911 		and Naima has hummus , a:nd macaroni+and+cheese +... 
_d5911 		and carrots . 
_d5911 		mmmm+huh , and hummus . 
_d5911 		mmmm+hmmm . 
_d5911 		you have had quite a birthday . 
_d5911 		remember , all the children were he:re ? 
_d5911 		and what did you do ? 
_d5911 		xxx gave directions ? 
_d5911 		xxx wanted ,  wanted her mother to give me directions to  house because (.)  wants you to come to her house to play sometime . 
_d5911 		o:h , have you +//? 
_d5911 		you have never been to her house ?
_d5911 		you've never gone to  house ? 
_d5911 		she seems like a very nice friend to have . 
_d5911 		now , you know her +//? 
_d5911 		how do you know her ?
_d5911 		throu:gh school ?
_d5911 		through the Waldorf School ?
_d5912 		oh . 
_d5912 		her father is a (.) professional storyteller . 
_d5912 		o:h ! 
_d5912 		he travels around .
_d5912 		really ?
_d5912 		yeah . 
_d5912 		have you heard him tell stories ? 
_d5912 		no . 
_d5912 		that's what he does though , Naima . 
_d5912 		did you know  Daddy , his job is to tell stories ?
_d5912 		hmmm . 
_d5912 		that's right , he was working taking care of the trash . 
_d5912 		that was his job today .
_d5912 		to get ready for the party .
_d5912 		yeah , we took all the trash out to the garage . 
_d5912 		so it's not in our way for the party . 
_d5912 		Mom , I was gonna add parsley and olive oil to the yogurt cheese , is that all+right with you ? 
_d5912 		yeah , that sounds good . 
_d5912 		and you had a couple babies . 
_d5912 		we have one very young baby . 
_d5912 		that young baby was just three months old , I think . 
_d5912 		the little baby that came that was in the ,  , carrier ? 
_d5912 		all zipped up in the carrier ?
_d5912 		xxx . 
_d5912 		xxx and  . 
_d5912 		she +//. 
_d5912 		right , she has two mommies .
_d5912 		and there's two children .
_d5912 		two girls , two sisters .
_d5912 		mmmm+hmmm ,  is the big sister . 
_d5912 		you had fun , all of you going down the slide . 
_d5912 		and listening to music , and singing . 
_d5912 		what ? 
_d5912 		what , Naima ? 
_d5912 		boy , you are busy . 
_d5912 		you must be rea:lly hungry .
_d5912 		you must be rea:lly starving . 
_d5912 		is your tummy telling you you're hungry ? 
_d5912 		fill me up , fill me up ! 
_d5912 		somebody moved it . 
_d5912 		it used to be over by the other door . 
_d5912 		because that's where it usually is kept , but maybe because of the party (.) your Daddy or Mommy decided to put it over in that corner instead . 
_d5912 		would you prefer it in the other corner ? 
_d5912 		oh .
_d5912 		after we finish eating , we'll take it back to the other corner . 
_d5912 		yep [: yes] .
_d5912 		the wastebasket used to be in that corner . 
_d5912 		I don't know why your mommy put it there .
_d5912 		it was always in that corner .
_d5912 		oh , because of your party .
_d5912 		I think because of your party and people coming in that door , that we moved the wastebasket . 
_d5912 		huh !
_d5912 		can we sit at your table with you , Naima ?
_d5912 		oh good , thank you . 
_d5912 		it'll be fun . 
_d5912 		it'll be like having a little tea party .
_d5912 		mmmm . 
_d5912 		Naima , would you like water or juice to drink ?
_d5912 		okay , you do have some water . 
_d5912 		oh , okay .
_d5912 		when you're done with the water , Naima . 
_d5912 		oh , okay .
_d5912 		you want juicy wate:r ?
_d5912 		mmmm .
_d5913 		juicy lucy water ? 
_d5913 		birthday child .
_d5913 		no ? 
_d5913 		okay .
_d5913 		I won't .
_d5913 		you want white grape in it , or some other kind ?
_d5913 		cranberry ?
_d5913 		okay .
_d5913 		okay .
_d5913 		Mom , what would you like to drink ?
_d5914 		um , I'll have grape+juice , yeah . 
_d5914 		okay .
_d5914 		what are you thinking about ? 
_d5914 		Naima ? 
_d5914 		I'll get some out of the basement . 
_d5914 		what are you thinking about ?
_d5914 		this is ,  , pita bread . 
_d5914 		she can have pita bread , right ? 
_d5914 		xxx ? 
_d5914 		oh , I think she went downstairs . 
_d5914 		you want some ? 
_d5914 		yeah , I think she went downstairs to get another bottle . 
_d5914 		want this ?
_d5914 		here she co:mes . 
_d5914 		here's your juice . 
_d5914 		let's [: let us] see ,  . 
_d5914 		Mom , there's plenty more of that macaroni+and+cheese if you  want some . 
_d5914 		hmmm .
_d5914 		ooh , carrots . 
_d5914 		mmmm+hmmm , it keeps them nice and  (.) fresh . 
_d5914 		you have carrots . 
_d5914 		how do you make this cheese ? 
_d5914 		Naima ? 
_d5914 		how do you make the cheese ? 
_d5914 		you add an olive+oil to it . 
_d5914 		maybe I'll try some . 
_d5914 		Naima , do you want some olive+oil to dip in ?
_d5914 		she said no . 
_d5914 		okay . 
_d5914 		xxx I'm eating here .
_d5914 		mmmm , thank+you . 
_d5914 		do you want this fork , Mom ?
_d5914 		I'll have a little pasta if there's some .
_d5914 		yes .
_d5914 		do you need more pasta ?
_d5914 		xxx some for her . 
_d5914 		yes , I will need a fork . 
_d5914 		put the dishes out , oops ,  . 
_d5914 		here's a fork . 
_d5914 		o:kay . 
_d5914 		you give her more out of this . 
_d5914 		okay .
_d5914 		then I will heat up more .
_d5914 		that wasn't very hot at all .
_d5914 		hmmm ? 
_d5914 		mmmm this .
_d5914 		mmmm . 
_d5914 		that's very good . 
_d5914 		that's a good combination . 
_d5914 		Mom , would you like some spinach pie ? 
_d5914 		mmmm+hmmm . 
_d5914 		xxx take some ? 
_d5914 		Naima , did you want to try some spinach pie ? 
_d5914 		mmmm .
_d5914 		spinach pie . 
_d5914 		this is spinach pie . 
_d5914 		it's in the package . 
_d5914 		it's like in an envelope , just like +//. 
_d5914 		what were we eating that like an envelope ?
_d5914 		oh , the ravioli last night at the restaurant .
_d5914 		oh , that's right . 
_d5914 		mmmm+hmmm .
_d5914 		I had pizza . 
_d5914 		I shared a pizza with your Mom . 
_d5914 		I had a roasted vegetable pizza . 
_d5914 		there we go . 
_d5914 		make sure I'm recording .
_d5914 		mmmm , it is a little chilly . 
_d5914 		no , record is what I said . 
_d5914 		oh .
_d5914 		you want me to turn the heat up ? 
_d5914 		yeah , a little bit . 
_d5914 		let's [: let us] see what it says .
_d5914 		it says sixty+eight . 
_d5914 		hmmm .
_d5914 		it's pretty accurate  one notch .
_d5914 		oh  what ? 
_d5914 		oh , I don't think so . 
_d5914 		fell down ? 
_d5914 		oh .
_d5914 		mmmm . 
_d5914 		want more spinach pie ?
_d5914 		oh okay . 
_d5914 		did you try this +...
_d5914 		this is basically yogurt , Naima . 
_d5914 		mmmm+hmmm . 
_d5914 		that just means it's the creamy part . 
_d5914 		mmmm , (o)kay .
_d5914 		you can try it with the bread . 
_d5914 		how about just dipping  the bread into it ? 
_d5914 		he's trying to pull his overalls ?
_d5914 		xxx .
_d5914 		you have some hummus there , too . 
_d5914 		it's really garlicky . 
_d5914 		it's garlicky , huh ? 
_d5914 		mmmm .
_d5914 		you have it in your bowl . 
_d5914 		can you taste it ? 
_d5914 		xxx .
_d5914 		do you want some more bread to go with the hummus ?
_d5914 		xxx . 
_d5914 		xxx .
_d5914 		garlic .
_d5915 		you could also dip your carrots in your hummus , like Mommy . 
_d5915 		look .
_d5915 		I dipped ,  your finger . 
_d5915 		I can taste the garlic .
_d5915 		mmmm+hmmm . 
_d5915 		garlic .
_d5915 		I think there's lemon in there , too . 
_d5915 		mmmm+hmmm . 
_d5915 		lemon ?
_d5915 		do you taste lemon ?
_d5915 		yeah , garlic and lemon . 
_d5916 		tahini_a ? 
_d5916 		just tahini ?
_d5916 		tahini_a ?
_d5916 		I've never heard of tahini_a .
_d5916 		arch . 
_d5916 		please don't play with your food .
_d5916 		garlic . 
_d5916 		tahini .
_d5916 		tahini_a . 
_d5916 		oh , dear . 
_d5916 		hummus on your dress . 
_d5916 		oh , dear .
_d5916 		lift up your spoon .
_d5916 		actually , put your spoon on , in there . 
_d5916 		you've [: you have] got a+lot on the back of your spoon there . 
_d5916 		this dress must come off after dinner . 
_d5916 		mmmm . 
_d5916 		you have some bread there , too .
_d5916 		what ? 
_d5916 		that's what you have . 
_d5917 		well I kind+of designed the cake and made  one+and+a+half times the recipe thinking I wanted just one layer and small pan so that there's no leftovers . 
_d5917 		now I wish there were leftovers !
_d5917 		xxx .
_d5917 		I know , that was so good , that cake .
_d5917 		what are you gonna do with the bear ? 
_d5917 		that's a good question . 
_d5917 		Naima actually doesn't eat chocolate .
_d5917 		I think maybe +... 
_d5917 		what kind of chocolate is it ?
_d5917 		the people who like chocolate could eat it .
_d5917 		it's regular milk chocolate . 
_d5917 		where'd [: where did] you find it ? 
_d5917 		there's a company called The Chocolate Bear . 
_d5917 		o:h . 
_d5917 		in San Francisco .
_d5917 		they make lots_of different kinds of chocolate , but (.) they also make a chocolate bear . 
_d5917 		oh+my+goodness . 
_d5917 		so I had one piece of chocolate shipped . 
_d5917 		hmmm .
_d5917 		yes , and I wouldn't mind eating some of it myself . 
_d5917 		xxx .
_d5917 		does she ? 
_d5917 		would you wanna try it ?
_d5917 		let's [: let us] not ,  +... 
_d5917 		oh , okay .
_d5917 		go there .
_d5917 		okay .
_d5917 		there's no reason to . 
_d5917 		let's [: let us] leave well enough alone . 
_d5917 		did you get any pictures ,  ?
_d5917 		I did , but I mean of the cake I didn't .
_d5917 		mmmm .
_d5917 		but somebody did . 
_d5917 		someone flashed .
_d5917 		I took some but I'm not sure they were the distance , and I +...
_d5917 		uh+huh .
_d5917 		it was too late , really .
_d5917 		I know .
_d5917 		I really regret it , but I just didn't have the +...
_d5917 		mmmm .
_d5917 		I wasn't positioned right .
_d5917 		I was in the distance , yes . 
_d5917 		I wasn't positioned right for a good picture , but I got some pictures of the party .
_d5917 		did you see me taking pictures ? 
_d5917 		I took a couple pictures .
_d5917 		tahini_a .
_d5917 		tahini_a .
_d5917 		tahini , tahini , tahini .
_d5917 		xxx .
_d5917 		xxx .
_d5918 		tahini_a . 
_d5918 		hummus , tahini_a . 
_d5918 		you can dip you:r (.) carrots into it . 
_d5918 		or you can dip your pasta in it . 
_d5918 		that's what I did . 
_d5918 		I put the pasta +...
_d5918 		I mixed the pasta with the hummus , and it was good .
_d5918 		it was a good combination . 
_d5918 		she sold an old pig ? 
_d5918 		oh .
_d5918 		and that's a song ? 
_d5918 		mmmm .
_d5918 		yeah ?
_d5918 		what do you need ? 
_d5918 		is it stinging ?
_d5918 		yeah .
_d5918 		o:h .
_d5918 		do you have a sore ? 
_d5918 		xxx sting .
_d5918 		you have a sore on your hand ? 
_d5918 		hmmm ?
_d5918 		namommus , instead of hummus ?
_d5918 		namommus ? 
_d5918 		Naima , sit on your bottom , please .
_d5918 		namommus . 
_d5918 		are you +//?
_d5918 		Naima , Naima , Naima !
_d5918 		why ?
_d5918 		you asked me to +/.
_d5918 		you asked me to clean your hand .
_d5918 		is it hurting ?
_d5918 		is that why ?
_d5918 		are you finished eating ?
_d5919 		are you finished eating ? 
_d5919 		are you finished ?
_d5919 		let me take your bib off so it's +/. 
_d5919 		and your dress .
_d5919 		so it's not in your way .
_d5919 		yeah .
_d5919 		you're gonna see her tomorrow , though . 
_d5919 		she's in your Waldorf school , right ? 
_d5919 		are you gonna eat some more ? 
_d5919 		are you gonna eat more ?
_d5919 		no ? 
_d5919 		okay .
_d5919 		no ?
_d5919 		what kind of a word is that ?
_d5919 		no .
_d5920 		hummus . 
_d5920 		you can leave the leggings on , okay ?
_d5920 		leave your leggings on .
_d5920 		I'm gonna pause the recording , she's so far away .
_d5920 		okay .
_d5920 		mmmm+(o)kay .
_d5920 		that fits there . 
_d5920 		I think you had it right , yeah .
_d5920 		yep [: yes] .
_d5920 		Naima , who is in that puzzle ?
_d5920 		uh+huh .
_d5920 		and who else ?
_d5920 		piglet too ? 
_d5920 		there it goes .
_d5920 		there's a bite out of his nose ? 
_d5920 		is that who this is ?
_d5921 		I don't know who this is that's in the blue . 
_d5921 		who's the blue one ? 
_d5921 		is it Eeyore ? 
_d5921 		there it goes . 
_d5921 		you got it . 
_d5921 		you have some pieces here , too , don't forget . 
_d5921 		okay .
_d5921 		huh .
_d5922 		you are so good at this puzzle . 
_d5922 		there it goes .
_d5922 		oh , that has to be record time that you finished that puzzle in .
_d5922 		you are good . 
_d5922 		that is wonderful . 
_d5922 		all done ! 
_d5922 		I think she went in the other room . 
_d5922 		&u:h , did she go in the bedroom ? 
_d5922 		or did she go by the laundry ? 
_d5922 		you did the puzzle agai:n ?
_d5922 		can I come see: ? 
_d5922 		coming .
_d5922 		what ? 
_d5922 		we'll see , wanna come see , come show me .
_d5922 		I haven't really even seen this puzzle yet . 
_d5922 		o:h , wa:y ! 
_d5922 		and there's a butter +//. 
_d5922 		looks like they're all looking at a butterfly , is that right ?
_d5922 		oh my gosh . 
_d5922 		are you gonna do it again ?
_d5922 		or are you gonna put it back ?
_d5922 		oh , are you gonna surprise me ? 
_d5922 		xxx .
_d5922 		xxx mix them up .
_d5922 		let's [: let us] mix it up a make it +... 
_d5922 		mmmm .
_d5922 		are you helping her or she's just doing it by herself ? 
_d5922 		she's doing it by herself all totally .
_d5922 		yeah . 
_d5922 		what's that ?
_d5922 		are you gonna hide that from yourself ?
_d5922 		xxx .
_d5922 		wow , I wonder how fast you can do it . 
_d5922 		why don't you +//. 
_d5922 		you wanna time her ?
_d5922 		no I don't wanna +/.
_d5922 		see if it's +...
_d5922 		time her .
_d5922 		the parts of Tigger first , huh ? 
_d5922 		Tig .
_d5923 		get the Tig ? 
_d5923 		xxx .
_d5923 		get the Tig . 
_d5923 		xxx .
_d5923 		I think you might be sitting on part of Tig . 
_d5923 		whoops . 
_d5923 		xxx .
_d5923 		are you making up a song ?
