_d4287 		today is August sixteenth . 
_d4294 		tangled . 
_d4294 		tangled , tangled , tangled . 
_d4294 		tangled ,  clunk .
_d4294 		Naima went clunk , I saw that .
_d4294 		you go clunk on the slide ?
_d4294 		whoa . 
_d4294 		what ?
_d4294 		xxx went ding dong ?
_d4294 		somebody .
_d4294 		somebody was at the door , it was actually  in the end .
_d4294 		yeah , it was  .
_d4294 		ding dong went  .
_d4294 		somebody went ding dong .
_d4294 		somebody went ding dong , ringing the bell .
_d4294 		and it was  .
_d4294 		yeah , where's your dress ?
_d4295 		is there a dress anywhere in this room , on the couch , is there a dress on the couch ? 
_d4295 		on the couch ? 
_d4295 		what's this ? 
_d4295 		what is this ? 
_d4295 		yeah .
_d4295 		should I wear your dress ? 
_d4295 		I'm silly cause [: because] I'm putting it on my head ?
_d4295 		hello .
_d4295 		today was a hot day , wasn't it ?
_d4295 		yeah ,  ,  brought things for us , she bought some things for us .
_d4295 		thank you ,  .
_d4295 		stuff .
_d4295 		xxx brought some stuff .
_d4295 		do you think the koala would like the , to wear the ribbon on his ear , let me tie the ribbon on his ear .
_d4295 		I'm gonna tie a bow .
_d4295 		does that look silly ?
_d4295 		ding dong  !
_d4295 		ding dong  !
_d4295 		yeah , she brought things .
_d4295 		she went shopping .
_d4295 		I'm gonna hide your dress under the container ,  .
_d4296 		where's the dress ? 
_d4296 		uh .
_d4296 		xxx is silly ? 
_d4296 		is she really silly ? 
_d4296 		yeah , she went shopping for us .
_d4296 		she bought things .
_d4296 		at the store , she bought things at the store , and she brought them back to us .
_d4296 		yeah , I asked her , please go buy these things  , and she did .
_d4296 		what ?
_d4296 		yeah ,  went bye+bye .
_d4296 		you're trying to hide the (.) the puppet , let me help you .
_d4296 		the parrot , the parrot puppet ,  .
_d4297 		whe:re's the parrot ? 
_d4297 		uh , there she is .
_d4297 		you call this puppet carrot , that's news to me .
_d4297 		oh , you wanna put your hand in ?
_d4297 		put your hand in ,  . 
_d4297 		it's like a glove , a puppet is similar to a glove , isn't it ? 
_d4297 		sit ?
_d4297 		oh , the puppet's [: puppet is] sitting , can the puppet sit next to Mommy ?
_d4298 		there . 
_d4298 		are you almost ready for some supper ?
_d4298 		what would you like to eat ? 
_d4298 		you're gonna sit , are you gonna relax or you're gonna sit ? 
_d4298 		hi , babe .
_d4298 		Sleepy Bear was sitting on the couch next to Michelle today .
_d4298 		right ? 
_d4298 		you're gonna sit there , up on the couch .
_d4298 		up on the sofa , sofa !
_d4298 		you're on the sofa ! 
_d4298 		xxx .
_d4298 		sofa .
_d4298 		Naima's sofa .
_d4298 		oh , you wanna play dominoes , okay .
_d4299 		let's play dominoes with the blocks . 
_d4299 		that's a great idea , I like that idea . 
_d4299 		you want them all the same size , okay ? 
_d4299 		okay , you're gonna put some there , okay . 
_d4299 		yeah , that's the idea ! 
_d4299 		yeah , but you only need to push one , you only need to push the one at the end . 
_d4299 		whoa , you did it ,  , you did it ! 
_d4299 		I like the way you did it , you did it in the middle and you pushed each side down .
_d4299 		okay , ready ?
_d4300 		they all fell down ! 
_d4300 		you're gonna lie down ?
_d4300 		backpack , you wanna take that off , okay .
_d4300 		I think we'll stop for a while . 
_d4300 		I'll take the backpack off .
_d4300 		and we'll play dominoes , and then will have some supper , and Daddy will then come home . 
_d4300 		let's see +...
_d4300 		that was (.) not very long +...
_d4300 		I see . 
_d4300 		xxx was eating sitting in that chair ,  , I see .
_d4300 		xxx was eating ?
_d4300 		are you on the chair ?
_d4300 		are you on  chair or  chair ?
_d4300 		who was sitting there eating ?
_d4300 		oh ,  was on that chair ?
_d4300 		oh !
_d4300 		you went under the table , didn't you ?
_d4300 		there .
_d4300 		xxx .
_d4300 		you're sitting in  chair ?
_d4300 		oh !
_d4300 		hnn: . 
_d4300 		xxx chair .
_d4300 		oh !
_d4300 		yup [: yes] .
_d4300 		xxx chair .
_d4300 		bye+bye .
_d4301 		we said bye+bye to them , bye  , bye  , bye  . 
_d4301 		didjou [: did you] say bye to  ? 
_d4301 		bye+bye  , bye+bye  .
_d4301 		bye+bye everybody .
_d4301 		bye+bye everybody .
_d4301 		today's date is Sunday August eighteenth .
_d4301 		yes .
_d4302 		I said it's Sunday August eighteenth . 
_d4302 		and ,  +...
_d4302 		and here we are , we haven't taped for (.) two days .
_d4302 		was  sitting in that chair ?
_d4302 		and we just had some visitors , didn't we ?
_d4302 		bouncy ?
_d4302 		oh , was he bouncing on something ?
_d4302 		he was jumping ?
_d4302 		xxx was jumping , what was he jumping on ?
_d4302 		on a shovel ?
_d4303 		wha:t ? 
_d4303 		xxx was playing in the water . 
_d4303 		so Naima was +...
_d4303 		xxx water .
_d4303 		you said some good sentences this week .
_d4303 		Naima said Mommy bring a high+chair .
_d4303 		when I was bringing a high+chair into this room .
_d4303 		that was +...
_d4303 		when was that ?
_d4303 		that was when  was here so that was just +...
_d4303 		oh , some days ago .
_d4303 		Wednesday .
_d4303 		news toys ?
_d4303 		Wednesday ?
_d4304 		Wednesday ? 
_d4304 		and you said , and  told me that you said silly boys play in the park .
_d4304 		so this week we've seen the , not the very first time but the more frequent subject verb sentences with the subject and the verb in the appropriate place .
_d4304 		where did Daddy go ?
_d4304 		oops ,  . 
_d4304 		I think Daddy went to the bathroom .
_d4304 		oh , you wanna play legos ?
_d4304 		okay .
_d4304 		and what else ,  , let's see .
_d4304 		I'm just gonna rearrange the camera for a minute so we can go play legos over there .
_d4304 		mo:ve it .
_d4304 		oh , you wanna play dominoes ? 
_d4304 		we could do that .
_d4304 		you wanna play dominoes with the legos ?
_d4304 		you wanna make them fall ?
_d4304 		okay .
_d4304 		we could do that .
_d4305 		xxx played legos . 
_d4305 		xxx played legos , too .
_d4305 		and they fell down ,  made a big tower and Naima knocked it over .
_d4305 		crash .
_d4305 		kerplunk ! 
_d4305 		kerplunk ! 
_d4305 		good job ! 
_d4305 		and this week Naima really learned how to put one lego on top of another lego and make it s:tick .
_d4305 		make it sit , yeah .
_d4306 		where did we go with  and  , Naima ? 
_d4306 		where did we go with them ? 
_d4306 		to the +...
_d4306 		yes , we went to the restaurant .
_d4306 		xxx was at the restaurant , too !
_d4306 		she's  mommy and  mommy .
_d4306 		xxx Mommy is +...
_d4306 		xxx ,  !
_d4306 		and we all went to the restaurant , everybody went to the restaurant . 
_d4306 		everybody was eating .
_d4306 		was  at the restaurant ? 
_d4306 		what's  daddy's name ?
_d4306 		what's  daddy's name ? 
_d4306 		do you remember ?
_d4306 		what's  daddy's name ?
_d4306 		who is  daddy ? 
_d4306 		xxx his name is ? 
_d4306 		xxx is her mommy !
_d4306 		xxx is  mommy . 
_d4306 		sit , lego ! 
_d4306 		there ! 
_d4306 		oh , there's a red one on a green one .
_d4306 		xxx and  , they were both eating , weren't they ?
_d4307 		ooh clunk . 
_d4307 		xxx was being funny , wasn't he ?
_d4307 		xxx was being silly . 
_d4307 		silly +/.
_d4307 		yeah , when you said more raisins_a and you wanted raisins he was saying raisins_a !
_d4307 		he was imitating Naima ! 
_d4307 		he was imitating you ! 
_d4307 		you were greeting  ?
_d4307 		ah , yeah , I see . 
_d4307 		you were greeting  . 
_d4307 		you were saying hi  . 
_d4307 		somebody was playing with the legos ?
_d4307 		xxx was playing with the legos , he built this piece of a pyramid .
_d4307 		Naima knocked it down . 
_d4307 		Naima knocked it down .
_d4307 		Naima knocked down the blocks that were on top of the legos .
_d4308 		I saw you do that . 
_d4308 		mmmm   .
_d4308 		xxx .
_d4308 		are you talking like a puppy dog ?
_d4308 		you building tower with the red legos ?
_d4308 		nn   .
_d4308 		looking for a red lego ?
_d4308 		there's a red lego . 
_d4308 		right there , near your toe . 
_d4308 		near +...
_d4308 		another red lego ?
_d4308 		there it is !
_d4308 		wouldjou [: would you] like it ? 
_d4308 		okay ?
_d4308 		red , that is a red one , another red one .
_d4308 		yeah , that's a blue one , right .
_d4308 		what color's [: color is] this one ?
_d4308 		yeah !
_d4308 		what color ?
_d4308 		gree:n .
_d4308 		that's right , it's a green one . 
_d4308 		what're you doing to the legos , Naima ?
_d4308 		what're you doing with the legos ? 
_d4308 		what're you doing ?
_d4308 		you're helping the legos ?
_d4308 		oh !
_d4309 		you're helping them stick together ? 
_d4309 		Mommy can stick them together , too .
_d4309 		xxx made some really good lego (.) objects .
_d4309 		xxx put your blocks on top of the lego tower .
_d4309 		and Naima knocked them down .
_d4309 		yeah .
_d4309 		Naima's [: Naima is] helping the legos ?
_d4309 		okay , let's see , can I help you get these ?
_d4309 		Mommy will help you get these legos .
_d4309 		you want another blue one , here you go .
_d4310 		okay , I'll give you all the blue ones now . 
_d4310 		here's some more blue ones , two more blue ones .
_d4310 		here's three blue ones .
_d4310 		Naima needs the blue legos ! 
_d4310 		blu:e !
_d4310 		hey , Naima ! 
_d4310 		do you remember when badega came to visit the other day ? 
_d4310 		do you remember when badega came to visit ? 
_d4310 		who else came that day ?
_d4310 		snape ? 
_d4310 		badega's [: badega is] a little animal , remember ? 
_d4310 		oh yes , you put him under your leg .
_d4310 		and who else came ?
_d4310 		remember pagadi came ? 
_d4310 		pagadi came to visit also . 
_d4310 		another blue one , okay .
_d4310 		here's some blue ones .
_d4310 		who else came to visit that day , who were +//?
_d4310 		badega !
_d4310 		and who else , who were the women who came , what were their names ?
_d4311 		you remember who they were ? 
_d4311 		xxx .
_d4311 		people , yeah .
_d4311 		xxx . 
_d4311 		and ?
_d4311 		xxx . 
_d4311 		yeah .
_d4311 		they brought stuff withem [: with them] !
_d4311 		they , they brought special toys .
_d4311 		and they brought books too , we looked at their books . 
_d4311 		and other books , yup [: yes] .
_d4311 		I'm giving you all the blue ones , here . 
_d4311 		hey , and this the letter z is blue also . 
_d4311 		letter z is wet ? 
_d4311 		wha:t ? 
_d4311 		xxx got wet cause [: because] she went swimming in the water .
_d4311 		what was she wearing on her eyes ? 
_d4311 		what was she wearing on her +//?
_d4311 		she was wearing a hat ?
_d4311 		she was wearing goggles . 
_d4311 		xxx was wearing goggles .
_d4311 		yeah .
_d4311 		goggles are glasses , that's right .
_d4311 		special kinda [: kind of] glasses . 
_d4311 		yes , that's a red one .
_d4311 		and it's attached to a yellow one .
_d4311 		yes , those are blue , that's right .
_d4312 		and I've got some green ones right here . 
_d4312 		green ones !
_d4312 		yellow .
_d4312 		it's yellow like your toothbrush . 
_d4312 		yeah , Naima has a yellow toothbrush . 
_d4312 		and Mommy has a yellow toothbrush too .
_d4312 		Daddy red ?
_d4312 		Daddy's teeth ?
_d4312 		does he brush his teeth sometimes ?
_d4312 		when we go to bed we brush our teeth , right ?
_d4313 		at bedtime we brush our teeth ? 
_d4313 		and Naima brushes her (.) own teeth by herself , right ? 
_d4313 		yeah , that's green .
_d4313 		you know what +..?
_d4313 		you're taking the green one off ?
_d4313 		you know what color that is ?
_d4313 		no , it's not red .
_d4314 		that's black . 
_d4314 		black .
_d4314 		that's a black lego . 
_d4314 		here's another black lego .
_d4314 		whoa , isn't that funny ? 
_d4314 		nother [: another] black one .
_d4314 		right , nother [: another] black lego . 
_d4314 		what color's [: color is] this ? 
_d4314 		you know that color . 
_d4314 		what color is that ? 
_d4314 		is it green ? 
_d4314 		no: ! 
_d4314 		is it black ?
_d4314 		lemme [: let me] see , no that's not black !
_d4314 		what color is this ? 
_d4314 		no: , this is red . 
_d4314 		red , this is a red one . 
_d4314 		this is a yellow one ! 
_d4314 		this is the letter c .
_d4314 		yellow !
_d4314 		yellow and red ! 
_d4314 		yellow and red !
_d4314 		the car is +...
_d4315 		but , yeah , this is the body of the car . 
_d4315 		this is the body of Naima . 
_d4315 		this is white . 
_d4315 		this is a white lego . 
_d4315 		you know how sometimes you like +...
_d4315 		yeah , yellow .
_d4315 		another yellow one .
_d4315 		you know sometimes you like to find all the white rocks outside in the driveway ? 
_d4315 		this is that same color , white . 
_d4315 		okay .
_d4315 		yeah , that's a red one , that's right .
_d4315 		yeah , that's a green one .
_d4315 		here's a red one .
_d4315 		here's a green one .
_d4315 		I'm gonna ,  , you're gonna put a red one on top of the green ones !
_d4316 		oh: , what happened there ? 
_d4316 		here , let me help you . 
_d4316 		try that again . 
_d4316 		there ! 
_d4316 		there ! 
_d4316 		nn  . 
_d4316 		I think Daddy's gonna get in the car soon , he's gonna [: going to] go somewhere . 
_d4316 		Daddy's gonna go visit some friends . 
_d4316 		that's right , Daddy and  are friends . 
_d4316 		yup [: yes] ,  is Daddy's friend .
_d4316 		and  and  are your friends . 
_d4316 		we went to the beach with them , didn't we ? 
_d4316 		what did we do at the beach ?
_d4316 		we played with the buckets +... 
_d4316 		what else did we do ?
_d4316 		which shovel did we use ?
_d4316 		that big shovel , didn't we use the big one ? 
_d4316 		big shovel . 
_d4316 		what did we do at the beach , though ?
_d4316 		we got wet , yes !
_d4316 		yes , we were swimming !
_d4316 		I was pulling you with my hands , you were swimming .
_d4316 		Mommy was helping you swim .
_d4316 		oh , y'wanna [: you want to] play dominoes with the legos , okay .
_d4316 		let's , let's do that , let's see .
_d4316 		let me do it like +...
_d4316 		we need to make some dominoes .
_d4316 		yes ,  played legos with us .
_d4316 		legos were falling down ? 
_d4316 		yeah . 
_d4316 		oh , the blacks are fall +...
_d4316 		yeah , you did it ! 
_d4316 		you made the dominoes fall down . 
_d4316 		whoa . 
_d4316 		whoa   .
_d4316 		Naima get it .
_d4317 		did you get it ? 
_d4317 		yeah .
_d4317 		oh , you got it out of the box ?
_d4317 		that lego was in the box .
_d4317 		Mommy's building , Mommy's making dominoes .
_d4317 		Mommy's making some dominoes .
_d4318 		the legos fall down ? 
_d4318 		xxx legos .
_d4318 		xxx made some stuff with the legos . 
_d4318 		here's more dominoes !
_d4318 		yeah , the blocks fa:ll down .
_d4318 		they fell down when you knocked them down .
_d4318 		another block ?
_d4318 		hey , another blocks , more blocks ?
_d4318 		there's another block under the sofa .
_d4318 		Mommy sofa ?
_d4319 		does that mean I have_to go get something ? 
_d4319 		can you remind me where you thought the   might be ? 
_d4319 		xxx if somebody else  .
_d4319 		oh , the  box under the bed in my office ?
_d4319 		you're reaching something , what are you reaching ?
_d4319 		you need some help reaching ?
_d4319 		okay , let me help you then .
_d4319 		okay .
_d4320 		what did you find ? 
_d4320 		oh , you found a card under there !
_d4320 		and Mommy found a block . 
_d4320 		and you found a card too . 
_d4320 		here's , here go the dominoes , you ready ? 
_d4320 		hmmm , here are some letters , here's the letter a . 
_d4320 		here's the letter a . 
_d4320 		here's the letter n .
_d4320 		you hid the cards under that sofa . 
_d4320 		I don't think there are any balls under the sofa .
_d4320 		I don't think so .
_d4320 		I'm gonna make some towers .
_d4320 		badega !
_d4321 		you remember badega ? 
_d4321 		badega was +...
_d4321 		oh , badega was fuzzy !
_d4321 		you're fuzzy ? 
_d4321 		let's see .
_d4321 		badega was a fuzzy animal . 
_d4321 		oh , clunk !
_d4321 		you knocked down the tower ! 
_d4321 		what're you doing , Naima ? 
_d4321 		you're doing blocks ? 
_d4321 		what're you doing with the blocks ? 
_d4321 		are you making a tower ?
_d4321 		Mommy's making a tower .
_d4321 		Mommy's making a tower with the blocks .
_d4321 		oh , there's another block right there . 
_d4321 		those are the big blocks over there .
_d4321 		are you almost ready to have some dinner ?
_d4321 		xxx played with those blocks ?
_d4321 		oh .
_d4321 		did you put something else ,  , there's the card .
_d4322 		there's the card , I'm gonna put the cards in the box . 
_d4322 		you're looking at that card ?
_d4322 		nn ,  , that's a picture of Mommy , that's right .
_d4322 		thank you !
_d4322 		that's a picture of me . 
_d4322 		that's a picture of me .
_d4322 		that's your book . 
_d4322 		that's your book , Naima .
_d4322 		you wanna read it ?
_d4322 		look at that .
_d4322 		&aw .
_d4322 		how bout [: about] some supper , boo ?
_d4323 		ouch . 
_d4323 		Naima's [: Naima is] making a tower ?
_d4323 		help you ? 
_d4323 		nn .
_d4323 		didn't find it ?
_d4323 		um +...
_d4323 		that's red !
_d4323 		uh , there's one other place , I doubt it's there but I could check .
_d4323 		where's that ?
_d4323 		that's white , yes , it's a white lego .
_d4323 		no , I'm just thinking of +...
_d4323 		that's a blue one , yeah .
_d4323 		I'm thinking of various places where papers have gone , (.) blue tower when we've cleaned up for an open house .
_d4323 		there's a paper bag in my office with a few pieces of paper in it , it could be in there . 
_d4323 		um , how long ago dijou [: did you] get that now ?
_d4323 		long time ago , about two months . 
_d4323 		that long ago ? 
_d4323 		yeah .
_d4323 		I don't think so . 
_d4323 		well , six weeks at least . 
_d4323 		maybe . 
_d4323 		well , if you wanna play with her , I'll look for it .
_d4323 		sure .
_d4323 		are you still recording ?
_d4323 		yes , I am , I'll just give you the  +...
_d4323 		you're gonna play with Daddy for a few minutes ?
_d4324 		hey ! 
_d4324 		lucky Daddy !
_d4324 		hey , legos !
_d4324 		oh , you have ,  made a bunch of legos .
_d4324 		xxx made a bunch of legos .
_d4324 		he made a really big tower and you knocked it down , didn't you ?
_d4324 		you like knocking it down .
_d4324 		yeah Mommy went for , to do a job for Daddy in a minute .
_d4324 		she'll be back .
_d4324 		yeah !
_d4324 		oh , you're giving me this , thank you .
_d4324 		yeah , it's Naima , Naima's card ?
_d4324 		yeah , hey , who's that , who's that boo ?
_d4324 		that's Mommy .
_d4325 		yeah , that's Mommy looking (.) much younger . 
_d4325 		that's a long time ago .
_d4325 		yeah , Mommy office ?
_d4325 		where , what office ? 
_d4325 		hey , let's make a car . 
_d4325 		oh , you're making another car ?
_d4325 		there's another car over there .
_d4325 		I like these blocks , I haven't used these before , look a g ! 
_d4325 		a g block ! 
_d4325 		I can't believe it , it's a g block ! 
_d4325 		and a k block ! 
_d4325 		that's funny .
_d4325 		oh my , they have so many different letters !
_d4325 		that's an n , you're right , my good young girl !
_d4325 		who told you +..?
_d4325 		that's another n .
_d4325 		no , that's a g , nice guess , I guess one in twenty six +...
_d4325 		after a while the statistics'll [: statistics will] take over .
_d4325 		that's a k .
_d4325 		that's a k , look at that , that's +...
_d4325 		that's a g , when it's that way , it's a g .
_d4325 		that's an n .
_d4325 		that's a u: .
_d4325 		that's a y: .
_d4326 		see , that's a u: and that's a y: . 
_d4326 		yeah . 
_d4326 		that's red , that's a red k . 
_d4326 		and that's a red g . 
_d4326 		what a system ! 
_d4326 		white , that's a white lego .
_d4326 		that's a white lego , that's right . 
_d4326 		yeah , you're knocking the legos off .
_d4326 		that's  lego , yeah , he made a big lego city , didn't he ?
_d4326 		he made a big city .
_d4326 		yeah .
_d4327 		you could make another lego car right here . 
_d4327 		now we have two cars and in fact they hook together , look at that , Naima . 
_d4327 		see , they hook together . 
_d4327 		what an ingenious invention , legos . 
_d4327 		ingenious . 
_d4327 		yeah , it's tricky , how do you get them off ?
_d4327 		it's tricky .
_d4327 		oh , boo , hold on . 
_d4327 		oh , sweetie pie , there , i got it off , sweetie look . 
_d4327 		geez Louise . 
_d4327 		geez Louise . 
_d4327 		geez Louise . 
_d4327 		Louise ?
_d4327 		geez Louise ! 
_d4327 		it's not on the  refrigerator , is it ?
_d4327 		i've cleared off the fridge .
_d4327 		oh . 
_d4327 		but I am looking for stuff in the cabinet  .
_d4327 		geez Louise .
_d4327 		yeah .
_d4327 		you're acting a wee bit on the cranky side .
_d4327 		right at your feet , my dear .
_d4327 		it's right at , behind you , right at your feet .
_d4328 		there , you got it ! 
_d4328 		she's been learning some letters , is that so ?
_d4328 		Jules ? 
_d4328 		young lady , that's you , you young lady .
_d4328 		you young lady .
_d4328 		you young lady .
_d4328 		white , that's white .
_d4328 		blocks .
_d4329 		that's a g . 
_d4329 		g ! 
_d4329 		hey , we can spell a word , look Naima ! 
_d4329 		that's g , that's u , and that's y , and that spells guy . 
_d4329 		that spells guy , and you know what a guy is , you have a guy . 
_d4329 		nn , that's right .
_d4329 		whose card is this ?
_d4329 		yeah .
_d4329 		it's expired , it's an expired card .
_d4330 		is Mommy under there , no ! 
_d4330 		here's another card .
_d4330 		white .
_d4330 		yeah .
_d4330 		Mommy under the couch , why ?
_d4330 		why , Naima , why , tell me , tell me why ?
_d4330 		oh , baby !
_d4330 		you're a young lady , boo .
_d4330 		that's , that's a microphone , baby boo , that's a microphone .
_d4330 		why ?
_d4330 		you want me to take it off ?
_d4330 		why ? 
_d4330 		why , why are you taking it off ?
_d4330 		I did .
_d4330 		hey , hey , you took it off , you took it off .
_d4330 		how did you do that , miss baby o ?
_d4330 		yes baby .
_d4330 		what's the matter whiny girl ?
_d4330 		you're tired , you know , you're sleepy .
_d4331 		shall we give you some supper ? 
_d4331 		well , I guess Daddy's gonna go .
_d4331 		yeah .
_d4331 		well , that's too bad .
_d4331 		yeah , and you definitely checked down next to your computer , huh ?
_d4331 		I did .
_d4331 		did you have other piles of stuff that got moved     , any piles of stuff    ?
_d4331 		no , I don't know , I mean I guess I'll go down and take a quick look .
_d4331 		blue , blue , blue .
_d4331 		cause [: because] what I remember is +...
_d4331 		blue , blue , blue .
_d4331 		blue , blue , blue .
_d4331 		what about other piles of papers right around the computer ?
_d4331 		cause [: because] you had a couple of piles that were sitting on the table .
_d4331 		you have two , now you have two .
_d4331 		you have two , baby o . 
_d4331 		uh o , baby o . 
_d4331 		I think you need to eat , Naima . 
_d4331 		why dontchou [: don't you] take care of her , I will go down and look . 
_d4331 		I'll go down and look for a few , then I'm gonna go . 
_d4331 		Naima , it's just +...
_d4331 		hey , do you have enough recording ? 
_d4331 		I don't know yet .
_d4331 		I guess so .
_d4332 		have you got some legos there ? 
_d4332 		oh , let's see , what are you giving me ?
_d4332 		oh , thank you boo .
_d4332 		okay .
_d4332 		let's play .
_d4332 		xxx play legos with you .
_d4332 		oh , thank you , that's red and yellow legos .
_d4333 		thank you . 
_d4333 		three legos , that's a two green ones and a red one . 
_d4333 		right , should I pull them apart ?
_d4333 		wouldjou [: would you] like that ? 
_d4333 		there . 
_d4333 		hmmm .
_d4333 		on , okay .
_d4333 		today is August twenty+fifth , it's Sunday , and we are in Maine .
_d4334 		Sunday . 
_d4334 		Sunday .
_d4334 		and we're in Maine . 
_d4334 		welcome to Maine , that's right . 
_d4334 		oh , Mommy cut her hair the other day .
_d4334 		you saw me cutting my hair , you saw somebody cutting my hair .
_d4334 		Daddy took you where I was cutting my hair ?
_d4334 		yeah .
_d4335 		I know , I remember that . 
_d4335 		it was a place .
_d4335 		and there was a woman who was blow+drying my hair . 
_d4335 		I don't like getting my hair blow+dried . 
_d4335 		she was just drying my hair . 
_d4335 		yeah .
_d4335 		she was just drying my hair ,  look , you're gonna make more legos sit there ?
_d4335 		nn , this is a tall tower , Naima . 
_d4335 		this is a ta:ll tower . 
_d4335 		hey .
_d4335 		Daddy , we're building a very tall tower . 
_d4335 		wow . 
_d4335 		with a black lego , that's right .
_d4335 		xxx . 
_d4335 		is what ?
_d4335 		xxx .
_d4335 		uh , it should be in my black (.) plaid bag which is somewhere in here . 
_d4335 		unless I took it out when I was in the car and was reading it . 
_d4335 		but I had it in that bag originally . 
_d4335 		if it's not there then it's in the car . 
_d4335 		and you get charged twelve dollars if you don't return them . 
_d4335 		I was thinking  maybe I could walk near  +...
_d4335 		you can go now , as you can see we're (.) playing quietly and taping and +...
_d4335 		okay . 
_d4335 		we are fine . 
_d4335 		right Naima ? 
_d4335 		Daddy's going for a walk .
_d4335 		Mommy and Naima are playing with legos . 
_d4335 		Naima and Mommy are playing with legos .
_d4335 		making a very tall tower ! 
_d4335 		yeah , can I put this on top ? 
_d4335 		whaddayou [: what do you] think about this ?
_d4335 		this is +...
_d4335 		oh okay , are you mad at that block ? 
_d4335 		nn , yellow . 
_d4335 		welcome to Maine , Naima .
_d4335 		welcome to Maine !
_d4335 		doggy+woggy , is that his name now ?
_d4336 		doggy+woggy happened ? 
_d4336 		what happened to doggy+woggy ? 
_d4336 		lucybucy ? 
