_t4 		xxx okay let see , we in business ? 
_t4 		there's the monkey .
_t4 		the nuts fell out ? 
_t4 		where did the monkey go ?
_t4 		where did it go ? 
_t4 		oh . 
_t4 		the kite fell out . 
_t4 		oh . 
_t4 		where did the monkey go ? 
_t4 		there it is . 
_t4 		monkey . 
_t4 		oh he's slippery . 
_t4 		hmmm some toys are slippery and is hard to hold on to them when they are slippery . 
_t4 		that's true . 
_t4 		there .
_t4 		you put the monkey back . 
_t4 		who the monkey looks like the monkey is about to eat a lot of bananas for lunch . 
_t4 		I think that's what that monkey is doing . 
_t4 		I think is probably time to put on a clean diaper . 
_t4 		yeah sometimes toys are slippery . 
_t4 		are the nuts stuck ?
_t4 		it's okay let's do it together you wanna help me . 
_t4 		there you put it in . 
_t4 		you're feeling frustrated ? 
_t4 		why don't we do it together .
_t4 		they kind of upside down the nuts are kind of hard to do let's put it put your finger on we'll do it together . 
_t4 		we can do it together . 
_t4 		oh okay . 
_t4 		I'm sorry you're feeling frustrated . 
_t4 		we're almost ready to go to music class though that's gonna [: going to] be fun .
_t4 		who's gonna be there ?
_t4 		do you know who's gonna be there ? 
_t4 		who do you think is gonna be there ? 
_t4 		xxx yes and who else ? 
_t4 		xxx who what's her full name ? 
_t4 		yes  .
_t4 		and who else who's the other teacher ? 
_t4 		what's her name the other teacher ? 
_t4 		and it begins with the letter v . 
_t4 		do you remember her name ?
_t4 		who's the other teacher  . 
_t4 		what's her name it sounds like  . 
_t4 		Van Van what's her name ? 
_t4 		Van do you know do you remember ? 
_t4 		I think you do . 
_t4 		yes  . 
_t4 		and who else will be there ?
_t4 		Mave . 
_t4 		and who else ? 
_t4 		who else do you think will be there . 
_t4 		xxx . 
_t4 		who else ?
_t4 		do you remember who else is in that class ? 
_t4 		somebody who's name is su +//. 
_t4 		xxx yes . 
_t4 		baby who's name is  is in that class . 
_t4 		who else ? 
_t4 		do you remember ? 
_t4 		xxx wasn't dressed like Eeyore . 
_t4 		another little baby was dressed like Eeyore . 
_t4 		xxx . 
_t4 		xxx was dressed like Eeyore . 
_t4 		for Halloween . 
_t4 		yeah dressed up for Halloween . 
_t4 		xxx . 
_t4 		where are your pants here they are . 
_t4 		and then what about who's who were dressed up like dogs for Halloween ? 
_t4 		xxx and +//. 
_t4 		xxx right . 
_t4 		we might see them today . 
_t4 		what are they doing ? 
_t4 		they were dressed up like dogs for Halloween . 
_t4 		their costume they had dog costume . 
_t4 		what did you dressed up like for Halloween ? 
_t4 		you . 
_t4 		yes you were a bee . 
_t4 		bees do fly . 
_t4 		you had wings on your bee costume . 
_t4 		not today that was a while ago on Halloween we went to the hospital and you were wearing your bee costume . 
_t4 		and you were flying around the hospital like a bee . 
_t4 		I'm gonna get some socks for you . 
_t4 		nursing stations yeah we went trick or treating at the nursing stations . 
_t4 		let's put on some socks now . 
_t4 		okay this is later in the day on November fifteenth . 
_t4 		let's put our stuff on . 
_t4 		trick or treating yeah .
_t4 		we were trick or treating weren't we . 
_t4 		on Halloween what is that mean trick or treating do you know ? 
_t4 		what did we do when we went trick or treating ? 
_t4 		do you remember ?
_t4 		oh his head backwards again . 
_t4 		there is a little girl under there . 
_t4 		you have_to get her ? 
_t4 		okay . 
_t4 		yep [: yes] she was down there . 
_t4 		hey it's the alphabet book . 
_t4 		Mommy is a doctor of philosophy . 
_t4 		doctor of philosophy . 
_t4 		you need to take it off why don't you leave it on now . 
_t4 		you're a tiger . 
_t4 		and what else is in here ? 
_t4 		you really need to take it off . 
_t4 		okay . 
_t4 		Mommy's called  Mommy . 
_t4 		yes Daddy is a doctor like doctor  and Mommy is doctor of philosophy . 
_t4 		Daddy is a regular doctor . 
_t4 		doctor of philosophy . 
_t4 		a doctor of philosophy . 
_t4 		oh a witch dressed up .
_t4 		there was a witch dressed up at Halloween . 
_t4 		you're quite right about that . 
_t4 		she went home with her kids . 
_t4 		remember what color her hair was ? 
_t4 		yeah .
_t4 		okay Naima .
_t4 		she had a hat and she took it off didn't she . 
_t4 		hey it's the person getting her diaper changed like you are . 
_t4 		oh pumpkin doodle . 
_t4 		we'll nurse in just a minute we need to change your diaper .
_t4 		we'll change the legos diaper too she could go on the slide again . 
_t4 		she doesn't wanna go on the slide . 
_t4 		did you go down the tunnel slide when you were at the play ground . 
_t4 		on your tummy did you really ? 
_t4 		oh my gush did you go with  ? 
_t4 		did she catch you ? 
_t4 		at the bottom of the slide . 
_t4 		we'll we'll nurse in just a second .
_t4 		yeah [x 
_t4 		oh sweetie pie . 
_t4 		oh I'm sorry . 
_t4 		oh we'll change the legos too . 
_t4 		does she does that lego person change her diaper in the water ?
_t4 		really . 
_t4 		really . 
_t4 		in the water does she change it by herself ? 
_t4 		by herself . 
_t4 		does Nina change her diaper by herself ? 
_t4 		no it was  who said that . 
_t4 		remember  who came to visit us . 
_t4 		she is the one who talked about Nina changing her diaper in the water . 
_t4 		that was  . 
_t4 		you remember  ? 
_t4 		what ?
_t4 		she made great chimpanzee noises . 
_t4 		that's exactly right . 
_t4 		you got the right person . 
_t4 		that's who I'm talking about  who makes great chimpanzee noises . 
_t4 		she makes them like this . 
_t4 		xxx . 
_t4 		yeah . 
_t4 		she's had a lot of practice making chimpanzee noises . 
_t4 		yeah like that . 
_t4 		what was the nursies ? 
_t4 		nursies don't make noises . 
_t4 		little girls make noises .
_t4 		and Mommies make noises . 
_t4 		how about pajamas ? 
_t4 		here you are done changing your diaper good job . 
_t4 		you were very patient . 
_t4 		how about some pajamas ? 
_t4 		pajamas . 
_t4 		how about these pajamas ? 
_t4 		okay . 
_t4 		how about these pajamas . 
_t4 		which ones do you want ? 
_t4 		the pink ones ? 
_t4 		oh okay .
_t4 		let's put these on . 
_t4 		oh Mommy's back is hurting today . 
_t4 		um you know what those wipes aren't for you those are for Mommy to use them on your bottom . 
_t4 		come back over here so I can put your pj's on . 
_t4 		like the moose who wears dry clean pajamas . 
_t4 		moose moose . 
_t4 		who says squeak squeak ? 
_t4 		the mice say squeak squeak . 
_t4 		aren't there pigs isn't there a pig who wears a pajamas in that book ? 
_t4 		sit up there okay . 
_t4 		you can put your pajamas on up here . 
_t4 		let's put on pajamas now . 
_t4 		you gonna pop that bubble rap ? 
_t4 		let's put you let's put one arm in a sleeve . 
_t4 		do you know how to put your pajamas on ? 
_t4 		what ? 
_t4 		oh you wanna wear the bubble wrap like a crown or the pajamas like a crown . 
_t4 		okay here . 
_t4 		go ahead . 
_t4 		what ? 
_t4 		are you making mischief of one kind or another ? 
_t4 		you're not . 
_t4 		you just don't feel like putting on your pajamas . 
_t4 		are you the king of the all wild things ? 
_t4 		a tie ? 
_t4 		you're wearing a tie ? 
_t4 		where didn't I go ? 
_t4 		if you wanna pop them let me spread them out . 
_t4 		here . 
_t4 		xxx . 
_t4 		oh you popped one . 
_t4 		what are you doing ? 
_t4 		okay . 
_t4 		wow you popped another one . 
_t4 		well this is obviously not a very effective session here so we'll sign off for now and try to get a little more . 
_t4 		where is the jelly beans ? 
_t4 		did you find some jelly beans ?
_t4 		it's somewhere  . 
_t4 		oh .
_t4 		did we lose it ? 
_t4 		eat some bananas ? 
_t4 		oh where where does the monkey belong in the alphabet book ? 
_t4 		can you show me ?
_t4 		oh is he carrying lots_of bananas ? 
_t4 		is that what he is doing ? 
_t4 		slippery things  . 
_t4 		those pieces can get pretty slippery you right . 
_t4 		where is the monkey ? 
_t4 		he's hanging from a tree isn't he ? 
_t4 		this is Saturday morning I think it's the sixteenth or seventeenth of November . 
_t4 		the nuts belong there .
_t4 		oh . 
_t4 		there are the jelly beans . 
_t4 		I saw the igloo somewhere do you know where it went ? 
_t4 		jelly beans go here you wanna put them in ? 
_t4 		where does the apple go ? 
_t4 		where does the apple go ? 
_t4 		thank you . 
_t4 		put it back okay . 
_t4 		I think maybe it just may be it goes over here . 
_t4 		there . 
_t4 		zebra where do you go ? 
_t4 		that is a xylophone . 
_t4 		look there are more zebras here too . 
_t4 		mallets . 
_t4 		yeah they kind of sticks . 
_t4 		mmmm+hmmm those are kind of sticks . 
_t4 		the yarn belongs right there baby .
_t4 		yarn . 
_t4 		there . 
_t4 		hey you did it . 
_t4 		you got the whale out . 
_t4 		and the violin out and the xylophone out and the yarn out . 
_t4 		hah and the umbrella too . 
_t4 		all done . 
_t4 		and the octopus out and quail you are taking all those pieces out . 
_t4 		and the bunny and the tiger and the panda . 
_t4 		I guess everything is coming out of that puzzle . 
_t4 		and the what's that and what's that ? 
_t4 		who's coming out ? 
_t4 		what's happening ? 
_t4 		what's happening is Naima is taking all the pieces out of the alphabet book . 
_t4 		this puzzle is all done . 
_t4 		I saw the fish look it's hiding under the rug over here . 
_t4 		we're not missing the elephant are we ? 
_t4 		ah  where's the elephant ? 
_t4 		ah  where's the elephant ?
_t4 		ahh maybe we are missing the elephant . 
_t4 		hmmm are you sitting on it ? 
_t4 		let's make sure you are not sitting on it . 
_t4 		ha .
_t4 		there's the umbrella an umbrella is not an elephant though . 
_t4 		are there any pieces in the living room ? 
_t4 		what's under there ? 
_t4 		hazmaniaz .
_t4 		what do you think ? 
_t4 		geraniums ? 
_t4 		let me see what you're talking about . 
_t4 		there are lots_of cards under here . 
_t4 		what are you talking about ? 
_t4 		you mean geraniums ? 
_t4 		there's a grass+hopper and tucan and  I cannot reach the other things . 
_t4 		can you give me the  I'll use the clown . 
_t4 		our friend the clown . 
_t4 		I think we are missing the armadillo . 
_t4 		well that's where it was I don't think it's still in the fireplace . 
_t4 		giraffe . 
_t4 		frog . 
_t4 		chip+munk . 
_t4 		I don't know what you were saying geranium ? 
_t4 		and there's the book . 
_t4 		but there's still no elephant . 
_t4 		we're still missing the elephant . 
_t4 		somewhere yeah but I don't know where . 
_t4 		there are balls under there . 
_t4 		would you like to get some balls with the clown Naima ? 
_t4 		I have_to do it ? 
_t4 		how come you don't have_to do it ? 
_t4 		right . 
_t4 		tennis ball and the other ball goes with your game . 
_t4 		uh  dear . 
_t4 		there . 
_t4 		they were in that ball game . 
_t4 		you wanna play that game where you hide Emily in the hat ? 
_t4 		where's your pink hat that's the hat you were using . 
_t4 		yes where's that pink hat ? 
_t4 		let me think about that . 
_t4 		where are you pink hat ? 
_t4 		here's the elephant I found him . 
_t4 		okay I'll look for that . 
_t4 		really not sure where it is . 
_t4 		are you turning the knob on that game ? 
_t4 		I'm looking for the hat sweetie like you wanted me to . 
_t4 		Naima .
_t4 		I'm looking for the hat that you want it [: want it] .
_t4 		oh what happened ? 
_t4 		are your friends stuck in that game ? 
_t4 		okay . 
_t4 		here's Mommy's hat I can't find the pink hat do you know where it is . 
_t4 		okay . 
_t4 		there's one friend . 
_t4 		ouch ouch ouch ouch .
_t4 		okay . 
_t4 		let see .
_t4 		I'm gonna get Emily out and I'm gonna get Lusil out too . 
_t4 		xxx .
_t4 		oh would you like them to go in the bus ? 
_t4 		why don't give me that ball let's put the ball in here where it belongs . 
_t4 		orange ball . 
_t4 		I don't think it will fit the tennis ball . 
_t4 		that ball should fit fine . 
_t4 		you gonna turn the knob . 
_t4 		there . 
_t4 		ho  where are the other balls that go with this game do you know ? 
_t4 		where are they ? 
_t4 		you've seen the green one lately ? 
_t4 		where did you see it do you remember ? 
_t4 		in here or in the living room ? 
_t4 		how come it stuck ? 
_t4 		there . 
_t4 		you haven't seen the green one for a while . 
_t4 		I don't know let's look for it . 
_t4 		there's Lucy . 
_t4 		I'm gonna look in here to see if the balls are in here . 
_t4 		no those balls aren't here . 
_t4 		so they must be in the living room . 
_t4 		where are you who ? 
_t4 		pants ? 
_t4 		where are you pants ? 
_t4 		there's the orange ball . 
_t4 		pants ? 
_t4 		looking for the ball that goes with that game . 
_t4 		there are two balls missing . 
_t4 		motorcycle chicken have you seen Naima's balls ?
_t4 		xxx . 
_t4 		who said that who said that ? 
_t4 		I think motorcycle chicken said that . 
_t4 		okay let's see if we can find Naima's balls in here . 
_t4 		where are they ?
_t4 		where are they ? 
_t4 		where are you pants ? 
_t4 		that sounds very silly to me . 
_t4 		okay let see .
_t4 		we gonna find those balls that go with that game .
_t4 		I thought they were in here . 
_t4 		okay so many toys in here    . 
_t4 		I'm gonna look in here . 
_t4 		I found armadillo .
_t4 		it wasn't in the fire place . 
_t4 		I don't see those balls here at all . 
_t4 		ahh could be in Mommy and Daddy's room actually . 
_t4 		it's probably under something like under a couch under a sofa or +//.
_t4 		I don't see those things . 
_t4 		oh the fun to be one book is right there .
_t4 		I don't know where those balls are ?
_t4 		did you almost fall over ? 
_t4 		let's go in Naima's room and read it . 
_t4 		you know where Naima's room is . 
_t4 		here . 
_t4 		let's sit on the rug and do it that's a great idea . 
_t4 		okay .
_t4 		here seat on Mommy . 
_t4 		it's fun to be four . 
_t4 		one . 
_t4 		it's fun to be three .
_t4 		one . 
_t4 		it's fun to be eight . 
_t4 		it's fun to be . 
_t4 		yes .
_t4 		she is chewing on a guy . 
_t4 		actually looks like she's chewing on a bear toy . 
_t4 		see look at the bear toy .
_t4 		yep [: yes] . 
_t4 		much what's this baby doing ? 
_t4 		I can't really tell .
_t4 		like she is eating maybe . 
_t4 		okay when you are one you have lots_of +//. 
_t4 		you want to . 
_t4 		and make +//. 
_t4 		lots_of noise . 
_t4 		you can drink from your +//. 
_t4 		and +//. 
_t4 		and feed yourself . 
_t4 		you look at your +//.
_t4 		yeah there's a bear Daddy and bear baby looking at a book together . 
_t4 		it's a book about bears too . 
_t4 		that's funny . 
_t4 		you look at your books and go where you want to . 
_t4 		what's that baby doing ? 
_t4 		what's she doing ? 
_t4 		bringing ? 
_t4 		what's she bringing ? 
_t4 		would you like me to open that . 
_t4 		oh something's in it . 
_t4 		do you know what's in this ? 
_t4 		what can you tell me what's in it ?
_t4 		okay .
_t4 		okay do you know what's in it though ? 
_t4 		ribbons . 
_t4 		Daddy plays with that one ? 
_t4 		Naima is gonna play with the red one . 
_t4 		and what's this one ? 
_t4 		shall we make some bows maybe . 
_t4 		here watch this . 
_t4 		I'm gonna make a bow on Naima's ankle . 
_t4 		there . 
_t4 		that's sort of like bangle now . 
_t4 		you wanna wear that yellow one ? 
_t4 		this one makes a great noise . 
_t4 		what does that one have on it the yellow one ? 
_t4 		what does that one have ? 
_t4 		what are these ? 
_t4 		I'm asking you what's on this yellow ribbon ? 
_t4 		do you know what these are ? 
_t4 		what are the black ones ? 
_t4 		o:h they're numbers which are just letters . 
_t4 		yeah .
_t4 		they look a lot like letters though . 
_t4 		I see a two and a three and a four and a five and a six . 
_t4 		and a seven and eight and a nine . 
_t4 		what ? 
_t4 		oh go one two . 
_t4 		one two three . 
_t4 		oh in this book and go where you want to . 
_t4 		yeah that baby's walking and that baby's riding a bike . 
_t4 		and after you bath it's time for ? 
_t4 		bed . 
_t4 		what's this baby doing ? 
_t4 		looks like she's yawning to me . 
_t4 		and she's wearing a towel and so is she . 
_t4 		those babies are wearing towels . 
_t4 		I think they're probably about to take them off and put on something else . 
_t4 		yeah I think so . 
_t4 		are you playing a game ? 
_t4 		where's the clown ? 
_t4 		oh there . 
_t4 		I'm gonna put the ribbons back . 
_t4 		actually this would be a good container to keep these alphabet pieces in . 
_t4 		what do you think should we put the alphabet pieces in here ? 
_t4 		they would probably fit very nicely . 
_t4 		and you can put the ribbons in the tennis ball container . 
_t4 		where did that go in ? 
_t4 		these might make a good noise if we shake them . 
_t4 		let's put the top on and shake and see . 
_t4 		are you almost ready for some lunch ? 
_t4 		is there a frozen banana ? 
_t4 		did you eat it all yesterday ? 
_t4 		oh some fell out of the freezer .
_t4 		I know I know that was very silly . 
_t4 		how about if a lego person flies on that ? 
_t4 		that's an interesting idea .
_t4 		let's see what do we you gonna slide on that ? 
_t4 		what do we have for lunch today we have beans . 
_t4 		beans . 
_t4 		I think the pentagon is in the +//.
_t4 		yeah but is it in Mommy and Daddy's room . 
_t4 		I wonder where they are ? 
_t4 		how about some how about some egg would you like egg for lunch ?
_t4 		oh we were calling it an octopusagon instead of an octagon . 
_t4 		octopusagon . 
_t4 		yeah . 
_t4 		I think it's probably either in the living room or in Mommy and Daddy's room . 
_t4 		octopusagon . 
_t4 		wha:t ? 
_t4 		pentagon are we missing the pentagon also ? 
_t4 		oh where's that the dimond  you have it in your hand . 
_t4 		octopusagon . 
_t4 		I think we're about all set here . 
_t4 		okay that's it for now and anything else that's on this tape is left over from what ever was taped on this before . 
_t4 		trapezoid . 
_t4 		we'll go look for it .
_t4 		trapezoid . 
_t4 		okay . 
_t4 		now where's the shapes puzzle now ? 
_t4 		I think that +... 
_t4 		it is ,  , on the floor on the other side . 
_t4 		over here . 
_t4 		there it is . 
_t4 		oh . 
_t4 		I'll take that . 
_t4 		you know what . 
_t4 		uh we're gonna leave this one just for a little while longer . 
_t4 		there it is . 
_t4 		mmmm+hmmm .
_t4 		let's take all the pieces out and then put them back in where they belong . 
_t4 		oh my gosh , now there's no pieces in there . 
_t4 		oh my gosh , do you know where they belong ?
_t4 		you're putting everything in really fast aren't ya [: you] ?
_t4 		oh there's no pentagon ? 
_t4 		where's the stop si:gn ? 
_t4 		pull hard . 
_t4 		pull hard .
_t4 		want some help , okay .
_t4 		oh it's really +//.
_t4 		oh+my+goodness , there . 
_t4 		that puzzle's [: puzzle is] easy for you now . 
_t4 		at  house . 
_t4 		he's borrowing it , remember ?
_t4 		oh let's take all the pieces out ! 
_t4 		oh my gosh . 
_t4 		how're [: how are] we gonna figure out where they go . 
_t4 		that's really the spinosaurus . 
_t4 		that's the last piece ? 
_t4 		what kind of dinosaur is that ? 
_t4 		I can't see the name +//.
_t4 		oh . 
_t4 		that's tyrannosaurus r:ex . 
_t4 		don't forget him . 
_t4 		don't forget the trapezoid . 
_t4 		there's yer [: your] numbers puzzle over there too .
_t4 		it's over there , in the +...
_t4 		shelf , on the shelf . 
_t4 		yep [: yes] .
_t4 		wanna bring that one over here too ?
_t4 		let's dump it out .
_t4 		hey look at all the things in that puzzle . 
_t4 		what're [: what are] these ? 
_t4 		mmmm+hmmm there's ni:ne balloons . 
_t4 		and what's in that one ? 
_t4 		xxx the down under song ? 
_t4 		from yer [: your] cd ? 
_t4 		hey , there's a letter x up here . 
_t4 		what's that doing there ?
_t4 		here it i:s .
_t4 		and there's a k on the other side . 
_t4 		letter x and letter k are there . 
_t4 		letter X , what's the picture +//.
_t4 		oh there's a picture of a xylophone there . 
_t4 		where'd [: where did] the k go ?
_t4 		there it is ! 
_t4 		where'd [: where did] the K go ?
_t4 		there it i:s .
_t4 		there it is !
_t4 		where did it go ? 
_t4 		it's hiding I think .
_t4 		there it is .
_t4 		Naima where'd [: where did] the letter k go ? 
_t4 		thank you .
_t4 		thank you .
_t4 		what're you doing ? 
_t4 		that's the number: nine I think . 
_t4 		where does it go ?
_t4 		ye:s . 
_t4 		I think that's where it goes . 
_t4 		show me the trapezoid_a . 
_t4 		but that's the trapezoid !
_t4 		okay .
_t4 		a:h , boy . 
_t4 		oh , you know what , let's leave it on for a little while longer . 
_t4 		well let's play with the toolbox and ignore the (.) backpack . 
_t4 		maybe we should get you a special backpack that you pick out that you like to wear . 
_t4 		are you gonna fix something with yer [: your] wrench ? 
_t4 		where'd [: where did] the wrench go ? 
_t4 		o:h .
_t4 		it goes on there ?
_t4 		are you gonna +//.
_t4 		are you gonna use the screws ? 
_t4 		oh there are nuts there also .
_t4 		ah . 
_t4 		receiver lights are red if anyone wearing a receiver is in (.) back of the receiver . 
_t4 		but I am now in front of the receiver , and they're green . 
_t4 		Mommy what ?
_t4 		where's that three belong ? 
_t4 		well let's see , there are three ice+cream cones . 
_t4 		so I suspect it goes there . 
_t4 		oh it did go there . 
_t4 		oh the seven ! 
_t4 		which one , the nine , I think there might be nine balloons here , three four five six eight nine . 
_t4 		oh it doesn't fit there , maybe it's the six with the six apples +//.
_t4 		the:re it goes . 
_t4 		there's the nine . 
_t4 		mmmm: , that's how it goes . 
_t4 		yeah . 
_t4 		where (.) is the zero , is the zero lost ? 
_t4 		oh you have it in yer [: your] hand , a red zero . 
_t4 		oh .
_t4 		what number is that ? 
_t4 		dyou [: do you] remember ? 
_t4 		think you +//.
_t4 		yes !
_t4 		that's the ei:ght .
_t4 		I think it's upside down though . 
_t4 		eight baseballs . 
_t4 		they're underneath the eight .
_t4 		look what I just found under your crib . 
_t4 		what number is that ? 
_t4 		dyou [: do you] know what that's called ? 
_t4 		what is it .
_t4 		five .
_t4 		yep [: yes] .
_t4 		right the:re .
_t4 		is there something missing though ? 
_t4 		in this puzzle , where's the last one . 
_t4 		I'm not sure is it in the living room ? 
_t4 		or is it over here , let me look over here . 
_t4 		I think that the +//.
_t4 		that +... 
_t4 		two: is in the living+room , I think I saw the two in the living+room . 
_t4 		although I'm not sure . 
_t4 		two , where are you two: ?
_t4 		hey !
_t4 		hey ! 
_t4 		it's the panda +//.
_t4 		oh+my+goodness ! 
_t4 		and the whale , and the apple ! 
_t4 		and the jaguar . 
_t4 		and the armadillo ca:rd .
_t4 		they do dig .
_t4 		what do they dig in ? 
_t4 		what do armadillos dig in ? 
_t4 		mmmm+hmmm . 
_t4 		and you have a panda in yer [: your] hand . 
_t4 		there are the balls , they go with this toy don't they .
_t4 		I'm gonna go look for the two in the living+room , then I'll come right back . 
_t4 		two: , where are you number two: .
_t4 		number two: .
_t4 		where's Naima's number two: .
_t4 		I see it , do you see it ? 
_t4 		mmmm+hmmm .
_t4 		let's bring it back where it belongs .
_t4 		okay .
_t4 		you wanna lose it instead ?
_t4 		o:h . 
_t4 		just put it back , okay .
_t4 		oh , are we missing the blue one ?
_t4 		oh I'm not sure where the blue ball is . 
_t4 		xxx  . 
