_d4930 		xxx .
_d4931 		Arthur is taking his baby brother for a ride in the stroller . 
_d4931 		oh they're going to go to  house ? 
_d4931 		to her vacation house ? 
_d4931 		oh . 
_d4931 		are you being careful there ? 
_d4931 		yeah , okay . 
_d4931 		hi koala+mala . 
_d4931 		how come you stopped calling the koala koala+mala ? 
_d4931 		you're just calling the koala Koala these days . 
_d4931 		right ? 
_d4931 		Arthur . 
_d4931 		he is , now let's see . 
_d4931 		what's he doing in this picture ? 
_d4931 		do you wanna sit down here and read it with me ? 
_d4931 		sit down . 
_d4931 		sit down right here . 
_d4931 		we'll read the book together . 
_d4931 		okay . 
_d4931 		babysitting is such a big responsibility , said Arthur . 
_d4931 		he's talking to his sister whose name is d+w . 
_d4931 		she has a helmet in her hands . 
_d4931 		I'm a little nervous , said Arthur . 
_d4931 		he said I'm a little nervous . 
_d4931 		you'll do a fine job .
_d4931 		that's his little ,  , brother or sister . 
_d4931 		we'll be right here if you want to call us said Father . 
_d4931 		here's my crash helmet , said d+w . 
_d4931 		you'll need it . 
_d4931 		why ? 
_d4931 		asked Arthur . 
_d4931 		are you coming along ? 
_d4931 		you think I'm trouble said d+w . 
_d4931 		just wait . 
_d4931 		they're eating pizza , look . 
_d4931 		look at this . 
_d4931 		come here and look this picture . 
_d4931 		what's that ? 
_d4931 		it's a special kind of a box for what ? 
_d4931 		yeah .
_d4931 		it's a special kind of a box for pizza . 
_d4931 		what else are they eating , what's that ? 
_d4931 		is that a salad ? 
_d4931 		what are they drinking ? 
_d4931 		what's in that ? 
_d4931 		that's his Daddy .
_d4931 		that's Arthur's Daddy . 
_d4931 		yup [: yes] . 
_d4931 		hi Sleepy Bear . 
_d4931 		Mommy e+f+g ? 
_d4931 		whose full name is Mommy e+f+g ? 
_d4931 		that's his full name ? 
_d4931 		that's a funny name . 
_d4931 		hi Sleepy Bear . 
_d4931 		oh that's the macaque puppet . 
_d4931 		hi macaque puppet . 
_d4931 		he's got a very nice tail .
_d4931 		hi macaque . 
_d4931 		where'd [: where did] his tail go ? 
_d4931 		it's right there . 
_d4931 		tail ! 
_d4931 		macaque has a tail . 
_d4931 		it's right there . 
_d4931 		where did it go ? 
_d4931 		it's right there .
_d4931 		it's right there .
_d4931 		yes the elephant has a small tail . 
_d4931 		the macaque has a +... 
_d4931 		big tail . 
_d4931 		and you could you also say +... 
_d4931 		the macaque has a long tail . 
_d4931 		and the elephant has a short tail . 
_d4931 		a short tail . 
_d4931 		is that a lion or a duck ? 
_d4931 		I know that what I said it was .
_d4931 		but look at its feet . 
_d4931 		I think it's a duck , Naima . 
_d4931 		I think it's a duck+lion . 
_d4931 		could we call it +... 
_d4931 		could we call it Lionel ? 
_d4931 		Lionel . 
_d4931 		or do you wanna give the duck a different name ? 
_d4931 		Koalaba ? 
_d4931 		I think I'll rewind this a bit to double check it   . 
_d4931 		where'd [: where did] it go ? 
_d4931 		where did the macaque tail go ? 
_d4931 		oh let's see . 
_d4931 		that's a pretty good view of the couch . 
_d4931 		it's time to read .
_d4931 		where's +...
_d4931 		what +...
_d4931 		Arthur . 
_d4931 		let's read over here for a little bit . 
_d4931 		did I say what the date is ? 
_d4931 		it's +...
_d4931 		March , March eighteenth .
_d4931 		March eighteenth . 
_d4931 		wanna look at the Yoka book ? 
_d4931 		come sit up here and read . 
_d4931 		oh sorry . 
_d4931 		are you okay ? 
_d4931 		do you want me to get the Arthur book and bring it over here ? 
_d4931 		we'll look at that book . 
_d4931 		come sit next to Mommy . 
_d4931 		come sit here and we'll read it together . 
_d4931 		Sleepy Bear's [: Bear is] gonna sit right there , okay . 
_d4931 		you wanna sit right next to me ? 
_d4931 		put your bottom right over here . 
_d4931 		how about like this . 
_d4931 		okay . 
_d4931 		very good . 
_d4931 		Arthur . 
_d4931 		what is this on your pants by the way ? 
_d4931 		fuzz .
_d4931 		you had fuzz on your pants . 
_d4931 		okay , what's going on here ? 
_d4931 		let's see . 
_d4931 		oh+my+goodness , is Arthur gonna baby+sit ? 
_d4931 		that means he's gonna take care of those children . 
_d4931 		Arthur is here walking past his friends . 
_d4931 		he's telling them I'm going to take care of those twins . 
_d4931 		who is that ? 
_d4931 		what kind of ears does that animal have ? 
_d4931 		what kind of animal is that ? 
_d4931 		is it a rabbit ? 
_d4931 		oh , let's see what's happening in this picture . 
_d4931 		oh+my+goodness . 
_d4931 		that baby's diaper is leaking . 
_d4931 		you can see the drops of pee+pee coming out of the diaper . 
_d4931 		and Arthur is +... 
_d4931 		Arthur's pants got all wet . 
_d4931 		yeah , I think that baby's diaper is leaking . 
_d4931 		he needs a new diaper . 
_d4931 		I think the baby is crying . 
_d4931 		and that's d+w . 
_d4931 		she's crying in that picture . 
_d4931 		and what's happening in that picture ? 
_d4931 		that baby's [: baby is] throwing up . 
_d4931 		remember , you threw up when you were sick . 
_d4931 		I think she is sick . 
_d4931 		she's throwing up some green stuff that came out of her tummy . 
_d4931 		that's what happened to you when you were sick . 
_d4931 		you were throwing up also . 
_d4931 		yeah , sometimes it was orange . 
_d4931 		that's what the baby's [: baby is] throwing up . 
_d4931 		(be)cause she's sick she needs to have some medicine maybe . 
_d4931 		and here's a picture of Arthur and his sister d+w . 
_d4931 		she's jumping on the sofa . 
_d4931 		Arthur's [: Arthur is] trying to read a book . 
_d4931 		his sister's [: sister is] making a lot of noise . 
_d4931 		that's Mrs Tibble . 
_d4931 		she has to go out . 
_d4931 		xxx  . 
_d4931 		the cat looks like she's hiding . 
_d4931 		yup [: yes] , she might +... 
_d4931 		well d+w's not in this picture . 
_d4931 		there's d+w . 
_d4931 		okay you wanna look at this page . 
_d4931 		d+w's [: d+w is] jumping on the sofa . 
_d4931 		that's Arthur who's holding the crying baby . 
_d4931 		that's his sister I think . 
_d4931 		oh she's having pee+pee come out of her diaper . 
_d4931 		it's leaking . 
_d4931 		she needs her diaper changed . 
_d4931 		Arthur has to change her now . 
_d4931 		she's throwing up . 
_d4931 		that's Arthur .
_d4931 		he's saying  . 
_d4931 		let's see what happens next . 
_d4931 		yes , Arthur is holding the throwing up baby . 
_d4931 		Arthur's holding the baby who is throwing up . 
_d4931 		I think maybe he's trying to help her feel better . 
_d4931 		hmmm , I wonder where Daddy is . 
_d4931 		he was supposed to come home . 
_d4931 		maybe he's reading his paper at work . 
_d4931 		that's d+w . 
_d4931 		she's crying . 
_d4931 		her overalls ? 
_d4931 		she's wearing a dress that looks like overalls .
_d4931 		what is she doing ? 
_d4931 		she's laughing . 
_d4931 		there's all of Arthur's friends . 
_d4931 		are you saying to Mommy to read some ? 
_d4931 		Arthur remembered what that was like . 
_d4931 		now he was really worried .
_d4931 		there I read it . 
_d4931 		I think that that +... 
_d4931 		can you read the letters there on that book that d+w was reading ? 
_d4931 		what letters are those ? 
_d4931 		can you see them ? 
_d4931 		oh you wanna talk about that picture with the babies throwing up ? 
_d4931 		do you think Arthur might give her some medicine to help her feel better ? 
_d4931 		yeah . 
_d4931 		there he is . 
_d4931 		he's her big brother . 
_d4931 		do you want me to talk about that picture ? 
_d4931 		that's the picture where the baby's diaper is leaking and Arthur's pants are getting wet . 
_d4931 		see how the pants are dark on his thighs ? 
_d4931 		that means the baby's diaper leaked . 
_d4931 		the baby's diaper leaked and made Arthur's pants all wet . 
_d4931 		I think he probably will get another diaper for that baby . 
_d4931 		and he will probably also change his pants . 
_d4931 		what thing away ? 
_d4931 		those green things are the throw up that is coming out of the baby's mouth . 
_d4931 		oh , you think he'll clean it up ? 
_d4931 		yeah you're right . 
_d4931 		he'll probably clean it up +... 
_d4931 		he'll probably get a wet rag and clean it off of this chair . 
_d4931 		clean the green throw up off of the chair . 
_d4931 		and then put the rag in the laundry or throw it away . 
_d4931 		I think he will because he's the one who's taking care of the baby . 
_d4931 		when you're taking care of someone who's sick you do that kind of thing . 
_d4931 		you clean up the throw up and stuff like that . 
_d4931 		she is throwing up . 
_d4931 		I bet she doesn't feel good . 
_d4931 		she probably feels lousy . 
_d4931 		I'm so glad you're better though Naima . 
_d4931 		what happened with the nurses ? 
_d4931 		in the hospital ? 
_d4931 		they did a lot of things to take care of you . 
_d4931 		well +... 
_d4931 		they put a special bangle on your arm which had blue tape on it . 
_d4931 		and they connected a hose to your hand . 
_d4931 		so that you could get the medicine that you needed . 
_d4931 		they checked to make sure you had enough medicine . 
_d4931 		well , they took your temperature +... 
_d4931 		by sticking that thermometer in your ear . 
_d4931 		they took your temperature . 
_d4931 		they listened to your chest with a stethoscope . 
_d4931 		one of the nurses gave you a grizzly+bear . 
_d4931 		it was Janet who gave you the grizzly+bear . 
_d4932 		I think Barbara did take off the blue bangle . 
_d4932 		which was like a bandage . 
_d4932 		she took off the blue sticky tape that was on your arm . 
_d4932 		she took out the needle . 
_d4932 		there was a needle . 
_d4932 		she took it all off . 
_d4932 		oh and you had a bangle on your ankle also . 
_d4932 		that's right and she took that off . 
_d4932 		I think that had your name on it . 
_d4932 		you had that bangle on your ankle too . 
_d4932 		I forgot that . 
_d4932 		and you had some kind of a special night+gown . 
_d4932 		what was it ? 
_d4932 		what was on it ? 
_d4932 		was it bears ? 
_d4932 		what was on the night+gown ? 
_d4932 		uh .
_d4932 		I think maybe it was little bears . 
_d4932 		little pink bears ? 
_d4932 		and +...
_d4932 		mmmm +...
_d4932 		oh you're right it was elephants . 
_d4932 		you had the special elephant night+gown when you were at the hospital . 
_d4932 		and there was a special crib there . 
_d4932 		do you remember that crib ? 
_d4932 		and Mommy slept next to you . 
_d4932 		on that chair . 
_d4932 		next to your crib , right ? 
_d4932 		and Mommy nursed you too , to help you feel better . 
_d4932 		remember ? 
_d4932 		you were sick , yeah . 
_d4932 		well ,  +...
_d4932 		the book fell down that was on my lap . 
_d4932 		the nurses brought food for Mommy to eat . 
_d4932 		they took away your diapers after I changed you and they weighed them . 
_d4932 		on a scale . 
_d4932 		a scale is for finding out how heavy something is . 
_d4932 		it measures how heavy something is . 
_d4932 		we weighed Naima too . 
_d4932 		we weighed you . 
_d4932 		you weighed twenty+five pounds . 
_d4932 		again ?
_d4932 		we already talked about it . 
_d4932 		who's throwing up ? 
_d4932 		mmmm , who is the baby's brother ? 
_d4932 		Arthur ? 
_d4932 		can we +... 
_d4932 		you wanna turn the page and see what else happens in this story ? 
_d4932 		oh okay , we already saw this page . 
_d4932 		there's a cat . 
_d4932 		there's the two little kids . 
_d4932 		he's gonna take care of them for a while . 
_d4932 		oh+my+goodness , it looks like they're playing with cards . 
_d4932 		he's jumping . 
_d4932 		that's Arthur .
_d4932 		he's saying , I'll be the sheriff . 
_d4932 		ooh , Mommy's [: Mommy has] got quite a stomach+ache .
_d4932 		I think we're gonna stop taping . 
_d4932 		it's my tummy that hurts . 
_d4932 		wanna kiss my tummy ? 
_d4932 		very nice . 
_d4932 		almost all better . 
_d4932 		I am sick . 
_d4932 		I'm better since you've kissed my belly . 
_d4932 		are you upside down ? 
_d4932 		this is two days after  . 
_d4932 		uh . 
_d4932 		so today is March twentieth . 
_d4932 		oh you brought your lego elephant into the kitchen . 
_d4932 		and a lego penguin . 
_d4932 		can I put this on you please ? 
_d4932 		who's driving that ? 
_d4932 		who's driving the +..? 
_d4932 		what would you call that ? 
_d4932 		is that the zoo vehicle ? 
_d4932 		it looks like a zoo+keeper . 
_d4932 		hi zoo+keeper . 
_d4932 		oh it's a zoo vehicle . 
_d4932 		is that what Grandma called it ? 
_d4932 		yeah , it looks like a good zoo vehicle . 
_d4932 		like you could carry an animal in the back of it . 
_d4932 		are you going to put an animal in there ? 
_d4932 		an elephant perhaps ? 
_d4932 		where's it gonna go ? 
_d4932 		oh and it has a , it has a little +... 
_d4932 		it can walk up the back of it like a ramp . 
_d4932 		that's like a ramp they can walk into it . 
_d4932 		and sit on the side . 
_d4932 		that's nice . 
_d4932 		does that zoo+keeper have the word zoo on his shirt ? 
_d4932 		z o o ? 
_d4932 		I think so . 
_d4932 		z o o ? 
_d4932 		spells zoo , right ? 
_d4932 		did Grandma tell you that ? 
_d4932 		let's spell zoo . 
_d4932 		zoo . 
_d4933 		are they wearing shirts ? 
_d4933 		since they're elephants do their shirts say penguin and elephant ? 
_d4933 		are you gonna give some breakfast to your zoo animals ? 
_d4933 		do you think they want breakfast ? 
_d4933 		what ? 
_d4933 		they want fish ? 
_d4933 		oh , I know where the fish are . 
_d4933 		do you know where the fish are ? 
_d4933 		I'm gonna +...
_d4933 		I'll bring you some fish to give them . 
_d4933 		stay there I'll get them for you . 
_d4933 		here's the fish . 
_d4933 		you can bring them from downstairs but let's make Daddy this coffee first . 
_d4933 		Daddy likes coffee in the morning . 
_d4933 		what ? 
_d4933 		nurse ? 
_d4933 		nurse in the kitchen ? 
_d4933 		how (a)bout reading your animals the I like winter book ? 
_d4933 		maybe they'd like to read it . 
_d4933 		is your hair in your way there ? 
_d4934 		the little horse ? 
_d4934 		who's the little horse ? 
_d4934 		neigh . 
_d4934 		neigh neigh neigh . 
_d4934 		good morning . 
_d4934 		up up   .
_d4934 		that's what she means . 
_d4934 		xxx  .
_d4934 		that's what the horsies [= horses] say . 
_d4934 		mmmm+hmmm .
_d4935 		let's see +... 
_d4935 		you want another cup for the apricot juice ? 
_d4935 		wait , is that what you have in your +... 
_d4935 		isn't that apricot juice ? 
_d4935 		is that what that is ? 
_d4935 		oh , what did Daddy give you ? 
_d4935 		grape juice ? 
_d4935 		yeah . 
_d4935 		oh now she wants apricot juice she says . 
_d4935 		why , you don't like the grape juice ? 
_d4935 		you asked for it baby . 
_d4935 		oh you asked for that ? 
_d4935 		yeah I said which one do you want ? 
_d4935 		okay . 
_d4935 		I'll get you some apricot juice . 
_d4935 		I'll get some for you . 
_d4935 		yeah , you have sun on your hands . 
_d4935 		yeah , I noticed that . 
_d4935 		you do . 
_d4935 		lots_of sun .
_d4935 		I'll get you some apricot . 
_d4935 		yes , I'm gonna give you apricot juice to drink . 
_d4935 		oh that's an apricot , you're right . 
_d4935 		it is . 
_d4935 		you know what ? 
_d4935 		that spells organic .
_d4935 		o r g a n i c spells organic . 
_d4935 		apricot is a p r i c o t . 
_d4935 		that spells apricot . 
_d4935 		it makes a little noise when I take the lid off , doesn't it ? 
_d4935 		I can put some juice and water in it to make it juicy+water . 
_d4935 		hmmm ?
_d4936 		still you wanted to like it ? 
_d4936 		mmmm Mommy likes apricot juice . 
_d4936 		this is actually apricot nectar . 
_d4936 		nectar is what bees eat . 
_d4936 		right ? 
_d4936 		bees eat nectar . 
_d4936 		they do   they do indeed . 
_d4936 		bees don't nurse . 
_d4936 		lots_of animals don't nurse . 
_d4937 		penguins don't nurse that's right . 
_d4937 		xxx  just so you know . 
_d4937 		yeah . 
_d4937 		there's a lot of broken glass on the ground .
_d4937 		in the garbage it looks like they dropped something . 
_d4937 		oh . 
_d4937 		so , I'm going to try and clean it up .
_d4937 		I could do it once I get her in her car+seat sometime today .
_d4937 		well +...
_d4937 		is it gonna , is it right in the path of the cars ?
_d4937 		it is +...
_d4937 		oh , God .
_d4937 		now if the tires are properly inflated , it shouldn't really matter , but it could . 
_d4937 		but more importantly , yeah . 
_d4937 		yeah , her +... 
_d4937 		longer term , her +... 
_d4937 		uh . 
_d4937 		xxx  .
_d4937 		yes . 
_d4937 		and I don't know you know what the solution is . 
_d4937 		obviously these guys are in a rush . 
_d4937 		yeah . 
_d4937 		well , I can call and just mention it to them at least . 
_d4937 		so that it doesn't go completely  +... 
_d4937 		you know . 
_d4937 		looks like you're outta [: out of] food there . 
_d4937 		do you want something else to eat Naima ? 
_d4937 		whatd'ya [: what do you] think ? 
_d4937 		I don't think that we're out of it , but I do think that you could have something else . 
_d4937 		like +... 
_d4937 		raisins . 
_d4937 		or what else ? 
_d4937 		is that what it feels like ? 
_d4937 		your hair was a little outta [: out of] control there . 
_d4937 		how (a)bout some bread with +..? 
_d4937 		oh how (a)bout some bear food Naima ? 
_d4937 		are you a bear+cub that wants to eat bear food ? 
_d4937 		or you could have some egg yolk . 
_d4937 		I'm the mommy bear . 
_d4937 		and you're the baby bear . 
_d4937 		pappa bear . 
_d4938 		I need to tell you that while you're eating ? 
_d4938 		what are you gonna eat ? 
_d4938 		you're gonna have some fresh grated apple ? 
_d4938 		does that sound good ? 
_d4938 		I can do that but what are you gonna eat while I'm telling it to you ? 
_d4938 		I will tell it to you but you've got_to be eating something . 
_d4938 		okay . 
_d4938 		it's a deal egg yolk and egg white . 
_d4938 		yes ! 
_d4938 		good idea Naima . 
_d4938 		first I'm gonna take the shell off of the egg . 
_d4938 		mmmm+hmmm .
_d4938 		(be)cause we don't eat the shell with the eggs . 
_d4938 		how do you spell egg ? 
_d4938 		it does have a g in it . 
_d4938 		egg is spelled +... 
_d4938 		e g g . 
_d4938 		this shell does not want to come off this egg . 
_d4938 		it's difficult , and Mommy's [: Mommy is] having a tough time with this egg . 
_d4938 		you think Daddy will do it if Mommy can't do it ? 
_d4938 		hmmm +... 
_d4938 		while I'm doing it it's just a +... 
_d4938 		I didn't cook the egg properly . 
_d4938 		that's why the shell is sticking to the egg . 
_d4938 		like tape . 
_d4938 		yes tape sticks to photographs sometimes . 
_d4938 		especially in the book we made for you called Naima's journeys right ? 
_d4938 		is that what you're thinking of ? 
_d4938 		all+right let's see here . 
_d4938 		let's slice this egg for you . 
_d4938 		should we get a plate maybe ? 
_d4938 		what color plate's [: plate is] that ? 
_d4938 		here's some egg white . 
_d4938 		here's some egg yolk . 
_d4938 		mmmm , big chunks of egg yolk . 
_d4938 		they look like chunks of cheese . 
_d4938 		go (a)head and eat some and I'll tell you the story of Goldilocks . 
_d4938 		once upon a time there was a little girl who went on a walk in the +... 
_d4938 		forest . 
_d4938 		she saw a snake ? 
_d4938 		you like that variation don't you ? 
_d4938 		she saw a snake +... 
_d4938 		she saw a robin . 
_d4938 		she saw a badger . 
_d4938 		she liked walking in the forest . 
_d4938 		so that she could see all the different animals . 
_d4938 		she was having fun , but she was walking for a long time . 
_d4938 		and then she got tired . 
_d4938 		and she , first she found the house . 
_d4938 		a house up ahead . 
_d4938 		she was hungry and tired . 
_d4938 		so first she decided to knock on the door . 
_d4938 		knock knock knock . 
_d4938 		but there was no answer . 
_d4938 		so she walked in the house . 
_d4938 		and then what happens next ? 
_d4938 		what does she +..?
_d4938 		she wants to find the bears ? 
_d4938 		what does she see when she walks in the house ? 
_d4938 		three chairs yes , three rocking chairs . 
_d4938 		a big one . 
_d4938 		a medium sized one . 
_d4938 		and a little one . 
_d4938 		and then +... 
_d4938 		she sat in the biggest rocking chair . 
_d4938 		and she started to rock and rock [x 
_d4938 		but then she stopped . 
_d4938 		and she said this rocking chair is too +... 
_d4938 		fast . 
_d4938 		so she climbed out of that rocking chair . 
_d4938 		she got into the next rocking chair and that was the medium sized rocking chair . 
_d4938 		and she rocked [x 
_d4938 		and she stopped and she said +... 
_d4938 		wait a minute , this rocking chair is too what ? 
_d4938 		slow . 
_d4938 		so what did she do ? 
_d4938 		she climbed out of that rocking chair . 
_d4938 		and +... 
_d4938 		she climbed into the little rocking chair . 
_d4938 		and she rocked [x 
_d4938 		and she said  , hey . 
_d4938 		I like this rocking chair . 
_d4938 		it's just right for me . 
_d4938 		and then what happens ? 
_d4938 		she's rocking in that little rocking chair for a long time right ? 
_d4938 		she rock and she rocked [x 
_d4938 		until it broke into bits . 
_d4938 		right ? 
_d4938 		and then what happens ? 
_d4938 		she wants to fix it . 
_d4938 		well she's a little girl , she doesn't really have access to tools and screws . 
_d4938 		and she's in somebody else's house . 
_d4938 		she doesn't know where they keep their tools so she can't fix it . 
_d4938 		so she goes into the kitchen because she's hungry . 
_d4938 		I think you're right Naima . 
_d4938 		I'm slicing a bagel . 
_d4938 		(be)cause that's what I'm going to eat for breakfast . 
_d4938 		a bagel's [: bagel is] like an o isn't it ? 
_d4938 		so she goes into the kitchen and she sees +... 
_d4938 		xxx what does she see on the table there ? 
_d4938 		yes . 
_d4938 		three bowls of porridge . 
_d4938 		and one of them is big . 
_d4938 		and one of them is medium+sized . 
_d4938 		and one of them is ? 
_d4938 		little .
_d4938 		she sits down in front of the big bowl of porridge and she takes a bite of it . 
_d4938 		xxx   she says . 
_d4938 		oh this porridge is too hot . 
_d4938 		she needs to cool it down . 
_d4938 		then she goes over to the medium+sized bowl of porridge and she takes a bite  . 
_d4938 		she makes a face like this . 
_d4938 		then she says , this porridge is too cold . 
_d4938 		so she gets down outta [: out of] that chair . 
_d4938 		she goes to the littlest bowl of porridge . 
_d4938 		she takes the spoon , dips it in the porridge then sticks it in her mouth and takes a bite . 
_d4938 		xxx   . 
_d4938 		and that porridge was just right ! 
_d4938 		that's right Naima you know this story don't you ? 
_d4938 		where's Mommy's coffee ? 
_d4938 		and +... 
_d4938 		and then she keeps eating the little bowl of porridge . 
_d4938 		and she eats and eats [x 
_d4938 		until what happens ? 
_d4938 		she finishes it . 
_d4938 		that's right (un)til it's all gone . 
_d4938 		and then she wants to wash her bowl off ? 
_d4938 		okay , and so then she takes the bowl and she takes it over to the sink . 
_d4938 		she puts some soap on it and she uses a sponge . 
_d4938 		and she washes off the bowl until it's all clean . 
_d4938 		it might've been that she wanted to dry the bowl ? 
_d4938 		and cook more porridge what a good idea . 
_d4938 		mommy bear ? 
_d4938 		is Goldilocks mommy bear ? 
_d4938 		I don't think so . 
_d4938 		she's in the bears' house though . 
_d4938 		she's in the bears' house . 
_d4938 		she washes the bowl and she puts it back . 
_d4938 		she doesn't cook more porridge I don't think so . 
_d4938 		not in this story anyway . 
_d4938 		she's tired right ? 
_d4938 		so she should find a bed to sleep in . 
_d4938 		she goes upstairs and she climbs into the biggest bed that she sees . 
_d4938 		and she tries to get comfortable . 
_d4938 		and she says  wait a minute this bed is too hard . 
_d4938 		she can't get comfy , it's not a comfy bed for her . 
_d4938 		and then what happens ? 
_d4938 		and then she climbs out of that bed and goes into the medium+sized bed . 
_d4938 		she tries to get comfortable . 
_d4938 		xxx   . 
_d4938 		I can't get comfortable . 
_d4938 		she says this bed is too soft it's like sleeping on a big fluffy pillow . 
_d4938 		and then she gets out of the medium+sized bed and she goes over to the littlest bed of all . 
_d4938 		what happens ? 
_d4938 		she's in the littlest bed and she says   this is so comfy . 
_d4938 		this bed is just right .
_d4938 		and she falls asleep . 
_d4938 		the medium+sized bed is the one that's too soft . 
_d4938 		the littlest bed the little bed that's right . 
_d4938 		the little bed is the one that is very , very comfy . 
_d4938 		she falls asleep . 
_d4938 		and pretty soon what happens ? 
_d4938 		the bears come home to their house . 
_d4938 		they walk in the door , they want to rock in their chairs . 
_d4938 		they go into the living room and papa bear sits in his chair and he starts to rock . 
_d4938 		and he rocks a couple of times and then he stops . 
