_d4880 		xxx has the (.) transmitter in it . 
_d4881 		oh , they match a little bit . 
_d4881 		whatcha [: what are you] looking for ? 
_d4881 		oh the mommy koala bear needs the red shirt ? 
_d4882 		you're putting your shirts back ? 
_d4882 		good job . 
_d4882 		thank you for cleaning up . 
_d4882 		trying to get the red shirt out ?
_d4882 		or back , you trying to put it back ? 
_d4882 		oh .
_d4882 		xxx !
_d4883 		is she hiding , is that mama koala hiding ? 
_d4883 		who is she hiding from ? 
_d4883 		from Mommy and Daddy ? 
_d4883 		where's the koala ? 
_d4883 		where's the koala ?
_d4883 		where'd [: where did] that koala go ? 
_d4883 		something's not quite right with this +... 
_d4883 		are you gonna put that new play+suit on her ? 
_d4883 		it's awfully big for the koala , isn't it ? 
_d4883 		it's awfully big ! 
_d4883 		it's very big for the koala . 
_d4883 		make it bigger ? 
_d4883 		I think it is bigger than the koala is . 
_d4883 		do you need a tissue for your nose ? 
_d4883 		xxx okay +...
_d4884 		let Mommy wipe your nose with a tissue , okay ? 
_d4884 		there , there ! 
_d4884 		mmmm . 
_d4884 		hey do you hear the washing machine , do you wanna go look at the clothes in the washing machine ? 
_d4884 		okay . 
_d4884 		all+right , let's just try to get this on you +... 
_d4884 		you gonna throw up ? 
_d4884 		no ?
_d4884 		I hope not . 
_d4884 		whoa +... 
_d4884 		we're gonna go look at the washing machine for a minute , okay ? 
_d4884 		and we'll leave the koala here , and then we'll come back and see the koala . 
_d4884 		that was just a wretch . 
_d4884 		are you still recording ? 
_d4884 		yes I am . 
_d4884 		we're gonna look at the washing machine . 
_d4884 		oh ,  good .
_d4884 		I might make some  while we wait , are you having  ? 
_d4884 		no I'd +//. 
_d4884 		actually , that's what she ate , and I'm , I left some in the bowl , that I might eat +...
_d4884 		as well . 
_d4884 		there's the laundry ! 
_d4884 		the telephone's ringing now ! 
_d4884 		xxx  for you . 
_d4884 		oh good , okay . 
_d4884 		xxx .
_d4884 		let me (.) yes . 
_d4884 		xxx ?
_d4884 		xxx .
_d4884 		xxx okay .
_d4884 		do I just press hold or do I press talk ? 
_d4884 		no press talk .
_d4884 		hello ? 
_d4884 		hi ! 
_d4884 		no not at all , how are you ?
_d4884 		okay , you're back ! 
_d4884 		that's quite a stretch ! 
_d4884 		I'll bet .
_d4884 		xxx yes .
_d4884 		have you been back a while , or +...
_d4884 		have you been back a while ?
_d4884 		uh huh . 
_d4884 		oh . 
_d4884 		sure ! 
_d4884 		there's a dog here , Naima .
_d4884 		oh you're gonna make a match ?
_d4884 		oh the matching game ! 
_d4884 		great ! 
_d4884 		can you sit down ? 
_d4885 		oh that matches . 
_d4885 		we'll find an I +//.
_d4885 		I'll put some more letters down , you can make a match . 
_d4885 		oh okay , I'll find a C in the cards . 
_d4885 		you have a C block . 
_d4885 		yeah , hi ! 
_d4885 		that's okay , do you need to go ? 
_d4885 		uh huh .
_d4885 		oh .
_d4885 		xxx . 
_d4885 		xxx .
_d4885 		that's okay .
_d4885 		yes , good ! 
_d4885 		can you (.) come on that day ? 
_d4885 		oh that's great . 
_d4885 		xxx well , I think it'll be great to have you +//.
_d4885 		and , you know the (.) I don't know if you've ever been to Gymboree but it's good for the little babies too , so +... 
_d4885 		how's  doing , he's big now !
_d4885 		xxx right , I mean  +... 
_d4885 		oh boy . 
_d4885 		oh boy ,  boy ! 
_d4885 		when we last saw him he was just a little slip of a thing ! 
_d4885 		xxx .
_d4885 		are you still nursing or did you (.) great ! 
_d4885 		uh huh ! 
_d4885 		yeah . 
_d4885 		yeah . 
_d4885 		yes , I do . 
_d4885 		yeah . 
_d4885 		uh huh . 
_d4885 		uh huh .
_d4885 		yeah .
_d4885 		yeah . 
_d4885 		yeah , well , I'm doing that , and she's almost two , so +... 
_d4885 		yeah . 
_d4885 		xxx . 
_d4885 		yeah . 
_d4885 		well (.) I would have liked to have waited , but +... 
_d4885 		I , I wasn't gonna force the issue . 
_d4885 		uh huh . 
_d4885 		oh he +//.
_d4885 		yeah she run (.) well no , but she runs that childrens' place . 
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm , that's good , yup [: yes] .
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm , mmmm+hmmm . 
_d4885 		xxx mmmm+hmmm . 
_d4885 		yeah , yeah . 
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm . 
_d4885 		mmmm+hmmm . 
_d4885 		well , it's partly +//. 
_d4885 		it's not  , completely  good or bad , it's partly about what your level of tolerance is , I mean that (.) that's part of the equation , I mean +...
_d4885 		xxx .
_d4885 		yeah , sure . 
_d4885 		no I (.) well +... 
_d4885 		I don't , I don't like , I don't like it , I wish it weren't happening but I'm also not willing to do (.) what it takes +//.
_d4885 		well I mean I am willing to do what it takes to reduce it , but not to (.) force it , if you know what I mean . 
_d4885 		and , and I think she +//.
_d4885 		it is (.) well , I can go on and on on this topic , it's like all I ever think about , to be honest with you  ! 
_d4885 		but the +//.
_d4885 		I mean no , that's an exaggeration , but +... 
_d4885 		(be)cause sleep is important , that's why . 
_d4885 		for all of us . 
_d4885 		she doesn't have a sleeping problem (be)cause she sleeps right +//.
_d4885 		I mean , she barely wakes up to nurse . 
_d4885 		so it's not a question about her not sleeping , it's a question about me not sleeping . 
_d4885 		no ,  , what we did +... 
_d4885 		is (.) a couple of months , well maybe like three or four months ago we got a single bed and put it next to our king+sized bed in our bedroom . 
_d4885 		so she sleeps on that much of the night . 
_d4885 		and she +//.
_d4885 		so she's farther away from me . 
_d4885 		and I either go down to her bed to nurse her +//.
_d4885 		and , and I try to just wait and see if she's really waking up to nurse or not . 
_d4885 		you know , so +//.
_d4885 		(be)cause sometimes she'll almost wake up but then she'll go back to sleep without being nursed . 
_d4885 		so , it's also about listening carefully and waiting . 
_d4885 but anyway sometimes I'll go down to her 
_d4885  bed to nurse her and sometimes I'll bring her up to the bed , and sometimes I'll have the energy to put her back on hers and other times she just stays in bed . 
_d4885 		I mean I'm not , I , I don't feel , feel like I have an ideal situation . 
_d4885 		xxx . 
_d4885 		can I , can I tell you about a book that I like though about this topic ,  +... 
_d4885 		it's called the no cry sleep solution . 
_d4886 		um , and I , I like her approach (be)cause she's kind of like , she's kind of like ,  +... 
_d4886 		well , it's hard to describe but , you know , middle of the +//.
_d4886 		like if you need to sleep , she's got suggestions on what you can do , and yet she +... 
_d4886 		recognizes there are lots_of people like me , at least , who want , like no crying  . 
_d4886 		but want to sleep . 
_d4886 		so it's kinda [: kind of] like way +//.
_d4886 		like , possible ways of making that happen . 
_d4886 		and it didn't +//.
_d4886 		I can't say that (.) and it's also one of these things that's not a rigid plan , it's more like an approach and suggestions , and +... 
_d4886 		stuff like that , so , it's not like you have_to follow a plan . 
_d4886 		yeah ,  I think she's got some really good ideas , and +... 
_d4886 		apparently , I mean +//.
_d4886 		and I was also on an , an e+mail group of people who are following her plan , and there's like eight hundred people on the list . 
_d4886 so I don't follow it 
_d4886  I mean I kinda [: kind of] like 
_d4886  I just kind of abandoned it for the time being but 
_d4886  but I 
_d4886  but I think a lot of people are actually having success with her method . 
_d4886 		and a lot of people aren't too , I mean I'd say that , it's like one of those things . 
_d4886 		so +... 
_d4886 		yeah , yeah .
_d4886 		yeah .
_d4887 		and the , yeah , go back , yeah , yeah . 
_d4887 		yeah . 
_d4887 		right . 
_d4887 		yup [: yes] , yeah .
_d4887 		mmmm+hmmm , think of +//.
_d4887 		think through what you might wanna do . 
_d4887 		mmmm+hmmm . 
_d4887 		mmmm+hmmm . 
_d4887 		yeah . 
_d4887 		yeah . 
_d4887 		yeah . 
_d4887 		and that's hard for him ? 
_d4887 		yeah .
_d4887 		yeah ,  +...
_d4887 		oh I have +//.
_d4887 		you know , that's exactly what has happened to me .
_d4887 		I just started , at a certain point I started getting insomnia .
_d4888 		like , inability to go back to sleep . 
_d4888 		and that just completely complicates things .
_d4888 		and , I think it was around when she was  age , that that was happening to me too . 
_d4888 		um , I can jump to the punchline that one , one of her major suggestions in that book is to +...
_d4888 		him to sleep . 
_d4888 		um , before , so that he doesn't actually fall asleep with a nipple in his mouth .
_d4888 		and she's just , kind of suggests that you do that religiously and repeatedly +...
_d4888 		yeah .
_d4888 		yeah (.) well that's +//.
_d4888 		she's not saying that to do that .
_d4888 		yeah sure , yeah yeah .
_d4889 		xxx okay now we can read bunny cakes . 
_d4889 		now we can read bunny cakes . 
_d4889 		bunny cakes . 
_d4889 		who's in bunny cakes  who's that story about ? 
_d4889 		yeah . 
_d4889 		where's Max in that picture ? 
_d4889 		he's sitting in a mixing bowl .
_d4889 		silly Max . 
_d4889 		ha   .
_d4889 		let see  we gotta make sure Mommy's your head it's on Mommy's mice . 
_d4889 		hmmm what's he have in his hand ? 
_d4889 		ha .
_d4889 		that Max . 
_d4889 		I can't believe he fits in the mixing bowl is he that little ? 
_d4889 		he must be little if he fits in a mixing bowl . 
_d4889 		this is still March first . 
_d4889 		bunny cakes . 
_d4889 		oh here's some pictures of things . 
_d4889 		what do you see .
_d4889 		yeah those are eggs .
_d4889 		let's count those eggs . 
_d4890 		one two three four five six eggs . 
_d4890 		that is a spoon .
_d4890 		do you see where the mixer is ? 
_d4890 		does that look like Mommy's mixer ? 
_d4890 		it's Ruby's yeah that one is Ruby's mixer . 
_d4890 		oh cause there's two pictures here . 
_d4890 		I see the butter I thought Ruby uses butter to make the cake . 
_d4890 		I think that's the butter . 
_d4890 		yeah rubber spatula .
_d4890 		I think Ruby uses the rubber spatula to mix the cake . 
_d4890 		and she also uses ? 
_d4890 		the whisk . 
_d4890 		and  there's the flour what's the flour in ? 
_d4890 		in a red bag isn't it ? 
_d4890 		with a number two on it . 
_d4890 		and I see some measuring spoons . 
_d4890 		and a measuring cup . 
_d4890 		Mommy has a cup like that . 
_d4890 		okay bunny cakes . 
_d4890 		it was grandma's birthday Max made her an earth worm what ? 
_d4891 		what's he doing there ? 
_d4891 		it looks like he's using a metal spatula to mix his cake . 
_d4891 		which is really just made out of dirt . 
_d4891 		that's actually dirt he's pretending to make a cake out of dirt . 
_d4891 		okay .
_d4891 		Max wanted to help . 
_d4891 		don't touch anything Max said Ruby . 
_d4891 		you think she does I think he does want to help Ruby . 
_d4891 		does she want him to help ? 
_d4891 		I don't think she wants him to help . 
_d4891 		you think he's gonna touch the eggs ? 
_d4891 		he might what's Ruby doing with that egg ? 
_d4891 		she's breaking it into the mixer . 
_d4891 		mixing bowl actually she's breaking it into the mixing bowl . 
_d4891 		she's holding on to the shells and letting the egg white and the egg yoke going into the bowl . 
_d4891 		what she making do you remember ? 
_d4891 		yeah . 
_d4891 		but it was too late oops what happened ? 
_d4891 		he broke the eggs .
_d4891 		well you can't really fix eggs once you break them . 
_d4891 		you have_to throw if you break them and they go on the floor you have_to throw them in the garbage . 
_d4891 		maybe maybe Ruby will help Max clean that up and put it in the garbage . 
_d4891 		maybe they'll do it together you think so ? 
_d4891 		yeah maybe Max and Ruby will do that . 
_d4891 		Ruby send Max to the store with a list that said . 
_d4891 		eggs . 
_d4891 		for his earth worm cake so he wrote red hot marshmallow squirters on the list . 
_d4891 		he wrote it with a red crayon except he's a little bunny and he doesn't really know how to write . 
_d4891 		he can't write he's a bunny but he's trying he's trying to write he wants to add red hot marshmallows squirters to the list so the grocer will give them to him . 
_d4891 		that's a kind of candy . 
_d4891 		the grocer could not read Max's writing . 
_d4891 		eggs said the grocer and he gave Max eggs . 
_d4891 		Max brought the eggs home to Ruby . 
_d4891 		oh I think they're in that red box . 
_d4891 		don't bump the table Max  but it was too late . 
_d4891 		what happened ? 
_d4891 		he spilled the milk . 
_d4891 		yeah .
_d4891 		she said don't bump the table Max but he did bump the table you see he's bumping into it right there and the milk bottle is falling over the milk is going on to the floor . 
_d4891 		oh  who do you think is gonna clean that up ? 
_d4891 		I think she's going to ask Max to help her clean it up don't you think ? 
_d4891 		when you make a mess you should help clean it up right ? 
_d4891 		Ruby sent Max back to the store with a list that said ? 
_d4891 		milk how do you spell milk ? 
_d4891 		right .
_d4891 		great m i l k spells milk very good Naima . 
_d4891 		this time Max wrote red hot marshmallows squirters in a different way . 
_d4891 		he really wants that candy . 
_d4891 		Max hoped and hoped for his squirters but the grocer still couldn't read Max's writing milk said the grocer and he gave Max milk . 
_d4891 		what else is the grocer selling there ? 
_d4891 		yeah .
_d4891 		and what about over there ? 
_d4891 		I think those are crackers .
_d4891 		yeah . 
_d4891 		Max brought the milk home to Ruby . 
_d4891 		what did she do Naima ? 
_d4891 		what did she draw ? 
_d4891 		she drew a yellow line on the floor next to the table . 
_d4891 		there's a yellow line on the floor Max said Ruby . 
_d4891 		you can't step over that line . 
_d4891 		I think she's a little bit mad . 
_d4891 		he's bringing her the milk . 
_d4891 		but Max . 
_d4891 		he crossed over the line . 
_d4891 		oops what happened . 
_d4891 		what did he do ? 
_d4891 		did he spill ? 
_d4891 		he spilled the flour .
_d4891 		oh  over went the flour . 
_d4891 		Ruby got out her pencil and she .
_d4891 		Ruby got out her pencil . 
_d4891 		what did she write ?
_d4891 		she wrote flour how do you spell flour ?
_d4891 		f l o u r . 
_d4891 		flour . 
_d4891 		this time Max wrote red hot marshmallows squirters in the most beautiful writing he knew . 
_d4891 		he's using a crayon isn't he ? 
_d4891 		Max could almost taste the marshmallows squirters . 
_d4891 		flour said the grocer and he gave Max flour . 
_d4891 		oh I think Max might be unhappy . 
_d4891 		that's the grocer . 
_d4891 		the grocer doesn't know that Max wants the candy because he can't read what Max wrote on the list . 
_d4891 		Max is just a little guy he doesn't really know how to write or talk properly . 
_d4891 		that's the door to the kitchen . 
_d4891 		these are trees over here and that's the door to the kitchen and there's Ruby inside holding a spoon . 
_d4891 		when Max got home there was a sign on the kitchen door . 
_d4891 		Max this kitchen is no place for you said Ruby . 
_d4891 		Ruby finished up her cake whose ears do you see outside the window ? 
_d4891 		those are Max's ears .
_d4891 		Ruby won't let him into the kitchen . 
_d4891 		he's outside looking in yeah . 
_d4891 		Ruby finished up her cake she baked it and cooled it and iced it with raspberry fluff frosting . 
_d4891 		she's using something to put the frosting on the cake ? 
_d4891 		oh she gave him a spoon of the icing . 
_d4891 		he's eating some of the icing just a little spoon full . 
_d4891 		he's trying just a little bit . 
_d4891 		he's outside the window looking in . 
_d4891 		she's using a knife to put the frosting on the cake . 
_d4891 		that's a very pink cake . 
_d4891 		it needs something else Max said Ruby . 
_d4891 		birthday candles silver stars sugar hearts butter cream roses wrote Ruby . 
_d4891 		mean while Max had a brand new idea . 
_d4891 		what's he pulling behind him ? 
_d4891 		yeah it's a red wagon there .
_d4891 		maybe he's going to carry the food from the grocery store in the wagon when he goes home . 
_d4891 		what does the list say ? 
_d4891 		it says birthday candles silver . 
_d4891 		sugar . 
_d4891 		and butter cream . 
_d4891 		and what're those ? 
_d4891 		he drew a picture of red hot marshmallows squirters . 
_d4891 		well he won't have_to wait too long . 
_d4891 		birthday candles silver stars sugar hearts butter cream roses said the grocer what's this why it must be a red hot marshmallow . 
_d4891 		squirters . 
_d4891 		Ruby's cake looked just beautiful . 
_d4891 		Max went out and put caterpillar icing on his birthday cake . 
_d4891 		on his on his earth worm cake .
_d4891 		what's he doing what's he having in his hand ? 
_d4891 		what's he doing with the knife ? 
_d4891 		he's putting caterpillar icing on the cake with his knife . 
_d4891 		Grandma was so thrilled she didn't know which cake to eat first . 
_d4891 		how many cakes does she have ? 
_d4891 		right she has two cakes very good .
_d4891 		that's the end I think . 
_d4891 		do you wanna read another book ? 
_d4891 		you wanna read Bunny Money ? 
_d4891 		you wanna read it to Mommy ? 
_d4891 		oh I have_to read it to you okay . 
_d4891 		maybe we read it together . 
_d4891 		xxx what does Ruby have ? 
_d4891 		what's in her wallet ? 
_d4891 		oh what're they going to do now ? 
_d4891 		they gonna go on the bus . 
_d4891 		yes I think they're gonna go to the store . 
_d4891 		Ruby took a dollar from her wallet to pay the bus fair who's she giving the money to ? 
_d4891 		the bus driver .
_d4891 		oh here they're at the store do you know what the store is called ? 
_d4891 		in the window was a music box with skating ballerinas . 
_d4891 		isn't it beautiful Max said Ruby ? 
_d4891 		thirsty said Max . 
_d4891 		you may buy a very very small lemonade Max said Ruby what's she giving him now ? 
_d4891 		she's giving him her wallet do you think that's a good idea ? 
_d4891 		next door in Candy's corner window were hundreds of vampire teeth . 
_d4891 		Max knew grandma would love a set of teeth with oozing cherry syrup inside for her birthday . 
_d4891 		okay .
_d4891 		he bought them instead of the lemonade . 
_d4891 		two dollars please said Candy . 
_d4891 		what're they gonna do what's this ? 
_d4891 		a washing machine .
_d4891 		and what's Ruby doing over here this is Max . 
_d4891 		this is Ruby's hand . 
_d4891 		I think Ruby is cleaning off his face with a washcloth .
_d4891 		because he has mess on his face . 
_d4891 		soap cost a dollar the washer cost a dollar and the dryer cost another dollar . 
_d4891 		money down the drain Max said Ruby . 
_d4891 		hungry said Max . 
_d4891 		it was lunch+time . 
_d4891 		Max finished off a peanut butter and jelly sandwich two coconut cup cakes and a banana shake lunch costs four dollars one two three four . 
_d4891 		what does she have left in her wallet ? 
_d4891 		yeah . 
_d4891 		money is running through our fingers Max said Ruby . 
_d4891 		they walked all the way back to Roselinda's gift shop without spending another penny . 
_d4891 		oh now what's happening in this picture ? 
_d4891 		but she doesn't have that much she only has a five dollar bill . 
_d4891 		and Roselinda shows her the blue bird earrings that play  what a beautiful morning . 
_d4891 		they are on sale for four dollars . 
_d4891 		we'll take them said Ruby she's gonna buy those earrings for her grandma . 
_d4891 		she gave Roselinda the five dollar bill for blue bird earrings that looked like that and went to put pick out the wrapping paper . 
_d4891 		hey what's in the wallet now ? 
_d4891 		it's empty .
_d4891 		four dollars for the earrings one dollar .
_d4891 		it is the wallet is empty there's no more money in it . 
_d4891 		Roselinda gives Max the change you take care of this dollar young man . 
_d4891 		where's she putting that dollar ? 
_d4891 		in his overalls pocket .
_d4891 		he has a pocket right in front of his overalls . 
_d4891 		then Max goes back to Candy's corner glow in the dark vampire teeth were half price . 
_d4891 		most people like glow in the dark vampire teeth much better than the oozing cherry kind said Candy . 
_d4891 		Max bought a set for one dollar . 
_d4891 		oh no Max said Ruby you've spend our last dollar . 
_d4891 		how are we going to pay for the bus home ? 
_d4891 		oh she's upset I think she's not happy . 
_d4891 		Max is happy . 
_d4891 		what's he carrying there ? 
_d4891 		who're they for ? 
_d4891 		what's he going to do with the presents ? 
_d4891 		is he gonna give them to somebody ? 
_d4891 		who's birthday is it ? 
_d4891 		Grandma .
_d4891 		ahh Ruby is calling Grandma on the telephone . 
_d4891 		Grandma will have_to pick us up said Ruby I hope she won't be angry . 
_d4891 		Grandma was not angry at all she was so thrilled she played the musical blue bird earrings and wore the vampire teeth all the way home . 
_d4891 		what color are they ? 
_d4891 		the teeth . 
_d4891 		what color are the vampire teeth ? 
_d4891 		yes .
_d4891 		and she's wearing the blueberry earrings on her ears . 
_d4891 		what color what kind of a car does she drive ? 
_d4891 		hmmm .
_d4891 		Grandma has a nice shiny red car . 
_d4891 		she looks like a nice Grandma . 
_d4891 		hmmm  here's Daddy . 
_d4891 		can you ah: turn the tape off I think we're at a breaking point . 
_d4891 		okay we are . 
_d4891 		all set  . 
_d4891 		you think so are we gonna read that book now . 
_d4891 		let's go sit next to the raccoon can you go sit next to the raccoon and we will read right there . 
_d4891 		oh good okay . 
_d4891 		yeah good .
_d4891 		yeah  good  he's sitting in your lap so he can listen to the book .
_d4892 		today is March seventh it's Friday . 
_d4892 		this session is being recorded a week about a week later but immediately after that is on the tape after the previous session unlike how I usually do it . 
_d4892 		okay shall we read this ? 
_d4892 		what's it called ? 
_d4892 		yeah . 
_d4892 		where's Mommy's thing ? 
_d4892 		breast milk makes my tummy yummy can you turn the page ? 
_d4892 		breast milk makes my tummy yummy . 
_d4892 		my best food comes from ? 
_d4892 		xxx . 
_d4892 		what's she doing with that baby ? 
_d4892 		well what's the baby doing ? 
_d4892 		looks like that baby is actually sleeping . 
_d4892 		do you think so ? 
_d4892 		yeah .
_d4892 		Mommy gives me what I need when in her . 
_d4892 		when in her loving arms I feed .
_d4892 		hmmm .
_d4892 		around the world it can't be beat because mommy's milk is best to eat . 
_d4892 		oh there's a mommy and he baby right there . 
_d4892 		yeah .
_d4892 		yeah .
_d4892 		nursing's [: nursing is] what I like to do when we have a bath for two . 
_d4892 		ahh she's nursing in a bath tub oh+my+goodness . 
_d4892 		those are the mommy's legs in the bath tub .
_d4893 		and that's the mommy where's the baby ? 
_d4893 		there she is .
_d4893 		sometimes it's fun to let the milk to make my face all wet . 
_d4893 		you don't do that do you ?
_d4893 		to can breast feed without fuss if there's room for both of us . 
_d4893 		there's a baby and her little brother nursing . 
_d4893 		and the dog is sitting there watching .
_d4893 		here's a lid that stuck real tight but me and Mommy fit just .
_d4893 		just right looks like they're in the kitchen .
_d4893 		see the sink . 
_d4893 		nursing .
_d4893 		nursing in the kitchen . 
_d4893 		after dinner it tastes best with desert from mommy's breast . 
_d4893 		mommy's talking on the phone . 
_d4893 		here's my chance now she's alone .
_d4893 		there's your mommy . 
_d4893 		yeah .
_d4893 		that's the daddy that's the baby's daddy .
_d4893 		he's sleeping .
_d4894 		actually the mommy's sleeping too . 
_d4894 		those are pictures of the dog and the cat . 
_d4894 		so who else was at the music class today I didn't get to go who was there ? 
_d4894 		was was Molly there ? 
_d4894 		who else was there who did you see there ? 
_d4894 		where there any other mommies there ? 
_d4894 		who ? 
_d4894 		well was  there ? 
_d4894 		and  ?
_d4894 		was  there ? 
_d4894 		and her mommy .
_d4894 		her mommy's  too that's right .
_d4894 		what songs did you sing ? 
_d4894 		did you sing songs from the bell cd ? 
_d4894 		did you play any instrument ? 
_d4894 		what did you play ?
_d4894 		did you play any drums ?
_d4894 		did Daddy play drums Daddy went with you today . 
_d4894 		what did he play ? 
_d4894 		I'm asking you what did he play ? 
_d4894 		what I wasn't there I didn't see .
_d4894 		what did he play ? 
_d4894 		did he play a clarinet ? 
_d4894 		did he have a drum ? 
_d4894 		did you guys listen to fooling around ?
_d4894 		xxx . 
_d4894 		was Melissa there ? 
_d4894 		she has say hello to you ? 
_d4894 		Daddy told me she sprained her ankle . 
_d4894 		she hurt her ankle . 
_d4894 		they're just sitting in my shirt actually . 
_d4894 		are you a little bit sleepy ? 
_d4894 		you wanna spell something with the letters ? 
_d4894 		you wanna spell raccoon ? 
_d4894 		since we have this nice raccoon puppet .
_d4894 		are you going to spell raccoon Naima ? 
_d4894 		and we need an r for that .
_d4894 		yep [: yes] put the r down then we need an a that's the next letter we need .
_d4895 		are there any a's here . 
_d4895 		oh good that goes next to the r . 
_d4895 		and then we need a c , letter c ,  any c's in here ? 
_d4895 		oh I found one . 
_d4895 		here's a c . 
_d4895 		that goes next to the a good now we need  what do you think we need raccoon we need another c another c yes another c okay . 
_d4895 		well here's an orange one .
_d4895 		it's a little bit backward the orange one .
_d4895 		good job okay there you go . 
_d4895 		we need two o's here's an o . 
_d4895 		that goes next to the c and we need another o . 
_d4895 		here's another o . 
_d4895 		and then we need an n . 
_d4895 		can you look for an n in there ? 
_d4895 		n . 
_d4895 		no n's here that's an m we need an n . 
_d4895 		is that an n ? 
_d4895 		is that an n ? 
_d4895 		no that's an m .
_d4895 		is that an n ? 
_d4895 		that's a u he's showing you the letters . 
_d4895 		is that an n ?
_d4895 		that's an l . 
_d4895 		he's showing you the letters .
_d4895 		Naima you should say he's showing me the letters . 
_d4895 		yeah .
_d4895 		he is . 
_d4895 		here's an n . 
_d4895 		there that goes next to the o . 
_d4895 		great . 
_d4895 		that spells raccoon . 
_d4895 		raccoon .
_d4895 		yay . 
_d4895 		oh . 
_d4895 		oh yeah that's right that's a number that's what number is that ? 
_d4895 		do you recognize that number ? 
_d4895 		eight . 
_d4895 		hmmm you wanna spell mommy ? 
_d4895 		m . 
_d4895 		that's a w isn't it here's an m .
_d4895 		there's an m . 
_d4895 		m o you need m and o . 
_d4895 		you gonna borrow that o from raccoon you could do that but we could see if there's another o in here too . 
_d4895 		it might be more than two o's . 
_d4895 		o you could borrow it if you want . 
_d4895 		why don't you borrow it from the raccoon . 
_d4895 		xxx I don't see  okay where's our m spell mommy under here . 
_d4895 		m o now you need two m's two more m's next to the o m o m . 
_d4895 		here's another one . 
_d4895 		m now you need a y at the end . 
_d4895 		right now it says mom . 
_d4895 		and this one is upside down . 
_d4895 		now you need a y . 
_d4895 		can you find a y . 
_d4895 		letter y do you see any ?
_d4895 		well let's take them out is that a y ? 
_d4895 		that's an i right ? 
_d4895 		is that an , y . 
_d4895 		is that a y ? 
_d4895 		we're looking for a y . 
_d4895 		is that a y ?
_d4895 		good .
_d4895 		it goes right there and that spells mommy . 
_d4895 		well daddy is d a d d y .
_d4895 		a d .
_d4895 		okay where we gonna spell daddy . 
_d4895 		okay .
_d4895 		that's a little backwards daddy . 
_d4895 		good here's an a that comes next d a . 
_d4895 		comes actually after next to the d over here d a . 
_d4895 		this goes next to the a . 
_d4895 		that's another d . 
_d4895 		now spells dad . 
_d4895 		we need another d . 
_d4895 		do we have another d ?
_d4895 		all these all your letters ? 
_d4895 		oh no you have more over there too . 
_d4895 		oh there's another  why don't you give that why don't we put that back in raccoon right there . 
