_d6019 		(o)kay . 
_d6022 		are you gonna pick out your own toy ? 
_d6022 		what are you +//?
_d6022 		you're gonna stay with me right +//? 
_d6022 		can you sit back in your wagon ?
_d6022 		I know . 
_d6022 		beep .
_d6022 		(o)kay . 
_d6022 		sit down I have_to    . 
_d6022 		can that bear sit on your lap ? 
_d6022 		hey look what I got for you a toy stethoscope +//. 
_d6022 		you can play doctor like you like to do . 
_d6022 		here . 
_d6022 		that'll make up for not buying a hundred dollar dahl . 
_d6022 		that's too expensive .
_d6022 		xxx she gave it to me . 
_d6022 		no [x 
_d6022 		what are you doing ?
_d6022 		well we had a +/.
_d6022 		we had +/. 
_d6022 		no . 
_d6022 		we had a coupon for customers ninety+nine dollars off . 
_d6022 		oh: well that means it's a hundred dollars minus ninety+nine dollars . 
_d6022 		it's on sale with the coupon . 
_d6022 		so that means it's only one dollar . 
_d6022 		right . 
_d6022 		that's okay . 
_d6022 		we can buy it then . 
_d6022 		good .
_d6022 		we're very lucky Miss Chaos . 
_d6022 		anything else in there that needs beeping ?
_d6022 		I would not spend a hundred dollars . 
_d6022 		what else do we have_to  ? 
_d6022 		put it on the counter please , hand it up to the +/. 
_d6022 		Miss Chaos , what else do we have_to  ? 
_d6022 		yeah , but how (a)bout the other stuff down there ? 
_d6022 		okay . 
_d6022 		beep . 
_d6022 		and +... 
_d6022 		beep .
_d6022 		beep . 
_d6022 		okay , how much is that ? 
_d6022 		oh , you're gonna forget your bag ? 
_d6022 		oh , yeah we're gonna forget our bag , okay .
_d6022 		okay . 
_d6022 		how much is that please +/?
_d6022 		uh , let's see one two three four +...
_d6022 		it's six dollars , please . 
_d6022 		okay , six dollars here you are . 
_d6022 		well we haven't gotten to that part yet . 
_d6022 		six dollars . 
_d6022 		yep [: yes] . 
_d6022 		here's your change . 
_d6022 		thank you .
_d6022 		ah , okay let's go . 
_d6022 		ah , let's go home , I can't wait to have some dahl for a hundred dollars . 
_d6022 		hey , you forgot your bag . 
_d6022 		hundred dollars . 
_d6022 		maam , I mean sir , you forgot your bag . 
_d6022 		oh !
_d6022 		thank you . 
_d6022 		really . 
_d6022 		what ? 
_d6022 		oop(s) , here's my cereal +//. 
_d6022 		that's good . 
_d6022 		hey , it's a yoga d+v+d . 
_d6022 		we didn't ask for that . 
_d6022 		what kinda [: kind of] store+owner is that ? 
_d6023 		what else is in your bags ? 
_d6023 		oh is there other stuff ? 
_d6023 		oh , here's a toy .
_d6023 		chocolate . 
_d6023 		did she add other things , I wonder ? 
_d6023 		my tea bags . 
_d6023 		cheese blintzes ? 
_d6023 		yep [: yes] . 
_d6023 		you did +/. 
_d6023 		hey ! 
_d6023 		oh and that's tofu . 
_d6023 		we asked for that , so +... 
_d6023 		very good . 
_d6023 		xxx another bag . 
_d6023 		isn't there something in your other bag ? 
_d6023 		oh , it's the toy . 
_d6023 		it's the toy . 
_d6023 		oh . 
_d6023 		look at that . 
_d6023 		you didn't buy that . 
_d6023 		what a strange store+owner giving us free things . 
_d6023 		I think Daddy's [: Daddy is] gonna take a shower now . 
_d6023 		I'll play with you . 
_d6023 		you can play another game with Mom .
_d6023 		not really . 
_d6023 		well , if you wear the microphone the bear can be by himself . 
_d6023 		you should wear the microphone and let the bear be by himself . 
_d6023 		(be)cause I think we'll have a lovely (.) recording now . 
_d6023 		that can clip onto her pants .
_d6023 		yep [: yes] . 
_d6023 		can I show you something ? 
_d6023 		can I show you something really nice , Naima ? 
_d6023 		like a belt . 
_d6023 		like Daddy's cell phone . 
_d6023 		or my cell phone .
_d6023 		and like Daddy's beeper , see . 
_d6023 		and like his beeper +//. 
_d6023 		you're wearing a beeper . 
_d6023 		you wanna be a doctor who goes shopping , Naima ? 
_d6023 		wearing a beeper ? 
_d6023 		xxx . 
_d6023 		(o)kay . 
_d6023 		and the bear wants maple syrup for a hundred dollars . 
_d6023 		uh+huh . 
_d6023 		xxx the game see . 
_d6023 		first you have_to set up the store again . 
_d6023 		yeah .
_d6023 		if you're the store+owner you need to line up all the food and everything .
_d6023 		take all of the things outta [: out of] the bags .
_d6024 		do you wanna play blocks instead   ? 
_d6024 		you need a haircut . 
_d6024 		you want me to spray your hair with the spray bottle and cut your hair ? 
_d6024 		you don't ? 
_d6024 		in the back a little bit .
_d6024 		I just mean a little tiny trim , not a big haircut . 
_d6024 		how much money do you have in there ? 
_d6024 		to give out as change . 
_d6024 		yes . 
_d6024 		uh +... 
_d6024 		I see .
_d6024 		I see , alright . 
_d6024 		okay .
_d6024 		xxx   . 
_d6024 		good spot . 
_d6024 		and then I'll do that . 
_d6024 		let's see here . 
_d6024 		alright . 
_d6024 		let's go shopping , sleepy . 
_d6024 		hello . 
_d6024 		you're opened up even though there's a lot of snow on the ground .
_d6024 		how did you drive here to your store +/? 
_d6024 		oh . 
_d6024 		we had to +/. 
_d6024 		dig out our car and everything .
_d6024 		it was really hard . 
_d6024 		I was glad we could get to your store . 
_d6024 		we need +/.
_d6024 		a lot of things today . 
_d6024 		you're open from ten to one ? 
_d6024 		what time is it now +//? 
_d6024 		I don't have my watch on . 
_d6024 		oh . 
_d6024 		it's only ten+o+clock that means you're gonna be open for a while longer . 
_d6024 		good . 
_d6024 		well , we need +/.
_d6024 		yeah we need some salmon cookies . 
_d6024 		oh no +//. 
_d6024 		oh no I'm so disappointed . 
_d6024 		my bear is very disappointed . 
_d6024 		I see . 
_d6024 		well the other thing that's one of his favorite foods that we're out of is frozen seal sticks . 
_d6024 		oh no . 
_d6024 		hoo: . 
_d6024 		no . 
_d6024 		no . 
_d6024 		well she's saying they don't have them . 
_d6024 		mmmm how (a)bout blueberry crackers . 
_d6024 		you don't have those ?
_d6024 		what do you have that my bear can eat ? 
_d6024 		okay . 
_d6024 		rocks to put in fireplace .
_d6024 		you have some tea . 
_d6024 		I guess I'll go get some of that tea that I see in the +/. 
_d6024 		yeah . 
_d6024 		okay . 
_d6024 		oh , with other food .
_d6024 		(o)kay here's some tea . 
_d6024 		well that's good for me but not good for my little bear cub . 
_d6024 		he's gonna need something .
_d6024 		lemme [: let me] see what else you have over here that he might eat . 
_d6024 		um , he might eat walnuts . 
_d6024 		how much +//. 
_d6024 		oops . 
_d6024 		oh I'm sorry maam I spilled something in your store . 
_d6024 		I'll try to pick it up . 
_d6024 		how much are the walnuts ? 
_d6024 		what ? 
_d6024 		why are they so expensive ? 
_d6024 		I can't buy the walnuts .
_d6024 		um , let's see . 
_d6024 		do you have any chocolate mousse crepes ? 
_d6024 		gee . 
_d6024 		you stopped carrying a lot of things . 
_d6024 		okay . 
_d6024 		well let's see . 
_d6024 		do you have any (.) Alaskan cheese ? 
_d6024 		how about Australian cheese ? 
_d6024 		ugh ! 
_d6024 		you do have Manchego ? 
_d6024 		I'll buy some Manchego , where's that ? 
_d6024 		is it in your cheese case ?
_d6024 		can you get me some ? 
_d6024 		how much is the Manchego ? 
_d6024 		what ?
_d6024 		what kinda [: kind of] store is this ? 
_d6024 		you're all out of every +/.
_d6024 		I know , cheese . 
_d6024 		oh , gosh . 
_d6024 		alright , let's see . 
_d6024 		do you have fromage ? 
_d6024 		stopped carrying that , too ? 
_d6024 		okay , I'll buy the yogurt and the smoothie . 
_d6024 		here I see it over here . 
_d6024 		um +... 
_d6024 		do you have any food that comes from +..? 
_d6024 		uh , do you have any Indian food ? 
_d6024 		stopped carrying Indian food ? 
_d6024 		what did you used to carry ? 
_d6024 		what Indian food did you used to carry ? 
_d6024 		roti ? 
_d6024 		oh . 
_d6024 		what kind did you carry ? 
_d6024 		blueberry roti ? 
_d6024 		roti ? 
_d6024 		did you used to carry any protein food that was Indian food ? 
_d6024 		what's the protein food that you do have ?
_d6025 		oh tofu terrific . 
_d6025 		oh great . 
_d6025 		lemme [: let me] see how many +//. 
_d6025 		how many grams of protein does this have ? 
_d6025 		eleven grams of protein in one+fifth of a block . 
_d6025 		mmmm that's pretty good +/.
_d6025 		mmmm .
_d6025 		I think we'll get this . 
_d6025 		we need protein . 
_d6025 		do you have any other foods in your store that have protein in them ? 
_d6025 		okay . 
_d6025 		stopped carrying faken+bacon ? 
_d6025 		oh .
_d6025 		well ,  . 
_d6025 		beans ? 
_d6025 		no beans ? 
_d6025 		do you have anything that has calcium in it besides the +..? 
_d6025 		smoothie and the yogurt and the tofu ?
_d6025 		ah , I can look and see what has protein here .
_d6025 		there's not much here really . 
_d6025 		oh well I do need a lemon I'll buy the lemon . 
_d6025 		how much is it ? 
_d6025 		you mean like this ? 
_d6025 		mmmm+(o)kay . 
_d6025 		I'll buy this lemon .
_d6025 		yes .
_d6025 		oh , that's the salad bar . 
_d6025 		mmmm+(o)kay . 
_d6025 		mmmm+hmmm . 
_d6025 		I think I'm ready to check out . 
_d6025 		boy you really didn't have a lot of things I wanted today . 
_d6025 		I'm disappointed . 
_d6025 		I don't know if I'm gonna come back to this store again . 
_d6025 		well you didn't have anything I asked for practically .
_d6025 		can you  my things ? 
_d6025 		I'm a little +//. 
_d6025 		I'm a grumpy customer now cause you didn't have things I wanted . 
_d6025 		good .
_d6025 		good . 
_d6025 		oh , let me see . 
_d6025 		here's a bag . 
_d6025 		hmmm . 
_d6025 		the bear says Mommy I don't wanna come back here they don't have any of my favorite foods . 
_d6025 		I know , Lars . 
_d6025 		I'm disappointed too . 
_d6025 		Lars , we've got_to get going . 
_d6025 		oop(s) , lemme [: let me] pay her . 
_d6025 		we have_to rush . 
_d6025 		I forgot +/.
_d6025 		I forgot we have a doctor's appointment .
_d6025 		we have_to rush . 
_d6025 		goodbye . 
_d6025 		I don't wanna be late to the doctor's appointment , Lars . 
_d6025 		these are some books you made that we haven't seen for quite a while .
_d6025 		hey .
_d6026 		I don't +//? 
_d6026 		you don't want me to say that yet ? 
_d6026 		forgot we had that book . 
_d6026 		xxx . 
_d6026 		Naima , you're not allowed to do that . 
_d6026 		wait .
_d6026 		I will get the timer down .
_d6026 		I'm not allowing you to reach things onto the mantel from the slide any more . 
_d6026 		it's not okay with me . 
_d6026 		no no .
_d6026 		it's against the rules . 
_d6026 		yes , it's also against that . 
_d6026 		I'm sorry , you can't do that . 
_d6026 		you may , you may use the timer if you want .
_d6026 		I'm just not allowing you to reach things from the mantel any more .
_d6026 		I don't like it when you do that . 
_d6026 		it's not safe , and +/.
_d6026 		no you can't do it when I'm not around . 
_d6026 		I will put your slide away and you won't be able to use it any more if I ever see you doing that again . 
_d6026 		yes , I will .
_d6026 		Daddy also knows that it's against the rules . 
_d6026 		ask (h)im . 
_d6026 		no . 
_d6026 		the things that are up there are meant to stay up there . 
_d6026 		we don't have_to +/.
_d6026 		the timer +/.
_d6026 		you're right .
_d6026 		we don't need to have the timer up that high . 
_d6026 		there was no reason to keep it up there . 
_d6026 		that's alright . 
_d6026 		you can have the timer . 
_d6026 		down where you can reach it sometimes . 
_d6026 		but were you gonna set it ?
_d6026 		mmmm+(o)kay .
_d6026 		oh , I see . 
_d6026 		I understand .
_d6026 		I understand .
_d6026 		okay . 
_d6026 		yeah , we're in the waiting room right now .
_d6027 		oh , thank you . 
_d6027 		I forgot . 
_d6027 		yes . 
_d6027 		let's see +//. 
_d6027 		let's make sure we have everything we need +//. 
_d6027 		hey ! 
_d6027 		what's this , a timer ? 
_d6027 		I didn't buy a timer . 
_d6027 		that's silly . 
_d6027 		I didn't buy a timer . 
_d6027 		we'll have_to give it back to you . 
_d6027 		you don't ? 
_d6027 		what ? 
_d6027 		you want me to be the doctor ? 
_d6027 		okay .
_d6027 		okay . 
_d6027 		I see . 
_d6027 		okay .
_d6027 		okay . 
_d6027 		I have +... 
_d6027 		okay . 
_d6027 		should I bring him over to you ? 
_d6027 		okay . 
_d6027 		hi . 
_d6027 		I think my bear is big enough to go to the examination room by himself . 
_d6027 		you can take him there . 
_d6027 		he's six .
_d6027 		okay . 
_d6027 		oh , I have_to +/.
_d6027 		oh+my+goodness . 
_d6027 		alright . 
_d6027 		I'm gonna bring him something to play with so he's +//. 
_d6027 		gets distracted . 
_d6027 		he won't think about the shot . 
_d6027 		is that where the examination room is over there ? 
_d6027 		over there ? 
_d6027 		okay .
_d6027 		okay . 
_d6027 		okay .
_d6027 		here (h)e is . 
_d6027 		(o)kay . 
_d6027 		Lars , you can play with this . 
_d6027 		what kind of a shot is he getting ? 
_d6027 		okay . 
_d6027 		everything's okay , Lars . 
_d6027 		it's just gonna hurt for a second .
_d6027 		xxx    . 
_d6027 		oh , 
_d6027 		I wanna go ho:me . 
_d6027 		that's what he says . 
_d6027 		here you +//. 
_d6027 		why don't you wear your necklace , Lars ?
_d6027 		ooh , I wanna sticker . 
_d6027 		can I pick it out myself ? 
_d6027 		show me where . 
_d6027 		okay , I'm gonna get something I like .
_d6027 		xxx  .
_d6028 		that's a bear sticker . 
_d6028 		I'm putting it right on my chest . 
_d6028 		he doesn't have a shirt on , does he ? 
_d6028 		xxx .
_d6028 		okay . 
_d6028 		hello . 
_d6028 		hello .
_d6028 		look , it's a clean Daddy . 
_d6028 		very clean Daddy . 
_d6028 		oo:h .
_d6028 		I might just decide to hitch a ride to the hospital with +... 
_d6028 		a &f (.) ambulance or maybe a police car . 
_d6028 		hmmm . 
_d6028 		well I need to go in and +... 
_d6028 		almost two days now . 
_d6028 		mmmm . 
_d6028 		did you call him again ? 
_d6028 		no . 
_d6028 		but I just realized +//. 
_d6028 		I mean , they're out there and I don't think they would mind .
_d6028 		well unless they're rescuing people .
_d6028 		yeah .
_d6028 		well yeah an ambulance maybe +...
_d6028 		would you like to help me (.) cook something ? 
_d6028 		the cops can certainly do it .
_d6028 		what ? 
_d6028 		cops can certainly do it  .
_d6028 		one more time , huh ? 
_d6028 		we're playing doctor now .
_d6028 		oh , you're playing doctor ? 
_d6028 		oh my gosh .
_d6028 		okay . 
_d6028 		you go back to where you were . 
_d6028 		oh is he getting a shot now ?
_d6028 		lemme [: let me] check the battery life .
_d6028 		it's about to finish I think .
_d6028 		seven more minutes .
_d6028 		okay .
_d6028 		okay . 
_d6028 		
_d6028 		
_d6028 		good .
_d6028 		mmmm+(o)kay . 
_d6028 		Lars Twitchett . 
_d6028 		this is him . 
_d6028 		Twitchett ? 
_d6028 		is that (h)is name ? 
_d6028 		xxx .
_d6028 		xxx . 
_d6028 		here (h)e is . 
_d6028 		hi . 
_d6028 		oh . 
_d6028 		what kind of a shot does he need ?
_d6028 		okay , I guess I'll allow that . 
_d6028 		I don't want him to get the flu .
_d6028 		(o)kay . 
_d6028 		ouch . 
_d6028 		don't do that again . 
_d6028 		Mommy . 
_d6028 		don't let me come here again . 
_d6028 		well , it +//. 
_d6028 		you'll be healthier because you'll have that shot . 
_d6028 		xxx . 
_d6028 		I don't like this doctor's office . 
_d6028 		okay Lars . 
_d6028 		oh yeah , a sticker . 
_d6028 		that's what I want +//. 
_d6028 		hey Naima , what about those stickers . 
_d6028 		okay .
_d6028 		can I pick out my own sticker ? 
_d6028 		hey , look at this . 
_d6028 		oh , I want this one . 
_d6028 		I want this one . 
_d6028 		uh: .
_d6028 		the doctor took away the sticker that I wanted .
_d6028 		okay .
_d6028 		okay .
_d6029 		okay . 
_d6029 		oh: .
_d6029 		are there any bears ?
_d6029 		oh . 
_d6029 		puppies will happily bond with other animals . 
_d6029 		hmmm . 
_d6029 		you know , some of these pictures go in +//. 
_d6029 		go on the silhouettes . 
_d6029 		did you notice that ? 
_d6029 		no: .
_d6029 		no . 
_d6029 		no bears . 
_d6029 		I don't +/.
_d6029 		no .
_d6029 		I only want (.) bears . 
_d6029 		he's looking at me .
_d6029 		he was looking at me .
_d6029 		xxx . 
_d6029 		hey , what's that ? 
_d6029 		someone's putting a sticker on my back .
_d6029 		someone's putting a sticker right on my back .
_d6029 		xxx . 
_d6029 		
_d6029 		yes ? 
_d6029 		okay . 
_d6029 		I think that those stickers aren't as sticky as you might like them to be . 
_d6029 		that's part of the problem .
_d6029 		okay . 
_d6029 		you can have something else without yelling for it sweetie . 
_d6029 		well , I will , but you need to +//.
_d6029 		you need to talk in a nicer voice to Mommy .
_d6030 		Naima . 
_d6030 		let's tie +...
_d6030 		the string around it again . 
_d6030 		you know why ? 
_d6030 		(be)cause that way +... 
_d6030 		it won't +/.
_d6030 		the paper won't peel off when you +...
_d6030 		un+stick it . 
_d6030 		oh , see look this has got fibers on it .
_d6031 		that's why it's not sticky . 
_d6031 		it's got s(ticky) fibers from the rug on it . 
_d6031 		xxx can you see that ? 
_d6031 		on the sticky part +//. 
_d6031 		it's making the sticky part not work . 
_d6031 		you wanna try the the ones that haven't been on the rug ?
_d6031 		like this is on the rug +... 
_d6031 		that means it's not gonna work . 
_d6031 		this is on the rug . 
_d6031 		here's the new ones . 
_d6031 		and don't let them touch the rug . 
_d6031 		there's two here . 
_d6031 		well you can tear that one in half . 
_d6031 		hmmm . 
_d6031 		you made a tube . 
_d6031 		xxx  like  bell slide .
_d6031 		xxx , do you need any help from me ? 
_d6031 		nope [: no] . 
_d6031 		well +/.
_d6031 		shut ? 
_d6031 		hmmm , let's see . 
_d6031 		I see what you mean . 
_d6031 		maybe if we +...
_d6031 		yeah yeah we're gonna tape it shut .
_d6031 		we're gonna tape it shut . 
_d6031 		we're going to put one here +...
_d6031 		xxx .
_d6031 		the bell is pretty small .
_d6031 		how (a)bout (.) folding it ?
_d6031 		how (a)bout +/.
_d6031 		how (a)bout like that .
_d6031 		you're right , you would need strong tape for this .
_d6031 		you would need strong tape .
_d6032 		would you like some tape ? 
_d6032 		I'll give you some masking tape if you want . 
_d6032 		I'll get the masking tape . 
_d6032 		no .
_d6032 		mmmm .
_d6032 		don't we have a brush +//?
_d6032 		brush as well as a scraper ,  ? 
_d6032 		uh , in my trunk . 
_d6032 		in your trunk . 
_d6032 		at least I think that's where it is . 
_d6032 		are you recording ?
_d6032 		um +... 
_d6032 		big masking tape . 
_d6032 		oh , apparently .
_d6033 		I do , the car is in a drift . 
_d6033 		I hafta get my cell phone from the car . 
_d6033 		why: ?
_d6033 		oh  , I know .
_d6033 		do you know why I'm not allowed ?
_d6033 		do you know why I'm not allowed to do it ? 
_d6033 		because you're hungry .
_d6033 		because you're a hungry child .
_d6033 		that's alright . 
_d6033 		here . 
_d6033 		I'm gonna put all of this away because you're too upset to work with it right now .
_d6033 		yeah .
_d6033 		&aw . 
_d6033 		okay , I'll get the blue tape . 
_d6033 		all you need to do is say , Mommy please get me the blue tape instead . 
_d6033 		here you go . 
_d6033 		xxx     . 
_d6033 		xxx    . 
_d6033 		xxx   .
_d6033 		xxx      .
_d6033 		xxx    .
_d6033 		what's th(e) matter , honey ? 
_d6033 		where ?
_d6033 		I will come and help you . 
_d6033 		tell me what you +/.
_d6033 		tell me what you need .
_d6033 		uh , tell me what you need .
_d6033 		tell me what you need . 
_d6033 		tell me what you need . 
_d6033 		show me what you want . 
_d6033 		Naima , show me what you wanted me to do . 
_d6033 		the tape ?
_d6033 		you need help taping that ?
_d6033 		tape the ends ? 
_d6033 		let's see . 
_d6033 		you already have tape .
_d6033 		oh up there okay .
_d6033 		how (a)bout if +//.
_d6033 		how (a)bout if I hold one end closed . 
_d6033 		so that it doesn't come out .
_d6033 		if I hold this +... 
_d6033 		I'm gonna hold this very tight .
_d6033 		oh , okay .
_d6033 		put it in . 
_d6033 		I'm holding this end . 
_d6033 		you wanna hold +//? 
_d6033 		
_d6033 		okay .
_d6033 		okay , lemme [: let me] hold both ends .
_d6033 		okay .
_d6033 		okay . 
_d6033 		alright .
_d6033 		can I hold it flat ?
_d6034 		how (a)bout like that ? 
_d6034 		well , see it's uneven +//. 
_d6034 		how (a)bout if we cut that so it's even .
_d6034 		hey who's that guy outside . 
_d6034 		it's a blue sno:w monster . 
_d6034 		and he can't +...
_d6034 		Daddy's waving .
_d6034 		look at Daddy in the snow+shoes .
_d6035 		what would you like me to do . 
_d6035 		want me to hold that ?
_d6035 		okay .
_d6035 		okay , okay .
_d6035 		you have a piece up there sweetie .
_d6035 		mmmm+(o)kay . 
_d6035 		then after you finish this +... 
_d6035 		you and I are gonna go in the kitchen and have some second breakfast .
_d6035 		well , you could do that too . 
_d6035 		but we could have a snack and then make the bread .
_d6035 		you need a tissue honey .
_d6035 		you need a tissue honey .
_d6035 		ugh . 
_d6035 		look at that .
_d6035 		yuck . 
_d6035 		it is yucky to wipe +/.
_d6035 		to wipe your nose on your sleeve ? 
_d6035 		that is yucky .
_d6035 		(o)kay . 
_d6036 		you know , we could h(ave) start with having a little yogurt stick . 
_d6036 		fro(zen) +/.
_d6036 		frozen yogurt stick . 
_d6036 		and then you can have some +/.
_d6036 		xxx . 
_d6036 		put more pasta +//. 
_d6036 		we could heat +//. 
_d6036 		make it warm pasta with cheese ? 
_d6036 		could have more tomato sauce with it . 
_d6036 		faken+bacon . 
_d6036 		let's go get the frozen yogurt stick +/.
_d6036 		you want me to tie it around ? 
_d6036 		xxx .
_d6036 		(o)kay . 
_d6036 		xxx  . 
_d6036 		then you wouldn't have the tape .
_d6036 		anymore . 
_d6036 		I'm gonna get your yogurt stick for you now .
_d6036 		Naima , you're not allowed to take (.) things off the mantel or put things on .
_d6036 		if you want me to put it there I will . 
_d6036 		come have your yogurt stick .
_d6036 		oh well .
_d6036 		xxx . 
_d6036 		(rea)dy two one you're broadcasting . 
_d6036 		and folks here is the +... 
_d6036 		ne:ws from Cape Cod . 
_d6036 		(o)kay . 
_d6036 		oh . 
_d6036 		I wonder if they'll say anything about the power outages . 
_d6036 		I like this station . 
_d6036 		I like this forecaster . 
_d6037 		oh , this forecaster is giving us good advice , I think . 
_d6037 		hmmm . 
