_t4 		xxx are you giving me a present ? 
_t4 		zinnias never came up . 
_t4 		there are two kinds of chard this year .
_t4 		xxx  . 
_t4 		after all danger of frosts has past . 
_t4 		does it look the same ? 
_t4 		what does it look like ? 
_t4 		hmmm .
_t4 		nah: !
_t4 		can you put these things in the garbage for me ? 
_t4 		those that's garbage there . 
_t4 		an(d) this too . 
_t4 		sorry there was more . 
_t4 		xxx  . 
_t4 		xxx     . 
_t4 		okay here's all the different categories of seeds . 
_t4 		these things we have_to wait until we have our garden built . 
_t4 		actually that has gotta go elsewhere . 
_t4 		okay . 
_t4 		xxx there . 
_t4 		and this has gotta go +... 
_t4 		direct seed after last frost . 
_t4 		you have two kinds of bean seeds is that right ? 
_t4 		well that's what +//. 
_t4 		that's all I'm gonna give you right now because we're getting ready +... 
_t4 		let's see , after last frost .
_t4 		to go investigate the problem with the grow core . 
_t4 		or maybe to go to the garden store .
_t4 		plant outdoors today . 
_t4 		(be)cause we need some flats to sow seeds in . 
_t4 		okay . 
_t4 		xxx    . 
_t4 		let's go look at that soil and see what the problem is .
_t4 		xxx . 
_t4 		oh , brother .
_t4 		oh , not only is it looking +... 
_t4 		not different . 
_t4 		I'm gonna take this +... 
_t4 		out . 
_t4 		I think +... 
_t4 		possibly +... 
_t4 		yeah .
_t4 		I don't know let's sit here a while longer . 
_t4 		I do not know why this is happening . 
_t4 		but I think maybe we shouldn't have put the stuff on top of it to weight it down . 
_t4 		let's leave it like this . 
_t4 		I'm gonna leave it here a while longer . 
_t4 		now I think +... 
_t4 		(I)'m (gonn)a [: going to] go to the garden store and get some flats . 
_t4 		to grow things in . 
_t4 		no no . 
_t4 		I want you to leave it right there . 
_t4 		yeah yeah yeah yeah yeah  .
_t4 		yeah yeah yeah yeah yeah . 
_t4 		are you hungry ?
_t4 		y(ou) know you didn't have a second breakfast yet .
_t4 		you had milk second breakfast .
_t4 		do you +//?
_t4 		Naima . 
_t4 		Naima .
_t4 		you're not gonna flip it over .
_t4 		no no no . 
_t4 		you're all set .
_t4 		you're not gonna get a paper towel .
_t4 		what do you want a paper +//.
_t4 		can you tell me what you want it for ? 
_t4 		I know you did .
_t4 		I don't want you to touch the grow core . 
_t4 		I want it to stay there and I want it to work . 
_t4 		so we have_to leave it alone so that it will work . 
_t4 		hee   . 
_t4 		alright . 
_t4 		let's go to the garden store . 
_t4 		
_t4 		want some yogurt with berries ? 
_t4 		ah: . 
_t4 		sounds like a good idea . 
_t4 		you can sit at your table here and have some and I'll sit with you .
_t4 		and do some kinda [: kind of] work while I'm doing that . 
_t4 		
_t4 		you want porridge ?
_t4 		just yogurt with berries ? 
_t4 		okay . 
_t4 		oh .
_t4 		xxx . 
_t4 		xxx .
_t4 		oh . 
_t4 		xxx   . 
_t4 		this door . 
_t4 		I shut the +//.
_t4 		oh Naima did that come out . 
_t4 		lemme [: let me] fix it please .
_t4 		I'll fix that . 
_t4 		I shut this door by accident . 
_t4 		and I shut it too far and now I can't get it to open . 
_t4 		xxx . 
_t4 		probably Daddy can fix it . 
_t4 		I think Daddy's downstairs .
_t4 		I'm gonna get you some .
_t4 		I just have_to get Daddy to come upstairs and help fix the door first . 
_t4 		or maybe even we left them at the vacation house . 
_t4 		I think . 
_t4 		that's possible . 
_t4 		xxx  . 
_t4 		(be)cause I can't +//. 
_t4 		I haven't seen them in our house for a while . 
_t4 		so I +//. 
_t4 		either that or they're in one of the cooler bags . 
_t4 		or could be in Mommy's purse even . 
_t4 		oh , I didn't even get you your food yet . 
_t4 		they might look in their silverware drawer +...
_t4 		and find +... 
_t4 		the missing spoons . 
_t4 		it's possible +...
_t4 		that they might be able to find them . 
_t4 		I'm gonna bury the berries . 
_t4 		I'm gonna bury them in yogurt . 
_t4 		there you go . 
_t4 		there you go . 
_t4 		know why it wasn't working anyway . 
_t4 		there now it should be working . 
_t4 		I'm gonna play it back and see what happens . 
_t4 		(ex)cept I have 
_t4 		I don't know what was happening before .
_t4 		I don't know why it wasn't working . 
_t4 		yes . 
_t4 		yes you are gonna be perfectly fine .
_t4 		you're not sick . 
_t4 		more berries dear ? 
_t4 		xxx . 
_t4 		canoe+berries ?
_t4 		I don't think we have any canoe+berries . 
_t4 		I don't think we have any canoe+berries . 
_t4 		I know you are .
_t4 		I know you are . 
_t4 		look , you're gonna finish this whole bag of blueberries .
_t4 		look . 
_t4 		no: . 
_t4 		go:ne . 
_t4 		go:ne .
_t4 		they're all gone . 
_t4 		o:h no .
_t4 		
_t4 		just the blueberry part ?
_t4 		oh brother . 
_t4 		o:h . 
_t4 		yes ?
_t4 		yes ? 
_t4 		what's happening ? 
_t4 		what's what ? 
_t4 		that's okay that it's not making any noise .
_t4 		I'm not worried about it not making noise . 
_t4 		yeah , we don't want that to happen .
_t4 		have you been to the Autobahn Society where they have the big windows and you can see all their bird+feeders ?
_t4 		mmmm   . 
_t4 		are you talking about the Cape Cod Museum of Natural History ? 
_t4 		or the one in Wellfleet ? 
_t4 		I think Wellfleet . 
_t4 		um , I don't think I've taken Naima there . 
_t4 		oh , they have a great great window . 
_t4 		overlooking the outdoors . 
_t4 		we could make a tunnel with that . 
_t4 		another tunnel . 
_t4 		well , if you'd like to . 
_t4 		Naima I think there's one right over there . 
_t4 		oh well , again you could put two halves together and make a whole one . 
_t4 		so , Mom whenever you wanna have breakfast +...
_t4 		you can go ahead       .
_t4 		okay .
_t4 		Naima you should have breakfast in a little while . 
_t4 		ooh . 
_t4 		yeah you can put some more halves together if we can find them . 
_t4 		well this is kind of a +//. 
_t4 		it's not really a half . 
_t4 		it's a carved out piece you could put together . 
_t4 		and that will make a whole . 
_t4 		and here's a different kind of halves you could put together .
_t4 		Naima this is one that's (.) cut on the diagonal . 
_t4 		but that goes together and makes a whole one . 
_t4 		and then +... 
_t4 		hmmm . 
_t4 		I don't think that one . 
_t4 		oh , here .
_t4 		these two halves (.) will make a whole one . 
_t4 		a half blocks . 
_t4 		that's a half block . 
_t4 		two halves of a half block . 
_t4 		mmmm+hmmm . 
_t4 		where +//? 
_t4 		we could make a tunnel with it . 
_t4 		would you like to make a tunnel ? 
_t4 		uh well we could put it here . 
_t4 		or you could put it over on the other side . 
_t4 		yeah .
_t4 		yes .
_t4 		you need to use all the +//. 
_t4 		it's good to use all the blocks up . 
_t4 		it's fun . 
_t4 		here's a half and there's a half . 
_t4 		yes it also can make a square . 
_t4 		and there's a quarter and here's a q(uarter) +//. 
_t4 		well that's not a quarter , no . 
_t4 		sorry that's a  +... 
_t4 		a half block in a half . 
_t4 		halved . 
_t4 		a halved half block . 
_t4 		look at the whole thing . 
_t4 		xxx    . 
_t4 		does it need more work ? 
_t4 		or do you wanna go and have some breakfast ? 
_t4 		a lot more work . 
_t4 		you still have more blocks . 
_t4 		oh .
_t4 		oh no . 
_t4 		xxx .
_t4 		oh the pig says  no .
_t4 		why does the pig say  no ? 
_t4 		oh really ? 
_t4 		he's seeing you . 
_t4 		oh okay .
_t4 		he what does he see ? 
_t4 		oh okay .
_t4 		hey we got some more of these blocks . 
_t4 		oh .
_t4 		well this is almost one of those but not quite . 
_t4 		but if you put those two ramps together they would make a whole one of those . 
_t4 		no not this one . 
_t4 		the other one . 
_t4 		that one . 
_t4 		see if you can fit them together . 
_t4 		to make one of those . 
_t4 		other blocks . 
_t4 		maybe if you put it on top you could +... 
_t4 		get it . 
_t4 		you figured it out . 
_t4 		very good . 
_t4 		and do what ? 
_t4 		well we've got some that are underneath here . 
_t4 		well I don't think we have any that make a complete set . 
_t4 		unless you wanna +//.
_t4 		unless you want to  +...
_t4 		okay . 
_t4 		take those ? 
_t4 		yes you c(an) +//. 
_t4 		I'm sure it's okay . 
_t4 		okay . 
_t4 		oh the ones that she's using . 
_t4 		oh , you +//. 
_t4 		I didn't notice . 
_t4 		hey  . 
_t4 		yeah . 
_t4 		xxx    . 
_t4 		did you take some of our blocks ? 
_t4 		I did . 
_t4 		xxx     . 
_t4 		Naima noticed . 
_t4 		oh . 
_t4 		yes . 
_t4 		let Grandma  take them away . 
_t4 		yes we're gonna  +//. 
_t4 		Mommy can use something else . 
_t4 		we will find something else .
_t4 		yeah .
_t4 		we can do something else .
_t4 		yeah .
_t4 		I will get that in a minute . 
_t4 		
_t4 		hey , a book . 
_t4 		we can use a book to put her stuff on . 
_t4 		oh you want the blue thing too ? 
_t4 		oh , then we need a lot of books here .
_t4 		we can put that on (.) some little books . 
_t4 		I mean on some books here . 
_t4 		is that high enough ? 
_t4 		no , we need still higher . 
_t4 		maybe we'll put this book underneath . 
_t4 		did you see this block ? 
_t4 		here's a block . 
_t4 		alright . 
_t4 		xxx  . 
_t4 		now you can take this .
_t4 		
_t4 		and we'll push this over here . 
_t4 		okay . 
_t4 		wanna go over there ? 
_t4 		and put your blocks in ?
_t4 		maybe we need to put another +... 
_t4 		oops careful Naima .
_t4 		don't knock this over . 
_t4 		okay . 
_t4 		can you go back over there ? 
_t4 		okay . 
_t4 		bec(ause) +/.
_t4 		alright . 
_t4 		okay .
_t4 		xxx  . 
_t4 		oh you pulled that  +//. 
_t4 		don't pull it out much or the whole garage is gonna cave in . 
_t4 		it's gonna collapse . 
_t4 		mmmm+hmmm . 
_t4 		okay .
_t4 		well we (.) don't have too many blocks unless we take this apart . 
_t4 		but you might have enough here . 
_t4 		do you have enough here ? 
_t4 		over here ? 
_t4 		good job . 
_t4 		should we ta(ke) a  +//. 
_t4 		you know construction workers take breaks and they have +... 
_t4 		they have their  snack breaks . 
_t4 		would you like to go and have a snack break ? 
_t4 		but are we gonna have a snack break pretty soon ? 
_t4 		mmmm .
_t4 		oop(s) . 
_t4 		is that the way you want it ? 
_t4 		careful behind you , Naima . 
_t4 		don't knock that over . 
_t4 		Mommy's equipment . 
_t4 		I'll move it out of your way . 
_t4 		hmmm . 
_t4 		it's got a sky+light ? 
_t4 		oh it's got a tall roof . 
_t4 		Naima you might wanna give Grandma  a little break so she can have some breakfast ? 
_t4 		well us construction workers are gonna take a break in just a few minutes . 
_t4 		okay good . 
_t4 		are you ready ? 
_t4 		there's fromage +...
_t4 		yogurt , porridge , muffins . 
_t4 		mmmm I'm ready for a construction break . 
_t4 		you too Naima ? 
_t4 		why don't you try the muffin . 
_t4 		if you want you could also have +/. 
_t4 		xxx gonna have a foot operation . 
_t4 		did you know that ? 
_t4 		I have a sore foot . 
_t4 		xxx . 
_t4 		a joint in my foot hurts . 
_t4 		so the doctor's gonna fix the +... 
_t4 		what are you thinking ? 
_t4 		Naima ? 
_t4 		I think you were thinking something . 
_t4 		it's alright . 
_t4 		you don't always have_to tell people . 
_t4 		but anyway I will see you on the computer . 
_t4 		xxx  .
_t4 		I will show you m(y) +//. 
_t4 		I'm gonna be wearing a special boot for a while . 
_t4 		oh . 
_t4 		I don't have_to have a cast , I have_to wear a special boot . 
_t4 		on my foot . 
_t4 		oop(s) . 
_t4 		no no   it spilled out . 
_t4 		you hafta pay attention to where your food goes or you're gonna lose it . 
_t4 		you lost a whole bunch of fromage here . 
_t4 		we were thinking if you were gonna be here or (.) you know coming back last week of June +... 
_t4 		I think I've told you there's a garden thing . 
_t4 		yeah . 
_t4 		the garden .
_t4 		did you actually read +..? 
_t4 		have a chance to read +... 
_t4 		well I looked at it .
_t4 		about the garden . 
_t4 		since it wasn't something I was gonna do I didn't keep it .
_t4 		I did actually take a look at it . 
_t4 		but I don't think I'd know  . 
_t4 		know of them making gardens  . 
_t4 		so are +//? 
_t4 		actually are you thinking of coming up ? 
_t4 		(be)cause next time  .
_t4 		hmmm , yeah . 
_t4 		I think that's gonna be the weekend after your vacation . 
_t4 		oh .
_t4 		oh , maybe so . 
_t4 		it's like June twenty+sixth . 
_t4 		uh . 
_t4 		oh yeah , the +//. 
_t4 		yeah . 
_t4 		I guess so . 
_t4 		so you would be back ? 
_t4 		yeah , I think we would be back . 
_t4 		that'd be great if you wanted to come then . 
_t4 		hmmm .
_t4 		well we'd like to have you +//. 
_t4 		you know , if you'd like to go with us . 
_t4 		xxx one or two or +...
_t4 		maybe . 
_t4 		maybe . 
_t4 		you don't have_to eat it then . 
_t4 		it's alright . 
_t4 		unfortunately I have read +//. 
_t4 		this is horrible . 
_t4 		I've read that Bush is coming to Auster that same weekend . 
_t4 		oh is that the weekend ? 
_t4 		yeah . 
_t4 		I did . 
_t4 		you've read it .
_t4 		I did not  sure which town it was . 
_t4 		when I saw that in the paper I thought  no . 
_t4 		xxx  . 
_t4 		oh wait yeah . 
_t4 		hmmm . 
_t4 		maybe they'll change . 
_t4 		maybe they'll +//. 
_t4 		at the last minute something will +//. 
_t4 		yeah .
_t4 		xxx  . 
_t4 		call (th)em away .
_t4 		Naima what else would you like ? 
_t4 		what else would you like to eat sweetie ? 
_t4 		xxx .
_t4 		xxx . 
_t4 		you are gonna be okay .
_t4 		did you like the muffin ? 
_t4 		the hyacinth tree .
_t4 		yeah . 
_t4 		in blossom . 
_t4 		in blossom . 
_t4 		in blossom . 
_t4 		it's blossoming . 
_t4 		that means it's blooming . 
_t4 		when you say in blossom it means blooming Naima .
_t4 		okay . 
_t4 		Naima do you want some scrambled egg ? 
_t4 		I would make you some if you wanted .
_t4 		what ? 
_t4 		mmmm+hmmm .
_t4 		xxx    .
_t4 		you are gonna be okay . 
_t4 		
_t4 		with skin ?
_t4 		Naima decided she liked skin . 
_t4 		oh . 
_t4 		pear skin . 
_t4 		pear skin . 
_t4 		alright . 
_t4 		xxx  .
_t4 		
_t4 		they do . 
_t4 		bears love pear skin . 
_t4 		Klar the Bar ? 
_t4 		xxx .
_t4 		Claire Bear . 
_t4 		instead of Pear Bear you're Claire Bear . 
_t4 		xxx   . 
_t4 		Mom would you like some pear ? 
_t4 		sure . 
_t4 		I'll have whatever Naima has . 
_t4 		
_t4 		no I don't wanna +//.
_t4 		actually I take that back . 
_t4 		which she rejected . 
_t4 		xxx   . 
_t4 		we don't get pears too often . 
_t4 		no . 
_t4 		these are +//. 
_t4 		actually I got them when we were in Providence at the grocery store . 
_t4 		oh .
_t4 		last month . 
_t4 		organic . 
_t4 		mmmm+hmmm . 
_t4 		there's no pears on Cape Cod ? 
_t4 		sometimes it seems that way .
_t4 		the ones on Cape Cod aren't usually organic . 
_t4 		oh . 
_t4 		but you know what you need to do is to grow one . 
_t4 		grow a pear tree . 
_t4 		well +...
_t4 		fruit growing on Cape Cod is +... 
_t4 		not good .
_t4 		not +//. 
_t4 		it doesn't  it doesn't work because of +... 
_t4 		because of fungi and +... 
_t4 		oh , mmmm+hmmm . 
_t4 		uh those  some diseases . 
_t4 		more so even than pests , but +... 
_t4 		hmmm . 
_t4 		I know people that have terrible trouble growing apples . 
_t4 		and even people who +... 
_t4 		the one guy I know who used to grow apples organically switched over to +... 
_t4 		hmmm . 
_t4 		using some kind of te(chnology) +//. 
_t4 		chemical because it was just impossible . 
_t4 		here . 
_t4 		mmmm+hmmm . 
_t4 		well .
_t4 		and even in Massachusetts I don't think there's any certified organic (.) apples . 
_t4 		uh you know  has an apple tree . 
_t4 		or maybe she does . 
_t4 		hmmm . 
_t4 		she doesn't +//. 
_t4 		I think +... 
_t4 		I don't know if she actually sells them . 
_t4 		Naima do you still wanna have your hair cut today ? 
_t4 		okay . 
_t4 		do you wanna do it while Grandma  still here ? 
_t4 		okay . 
_t4 		Grandma  do we have time to do that after breakfast ? 
_t4 		yeah .
_t4 		okay . 
_t4 		what time is it getting .
_t4 		eight+forty . 
_t4 		yeah . 
_t4 		maybe Grandma  could read you a book while I cut your hair so that your head will stay still . 
_t4 		what do you think ? 
_t4 		xxx   .
_t4 		why ? 
_t4 		(be)cause you can't move your head when you're getting a haircut because the scissors could +... 
_t4 		hurt your neck a little bit . 
_t4 		or they could cut your hair uneven . 
_t4 		yeah .
_t4 		xxx   . 
_t4 		are you gonna put +//. 
_t4 		the old+fashioned way to cut hair was to put a bowl over your head . 
_t4 		xxx   .
_t4 		do you know that ? 
_t4 		that's funny .
_t4 		she cuts her son's +//. 
_t4 		they don't have their hair cut all year long and then +... 
_t4 		the one son comes up from North Carolina +... 
_t4 		and she puts a bowl over his head ? 
_t4 		and she puts a bowl over his head and cuts his hair .
_t4 		xxx  . 
_t4 		that's pretty funny .
_t4 		and that's the only time he gets a haircut .
_t4 		and how old is he ? 
_t4 		he is  +... 
_t4 		I think he's probably older than you . 
_t4 		oh brother . 
_t4 		let me think now . 
_t4 		I think all her +... 
_t4 		are all her children older than you ? 
_t4 		no maybe not . 
_t4 		I didn't think so . 
_t4 		maybe not .
_t4 		but clo(se) +//. 
_t4 		maybe close . 
_t4 		yeah , you're close in age . 
_t4 		and she's older than you , right ? 
_t4 		yeah she just turned eighty or +... 
_t4 		(a)bout eighty+one . 
_t4 		mmmm . 
_t4 		yep [: yes] that was excellent . 
_t4 		Naima do you want a piece of cheese to eat ? 
_t4 		for some protein ? 
_t4 		we don't have any manchego cheese . 
_t4 		we have cheddar cheese . 
_t4 		um . 
_t4 		there's kippers . 
_t4 		do you want some kippers ? 
_t4 		or mackerel ? 
_t4 		got lots_of   on my hands .
_t4 		I don't think I've had mackerel . 
_t4 		that's a good idea . 
_t4 		yeah . 
_t4 		something frozen with protein ? 
_t4 		something frozen with +/.
_t4 		I never heard of that . 
_t4 		first frozen . 
_t4 		oh warm it up . 
_t4 		oh , really ? 
_t4 		xxx   .
_t4 		I think that's a good combination . 
_t4 		that's a good .
_t4 		I haven't been able to find the mackerel yet . 
_t4 		let me finish looking for the mackerel . 
_t4 		Naima did have macaroni and cheese the other day . 
_t4 		mmmm+hmmm . 
_t4 		that was a good thing to have for breakfast since it did have protein . 
_t4 		or maybe we used up the mackerel . 
_t4 		let me just see . 
_t4 		I don't know this is taking +... 
_t4 		xxx . 
_t4 		you can start on the mackerel while I heat up the macaroni and cheese . 
_t4 		actually I'd better check +/.
_t4 		uh  , Naima , guess what . 
_t4 		there isn't any macaroni and cheese . 
_t4 		we used it up . 
_t4 		yeah , I thought we had some but we do +//.
_t4 		when you ate it for breakfast the other day that was the last one . 
_t4 		I could make some for you though on the stove . 
_t4 		okay .
_t4 		you alright ? 
_t4 		sit up straight in your chair . 
_t4 		that'll probably help . 
_t4 		yeah I think maybe that you wanna sit up straight in your chair .
_t4 		you're gonna be fine .
_t4 		xxx   . 
_t4 		you have a strong gag reflex . 
_t4 		you're alright . 
_t4 		you're really gonna be okay . 
_t4 		nope [: no] you're not gonna do anything . 
_t4 		yeah .
_t4 		you're gonna be fine . 
_t4 		you're gonna be fine . 
_t4 		yes you are .
_t4 		do you want some water to drink ? 
_t4 		plain water ?
_t4 		(o)kay . 
_t4 		look the sun went away again .
_t4 		yeah . 
_t4 		oh it's hiding . 
_t4 		it's a hiding sun .
_t4 		xxx  .
_t4 		xxx  . 
_t4 		do you wanna pour your own water this morning ? 
_t4 		mmmm+(o)kay .
_t4 		is that mackerel that you cooked +//? 
_t4 		that's not smoked is it ?
_t4 		it is smoked mackerel . 
_t4 		it is smoked ?
_t4 		yeah . 
_t4 		where do you get it ?
_t4 		well actually it's smoked up at that farm . 
_t4 		oh . 
_t4 		from  circus in Providence . 
_t4 		oh okay .
_t4 		I see . 
_t4 		I think Whole Foods . 
_t4 		tomorrow . 
_t4 		okay , I guess now I finish making macaroni and cheese . 
_t4 		what  .
_t4 		some of the what ? 
_t4 		what ? 
_t4 		yes . 
_t4 		I've got some and I'm gonna make cheese sauce to go on it . 
_t4 		that's what I'll do .
_t4 		do you know how to make cheese sauce Naima ? 
_t4 		what is the recipe ?
_t4 		what's that ? 
_t4 		no I'm not gonna go away . 
_t4 		do you need a tissue for your nose ? 
_t4 		you can use a tissue to blow your nose if you want .
_t4 		use a tissue . 
_t4 		are you done with the water ? 
_t4 		(o)kay , we don't play with +... 
_t4 		nope [: no] . 
_t4 		actually +...
_t4 		you're not allowed to play with your food .
_t4 		including your water .
_t4 		including your water . 
_t4 		gonna wipe your hands on that ? 
_t4 		there . 
_t4 		clean up the water that spilled . 
_t4 		can I taste some of your mackerel ? 
_t4 		can I have a piece of your mackerel ?
_t4 		oh I meant to give some to Grandma  . 
_t4 		that's alright .
_t4 		no , Naima gave me a piece to taste . 
_t4 		oh , okay .
_t4 		the cheese sauce now . 
_t4 		mmmm .
_t4 		xxx . 
_t4 		it's delicious . 
_t4 		that is delicious . 
_t4 		I like smoked +//. 
_t4 		any smoked fish . 
_t4 		smoked +... 
_t4 		trout . 
_t4 		smoked +... 
_t4 		I like the smoked mackerel . 
_t4 		and smoked salmon . 
_t4 		it's delicious . 
_t4 		mmmm+hmmm .
_t4 		uh Mom are you +//? 
_t4 		I don't feel like I've quite offered you enough . 
_t4 		you know there's some +//. 
_t4 		there's some low+fat cottage+cheese . 
_t4 		no no I'm fine . 
_t4 		xxx  .
_t4 		I'm fine . 
_t4 		um . 
_t4 		bagel . 
_t4 		yogurt . 
_t4 		nope [: no] I'm fine . 
_t4 		apple . 
_t4 		cardinals come back . 
_t4 		we haven't seen too many birds . 
_t4 		there's still 
_t4 		yeah chickadee .
_t4 		chow+chickadee .
_t4 		chow+chickadee ? 
_t4 		what's a chow+chickadee . 
_t4 		that's a very good question . 
_t4 		I think a female blue+jay +... 
_t4 		either looks exactly like a male blue+jay or is a li(ttle) +//. 
_t4 		doesn't have quite as bright a color blue . 
_t4 		cardinals come back . 
_t4 		that's a really good question though .
_t4 		yeah . 
_t4 		I don't know the difference .
_t4 		hmmm .
_t4 		I don't know the difference . 
_t4 		I do know the difference with cardinals . 
_t4 		the female is half brown . 
_t4 		basically the female is +//.
_t4 		but you know what ? 
_t4 		the juvenile males look kinda [: kind of] like the females . 
_t4 		oh really .
_t4 		you can't really tell them apart . 
_t4 		(be)cause they don't get their +/.
_t4 		what does juvenile mean ? 
_t4 		young .
_t4 		are you a juvenile ? 
_t4 		child .
_t4 		are you a juvenile ? 
_t4 		is that another name +/. 
_t4 		another word +... 
_t4 		that means the same thing as child ?
_t4 		mmmm+hmmm are you wiping your face ? 
_t4 		playing hide+and+seek .
_t4 		what ?
_t4 		cardinals come back . 
_t4 		bears ? 
_t4 		xxx    .
_t4 		xxx . 
_t4 		to the feeder ? 
_t4 		where's Claire ?
_t4 		where is Claire today ? 
_t4 		there she is . 
_t4 		xxx   .
_t4 		where's Claire ? 
_t4 		I hear a noise . 
_t4 		there she is . 
_t4 		where's Claire ?
_t4 		you know you're getting that all over your face . 
_t4 		why don't you use this clean (.) Kleenex instead of those +... 
_t4 		the dirty +... 
_t4 		lemme [: let me] wipe off . 
_t4 		gunk all over your face . 
_t4 		use this clean (.) Kleenex . 
_t4 		it's a clean Kleenex . 
_t4 		clean tissue . 
_t4 		
_t4 		wait a minute have you seen Claire this morning ? 
_t4 		xxx I hear her . 
_t4 		oh who is that that's screaming .
_t4 		is that Claire that's screaming ?
_t4 		xxx   .
_t4 		is Claire here today ?
_t4 		I haven't seen her today . 
_t4 		where is she ? 
_t4 		no I have not seen +/.
_t4 		she went off to the play+ground with her what ? 
_t4 		with her Grandma ? 
_t4 		oh with her friends .
_t4 		oh .
_t4 		where is Claire .
_t4 		there she is . 
_t4 		where's Grandma  ?
_t4 		have you seen her ?
_t4 		maybe she went off to the play+ground with her Granddaughter . 
_t4 		peek . 
_t4 		no don't use that one Naima that's +//. 
_t4 		no you don't but it on the floor but +... 
_t4 		use the clean Kleenex . 
_t4 		now are you wiping your face ? 
_t4 		good . 
_t4 		
_t4 		alright .
_t4 		mmmm it is good . 
_t4 		
_t4 		a little piece . 
_t4 		mmmm . 
_t4 		mmmm . 
_t4 		very tasty . 
_t4 		uh I'll see if there's more in just a second . 
_t4 		mmmm .
_t4 		
_t4 		wonderful .
_t4 		excellent .
_t4 		that tastes magnifique . 
_t4 		can you say that ? 
_t4 		have you heard that word before ? 
_t4 		(be)cause it means wonderful , great . 
_t4 		fabulous . 
_t4 		all those words mean the  same thing . 
_t4 		magnifique . 
_t4 		exquisite . 
_t4 		exquisite flavor . 
_t4 		xxx   . 
_t4 		what do you say ? 
_t4 		do you say +/.
_t4 		what do you say Naima ?
_t4 		xxx    .
_t4 		it flew down there . 
_t4 		yes . 
_t4 		well the blue+jay might spread the word that we've got bird+seed here . 
_t4 		he might tell the other birds . 
_t4 		and then the birds will come . 
_t4 		different birds maybe . 
_t4 		he will tell (th)em , ooh go over to that yard . 
_t4 		that yard has a great bird+seed . 
_t4 		(be)cause birds like to eat bird+seed . 
_t4 		yes .
_t4 		but they can't get up there .
_t4 		they can't get up into the bird feeder . 
_t4 		do you know why they can't get up ?
_t4 		do you see the black thing on the bottom of the bird feeder ? 
_t4 		is that called a baffle ?
_t4 		xxx  baffle .
_t4 		well I don't know . 
_t4 		I mean I was wondering if that was actually a bear that knocked this one down . 
_t4 		when I was here last year when you went on vacation . 
_t4 		the first night you were gone on your vacation (.) and Grandma was staying here alone there was a big big storm . 
_t4 		a big storm . 
_t4 		and I heard something knock this thing down .
_t4 		something was at the window . 
_t4 		and it knocked it down . 
_t4 		I didn't +/.
_t4 		it could have been a bear .
_t4 		it could have been but your Mommy says no bears on the Cape . 
_t4 		that's right . 
_t4 		so it must not +//. 
_t4 		must have been a raccoon . 
_t4 		zero  on the Cape . 
