_t4 		xxx has the (.) transmitter in it . 
_t4 		there she is !
_t4 		she fits with that doll +//.
_t4 		oh , they match a little bit . 
_t4 		whatcha [: what are you] looking for ? 
_t4 		oh the mommy koala bear needs the red shirt ? 
_t4 		you're putting your shirts back ? 
_t4 		good job . 
_t4 		thank you for cleaning up . 
_t4 		trying to get the red shirt out ?
_t4 		or back , you trying to put it back ? 
_t4 		oh .
_t4 		xxx !
_t4 		is she hiding , is that mama koala hiding ? 
_t4 		who is she hiding from ? 
_t4 		from Mommy and Daddy ? 
_t4 		where's the koala ? 
_t4 		where's the koala ?
_t4 		where'd [: where did] that koala go ? 
_t4 		something's not quite right with this +... 
_t4 		are you gonna put that new play+suit on her ? 
_t4 		it's awfully big for the koala , isn't it ? 
_t4 		it's awfully big ! 
_t4 		it's very big for the koala . 
_t4 		make it bigger ? 
_t4 		I think it is bigger than the koala is . 
_t4 		do you need a tissue for your nose ? 
_t4 		xxx okay +...
_t4 		let Mommy wipe your nose with a tissue , okay ? 
_t4 		there , there ! 
_t4 		mmmm . 
_t4 		hey do you hear the washing machine , do you wanna go look at the clothes in the washing machine ? 
_t4 		okay . 
_t4 		all+right , let's just try to get this on you +... 
_t4 		you gonna throw up ? 
_t4 		no ?
_t4 		I hope not . 
_t4 		whoa +... 
_t4 		we're gonna go look at the washing machine for a minute , okay ? 
_t4 		and we'll leave the koala here , and then we'll come back and see the koala . 
_t4 		that was just a wretch . 
_t4 		are you still recording ? 
_t4 		yes I am . 
_t4 		we're gonna look at the washing machine . 
_t4 		oh ,  good .
_t4 		I might make some  while we wait , are you having  ? 
_t4 		no I'd +//. 
_t4 		actually , that's what she ate , and I'm , I left some in the bowl , that I might eat +...
_t4 		as well . 
_t4 		there's the laundry ! 
_t4 		the telephone's ringing now ! 
_t4 		xxx  for you . 
_t4 		oh good , okay . 
_t4 		xxx .
_t4 		let me (.) yes . 
_t4 		xxx ?
_t4 		xxx .
_t4 		xxx okay .
_t4 		do I just press hold or do I press talk ? 
_t4 		no press talk .
_t4 		hello ? 
_t4 		hi ! 
_t4 		no not at all , how are you ?
_t4 		okay , you're back ! 
_t4 		that's quite a stretch ! 
_t4 		I'll bet .
_t4 		xxx yes .
_t4 		have you been back a while , or +...
_t4 		have you been back a while ?
_t4 		uh huh . 
_t4 		oh . 
_t4 		sure ! 
_t4 		there's a dog here , Naima .
_t4 		oh you're gonna make a match ?
_t4 		oh the matching game ! 
_t4 		great ! 
_t4 		can you sit down ? 
_t4 		oh that matches . 
_t4 		we'll find an I +//.
_t4 		I'll put some more letters down , you can make a match . 
_t4 		oh okay , I'll find a C in the cards . 
_t4 		you have a C block . 
_t4 		yeah , hi ! 
_t4 		that's okay , do you need to go ? 
_t4 		uh huh .
_t4 		oh .
_t4 		xxx . 
_t4 		xxx .
_t4 		that's okay .
_t4 		yes , good ! 
_t4 		can you (.) come on that day ? 
_t4 		oh that's great . 
_t4 		xxx well , I think it'll be great to have you +//.
_t4 		and , you know the (.) I don't know if you've ever been to Gymboree but it's good for the little babies too , so +... 
_t4 		how's  doing , he's big now !
_t4 		xxx right , I mean  +... 
_t4 		oh boy . 
_t4 		oh boy ,  boy ! 
_t4 		when we last saw him he was just a little slip of a thing ! 
_t4 		xxx .
_t4 		are you still nursing or did you (.) great ! 
_t4 		uh huh ! 
_t4 		yeah . 
_t4 		yeah . 
_t4 		yes , I do . 
_t4 		yeah . 
_t4 		uh huh . 
_t4 		uh huh .
_t4 		yeah .
_t4 		yeah . 
_t4 		yeah , well , I'm doing that , and she's almost two , so +... 
_t4 		yeah . 
_t4 		xxx . 
_t4 		yeah . 
_t4 		well (.) I would have liked to have waited , but +... 
_t4 		I , I wasn't gonna force the issue . 
_t4 		uh huh . 
_t4 		oh he +//.
_t4 		yeah she run (.) well no , but she runs that childrens' place . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm , that's good , yup [: yes] .
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm , mmmm+hmmm . 
_t4 		xxx mmmm+hmmm . 
_t4 		yeah , yeah . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm . 
_t4 		well , it's partly +//. 
_t4 		it's not  , completely  good or bad , it's partly about what your level of tolerance is , I mean that (.) that's part of the equation , I mean +...
_t4 		xxx .
_t4 		yeah , sure . 
_t4 		no I (.) well +... 
_t4 		I don't , I don't like , I don't like it , I wish it weren't happening but I'm also not willing to do (.) what it takes +//.
_t4 		well I mean I am willing to do what it takes to reduce it , but not to (.) force it , if you know what I mean . 
_t4 		and , and I think she +//.
_t4 		it is (.) well , I can go on and on on this topic , it's like all I ever think about , to be honest with you  ! 
_t4 		but the +//.
_t4 		I mean no , that's an exaggeration , but +... 
_t4 		(be)cause sleep is important , that's why . 
_t4 		for all of us . 
_t4 		she doesn't have a sleeping problem (be)cause she sleeps right +//.
_t4 		I mean , she barely wakes up to nurse . 
_t4 		so it's not a question about her not sleeping , it's a question about me not sleeping . 
_t4 		no ,  , what we did +... 
_t4 		is (.) a couple of months , well maybe like three or four months ago we got a single bed and put it next to our king+sized bed in our bedroom . 
_t4 		so she sleeps on that much of the night . 
_t4 		and she +//.
_t4 		so she's farther away from me . 
_t4 		and I either go down to her bed to nurse her +//.
_t4 		and , and I try to just wait and see if she's really waking up to nurse or not . 
_t4 		you know , so +//.
_t4 		(be)cause sometimes she'll almost wake up but then she'll go back to sleep without being nursed . 
_t4 		so , it's also about listening carefully and waiting . 
_t4 but anyway sometimes I'll go down to her 
_t4  bed to nurse her and sometimes I'll bring her up to the bed , and sometimes I'll have the energy to put her back on hers and other times she just stays in bed . 
_t4 		I mean I'm not , I , I don't feel , feel like I have an ideal situation . 
_t4 		xxx . 
_t4 		can I , can I tell you about a book that I like though about this topic ,  +... 
_t4 		it's called the no cry sleep solution . 
_t4 		um , and I , I like her approach (be)cause she's kind of like , she's kind of like ,  +... 
_t4 		well , it's hard to describe but , you know , middle of the +//.
_t4 		like if you need to sleep , she's got suggestions on what you can do , and yet she +... 
_t4 		recognizes there are lots_of people like me , at least , who want , like no crying  . 
_t4 		but want to sleep . 
_t4 		so it's kinda [: kind of] like way +//.
_t4 		like , possible ways of making that happen . 
_t4 		and it didn't +//.
_t4 		I can't say that (.) and it's also one of these things that's not a rigid plan , it's more like an approach and suggestions , and +... 
_t4 		stuff like that , so , it's not like you have_to follow a plan . 
_t4 		yeah ,  I think she's got some really good ideas , and +... 
_t4 		apparently , I mean +//.
_t4 		and I was also on an , an e+mail group of people who are following her plan , and there's like eight hundred people on the list . 
_t4 so I don't follow it 
_t4  I mean I kinda [: kind of] like 
_t4  I just kind of abandoned it for the time being but 
_t4  but I 
_t4  but I think a lot of people are actually having success with her method . 
_t4 		and a lot of people aren't too , I mean I'd say that , it's like one of those things . 
_t4 		so +... 
_t4 		yeah , yeah .
_t4 		yeah .
_t4 		and the , yeah , go back , yeah , yeah . 
_t4 		yeah . 
_t4 		right . 
_t4 		yup [: yes] , yeah .
_t4 		mmmm+hmmm , think of +//.
_t4 		think through what you might wanna do . 
_t4 		mmmm+hmmm . 
_t4 		mmmm+hmmm . 
_t4 		yeah . 
_t4 		yeah . 
_t4 		yeah . 
_t4 		and that's hard for him ? 
_t4 		yeah .
_t4 		yeah ,  +...
_t4 		oh I have +//.
_t4 		you know , that's exactly what has happened to me .
_t4 		I just started , at a certain point I started getting insomnia .
_t4 		like , inability to go back to sleep . 
_t4 		and that just completely complicates things .
_t4 		and , I think it was around when she was  age , that that was happening to me too . 
_t4 		um , I can jump to the punchline that one , one of her major suggestions in that book is to +...
_t4 		him to sleep . 
_t4 		um , before , so that he doesn't actually fall asleep with a nipple in his mouth .
_t4 		and she's just , kind of suggests that you do that religiously and repeatedly +...
_t4 		yeah .
_t4 		yeah (.) well that's +//.
_t4 		she's not saying that to do that .
_t4 		yeah sure , yeah yeah .
_t4 		xxx okay now we can read bunny cakes . 
_t4 		now we can read bunny cakes . 
_t4 		bunny cakes . 
_t4 		who's in bunny cakes  who's that story about ? 
_t4 		yeah . 
_t4 		where's Max in that picture ? 
_t4 		he's sitting in a mixing bowl .
_t4 		silly Max . 
_t4 		ha   .
_t4 		let see  we gotta make sure Mommy's your head it's on Mommy's mice . 
_t4 		hmmm what's he have in his hand ? 
_t4 		ha .
_t4 		that Max . 
_t4 		I can't believe he fits in the mixing bowl is he that little ? 
_t4 		he must be little if he fits in a mixing bowl . 
_t4 		this is still March first . 
_t4 		bunny cakes . 
_t4 		oh here's some pictures of things . 
_t4 		what do you see .
_t4 		yeah those are eggs .
_t4 		let's count those eggs . 
_t4 		one two three four five six eggs . 
_t4 		that is a spoon .
_t4 		do you see where the mixer is ? 
_t4 		does that look like Mommy's mixer ? 
_t4 		it's Ruby's yeah that one is Ruby's mixer . 
_t4 		oh cause there's two pictures here . 
_t4 		I see the butter I thought Ruby uses butter to make the cake . 
_t4 		I think that's the butter . 
_t4 		yeah rubber spatula .
_t4 		I think Ruby uses the rubber spatula to mix the cake . 
_t4 		and she also uses ? 
_t4 		the whisk . 
_t4 		and  there's the flour what's the flour in ? 
_t4 		in a red bag isn't it ? 
_t4 		with a number two on it . 
_t4 		and I see some measuring spoons . 
_t4 		and a measuring cup . 
_t4 		Mommy has a cup like that . 
_t4 		okay bunny cakes . 
_t4 		it was grandma's birthday Max made her an earth worm what ? 
_t4 		what's he doing there ? 
_t4 		it looks like he's using a metal spatula to mix his cake . 
_t4 		which is really just made out of dirt . 
_t4 		that's actually dirt he's pretending to make a cake out of dirt . 
_t4 		okay .
_t4 		Max wanted to help . 
_t4 		don't touch anything Max said Ruby . 
_t4 		you think she does I think he does want to help Ruby . 
_t4 		does she want him to help ? 
_t4 		I don't think she wants him to help . 
_t4 		you think he's gonna touch the eggs ? 
_t4 		he might what's Ruby doing with that egg ? 
_t4 		she's breaking it into the mixer . 
_t4 		mixing bowl actually she's breaking it into the mixing bowl . 
_t4 		she's holding on to the shells and letting the egg white and the egg yoke going into the bowl . 
_t4 		what she making do you remember ? 
_t4 		yeah . 
_t4 		but it was too late oops what happened ? 
_t4 		he broke the eggs .
_t4 		well you can't really fix eggs once you break them . 
_t4 		you have_to throw if you break them and they go on the floor you have_to throw them in the garbage . 
_t4 		maybe maybe Ruby will help Max clean that up and put it in the garbage . 
_t4 		maybe they'll do it together you think so ? 
_t4 		yeah maybe Max and Ruby will do that . 
_t4 		Ruby send Max to the store with a list that said . 
_t4 		eggs . 
_t4 		for his earth worm cake so he wrote red hot marshmallow squirters on the list . 
_t4 		he wrote it with a red crayon except he's a little bunny and he doesn't really know how to write . 
_t4 		he can't write he's a bunny but he's trying he's trying to write he wants to add red hot marshmallows squirters to the list so the grocer will give them to him . 
_t4 		that's a kind of candy . 
_t4 		the grocer could not read Max's writing . 
_t4 		eggs said the grocer and he gave Max eggs . 
_t4 		Max brought the eggs home to Ruby . 
_t4 		oh I think they're in that red box . 
_t4 		don't bump the table Max  but it was too late . 
_t4 		what happened ? 
_t4 		he spilled the milk . 
_t4 		yeah .
_t4 		she said don't bump the table Max but he did bump the table you see he's bumping into it right there and the milk bottle is falling over the milk is going on to the floor . 
_t4 		oh  who do you think is gonna clean that up ? 
_t4 		I think she's going to ask Max to help her clean it up don't you think ? 
_t4 		when you make a mess you should help clean it up right ? 
_t4 		Ruby sent Max back to the store with a list that said ? 
_t4 		milk how do you spell milk ? 
_t4 		right .
_t4 		great m i l k spells milk very good Naima . 
_t4 		this time Max wrote red hot marshmallows squirters in a different way . 
_t4 		he really wants that candy . 
_t4 		Max hoped and hoped for his squirters but the grocer still couldn't read Max's writing milk said the grocer and he gave Max milk . 
_t4 		what else is the grocer selling there ? 
_t4 		yeah .
_t4 		and what about over there ? 
_t4 		I think those are crackers .
_t4 		yeah . 
_t4 		Max brought the milk home to Ruby . 
_t4 		what did she do Naima ? 
_t4 		what did she draw ? 
_t4 		she drew a yellow line on the floor next to the table . 
_t4 		there's a yellow line on the floor Max said Ruby . 
_t4 		you can't step over that line . 
_t4 		I think she's a little bit mad . 
_t4 		he's bringing her the milk . 
_t4 		but Max . 
_t4 		he crossed over the line . 
_t4 		oops what happened . 
_t4 		what did he do ? 
_t4 		did he spill ? 
_t4 		he spilled the flour .
_t4 		oh  over went the flour . 
_t4 		Ruby got out her pencil and she .
_t4 		Ruby got out her pencil . 
_t4 		what did she write ?
_t4 		she wrote flour how do you spell flour ?
_t4 		f l o u r . 
_t4 		flour . 
_t4 		this time Max wrote red hot marshmallows squirters in the most beautiful writing he knew . 
_t4 		he's using a crayon isn't he ? 
_t4 		Max could almost taste the marshmallows squirters . 
_t4 		flour said the grocer and he gave Max flour . 
_t4 		oh I think Max might be unhappy . 
_t4 		that's the grocer . 
_t4 		the grocer doesn't know that Max wants the candy because he can't read what Max wrote on the list . 
_t4 		Max is just a little guy he doesn't really know how to write or talk properly . 
_t4 		that's the door to the kitchen . 
_t4 		these are trees over here and that's the door to the kitchen and there's Ruby inside holding a spoon . 
_t4 		when Max got home there was a sign on the kitchen door . 
_t4 		Max this kitchen is no place for you said Ruby . 
_t4 		Ruby finished up her cake whose ears do you see outside the window ? 
_t4 		those are Max's ears .
_t4 		Ruby won't let him into the kitchen . 
_t4 		he's outside looking in yeah . 
_t4 		Ruby finished up her cake she baked it and cooled it and iced it with raspberry fluff frosting . 
_t4 		she's using something to put the frosting on the cake ? 
_t4 		oh she gave him a spoon of the icing . 
_t4 		he's eating some of the icing just a little spoon full . 
_t4 		he's trying just a little bit . 
_t4 		he's outside the window looking in . 
_t4 		she's using a knife to put the frosting on the cake . 
_t4 		that's a very pink cake . 
_t4 		it needs something else Max said Ruby . 
_t4 		birthday candles silver stars sugar hearts butter cream roses wrote Ruby . 
_t4 		mean while Max had a brand new idea . 
_t4 		what's he pulling behind him ? 
_t4 		yeah it's a red wagon there .
_t4 		maybe he's going to carry the food from the grocery store in the wagon when he goes home . 
_t4 		what does the list say ? 
_t4 		it says birthday candles silver . 
_t4 		sugar . 
_t4 		and butter cream . 
_t4 		and what're those ? 
_t4 		he drew a picture of red hot marshmallows squirters . 
_t4 		well he won't have_to wait too long . 
_t4 		birthday candles silver stars sugar hearts butter cream roses said the grocer what's this why it must be a red hot marshmallow . 
_t4 		squirters . 
_t4 		Ruby's cake looked just beautiful . 
_t4 		Max went out and put caterpillar icing on his birthday cake . 
_t4 		on his on his earth worm cake .
_t4 		what's he doing what's he having in his hand ? 
_t4 		what's he doing with the knife ? 
_t4 		he's putting caterpillar icing on the cake with his knife . 
_t4 		Grandma was so thrilled she didn't know which cake to eat first . 
_t4 		how many cakes does she have ? 
_t4 		right she has two cakes very good .
_t4 		that's the end I think . 
_t4 		do you wanna read another book ? 
_t4 		you wanna read Bunny Money ? 
_t4 		you wanna read it to Mommy ? 
_t4 		oh I have_to read it to you okay . 
_t4 		maybe we read it together . 
_t4 		xxx what does Ruby have ? 
_t4 		what's in her wallet ? 
_t4 		oh what're they going to do now ? 
_t4 		they gonna go on the bus . 
_t4 		yes I think they're gonna go to the store . 
_t4 		Ruby took a dollar from her wallet to pay the bus fair who's she giving the money to ? 
_t4 		the bus driver .
_t4 		oh here they're at the store do you know what the store is called ? 
_t4 		in the window was a music box with skating ballerinas . 
_t4 		isn't it beautiful Max said Ruby ? 
_t4 		thirsty said Max . 
_t4 		you may buy a very very small lemonade Max said Ruby what's she giving him now ? 
_t4 		she's giving him her wallet do you think that's a good idea ? 
_t4 		next door in Candy's corner window were hundreds of vampire teeth . 
_t4 		Max knew grandma would love a set of teeth with oozing cherry syrup inside for her birthday . 
_t4 		okay .
_t4 		he bought them instead of the lemonade . 
_t4 		two dollars please said Candy . 
_t4 		what're they gonna do what's this ? 
_t4 		a washing machine .
_t4 		and what's Ruby doing over here this is Max . 
_t4 		this is Ruby's hand . 
_t4 		I think Ruby is cleaning off his face with a washcloth .
_t4 		because he has mess on his face . 
_t4 		soap cost a dollar the washer cost a dollar and the dryer cost another dollar . 
_t4 		money down the drain Max said Ruby . 
_t4 		hungry said Max . 
_t4 		it was lunch+time . 
_t4 		Max finished off a peanut butter and jelly sandwich two coconut cup cakes and a banana shake lunch costs four dollars one two three four . 
_t4 		what does she have left in her wallet ? 
_t4 		yeah . 
_t4 		money is running through our fingers Max said Ruby . 
_t4 		they walked all the way back to Roselinda's gift shop without spending another penny . 
_t4 		oh now what's happening in this picture ? 
_t4 		but she doesn't have that much she only has a five dollar bill . 
_t4 		and Roselinda shows her the blue bird earrings that play  what a beautiful morning . 
_t4 		they are on sale for four dollars . 
_t4 		we'll take them said Ruby she's gonna buy those earrings for her grandma . 
_t4 		she gave Roselinda the five dollar bill for blue bird earrings that looked like that and went to put pick out the wrapping paper . 
_t4 		hey what's in the wallet now ? 
_t4 		it's empty .
_t4 		four dollars for the earrings one dollar .
_t4 		it is the wallet is empty there's no more money in it . 
_t4 		Roselinda gives Max the change you take care of this dollar young man . 
_t4 		where's she putting that dollar ? 
_t4 		in his overalls pocket .
_t4 		he has a pocket right in front of his overalls . 
_t4 		then Max goes back to Candy's corner glow in the dark vampire teeth were half price . 
_t4 		most people like glow in the dark vampire teeth much better than the oozing cherry kind said Candy . 
_t4 		Max bought a set for one dollar . 
_t4 		oh no Max said Ruby you've spend our last dollar . 
_t4 		how are we going to pay for the bus home ? 
_t4 		oh she's upset I think she's not happy . 
_t4 		Max is happy . 
_t4 		what's he carrying there ? 
_t4 		who're they for ? 
_t4 		what's he going to do with the presents ? 
_t4 		is he gonna give them to somebody ? 
_t4 		who's birthday is it ? 
_t4 		Grandma .
_t4 		ahh Ruby is calling Grandma on the telephone . 
_t4 		Grandma will have_to pick us up said Ruby I hope she won't be angry . 
_t4 		Grandma was not angry at all she was so thrilled she played the musical blue bird earrings and wore the vampire teeth all the way home . 
_t4 		what color are they ? 
_t4 		the teeth . 
_t4 		what color are the vampire teeth ? 
_t4 		yes .
_t4 		and she's wearing the blueberry earrings on her ears . 
_t4 		what color what kind of a car does she drive ? 
_t4 		hmmm .
_t4 		Grandma has a nice shiny red car . 
_t4 		she looks like a nice Grandma . 
_t4 		hmmm  here's Daddy . 
_t4 		can you ah: turn the tape off I think we're at a breaking point . 
_t4 		okay we are . 
_t4 		all set  . 
_t4 		you think so are we gonna read that book now . 
_t4 		let's go sit next to the raccoon can you go sit next to the raccoon and we will read right there . 
_t4 		oh good okay . 
_t4 		yeah good .
_t4 		yeah  good  he's sitting in your lap so he can listen to the book .
_t4 		today is March seventh it's Friday . 
_t4 		this session is being recorded a week about a week later but immediately after that is on the tape after the previous session unlike how I usually do it . 
_t4 		okay shall we read this ? 
_t4 		what's it called ? 
_t4 		yeah . 
_t4 		where's Mommy's thing ? 
_t4 		breast milk makes my tummy yummy can you turn the page ? 
_t4 		breast milk makes my tummy yummy . 
_t4 		my best food comes from ? 
_t4 		xxx . 
_t4 		what's she doing with that baby ? 
_t4 		well what's the baby doing ? 
_t4 		looks like that baby is actually sleeping . 
_t4 		do you think so ? 
_t4 		yeah .
_t4 		Mommy gives me what I need when in her . 
_t4 		when in her loving arms I feed .
_t4 		hmmm .
_t4 		around the world it can't be beat because mommy's milk is best to eat . 
_t4 		oh there's a mommy and he baby right there . 
_t4 		yeah .
_t4 		yeah .
_t4 		nursing's [: nursing is] what I like to do when we have a bath for two . 
_t4 		ahh she's nursing in a bath tub oh+my+goodness . 
_t4 		those are the mommy's legs in the bath tub .
_t4 		and that's the mommy where's the baby ? 
_t4 		there she is .
_t4 		sometimes it's fun to let the milk to make my face all wet . 
_t4 		you don't do that do you ?
_t4 		to can breast feed without fuss if there's room for both of us . 
_t4 		there's a baby and her little brother nursing . 
_t4 		and the dog is sitting there watching .
_t4 		here's a lid that stuck real tight but me and Mommy fit just .
_t4 		just right looks like they're in the kitchen .
_t4 		see the sink . 
_t4 		nursing .
_t4 		nursing in the kitchen . 
_t4 		after dinner it tastes best with desert from mommy's breast . 
_t4 		mommy's talking on the phone . 
_t4 		here's my chance now she's alone .
_t4 		there's your mommy . 
_t4 		yeah .
_t4 		that's the daddy that's the baby's daddy .
_t4 		he's sleeping .
_t4 		actually the mommy's sleeping too . 
_t4 		those are pictures of the dog and the cat . 
_t4 		so who else was at the music class today I didn't get to go who was there ? 
_t4 		was was Molly there ? 
_t4 		who else was there who did you see there ? 
_t4 		where there any other mommies there ? 
_t4 		who ? 
_t4 		well was  there ? 
_t4 		and  ?
_t4 		was  there ? 
_t4 		and her mommy .
_t4 		her mommy's  too that's right .
_t4 		what songs did you sing ? 
_t4 		did you sing songs from the bell cd ? 
_t4 		did you play any instrument ? 
_t4 		what did you play ?
_t4 		did you play any drums ?
_t4 		did Daddy play drums Daddy went with you today . 
_t4 		what did he play ? 
_t4 		I'm asking you what did he play ? 
_t4 		what I wasn't there I didn't see .
_t4 		what did he play ? 
_t4 		did he play a clarinet ? 
_t4 		did he have a drum ? 
_t4 		did you guys listen to fooling around ?
_t4 		xxx . 
_t4 		was Melissa there ? 
_t4 		she has say hello to you ? 
_t4 		Daddy told me she sprained her ankle . 
_t4 		she hurt her ankle . 
_t4 		they're just sitting in my shirt actually . 
_t4 		are you a little bit sleepy ? 
_t4 		you wanna spell something with the letters ? 
_t4 		you wanna spell raccoon ? 
_t4 		since we have this nice raccoon puppet .
_t4 		are you going to spell raccoon Naima ? 
_t4 		and we need an r for that .
_t4 		yep [: yes] put the r down then we need an a that's the next letter we need .
_t4 		are there any a's here . 
_t4 		oh good that goes next to the r . 
_t4 		and then we need a c , letter c ,  any c's in here ? 
_t4 		oh I found one . 
_t4 		here's a c . 
_t4 		that goes next to the a good now we need  what do you think we need raccoon we need another c another c yes another c okay . 
_t4 		well here's an orange one .
_t4 		it's a little bit backward the orange one .
_t4 		good job okay there you go . 
_t4 		we need two o's here's an o . 
_t4 		that goes next to the c and we need another o . 
_t4 		here's another o . 
_t4 		and then we need an n . 
_t4 		can you look for an n in there ? 
_t4 		n . 
_t4 		no n's here that's an m we need an n . 
_t4 		is that an n ? 
_t4 		is that an n ? 
_t4 		no that's an m .
_t4 		is that an n ? 
_t4 		that's a u he's showing you the letters . 
_t4 		is that an n ?
_t4 		that's an l . 
_t4 		he's showing you the letters .
_t4 		Naima you should say he's showing me the letters . 
_t4 		yeah .
_t4 		he is . 
_t4 		here's an n . 
_t4 		there that goes next to the o . 
_t4 		great . 
_t4 		that spells raccoon . 
_t4 		raccoon .
_t4 		yay . 
_t4 		oh . 
_t4 		oh yeah that's right that's a number that's what number is that ? 
_t4 		do you recognize that number ? 
_t4 		eight . 
_t4 		hmmm you wanna spell mommy ? 
_t4 		m . 
_t4 		that's a w isn't it here's an m .
_t4 		there's an m . 
_t4 		m o you need m and o . 
_t4 		you gonna borrow that o from raccoon you could do that but we could see if there's another o in here too . 
_t4 		it might be more than two o's . 
_t4 		o you could borrow it if you want . 
_t4 		why don't you borrow it from the raccoon . 
_t4 		xxx I don't see  okay where's our m spell mommy under here . 
_t4 		m o now you need two m's two more m's next to the o m o m . 
_t4 		here's another one . 
_t4 		m now you need a y at the end . 
_t4 		right now it says mom . 
_t4 		and this one is upside down . 
_t4 		now you need a y . 
_t4 		can you find a y . 
_t4 		letter y do you see any ?
_t4 		well let's take them out is that a y ? 
_t4 		that's an i right ? 
_t4 		is that an , y . 
_t4 		is that a y ? 
_t4 		we're looking for a y . 
_t4 		is that a y ?
_t4 		good .
_t4 		it goes right there and that spells mommy . 
_t4 		well daddy is d a d d y .
_t4 		a d .
_t4 		okay where we gonna spell daddy . 
_t4 		okay .
_t4 		that's a little backwards daddy . 
_t4 		good here's an a that comes next d a . 
_t4 		comes actually after next to the d over here d a . 
_t4 		this goes next to the a . 
_t4 		that's another d . 
_t4 		now spells dad . 
_t4 		we need another d . 
_t4 		do we have another d ?
_t4 		all these all your letters ? 
_t4 		oh no you have more over there too . 
_t4 		oh there's another  why don't you give that why don't we put that back in raccoon right there . 
_t4 		looking for another d because we another d to spell daddy . 
_t4 		xxx don't see any there . 
_t4 		we should buy some at the toy store , well we did buy some well I did buy some one letter just the other day so one thing we do have another d somewhere let's see not there not there . 
_t4 		oh letter d where are you letter d . 
_t4 		yes pumpkin doodle bug .
_t4 		pumpkin doodle bug . 
_t4 		we are do you think you have any in your room ?
_t4 		you have any more letters in your room . 
_t4 		carry you I have_to carry you to the other room ? 
_t4 		let's march . 
_t4 		march march march I'm gonna go look for a d in the other room . 
_t4 		are you marching ? 
_t4 		I see some numbers are there any letters ? 
_t4 		ha maybe we don't have any more . 
_t4 		how could that possibly be ? 
_t4 		here's the z .
_t4 		I want .
_t4 		oh for zoo for the word zoo . 
_t4 		oh you could spell that that's zoo spells z o o . 
_t4 		hmmm there's another d right there . 
_t4 		let's go back and finish spelling daddy and let's close this window because it should not be open . 
_t4 		because it is cold out . 
_t4 		now you can spell daddy .
_t4 		I'm just gonna go check the these windows to make sure they aren't open also but of course they are . 
_t4 		of course you're horse . 
_t4 		down there . 
_t4 		let's go put that d where it belongs  . 
_t4 		and then we can spell zoo also . 
_t4 		okay the d a d okay that d goes next to this d right there . 
_t4 		and turn it around because it's a backward a little bit . 
_t4 		great and now we just need a y to spell daddy . 
_t4 		do you think there's another y here somewhere here's one here here we go d a d d y spells daddy . 
_t4 		now this says .
_t4 		yeah . 
_t4 		it does .
